,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526440994060,-25,-41,-37,-40,-44,-50,-55,-45,-50,-60,-59,-53,-54,-54,-64,-61,-61,-57,-68,-70,-68,-67,-73,-68,-73,-72,-74,-67,-77,-68,-76,-66,-77,-69,-83,-72,-200,-77,-200,-200,-87,-73,-200,-84,-82,-77,-86,-200,-200,-200,-86,-73,-83,-71,-200,-200,-63,-89,-89,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526440997116,-20,-38,-37,-39,-44,-47,-55,-45,-50,-56,-57,-53,-55,-54,-63,-61,-63,-59,-67,-73,-68,-69,-70,-74,-73,-74,-73,-68,-77,-67,-75,-68,-200,-70,-69,-74,-200,-77,-200,-200,-87,-76,-200,-84,-82,-69,-86,-200,-200,-79,-86,-74,-84,-71,-200,-200,-63,-89,-89,-86,-88,-81,-200,-200,-200,-200,-200,-200,-200
1526441000156,-21,-36,-36,-42,-43,-50,-55,-45,-50,-60,-56,-56,-55,-51,-66,-61,-64,-58,-67,-73,-70,-69,-70,-74,-73,-73,-73,-68,-78,-66,-75,-68,-200,-70,-73,-74,-200,-77,-200,-200,-87,-76,-200,-84,-82,-69,-86,-200,-200,-84,-86,-74,-84,-71,-200,-200,-63,-89,-89,-86,-88,-81,-200,-200,-200,-200,-200,-200,-200
1526441003226,-22,-37,-38,-43,-40,-46,-52,-50,-53,-57,-53,-56,-55,-55,-64,-58,-64,-62,-67,-69,-70,-67,-70,-74,-73,-72,-77,-68,-78,-66,-75,-63,-82,-70,-75,-74,-76,-78,-200,-200,-88,-77,-200,-200,-79,-69,-86,-200,-82,-84,-86,-75,-84,-71,-200,-200,-63,-90,-89,-86,-88,-81,-87,-200,-200,-200,-200,-200,-200
1526441006287,-23,-37,-36,-43,-44,-47,-49,-49,-51,-59,-54,-54,-55,-55,-67,-59,-64,-60,-67,-69,-71,-67,-70,-63,-73,-72,-77,-68,-78,-73,-76,-66,-82,-74,-75,-74,-81,-77,-200,-200,-86,-77,-200,-200,-79,-69,-86,-200,-82,-77,-87,-75,-83,-72,-91,-200,-63,-90,-89,-200,-88,-81,-87,-200,-200,-200,-200,-200,-200
1526441009347,-26,-36,-36,-39,-43,-55,-55,-48,-51,-58,-54,-54,-53,-54,-65,-60,-64,-59,-67,-72,-71,-67,-71,-63,-200,-71,-77,-71,-78,-65,-76,-66,-82,-66,-74,-84,-81,-77,-200,-200,-86,-77,-200,-200,-80,-76,-200,-200,-82,-77,-87,-75,-83,-70,-91,-200,-64,-90,-200,-200,-88,-81,-87,-200,-200,-200,-200,-200,-200
1526441012409,-26,-35,-38,-43,-44,-46,-55,-47,-50,-54,-55,-54,-57,-54,-63,-57,-63,-59,-67,-72,-71,-68,-71,-63,-200,-71,-77,-67,-78,-68,-76,-65,-82,-66,-74,-84,-81,-77,-200,-200,-86,-84,-200,-200,-80,-77,-200,-200,-82,-75,-86,-75,-83,-70,-91,-200,-64,-90,-200,-200,-87,-200,-87,-84,-84,-200,-200,-200,-200
1526441015473,-28,-37,-38,-40,-46,-45,-54,-43,-50,-63,-55,-54,-55,-54,-63,-57,-62,-59,-67,-72,-71,-75,-73,-63,-73,-71,-74,-67,-78,-67,-82,-69,-82,-67,-70,-76,-81,-76,-200,-200,-86,-84,-200,-81,-80,-77,-200,-200,-82,-75,-87,-74,-82,-68,-91,-89,-66,-90,-200,-200,-87,-200,-87,-84,-84,-82,-88,-200,-200
1526441018531,-32,-37,-36,-40,-44,-45,-55,-43,-50,-60,-52,-52,-51,-56,-63,-56,-62,-60,-64,-69,-71,-70,-73,-75,-72,-71,-74,-70,-80,-69,-82,-69,-200,-71,-70,-75,-72,-76,-200,-200,-83,-85,-200,-81,-82,-77,-84,-200,-200,-75,-87,-73,-82,-72,-91,-89,-66,-200,-200,-200,-87,-200,-200,-84,-84,-82,-88,-84,-200
1526441021594,-30,-33,-38,-42,-42,-51,-57,-43,-52,-60,-52,-56,-54,-56,-64,-56,-62,-60,-65,-71,-71,-66,-73,-75,-72,-70,-75,-70,-80,-68,-80,-65,-200,-70,-70,-75,-72,-75,-200,-200,-83,-77,-200,-81,-82,-77,-84,-200,-83,-75,-87,-73,-83,-71,-200,-89,-66,-200,-200,-200,-87,-200,-200,-84,-84,-82,-88,-84,-200
1526441024657,-30,-35,-39,-42,-39,-49,-57,-43,-51,-60,-54,-56,-54,-58,-62,-60,-63,-61,-64,-71,-75,-66,-73,-70,-72,-69,-75,-70,-80,-68,-76,-69,-200,-78,-72,-75,-72,-77,-200,-200,-80,-77,-200,-81,-82,-78,-84,-84,-82,-70,-87,-73,-83,-71,-200,-89,-72,-87,-200,-200,-87,-200,-200,-84,-84,-82,-88,-84,-87
1526441027720,-26,-37,-37,-40,-44,-46,-53,-47,-51,-56,-56,-53,-54,-53,-64,-59,-64,-62,-64,-72,-75,-66,-73,-70,-73,-72,-71,-65,-80,-70,-76,-69,-200,-68,-72,-75,-71,-78,-200,-200,-83,-77,-200,-81,-83,-78,-84,-84,-82,-70,-88,-73,-83,-71,-200,-89,-72,-87,-200,-200,-200,-200,-200,-200,-200,-82,-88,-84,-87
