,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526441153241,-44,-31,-51,-56,-51,-36,-32,-53,-58,-44,-48,-57,-72,-57,-72,-66,-59,-48,-64,-70,-66,-65,-58,-78,-59,-200,-74,-57,-71,-71,-72,-84,-62,-73,-200,-66,-74,-69,-86,-200,-200,-70,-70,-77,-200,-71,-86,-84,-78,-86,-75,-84,-83,-89,-200,-200,-79,-79,-200,-200,-85,-200,-90,-81,-89,-200,-59,-90,-87,-90,-90,-81,-82,-200,-200,-200
1526441156302,-44,-26,-51,-59,-53,-37,-35,-53,-55,-43,-52,-59,-73,-56,-72,-66,-59,-49,-64,-71,-66,-65,-61,-78,-59,-200,-74,-60,-72,-71,-71,-83,-63,-73,-82,-66,-74,-70,-86,-200,-200,-74,-69,-77,-200,-71,-86,-200,-78,-86,-77,-200,-83,-89,-200,-200,-79,-79,-200,-85,-85,-200,-90,-200,-89,-200,-59,-90,-87,-90,-90,-81,-82,-200,-200,-200
1526441159368,-45,-30,-49,-56,-50,-35,-33,-56,-52,-43,-52,-61,-71,-56,-73,-66,-59,-50,-66,-71,-65,-66,-61,-78,-59,-200,-200,-59,-72,-71,-71,-83,-62,-79,-82,-66,-74,-74,-86,-200,-200,-73,-67,-77,-200,-75,-86,-90,-79,-86,-71,-200,-83,-89,-200,-200,-200,-79,-200,-85,-200,-200,-90,-200,-89,-200,-67,-200,-87,-90,-90,-81,-82,-90,-200,-200
1526441162424,-41,-30,-49,-56,-49,-37,-33,-56,-51,-42,-52,-57,-75,-56,-73,-66,-61,-47,-66,-71,-65,-66,-59,-78,-59,-200,-69,-64,-71,-73,-71,-83,-63,-79,-82,-66,-79,-74,-88,-78,-200,-73,-73,-78,-200,-73,-200,-90,-78,-85,-69,-81,-200,-89,-200,-200,-81,-79,-200,-85,-86,-200,-90,-200,-89,-200,-61,-200,-87,-90,-88,-81,-82,-90,-200,-200
1526441165487,-45,-28,-45,-69,-48,-38,-32,-56,-51,-42,-51,-57,-73,-57,-71,-68,-61,-51,-64,-71,-64,-63,-63,-76,-59,-85,-69,-58,-71,-69,-71,-84,-63,-79,-83,-66,-79,-74,-88,-78,-200,-83,-74,-78,-200,-72,-200,-90,-79,-85,-73,-81,-200,-89,-200,-200,-81,-80,-200,-85,-86,-200,-90,-200,-200,-200,-61,-200,-200,-200,-88,-81,-82,-90,-200,-200
1526441168533,-41,-30,-45,-57,-49,-36,-34,-55,-57,-43,-51,-66,-73,-58,-73,-68,-59,-51,-67,-69,-64,-61,-61,-76,-200,-85,-69,-57,-70,-69,-68,-82,-63,-79,-83,-200,-79,-83,-88,-78,-200,-78,-74,-78,-200,-72,-200,-90,-79,-85,-73,-81,-200,-89,-200,-200,-81,-80,-200,-85,-83,-200,-200,-200,-200,-86,-61,-88,-200,-200,-88,-200,-200,-90,-85,-91
1526441171581,-41,-27,-44,-58,-48,-36,-34,-53,-55,-43,-50,-62,-72,-58,-70,-67,-62,-49,-64,-70,-62,-62,-58,-76,-200,-85,-69,-57,-70,-72,-69,-82,-64,-79,-83,-77,-79,-83,-86,-78,-200,-78,-67,-76,-200,-72,-200,-90,-79,-85,-75,-81,-200,-200,-200,-200,-81,-80,-89,-200,-83,-200,-90,-200,-87,-86,-60,-88,-200,-200,-88,-200,-200,-90,-85,-91
1526441174641,-39,-25,-49,-58,-56,-36,-34,-55,-55,-43,-48,-72,-70,-58,-70,-67,-62,-52,-64,-70,-70,-62,-60,-77,-62,-85,-69,-57,-70,-76,-69,-83,-65,-200,-83,-77,-79,-75,-86,-75,-200,-78,-67,-76,-200,-72,-200,-90,-79,-84,-75,-81,-200,-90,-200,-200,-81,-80,-89,-200,-83,-200,-90,-200,-87,-86,-57,-88,-200,-200,-87,-200,-200,-200,-85,-91
1526441177699,-44,-29,-47,-56,-46,-36,-33,-55,-57,-43,-51,-60,-70,-58,-71,-67,-62,-51,-64,-68,-63,-66,-60,-77,-62,-85,-69,-57,-71,-76,-69,-83,-65,-200,-83,-77,-200,-73,-86,-75,-200,-77,-67,-76,-200,-72,-200,-87,-79,-84,-82,-200,-200,-90,-200,-200,-200,-78,-89,-200,-83,-200,-90,-200,-87,-84,-57,-88,-200,-200,-87,-200,-200,-200,-85,-91
1526441180745,-38,-29,-47,-52,-46,-42,-37,-59,-53,-43,-80,-59,-76,-58,-71,-68,-62,-47,-63,-73,-63,-64,-63,-77,-62,-75,-200,-57,-67,-76,-69,-81,-64,-200,-200,-77,-78,-78,-86,-80,-200,-83,-73,-76,-200,-69,-200,-86,-80,-82,-74,-200,-200,-90,-200,-200,-200,-78,-89,-200,-83,-85,-90,-200,-87,-84,-57,-88,-200,-200,-93,-200,-200,-200,-85,-91
1526441183810,-38,-28,-47,-50,-47,-39,-34,-55,-53,-43,-56,-61,-76,-58,-69,-66,-61,-49,-62,-73,-64,-64,-59,-77,-62,-77,-200,-200,-67,-70,-69,-81,-62,-200,-84,-77,-78,-71,-85,-80,-200,-83,-73,-76,-200,-68,-200,-86,-80,-81,-74,-84,-200,-90,-200,-200,-81,-78,-89,-200,-83,-85,-90,-200,-87,-84,-57,-200,-200,-200,-93,-200,-200,-200,-200,-88
1526441186869,-42,-30,-47,-50,-47,-38,-32,-55,-53,-43,-52,-62,-76,-57,-69,-65,-61,-48,-62,-73,-60,-62,-59,-77,-62,-77,-200,-200,-63,-70,-69,-81,-62,-75,-84,-200,-75,-76,-84,-80,-200,-83,-72,-200,-200,-68,-200,-86,-80,-82,-74,-84,-200,-90,-200,-200,-81,-78,-200,-200,-83,-85,-200,-200,-200,-84,-57,-200,-200,-200,-93,-200,-200,-200,-200,-88
