,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526441308725,-36,-29,-37,-52,-41,-38,-45,-50,-44,-50,-63,-66,-64,-59,-68,-49,-61,-63,-55,-63,-80,-63,-57,-67,-68,-71,-77,-68,-75,-65,-68,-79,-63,-71,-77,-200,-68,-69,-76,-200,-82,-74,-81,-74,-80,-77,-90,-200,-200,-81,-200,-200,-87,-84,-81,-90,-200,-200,-79,-200,-200,-200,-91,-79,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441311796,-36,-30,-37,-48,-44,-38,-41,-50,-43,-49,-60,-66,-64,-59,-67,-50,-61,-63,-57,-63,-80,-64,-57,-70,-69,-71,-79,-68,-75,-66,-68,-69,-63,-73,-77,-200,-68,-69,-76,-80,-82,-74,-82,-75,-80,-77,-90,-200,-200,-81,-88,-200,-87,-84,-84,-90,-200,-200,-200,-200,-200,-200,-91,-79,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441314867,-37,-28,-37,-51,-41,-38,-42,-50,-43,-49,-59,-65,-69,-59,-65,-49,-63,-64,-57,-63,-80,-64,-59,-66,-70,-71,-77,-68,-75,-66,-68,-69,-200,-73,-82,-200,-71,-73,-76,-78,-82,-74,-81,-76,-80,-75,-90,-200,-200,-81,-88,-200,-87,-84,-83,-90,-200,-200,-200,-200,-200,-200,-200,-79,-83,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526441317928,-39,-36,-35,-50,-39,-38,-45,-51,-46,-49,-60,-65,-69,-59,-80,-49,-62,-62,-57,-62,-80,-64,-57,-66,-71,-200,-77,-68,-75,-66,-68,-67,-200,-72,-74,-200,-71,-73,-76,-75,-71,-70,-81,-76,-80,-75,-200,-200,-200,-81,-88,-200,-87,-200,-80,-90,-200,-200,-78,-200,-200,-200,-200,-77,-200,-84,-88,-76,-89,-200,-200,-200,-200,-200,-200
1526441320993,-36,-32,-35,-50,-39,-37,-46,-51,-43,-45,-60,-63,-69,-60,-80,-49,-62,-62,-57,-62,-79,-63,-57,-64,-71,-68,-75,-67,-72,-65,-64,-67,-67,-70,-74,-200,-75,-77,-76,-75,-71,-71,-80,-74,-78,-77,-200,-200,-83,-84,-88,-200,-88,-200,-79,-200,-200,-200,-81,-200,-200,-200,-200,-77,-200,-84,-88,-76,-89,-94,-200,-200,-200,-200,-200
1526441324053,-39,-39,-37,-50,-40,-41,-46,-51,-43,-49,-59,-65,-69,-60,-80,-48,-62,-62,-54,-58,-78,-74,-58,-64,-72,-68,-75,-67,-72,-63,-68,-80,-67,-68,-74,-200,-75,-73,-200,-78,-71,-71,-80,-74,-78,-76,-200,-200,-83,-84,-88,-200,-87,-200,-79,-200,-200,-200,-79,-200,-200,-200,-200,-79,-200,-84,-88,-76,-89,-94,-84,-89,-200,-200,-200
1526441327102,-36,-31,-38,-50,-39,-38,-45,-52,-45,-49,-59,-61,-69,-60,-68,-50,-73,-62,-54,-62,-78,-74,-58,-68,-72,-68,-74,-69,-72,-64,-78,-76,-67,-71,-74,-200,-71,-77,-200,-78,-71,-71,-80,-76,-78,-77,-200,-200,-83,-84,-200,-200,-87,-200,-80,-200,-200,-200,-80,-200,-200,-200,-200,-79,-200,-84,-88,-76,-89,-94,-84,-89,-82,-88,-200
1526441330163,-36,-30,-40,-56,-38,-40,-44,-51,-44,-47,-59,-60,-200,-63,-67,-49,-64,-62,-54,-62,-76,-74,-66,-68,-71,-68,-74,-69,-72,-64,-78,-76,-68,-68,-74,-82,-71,-77,-200,-78,-71,-71,-79,-76,-78,-77,-200,-200,-83,-84,-200,-200,-87,-200,-81,-89,-200,-200,-80,-200,-200,-200,-200,-79,-200,-84,-200,-76,-89,-94,-78,-89,-82,-88,-200
1526441333238,-37,-37,-36,-48,-39,-40,-69,-51,-40,-44,-59,-60,-69,-59,-66,-51,-63,-63,-56,-62,-78,-63,-66,-71,-70,-68,-76,-69,-75,-64,-78,-76,-68,-73,-200,-82,-71,-77,-200,-82,-200,-75,-81,-78,-85,-75,-200,-200,-83,-84,-82,-200,-87,-200,-80,-89,-90,-200,-80,-200,-200,-200,-200,-79,-200,-200,-200,-200,-89,-94,-78,-89,-82,-88,-200
1526441336317,-37,-33,-44,-59,-43,-38,-49,-51,-43,-48,-63,-60,-66,-59,-69,-47,-66,-62,-53,-59,-79,-63,-66,-69,-70,-200,-75,-67,-75,-64,-80,-76,-70,-73,-73,-82,-71,-71,-78,-82,-200,-75,-80,-74,-84,-75,-200,-200,-200,-200,-82,-200,-86,-200,-79,-89,-90,-200,-78,-200,-200,-200,-200,-79,-200,-80,-200,-200,-89,-200,-78,-89,-82,-88,-85
1526441339377,-34,-41,-37,-50,-40,-40,-45,-51,-42,-45,-63,-64,-70,-63,-67,-50,-62,-62,-54,-60,-79,-63,-66,-66,-70,-200,-77,-66,-75,-64,-70,-76,-70,-73,-73,-80,-71,-71,-78,-82,-200,-69,-80,-75,-84,-77,-200,-200,-200,-200,-82,-200,-86,-200,-79,-89,-90,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-78,-200,-82,-88,-85
1526441342450,-37,-33,-36,-50,-44,-40,-45,-51,-44,-42,-60,-64,-70,-63,-68,-52,-62,-62,-58,-62,-78,-85,-58,-72,-70,-200,-77,-67,-75,-67,-70,-200,-70,-73,-73,-80,-71,-72,-78,-82,-200,-69,-77,-75,-84,-77,-200,-200,-200,-200,-88,-200,-87,-200,-81,-89,-90,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-78,-200,-200,-78,-200,-200,-200,-85
