,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526441249357,-89,-94,-200,-75,-75,-200,-200,-200,-86,-60,-74,-76,-200,-63,-200,-200,-200,-200,-200,-200,-200
1526441249465,-200,-200,-200,-200,-75,-200,-200,-200,-87,-60,-74,-75,-200,-63,-200,-78,-200,-200,-200,-200,-200
1526441249571,-200,-200,-200,-200,-72,-88,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441254168,-200,-200,-200,-200,-200,-200,-200,-200,-97,-73,-200,-82,-200,-200,-82,-200,-200,-200,-87,-200,-200
1526441254380,-200,-98,-200,-200,-68,-200,-200,-88,-99,-74,-200,-81,-200,-65,-200,-200,-91,-89,-83,-200,-200
1526441254502,-93,-200,-200,-200,-200,-87,-200,-89,-94,-200,-200,-81,-200,-63,-73,-200,-89,-200,-83,-200,-200
1526441254617,-200,-200,-200,-200,-200,-83,-200,-200,-97,-63,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526441259194,-200,-200,-86,-76,-69,-200,-200,-80,-92,-63,-81,-81,-200,-65,-200,-200,-200,-200,-200,-200,-200
1526441259392,-200,-200,-200,-76,-200,-200,-94,-80,-93,-200,-200,-80,-200,-65,-78,-200,-200,-200,-200,-200,-200
1526441259512,-95,-200,-86,-77,-200,-83,-200,-200,-93,-63,-200,-200,-200,-200,-78,-85,-200,-200,-200,-200,-94
1526441264157,-200,-200,-200,-79,-200,-200,-200,-200,-85,-62,-200,-200,-200,-66,-69,-200,-200,-200,-200,-88,-200
1526441264270,-89,-92,-200,-78,-74,-200,-87,-200,-84,-63,-200,-200,-200,-200,-69,-200,-200,-200,-200,-88,-200
1526441264375,-90,-93,-200,-200,-200,-88,-200,-200,-84,-63,-200,-75,-95,-65,-69,-200,-88,-200,-200,-200,-200
1526441264519,-200,-200,-200,-200,-200,-200,-200,-200,-85,-62,-200,-200,-96,-200,-200,-200,-88,-200,-200,-200,-200
