,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D02A20,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454720761,-48,-33,-50,-40,-60,-52,-50,-65,-57,-61,-58,-60,-58,-59,-51,-54,-63,-56,-61,-61,-60,-68,-56,-67,-56,-75,-77,-74,-76,-66,-75,-65,-58,-76,-75,-68,-200,-81,-79,-77,-92,-89,-84,-78,-80,-79,-75,-83,-88,-200,-77,-82,-89,-80,-76,-84,-200,-82,-88,-82,-83,-87,-93,-200,-200,-84,-90,-200,-89,-97,-200,-82,-200,-200,-87,-92,-95,-94,-94,-200,-96,-200,-200,-95,-200,-200,-94,-200,-94,-75,-75,-77,-81,-82,-200,-87,-96,-92,-200,-72,-200,-200,-200,-200,-82,-94,-200,-83,-87,-200,-95,-200,-200,-200,-200,-200
1526454723815,-49,-34,-45,-40,-59,-51,-51,-62,-59,-63,-59,-60,-58,-58,-51,-61,-64,-57,-61,-62,-62,-68,-50,-67,-55,-73,-77,-73,-76,-63,-200,-62,-57,-77,-74,-200,-77,-81,-79,-76,-90,-89,-85,-78,-84,-79,-77,-83,-200,-200,-79,-84,-89,-81,-75,-84,-200,-82,-88,-81,-83,-87,-90,-200,-200,-84,-90,-200,-84,-200,-200,-80,-200,-200,-90,-91,-93,-94,-95,-200,-96,-200,-200,-95,-200,-200,-94,-96,-94,-75,-75,-80,-82,-84,-200,-87,-96,-92,-200,-72,-80,-200,-200,-200,-200,-94,-200,-86,-87,-91,-95,-200,-91,-200,-200,-200
1526454726870,-50,-34,-48,-39,-57,-52,-50,-59,-57,-63,-59,-61,-57,-52,-52,-61,-64,-54,-79,-61,-62,-69,-51,-67,-56,-73,-76,-76,-76,-65,-200,-64,-62,-77,-74,-69,-77,-82,-78,-76,-94,-90,-83,-79,-84,-79,-74,-83,-200,-200,-77,-81,-91,-82,-79,-82,-200,-83,-83,-82,-83,-87,-90,-200,-200,-200,-90,-200,-89,-200,-200,-82,-200,-200,-89,-92,-93,-94,-95,-200,-96,-200,-200,-95,-200,-200,-97,-96,-200,-77,-77,-80,-82,-82,-200,-87,-96,-93,-200,-72,-80,-200,-200,-200,-200,-94,-200,-86,-88,-91,-95,-200,-91,-200,-200,-200
1526454729926,-51,-34,-47,-33,-66,-51,-52,-60,-59,-63,-57,-60,-59,-54,-53,-58,-65,-58,-79,-57,-60,-68,-53,-66,-56,-72,-75,-76,-77,-68,-200,-64,-62,-75,-77,-65,-77,-81,-78,-76,-92,-90,-82,-78,-80,-79,-76,-83,-87,-200,-77,-81,-91,-82,-77,-83,-200,-83,-83,-80,-86,-87,-90,-200,-200,-200,-90,-200,-90,-200,-93,-81,-200,-94,-89,-92,-94,-94,-95,-200,-200,-200,-200,-95,-200,-200,-97,-96,-200,-76,-77,-76,-82,-85,-200,-87,-200,-94,-200,-72,-80,-200,-200,-200,-200,-200,-200,-86,-86,-91,-95,-200,-91,-200,-200,-200
1526454732975,-50,-32,-48,-38,-60,-51,-51,-61,-56,-58,-54,-61,-58,-57,-54,-58,-65,-55,-67,-56,-60,-67,-53,-58,-56,-73,-76,-76,-77,-72,-200,-62,-59,-75,-76,-67,-200,-81,-78,-77,-93,-89,-82,-79,-78,-79,-77,-83,-87,-200,-77,-81,-91,-82,-81,-82,-200,-82,-83,-81,-83,-87,-91,-200,-200,-81,-90,-200,-86,-200,-93,-81,-200,-99,-83,-93,-93,-94,-200,-200,-200,-200,-200,-94,-200,-200,-97,-200,-200,-73,-78,-76,-82,-83,-200,-87,-94,-93,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-95,-200,-200,-200,-200,-200
1526454736032,-50,-32,-46,-40,-58,-52,-52,-63,-59,-67,-58,-60,-56,-58,-48,-67,-62,-54,-64,-55,-62,-68,-50,-68,-56,-73,-76,-200,-77,-72,-200,-62,-61,-76,-77,-67,-78,-80,-81,-78,-92,-89,-80,-79,-82,-79,-75,-82,-87,-200,-200,-84,-89,-83,-77,-83,-200,-83,-89,-81,-89,-87,-90,-200,-200,-81,-91,-200,-86,-200,-93,-84,-200,-99,-85,-92,-94,-93,-94,-200,-200,-200,-200,-94,-200,-200,-84,-200,-200,-76,-77,-77,-81,-85,-200,-87,-96,-93,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-95,-80,-200,-200,-200,-200
1526454739086,-49,-32,-47,-40,-59,-52,-45,-66,-54,-61,-62,-59,-56,-56,-51,-57,-63,-56,-64,-62,-59,-70,-51,-67,-57,-73,-76,-73,-76,-73,-200,-62,-61,-78,-76,-69,-78,-80,-81,-76,-89,-89,-82,-79,-80,-79,-75,-83,-87,-200,-200,-84,-89,-83,-75,-83,-200,-82,-89,-81,-86,-86,-91,-200,-200,-81,-91,-200,-89,-98,-200,-83,-200,-99,-86,-95,-96,-93,-95,-200,-200,-200,-200,-94,-200,-200,-84,-200,-200,-73,-78,-77,-81,-83,-200,-89,-96,-93,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200
1526454742138,-50,-32,-44,-40,-59,-50,-51,-64,-56,-62,-60,-59,-56,-57,-50,-59,-63,-57,-64,-57,-59,-69,-51,-64,-59,-76,-74,-73,-76,-74,-200,-63,-56,-76,-73,-67,-86,-82,-81,-76,-90,-89,-84,-77,-74,-79,-82,-83,-87,-200,-76,-82,-89,-83,-78,-81,-200,-78,-90,-81,-86,-89,-91,-200,-200,-200,-91,-200,-89,-98,-200,-80,-200,-93,-85,-95,-96,-94,-95,-200,-200,-200,-200,-95,-200,-200,-84,-200,-200,-66,-76,-75,-82,-84,-200,-89,-96,-96,-200,-71,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526454745190,-48,-36,-48,-35,-60,-51,-51,-61,-55,-65,-57,-62,-58,-56,-51,-65,-63,-57,-64,-58,-61,-69,-48,-65,-54,-73,-77,-74,-76,-67,-200,-64,-61,-76,-73,-67,-77,-81,-200,-76,-93,-90,-83,-78,-80,-79,-82,-83,-86,-200,-90,-82,-200,-80,-77,-82,-98,-78,-90,-81,-81,-86,-91,-200,-200,-200,-200,-200,-87,-98,-200,-82,-200,-93,-85,-95,-94,-94,-95,-200,-200,-200,-200,-95,-200,-200,-96,-200,-200,-75,-76,-76,-82,-83,-200,-88,-200,-96,-200,-71,-78,-200,-200,-200,-200,-200,-200,-88,-200,-90,-96,-200,-200,-200,-200,-200
1526454748246,-48,-31,-48,-38,-58,-52,-52,-59,-54,-63,-57,-60,-56,-60,-53,-54,-64,-55,-64,-61,-60,-68,-51,-64,-54,-78,-75,-74,-77,-70,-200,-64,-60,-78,-77,-61,-79,-81,-200,-76,-91,-91,-83,-77,-80,-79,-76,-83,-86,-200,-91,-82,-200,-80,-77,-82,-98,-79,-90,-81,-86,-87,-92,-200,-200,-200,-200,-200,-88,-200,-200,-80,-96,-94,-85,-200,-93,-94,-200,-200,-200,-200,-200,-95,-200,-200,-96,-200,-200,-73,-77,-75,-82,-82,-200,-87,-200,-94,-200,-71,-79,-200,-200,-200,-200,-200,-200,-88,-200,-92,-96,-200,-200,-90,-96,-200
1526454751304,-46,-33,-43,-39,-57,-51,-51,-59,-58,-63,-57,-61,-56,-57,-49,-60,-64,-55,-73,-56,-63,-67,-52,-64,-54,-76,-74,-70,-75,-64,-200,-67,-62,-76,-74,-69,-76,-83,-200,-76,-90,-90,-83,-78,-78,-79,-82,-83,-81,-200,-75,-81,-200,-82,-75,-81,-98,-79,-200,-81,-84,-88,-91,-200,-200,-200,-200,-200,-87,-200,-200,-80,-96,-94,-85,-200,-92,-93,-200,-200,-94,-200,-200,-200,-200,-200,-93,-200,-95,-73,-76,-75,-76,-82,-200,-87,-200,-95,-200,-71,-79,-200,-200,-200,-200,-200,-200,-88,-88,-92,-96,-200,-200,-90,-96,-96
1526454754362,-50,-35,-48,-33,-56,-51,-52,-65,-56,-62,-57,-59,-62,-57,-50,-53,-62,-56,-62,-50,-60,-68,-51,-67,-53,-75,-74,-73,-76,-66,-200,-63,-61,-80,-75,-62,-81,-81,-200,-80,-89,-90,-83,-78,-79,-80,-82,-82,-81,-200,-77,-80,-88,-82,-76,-83,-200,-78,-200,-81,-88,-88,-91,-200,-200,-200,-200,-200,-89,-94,-200,-81,-96,-96,-87,-92,-92,-93,-200,-200,-96,-200,-200,-200,-200,-200,-93,-200,-95,-74,-76,-76,-82,-84,-200,-87,-200,-94,-200,-71,-79,-200,-200,-200,-200,-200,-200,-200,-88,-93,-96,-200,-200,-90,-96,-96
