,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whjx-gaofeng-13,DLINK_D02A30,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450695688,-50,-46,-48,-46,-50,-58,-58,-65,-84,-57,-76,-75,-53,-59,-69,-74,-66,-70,-74,-60,-67,-67,-65,-64,-60,-67,-69,-78,-66,-82,-67,-70,-82,-72,-73,-84,-77,-85,-84,-78,-83,-85,-200,-76,-79,-80,-88,-200,-76,-84,-200,-86,-93,-200,-87,-200,-200,-89,-92,-200,-83,-94,-88,-200,-97,-200,-92,-200,-92,-200,-200,-200,-200,-72,-200,-93,-92,-200,-200,-200,-94,-200,-200,-200,-200,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450698736,-50,-50,-48,-47,-45,-56,-53,-69,-73,-57,-73,-75,-53,-58,-75,-74,-72,-77,-73,-58,-66,-74,-68,-65,-61,-67,-71,-75,-69,-80,-70,-69,-200,-74,-74,-200,-78,-92,-84,-79,-88,-83,-94,-77,-78,-87,-84,-200,-75,-84,-83,-87,-93,-200,-87,-91,-200,-200,-92,-200,-82,-96,-87,-91,-97,-200,-92,-200,-92,-200,-200,-200,-200,-70,-200,-92,-94,-200,-200,-200,-94,-96,-200,-200,-200,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450701782,-47,-48,-48,-48,-47,-56,-59,-70,-73,-57,-74,-200,-52,-59,-73,-72,-71,-72,-73,-58,-65,-64,-66,-67,-62,-68,-72,-78,-70,-80,-69,-69,-200,-73,-76,-200,-76,-92,-200,-77,-85,-87,-94,-76,-84,-84,-90,-200,-76,-83,-84,-88,-93,-200,-87,-93,-200,-200,-94,-95,-91,-96,-87,-94,-97,-200,-90,-200,-200,-200,-200,-200,-200,-70,-200,-95,-94,-87,-200,-200,-94,-96,-200,-96,-200,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450704839,-48,-47,-48,-48,-44,-56,-57,-66,-73,-57,-78,-74,-53,-59,-75,-75,-70,-72,-75,-62,-68,-65,-68,-67,-59,-67,-78,-77,-69,-84,-69,-69,-200,-73,-76,-84,-75,-80,-88,-77,-85,-87,-94,-76,-76,-81,-89,-200,-76,-83,-84,-86,-89,-200,-200,-93,-200,-200,-94,-95,-91,-94,-87,-94,-97,-200,-90,-200,-97,-200,-94,-200,-200,-74,-95,-93,-94,-87,-200,-200,-94,-96,-200,-96,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526450707892,-46,-49,-52,-48,-53,-58,-57,-72,-86,-56,-75,-68,-57,-58,-74,-74,-70,-72,-70,-60,-68,-65,-69,-66,-58,-67,-71,-77,-70,-88,-71,-69,-80,-74,-76,-85,-77,-79,-88,-81,-84,-87,-200,-74,-79,-83,-87,-87,-76,-85,-84,-88,-92,-92,-88,-93,-200,-90,-94,-95,-84,-93,-88,-94,-200,-200,-90,-200,-97,-200,-88,-200,-200,-71,-95,-92,-200,-87,-200,-200,-94,-200,-200,-96,-97,-200,-200,-200,-97,-93,-96,-200,-200,-200,-200,-200,-200
1526450710943,-46,-48,-47,-44,-44,-57,-58,-73,-73,-58,-79,-75,-46,-60,-74,-73,-70,-76,-75,-56,-68,-65,-67,-67,-58,-66,-72,-77,-70,-85,-69,-69,-81,-74,-76,-85,-76,-79,-88,-80,-85,-88,-200,-76,-77,-82,-89,-87,-76,-83,-200,-89,-92,-92,-88,-200,-200,-89,-95,-96,-84,-93,-88,-93,-200,-200,-92,-200,-97,-200,-91,-200,-200,-66,-95,-92,-200,-200,-200,-200,-95,-200,-200,-200,-97,-200,-200,-200,-97,-93,-96,-200,-200,-200,-200,-200,-200
1526450713990,-46,-49,-50,-42,-51,-56,-57,-67,-71,-58,-66,-78,-53,-58,-77,-74,-74,-71,-75,-61,-66,-65,-70,-69,-58,-66,-72,-77,-70,-86,-71,-200,-81,-72,-76,-85,-76,-79,-88,-80,-84,-88,-200,-77,-82,-80,-89,-91,-74,-84,-200,-88,-92,-92,-87,-200,-200,-91,-95,-96,-83,-96,-87,-93,-96,-200,-92,-200,-200,-200,-93,-200,-200,-71,-94,-95,-200,-200,-200,-200,-95,-200,-200,-200,-97,-200,-200,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200
1526450717044,-52,-48,-48,-45,-52,-55,-57,-67,-71,-57,-80,-75,-55,-56,-69,-74,-74,-74,-75,-58,-68,-54,-71,-69,-58,-66,-72,-78,-70,-86,-70,-70,-83,-75,-76,-86,-76,-78,-90,-82,-87,-86,-200,-75,-79,-84,-87,-86,-76,-84,-93,-88,-200,-93,-86,-90,-200,-91,-93,-95,-82,-96,-91,-93,-94,-200,-94,-200,-200,-200,-98,-200,-200,-76,-94,-92,-200,-87,-200,-200,-95,-200,-200,-200,-200,-82,-95,-200,-200,-96,-200,-97,-91,-97,-200,-200,-200
1526450720093,-44,-48,-47,-45,-45,-56,-57,-67,-70,-57,-80,-78,-55,-58,-77,-73,-74,-78,-76,-59,-65,-59,-71,-68,-58,-69,-73,-77,-70,-86,-70,-61,-83,-75,-75,-86,-75,-79,-90,-80,-85,-86,-200,-76,-81,-83,-86,-86,-76,-83,-93,-88,-200,-93,-85,-90,-200,-91,-93,-95,-91,-94,-91,-200,-94,-200,-96,-200,-200,-200,-92,-200,-200,-74,-95,-95,-200,-85,-200,-200,-200,-200,-200,-96,-200,-82,-95,-200,-200,-96,-200,-97,-91,-97,-200,-200,-200
1526450723142,-49,-48,-48,-45,-45,-56,-59,-69,-70,-58,-78,-78,-54,-56,-74,-72,-71,-75,-74,-58,-68,-66,-66,-66,-57,-69,-71,-78,-70,-83,-69,-70,-83,-71,-75,-86,-76,-78,-90,-76,-85,-86,-200,-76,-76,-83,-87,-86,-76,-83,-93,-200,-92,-93,-88,-90,-200,-200,-95,-95,-90,-95,-88,-200,-94,-200,-95,-200,-95,-200,-92,-200,-200,-72,-95,-91,-200,-85,-200,-200,-93,-200,-200,-96,-200,-82,-97,-200,-200,-96,-200,-200,-91,-97,-200,-200,-200
1526450726190,-45,-50,-47,-45,-45,-56,-58,-68,-70,-57,-79,-75,-58,-60,-70,-69,-71,-72,-72,-59,-66,-66,-68,-67,-59,-68,-73,-77,-69,-83,-72,-70,-83,-75,-77,-200,-78,-79,-89,-73,-86,-86,-200,-75,-76,-83,-87,-200,-75,-84,-200,-89,-92,-93,-86,-90,-200,-92,-95,-200,-82,-94,-89,-88,-200,-200,-94,-200,-95,-200,-95,-200,-200,-75,-95,-91,-200,-85,-200,-200,-96,-200,-200,-97,-87,-200,-97,-200,-200,-200,-200,-200,-200,-200,-94,-94,-97
1526450729240,-46,-49,-46,-44,-44,-56,-58,-71,-85,-57,-77,-80,-51,-58,-76,-74,-71,-72,-72,-58,-66,-65,-69,-66,-57,-68,-73,-77,-69,-83,-68,-70,-200,-73,-77,-200,-76,-81,-91,-80,-89,-86,-200,-78,-81,-82,-87,-200,-76,-84,-200,-91,-94,-93,-86,-91,-200,-92,-94,-200,-84,-93,-88,-93,-200,-200,-85,-200,-95,-200,-95,-200,-200,-72,-96,-93,-200,-200,-200,-200,-96,-200,-200,-97,-87,-200,-97,-200,-200,-200,-200,-200,-200,-200,-94,-94,-97
