,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450768328,-41,-61,-47,-58,-66,-52,-60,-64,-58,-66,-58,-51,-65,-67,-66,-81,-81,-70,-68,-81,-74,-60,-83,-72,-72,-76,-68,-77,-76,-81,-82,-200,-71,-80,-83,-77,-75,-75,-79,-83,-75,-200,-84,-200,-88,-83,-91,-91,-83,-88,-89,-85,-80,-78,-83,-91,-84,-95,-96,-86,-200,-91,-200,-92,-200,-200,-200,-200,-94,-200,-73,-200,-88,-94,-93,-93,-97,-200,-95,-90,-200,-96,-96,-93,-200,-200,-86,-95,-96,-200,-200,-200,-200,-200,-200,-200
1526450771386,-41,-61,-45,-59,-64,-52,-60,-61,-58,-64,-59,-50,-65,-67,-70,-80,-82,-68,-66,-79,-70,-60,-84,-77,-73,-76,-68,-82,-76,-81,-82,-78,-71,-81,-76,-75,-80,-77,-79,-81,-76,-200,-85,-200,-87,-83,-91,-91,-81,-88,-87,-85,-80,-79,-83,-89,-84,-95,-96,-86,-200,-91,-200,-94,-200,-200,-200,-200,-200,-200,-75,-93,-86,-94,-200,-94,-97,-200,-200,-90,-200,-96,-96,-90,-200,-200,-86,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526450774435,-41,-62,-45,-57,-60,-63,-60,-60,-55,-66,-57,-52,-65,-70,-71,-81,-82,-66,-64,-75,-73,-57,-85,-74,-72,-82,-68,-80,-74,-81,-82,-76,-76,-80,-76,-75,-76,-80,-79,-85,-74,-200,-81,-200,-88,-83,-91,-90,-84,-88,-87,-85,-77,-79,-85,-89,-84,-200,-96,-90,-200,-200,-200,-92,-200,-99,-200,-200,-200,-200,-75,-93,-86,-94,-200,-93,-97,-200,-93,-200,-200,-97,-96,-91,-200,-200,-86,-96,-200,-95,-200,-200,-200,-200,-200,-200
1526450777481,-40,-59,-44,-55,-55,-56,-60,-61,-58,-66,-57,-47,-65,-72,-72,-80,-84,-64,-67,-75,-62,-59,-87,-73,-70,-77,-67,-78,-75,-81,-200,-76,-78,-80,-76,-75,-75,-86,-87,-86,-74,-200,-81,-200,-85,-83,-89,-90,-83,-200,-89,-85,-77,-77,-84,-89,-83,-94,-200,-89,-200,-200,-200,-95,-200,-99,-200,-200,-200,-200,-75,-93,-84,-93,-92,-93,-200,-200,-93,-200,-200,-97,-96,-91,-94,-200,-200,-96,-200,-96,-83,-200,-200,-200,-200,-200
1526450780529,-46,-58,-45,-54,-58,-53,-59,-60,-58,-67,-56,-53,-62,-69,-75,-76,-83,-66,-70,-72,-72,-55,-86,-77,-75,-78,-68,-65,-71,-81,-200,-76,-78,-80,-80,-76,-75,-75,-87,-91,-77,-200,-85,-200,-87,-85,-91,-87,-82,-200,-89,-85,-79,-79,-82,-89,-84,-94,-96,-86,-200,-200,-200,-88,-200,-99,-200,-200,-200,-200,-76,-93,-88,-93,-92,-93,-200,-200,-92,-200,-200,-97,-96,-91,-94,-200,-200,-200,-200,-96,-83,-200,-200,-200,-200,-200
1526450783578,-40,-67,-46,-62,-67,-66,-65,-60,-60,-66,-57,-51,-62,-68,-74,-80,-82,-69,-67,-82,-77,-52,-85,-72,-70,-78,-66,-80,-71,-82,-200,-77,-80,-85,-87,-75,-75,-87,-79,-91,-78,-200,-84,-200,-90,-83,-91,-90,-82,-200,-81,-88,-77,-80,-84,-200,-83,-94,-96,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-76,-200,-88,-95,-92,-200,-200,-200,-92,-200,-200,-89,-96,-91,-94,-200,-200,-200,-200,-96,-83,-95,-200,-200,-200,-200
1526450786627,-42,-64,-46,-61,-59,-62,-64,-65,-56,-70,-56,-49,-64,-72,-72,-80,-77,-68,-67,-74,-75,-58,-87,-73,-73,-78,-69,-83,-78,-85,-79,-75,-80,-78,-87,-77,-200,-87,-86,-85,-78,-200,-85,-200,-91,-84,-90,-90,-82,-200,-91,-88,-77,-77,-84,-200,-83,-93,-96,-89,-200,-200,-200,-94,-200,-200,-200,-200,-92,-200,-76,-200,-86,-95,-92,-95,-96,-200,-92,-200,-97,-89,-96,-95,-95,-200,-200,-200,-200,-96,-200,-95,-200,-200,-200,-200
1526450789677,-42,-67,-49,-56,-59,-63,-61,-59,-57,-68,-59,-48,-58,-74,-73,-79,-74,-69,-67,-75,-77,-58,-88,-71,-73,-78,-66,-84,-71,-84,-79,-74,-80,-76,-81,-77,-77,-84,-87,-86,-77,-200,-85,-200,-91,-84,-90,-89,-84,-200,-90,-88,-81,-79,-84,-200,-82,-93,-200,-89,-200,-200,-200,-92,-200,-200,-200,-200,-92,-200,-200,-200,-87,-94,-92,-95,-96,-200,-92,-200,-97,-89,-96,-92,-95,-200,-200,-94,-200,-96,-200,-95,-93,-200,-200,-200
1526450792725,-41,-67,-47,-55,-58,-64,-61,-63,-57,-68,-57,-50,-62,-74,-72,-79,-76,-68,-68,-74,-77,-60,-88,-73,-73,-78,-70,-82,-78,-84,-79,-73,-80,-76,-83,-79,-77,-84,-87,-86,-77,-200,-85,-200,-90,-84,-90,-89,-82,-88,-90,-90,-81,-77,-84,-200,-83,-93,-200,-89,-200,-200,-200,-94,-200,-200,-200,-200,-92,-200,-76,-96,-87,-94,-92,-94,-96,-200,-92,-200,-97,-200,-200,-92,-95,-200,-82,-93,-200,-96,-82,-200,-93,-200,-200,-200
1526450795776,-50,-68,-48,-57,-62,-63,-62,-63,-54,-67,-57,-50,-64,-72,-70,-78,-76,-69,-67,-74,-77,-58,-92,-66,-66,-79,-66,-82,-78,-84,-76,-75,-77,-76,-82,-77,-76,-84,-82,-81,-75,-93,-84,-200,-91,-84,-90,-91,-85,-88,-90,-90,-80,-78,-85,-200,-83,-200,-200,-88,-200,-200,-200,-94,-200,-93,-200,-200,-93,-200,-76,-97,-87,-95,-200,-93,-97,-91,-91,-92,-200,-200,-94,-92,-200,-87,-82,-93,-200,-200,-82,-200,-93,-200,-200,-200
1526450798826,-42,-71,-49,-56,-61,-63,-61,-64,-57,-66,-60,-49,-63,-68,-70,-79,-77,-66,-69,-74,-76,-57,-92,-70,-74,-79,-69,-83,-71,-84,-76,-70,-80,-76,-81,-77,-77,-200,-82,-87,-79,-96,-84,-78,-91,-84,-200,-91,-85,-88,-90,-90,-80,-79,-85,-88,-82,-200,-200,-88,-200,-200,-200,-93,-200,-93,-200,-200,-94,-200,-74,-95,-200,-95,-94,-92,-97,-90,-92,-92,-200,-93,-94,-92,-200,-87,-82,-93,-97,-200,-82,-97,-200,-77,-95,-200
1526450801876,-43,-68,-48,-55,-63,-62,-61,-63,-59,-68,-58,-49,-63,-72,-70,-79,-76,-70,-68,-75,-75,-59,-92,-67,-74,-79,-67,-83,-78,-84,-77,-70,-80,-76,-90,-78,-77,-81,-79,-81,-77,-96,-86,-79,-91,-85,-200,-92,-85,-200,-89,-200,-80,-79,-83,-88,-82,-200,-98,-90,-200,-200,-200,-95,-200,-97,-200,-200,-93,-88,-74,-95,-87,-92,-94,-94,-94,-90,-92,-91,-200,-93,-95,-92,-200,-87,-200,-93,-97,-200,-200,-97,-200,-77,-95,-95
