,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D02A30,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526451123441,-25,-45,-52,-58,-55,-49,-61,-58,-47,-59,-61,-59,-64,-44,-63,-61,-63,-70,-67,-67,-61,-82,-77,-71,-71,-81,-70,-74,-71,-69,-82,-200,-82,-74,-77,-78,-77,-76,-87,-85,-84,-93,-75,-76,-79,-200,-90,-83,-200,-200,-200,-67,-80,-85,-200,-90,-90,-95,-200,-77,-91,-200,-83,-96,-94,-74,-87,-93,-91,-95,-94,-94,-78,-200,-94,-85,-89,-98,-200,-200,-200,-90,-200,-83,-91,-200,-200,-92,-97,-98,-90,-98,-97,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451123842,-25,-45,-52,-58,-55,-49,-61,-58,-47,-59,-61,-59,-64,-44,-63,-61,-63,-70,-67,-67,-61,-82,-77,-71,-71,-81,-70,-74,-71,-69,-82,-200,-82,-74,-77,-78,-77,-76,-87,-85,-84,-93,-75,-76,-79,-200,-90,-83,-200,-200,-200,-67,-80,-85,-200,-90,-90,-95,-200,-77,-91,-200,-83,-96,-94,-74,-87,-93,-91,-95,-94,-94,-78,-200,-94,-85,-89,-98,-200,-200,-200,-90,-200,-83,-91,-200,-200,-92,-97,-98,-90,-98,-97,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451126496,-25,-46,-50,-56,-57,-50,-62,-70,-47,-60,-61,-60,-64,-45,-63,-63,-64,-73,-69,-67,-63,-83,-77,-71,-70,-82,-72,-73,-71,-69,-84,-200,-80,-70,-77,-78,-70,-74,-87,-83,-83,-95,-74,-79,-82,-200,-89,-81,-200,-200,-200,-75,-80,-92,-200,-90,-89,-95,-95,-85,-90,-200,-83,-94,-95,-74,-86,-91,-92,-95,-94,-94,-78,-200,-95,-87,-87,-96,-200,-200,-200,-91,-200,-83,-91,-88,-200,-200,-97,-98,-88,-98,-200,-97,-95,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451126888,-25,-46,-50,-56,-57,-50,-62,-70,-47,-60,-61,-60,-64,-45,-63,-63,-64,-73,-69,-67,-63,-83,-77,-71,-70,-82,-72,-73,-71,-69,-84,-200,-80,-70,-77,-78,-70,-74,-87,-83,-83,-95,-74,-79,-82,-200,-89,-81,-200,-200,-200,-75,-80,-92,-200,-90,-89,-95,-95,-85,-90,-200,-83,-94,-95,-74,-86,-91,-92,-95,-94,-94,-78,-200,-95,-87,-87,-96,-200,-200,-200,-91,-200,-83,-91,-88,-200,-200,-97,-98,-88,-98,-200,-97,-95,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451129544,-24,-44,-49,-56,-58,-54,-62,-59,-46,-60,-62,-60,-65,-45,-63,-63,-66,-73,-68,-66,-62,-83,-77,-69,-66,-81,-69,-74,-71,-69,-87,-200,-80,-73,-78,-78,-78,-76,-87,-83,-83,-90,-74,-77,-80,-200,-86,-82,-200,-87,-200,-69,-79,-93,-200,-89,-90,-94,-93,-85,-91,-200,-84,-94,-95,-83,-79,-90,-89,-200,-94,-94,-78,-200,-95,-87,-87,-96,-200,-200,-200,-89,-200,-84,-91,-90,-200,-90,-200,-96,-90,-200,-200,-97,-95,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451129955,-24,-44,-49,-56,-58,-54,-62,-59,-46,-60,-62,-60,-65,-45,-63,-63,-66,-73,-68,-66,-62,-83,-77,-69,-66,-81,-69,-74,-71,-69,-87,-200,-80,-73,-78,-78,-78,-76,-87,-83,-83,-90,-74,-77,-80,-200,-86,-82,-200,-87,-200,-69,-79,-93,-200,-89,-90,-94,-93,-85,-91,-200,-84,-94,-95,-83,-79,-90,-89,-200,-94,-94,-78,-200,-95,-87,-87,-96,-200,-200,-200,-89,-200,-84,-91,-90,-200,-90,-200,-96,-90,-200,-200,-97,-95,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451132602,-31,-47,-52,-55,-57,-52,-63,-71,-46,-60,-55,-58,-64,-46,-63,-62,-64,-73,-67,-67,-73,-83,-200,-73,-72,-83,-70,-73,-71,-69,-83,-85,-81,-74,-75,-78,-78,-74,-87,-86,-84,-88,-74,-76,-80,-200,-87,-83,-200,-87,-200,-75,-68,-93,-200,-90,-89,-94,-93,-78,-91,-200,-81,-96,-95,-83,-88,-98,-93,-92,-92,-200,-78,-200,-95,-88,-88,-96,-200,-200,-97,-89,-200,-84,-87,-89,-200,-90,-200,-96,-89,-200,-200,-99,-95,-96,-95,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451133007,-31,-47,-52,-55,-57,-52,-63,-71,-46,-60,-55,-58,-64,-46,-63,-62,-64,-73,-67,-67,-73,-83,-200,-73,-72,-83,-70,-73,-71,-69,-83,-85,-81,-74,-75,-78,-78,-74,-87,-86,-84,-88,-74,-76,-80,-200,-87,-83,-200,-87,-200,-75,-68,-93,-200,-90,-89,-94,-93,-78,-91,-200,-81,-96,-95,-83,-88,-98,-93,-92,-92,-200,-78,-200,-95,-88,-88,-96,-200,-200,-97,-89,-200,-84,-87,-89,-200,-90,-200,-96,-89,-200,-200,-99,-95,-96,-95,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451135657,-25,-48,-53,-57,-55,-48,-62,-59,-46,-52,-61,-60,-64,-43,-63,-64,-63,-73,-68,-68,-62,-80,-72,-71,-71,-83,-71,-76,-71,-63,-85,-85,-81,-73,-76,-78,-77,-77,-87,-86,-84,-89,-74,-79,-81,-200,-87,-81,-200,-87,-200,-68,-80,-92,-200,-88,-88,-94,-95,-77,-92,-200,-81,-96,-95,-82,-80,-94,-90,-96,-95,-94,-78,-200,-200,-87,-87,-96,-200,-200,-97,-89,-200,-84,-85,-88,-200,-93,-96,-200,-89,-200,-200,-99,-95,-96,-95,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451136066,-25,-48,-53,-57,-55,-48,-62,-59,-46,-52,-61,-60,-64,-43,-63,-64,-63,-73,-68,-68,-62,-80,-72,-71,-71,-83,-71,-76,-71,-63,-85,-85,-81,-73,-76,-78,-77,-77,-87,-86,-84,-89,-74,-79,-81,-200,-87,-81,-200,-87,-200,-68,-80,-92,-200,-88,-88,-94,-95,-77,-92,-200,-81,-96,-95,-82,-80,-94,-90,-96,-95,-94,-78,-200,-200,-87,-87,-96,-200,-200,-97,-89,-200,-84,-85,-88,-200,-93,-96,-200,-89,-200,-200,-99,-95,-96,-95,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451138702,-24,-45,-52,-56,-58,-51,-59,-62,-46,-59,-61,-62,-64,-41,-62,-61,-63,-73,-68,-67,-62,-82,-72,-73,-72,-84,-69,-74,-71,-71,-84,-87,-80,-73,-77,-78,-69,-76,-87,-86,-84,-89,-78,-75,-81,-200,-88,-82,-200,-88,-200,-68,-81,-86,-200,-90,-90,-95,-95,-78,-92,-200,-84,-94,-200,-82,-84,-91,-90,-95,-95,-94,-78,-200,-200,-86,-88,-200,-200,-200,-99,-89,-200,-85,-85,-88,-200,-92,-96,-200,-80,-200,-200,-99,-90,-200,-95,-93,-98,-95,-97,-200,-200,-200,-200,-200,-200,-200
1526451139135,-24,-45,-52,-56,-58,-51,-59,-62,-46,-59,-61,-62,-64,-41,-62,-61,-63,-73,-68,-67,-62,-82,-72,-73,-72,-84,-69,-74,-71,-71,-84,-87,-80,-73,-77,-78,-69,-76,-87,-86,-84,-89,-78,-75,-81,-200,-88,-82,-200,-88,-200,-68,-81,-86,-200,-90,-90,-95,-95,-78,-92,-200,-84,-94,-200,-82,-84,-91,-90,-95,-95,-94,-78,-200,-200,-86,-88,-200,-200,-200,-99,-89,-200,-85,-85,-88,-200,-92,-96,-200,-80,-200,-200,-99,-90,-200,-95,-93,-98,-95,-97,-200,-200,-200,-200,-200,-200,-200
1526451141757,-24,-47,-53,-56,-55,-51,-59,-59,-47,-59,-64,-58,-63,-45,-63,-64,-62,-75,-68,-67,-69,-82,-78,-67,-72,-82,-70,-74,-73,-67,-81,-87,-80,-73,-77,-78,-78,-76,-88,-82,-200,-89,-73,-75,-80,-200,-87,-83,-200,-88,-200,-76,-81,-93,-87,-90,-89,-95,-94,-77,-91,-200,-83,-94,-200,-88,-84,-91,-90,-95,-94,-200,-78,-200,-94,-86,-86,-95,-200,-200,-99,-88,-200,-85,-85,-88,-200,-92,-96,-200,-80,-200,-200,-200,-94,-95,-95,-200,-200,-95,-97,-93,-200,-200,-200,-200,-200,-200
1526451142183,-24,-47,-53,-56,-55,-51,-59,-59,-47,-59,-64,-58,-63,-45,-63,-64,-62,-75,-68,-67,-69,-82,-78,-67,-72,-82,-70,-74,-73,-67,-81,-87,-80,-73,-77,-78,-78,-76,-88,-82,-200,-89,-73,-75,-80,-200,-87,-83,-200,-88,-200,-76,-81,-93,-87,-90,-89,-95,-94,-77,-91,-200,-83,-94,-200,-88,-84,-91,-90,-95,-94,-200,-78,-200,-94,-86,-86,-95,-200,-200,-99,-88,-200,-85,-85,-88,-200,-92,-96,-200,-80,-200,-200,-200,-94,-95,-95,-200,-200,-95,-97,-93,-200,-200,-200,-200,-200,-200
1526451144810,-31,-45,-51,-55,-54,-50,-58,-58,-45,-61,-61,-62,-63,-47,-63,-57,-65,-73,-64,-66,-58,-83,-63,-77,-76,-83,-70,-74,-71,-69,-83,-200,-80,-76,-77,-78,-70,-75,-88,-83,-86,-89,-77,-76,-80,-200,-87,-81,-200,-88,-200,-66,-73,-93,-87,-90,-89,-94,-94,-78,-91,-200,-84,-94,-200,-88,-84,-92,-92,-95,-95,-200,-78,-200,-94,-88,-87,-95,-200,-200,-99,-88,-200,-85,-85,-88,-200,-200,-97,-200,-91,-200,-200,-200,-94,-97,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451145231,-31,-45,-51,-55,-54,-50,-58,-58,-45,-61,-61,-62,-63,-47,-63,-57,-65,-73,-64,-66,-58,-83,-63,-77,-76,-83,-70,-74,-71,-69,-83,-200,-80,-76,-77,-78,-70,-75,-88,-83,-86,-89,-77,-76,-80,-200,-87,-81,-200,-88,-200,-66,-73,-93,-87,-90,-89,-94,-94,-78,-91,-200,-84,-94,-200,-88,-84,-92,-92,-95,-95,-200,-78,-200,-94,-88,-87,-95,-200,-200,-99,-88,-200,-85,-85,-88,-200,-200,-97,-200,-91,-200,-200,-200,-94,-97,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451147854,-24,-44,-52,-56,-57,-51,-60,-60,-46,-56,-61,-60,-64,-45,-63,-64,-62,-73,-69,-65,-62,-82,-78,-73,-66,-80,-71,-73,-73,-69,-85,-200,-81,-76,-77,-78,-79,-76,-88,-85,-86,-89,-75,-76,-82,-81,-86,-83,-200,-88,-200,-75,-80,-93,-200,-88,-89,-94,-200,-76,-90,-200,-85,-96,-200,-88,-78,-93,-92,-200,-93,-200,-78,-200,-94,-88,-87,-95,-200,-200,-98,-90,-200,-200,-200,-200,-200,-200,-97,-200,-88,-200,-200,-200,-200,-97,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200
1526451148277,-24,-44,-52,-56,-57,-51,-60,-60,-46,-56,-61,-60,-64,-45,-63,-64,-62,-73,-69,-65,-62,-82,-78,-73,-66,-80,-71,-73,-73,-69,-85,-200,-81,-76,-77,-78,-79,-76,-88,-85,-86,-89,-75,-76,-82,-81,-86,-83,-200,-88,-200,-75,-80,-93,-200,-88,-89,-94,-200,-76,-90,-200,-85,-96,-200,-88,-78,-93,-92,-200,-93,-200,-78,-200,-94,-88,-87,-95,-200,-200,-98,-90,-200,-200,-200,-200,-200,-200,-97,-200,-88,-200,-200,-200,-200,-97,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200
1526451150908,-25,-45,-52,-56,-60,-52,-60,-66,-45,-56,-60,-60,-64,-45,-63,-63,-63,-73,-69,-67,-68,-82,-79,-70,-64,-82,-70,-73,-72,-69,-87,-200,-80,-75,-78,-78,-77,-74,-88,-83,-86,-89,-74,-75,-82,-81,-88,-83,-200,-88,-200,-66,-81,-93,-200,-89,-90,-93,-200,-78,-90,-200,-82,-96,-200,-200,-84,-90,-91,-97,-93,-200,-78,-200,-200,-87,-87,-95,-200,-200,-98,-91,-200,-83,-85,-200,-92,-200,-97,-200,-88,-200,-200,-98,-90,-97,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200
1526451151320,-25,-45,-52,-56,-60,-52,-60,-66,-45,-56,-60,-60,-64,-45,-63,-63,-63,-73,-69,-67,-68,-82,-79,-70,-64,-82,-70,-73,-72,-69,-87,-200,-80,-75,-78,-78,-77,-74,-88,-83,-86,-89,-74,-75,-82,-81,-88,-83,-200,-88,-200,-66,-81,-93,-200,-89,-90,-93,-200,-78,-90,-200,-82,-96,-200,-200,-84,-90,-91,-97,-93,-200,-78,-200,-200,-87,-87,-95,-200,-200,-98,-91,-200,-83,-85,-200,-92,-200,-97,-200,-88,-200,-200,-98,-90,-97,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200
