,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526450621095,-41,-42,-33,-63,-50,-68,-47,-62,-66,-66,-60,-64,-50,-58,-54,-62,-69,-69,-65,-200,-76,-68,-78,-62,-67,-65,-79,-75,-75,-79,-81,-82,-67,-76,-200,-71,-77,-82,-83,-79,-62,-79,-87,-84,-86,-200,-93,-76,-86,-200,-92,-85,-200,-82,-87,-78,-94,-93,-200,-74,-76,-85,-200,-200,-80,-89,-200,-200,-200,-90,-200,-94,-92,-95,-200,-91,-88,-200,-97,-200,-200,-96,-95,-93,-90,-200,-84,-200,-200,-95,-75,-92,-95,-96,-89,-98,-200,-200,-200,-200
1526450624146,-43,-38,-34,-64,-49,-64,-46,-62,-69,-66,-62,-63,-51,-60,-55,-62,-70,-68,-63,-200,-74,-72,-78,-60,-67,-68,-79,-74,-73,-79,-83,-82,-68,-82,-73,-71,-77,-80,-83,-77,-63,-83,-87,-84,-84,-200,-93,-76,-87,-92,-93,-85,-200,-82,-87,-76,-200,-93,-200,-72,-200,-86,-200,-90,-78,-89,-200,-200,-200,-91,-200,-95,-90,-95,-200,-91,-88,-200,-97,-91,-200,-96,-95,-94,-94,-200,-84,-200,-200,-200,-75,-200,-94,-200,-89,-98,-200,-200,-200,-200
1526450627197,-43,-40,-34,-62,-47,-66,-49,-59,-68,-73,-58,-66,-56,-68,-56,-61,-69,-74,-68,-65,-73,-73,-78,-62,-67,-69,-79,-75,-76,-83,-81,-78,-69,-79,-73,-72,-77,-84,-82,-83,-61,-78,-80,-83,-86,-200,-93,-78,-87,-92,-93,-86,-200,-200,-87,-74,-92,-200,-200,-72,-73,-87,-200,-89,-78,-89,-200,-200,-94,-92,-200,-94,-90,-93,-200,-91,-88,-200,-97,-91,-200,-96,-95,-94,-93,-200,-84,-200,-200,-200,-90,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526450630247,-43,-38,-38,-67,-48,-71,-50,-61,-68,-76,-62,-63,-50,-59,-53,-61,-70,-68,-56,-70,-73,-71,-200,-64,-69,-69,-79,-76,-73,-79,-81,-82,-68,-78,-75,-71,-88,-80,-81,-77,-65,-87,-84,-84,-86,-86,-91,-77,-87,-92,-93,-82,-200,-200,-87,-75,-92,-200,-200,-73,-73,-86,-200,-89,-89,-89,-200,-200,-94,-92,-200,-94,-91,-87,-200,-91,-88,-200,-200,-94,-200,-200,-200,-89,-91,-200,-85,-200,-200,-200,-92,-200,-94,-200,-200,-200,-90,-200,-200,-200
1526450633304,-46,-40,-33,-64,-48,-71,-49,-65,-66,-68,-70,-61,-51,-62,-64,-59,-68,-68,-65,-68,-74,-70,-200,-62,-68,-68,-82,-79,-74,-79,-84,-74,-64,-80,-75,-74,-76,-81,-84,-77,-63,-87,-84,-87,-80,-81,-91,-80,-86,-200,-93,-78,-200,-200,-89,-75,-92,-200,-200,-73,-80,-86,-200,-86,-80,-90,-200,-200,-95,-92,-200,-94,-90,-87,-200,-91,-86,-200,-200,-91,-200,-200,-200,-89,-92,-200,-84,-200,-93,-200,-92,-200,-200,-200,-200,-200,-85,-93,-96,-200
1526450636357,-41,-39,-38,-77,-49,-67,-49,-60,-65,-76,-61,-61,-51,-60,-53,-60,-71,-66,-65,-68,-72,-67,-77,-63,-67,-66,-82,-76,-74,-82,-82,-83,-67,-76,-71,-73,-84,-86,-83,-77,-61,-86,-86,-86,-80,-87,-91,-85,-86,-200,-93,-89,-200,-200,-88,-75,-89,-200,-200,-75,-74,-86,-91,-89,-78,-90,-200,-200,-95,-90,-200,-94,-90,-95,-200,-90,-90,-200,-200,-92,-200,-96,-200,-93,-92,-200,-86,-200,-93,-200,-92,-200,-200,-200,-200,-200,-85,-93,-96,-200
1526450639421,-44,-40,-33,-59,-48,-66,-52,-65,-70,-73,-69,-65,-50,-59,-56,-60,-70,-68,-63,-68,-72,-67,-77,-61,-66,-68,-82,-75,-75,-78,-83,-83,-68,-79,-71,-73,-84,-86,-84,-77,-65,-83,-85,-86,-85,-87,-92,-79,-87,-200,-200,-80,-200,-200,-89,-74,-78,-200,-200,-76,-75,-88,-91,-89,-82,-90,-200,-200,-95,-90,-200,-200,-90,-95,-200,-88,-88,-200,-200,-95,-200,-96,-200,-93,-91,-200,-85,-200,-93,-200,-93,-200,-94,-200,-200,-96,-85,-93,-96,-200
1526450642485,-44,-40,-41,-63,-49,-69,-50,-62,-66,-67,-62,-62,-50,-58,-50,-62,-68,-69,-63,-200,-78,-70,-81,-63,-69,-67,-200,-71,-73,-83,-80,-82,-64,-79,-64,-71,-77,-89,-82,-80,-65,-80,-85,-84,-85,-87,-85,-77,-87,-200,-200,-83,-200,-200,-87,-74,-78,-91,-200,-73,-74,-89,-91,-90,-79,-90,-200,-200,-95,-88,-200,-200,-90,-90,-200,-90,-89,-200,-200,-95,-200,-94,-96,-93,-90,-83,-85,-200,-200,-200,-92,-200,-94,-200,-200,-96,-85,-200,-200,-200
1526450645539,-44,-40,-39,-73,-49,-69,-49,-67,-67,-68,-68,-63,-51,-53,-52,-61,-72,-67,-65,-200,-75,-72,-81,-63,-69,-70,-200,-78,-74,-80,-81,-76,-66,-80,-64,-72,-77,-86,-83,-74,-63,-82,-85,-85,-85,-200,-90,-78,-88,-200,-200,-84,-200,-200,-87,-63,-78,-91,-200,-75,-76,-87,-200,-89,-79,-90,-200,-200,-95,-90,-200,-95,-91,-90,-200,-91,-90,-200,-200,-88,-200,-94,-96,-200,-90,-84,-85,-200,-200,-200,-92,-200,-94,-200,-200,-96,-85,-200,-200,-83
1526450648592,-42,-41,-33,-69,-48,-65,-48,-60,-65,-74,-64,-63,-51,-59,-53,-62,-72,-65,-64,-200,-76,-70,-77,-63,-65,-65,-200,-78,-73,-80,-79,-81,-66,-78,-72,-71,-83,-83,-84,-82,-63,-77,-84,-84,-87,-200,-90,-77,-88,-200,-200,-84,-200,-200,-88,-63,-88,-91,-200,-75,-73,-87,-91,-90,-78,-90,-200,-200,-95,-91,-200,-93,-91,-90,-200,-89,-91,-200,-97,-88,-200,-94,-96,-200,-90,-84,-86,-200,-200,-200,-92,-200,-94,-200,-200,-200,-85,-200,-200,-83
1526450651652,-45,-40,-33,-63,-48,-66,-48,-63,-69,-78,-73,-62,-49,-60,-55,-62,-70,-65,-65,-200,-74,-70,-77,-61,-65,-67,-80,-75,-73,-80,-79,-81,-67,-78,-72,-72,-77,-85,-84,-79,-64,-77,-77,-82,-82,-200,-90,-77,-86,-200,-93,-83,-200,-200,-88,-77,-88,-91,-200,-72,-74,-87,-94,-88,-87,-200,-200,-200,-200,-91,-200,-94,-89,-96,-200,-88,-91,-95,-95,-94,-200,-200,-200,-200,-90,-80,-86,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-83
1526450654703,-43,-39,-37,-69,-48,-66,-47,-62,-68,-67,-63,-65,-51,-58,-57,-63,-70,-69,-66,-70,-75,-69,-77,-61,-72,-69,-80,-75,-73,-76,-82,-81,-68,-81,-74,-73,-78,-82,-82,-78,-63,-77,-83,-83,-82,-89,-94,-77,-87,-200,-91,-87,-200,-200,-87,-77,-88,-95,-200,-73,-76,-200,-94,-86,-87,-90,-200,-200,-200,-89,-200,-93,-90,-94,-200,-89,-88,-95,-95,-89,-200,-200,-200,-200,-200,-80,-86,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
