,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,whu2011309,DLINK_D00EC0
1526450845043,-25,-51,-38,-69,-49,-66,-50,-59,-56,-70,-47,-61,-50,-64,-62,-59,-64,-79,-56,-59,-64,-68,-65,-77,-76,-70,-67,-200,-79,-68,-89,-78,-80,-200,-75,-67,-88,-70,-67,-78,-77,-79,-73,-83,-81,-94,-76,-89,-81,-88,-72,-87,-83,-200,-85,-89,-86,-200,-84,-200,-90,-200,-92,-200,-95,-200,-200,-95,-200,-97,-98,-200,-200,-200,-95,-79,-90,-200,-200,-94,-200,-96,-87,-200,-200,-92,-95,-200,-200,-89,-94,-200,-200,-200,-91,-200,-200,-200,-80,-88,-97,-200,-200,-200,-200,-200,-200,-200
1526450848092,-26,-53,-41,-200,-47,-56,-50,-57,-55,-73,-44,-62,-50,-64,-55,-59,-65,-79,-58,-54,-64,-71,-67,-77,-70,-71,-67,-200,-79,-67,-86,-80,-80,-200,-77,-67,-88,-73,-66,-78,-79,-77,-76,-88,-81,-91,-72,-90,-82,-87,-72,-87,-83,-200,-85,-87,-86,-200,-85,-200,-93,-200,-92,-92,-200,-200,-200,-93,-200,-97,-98,-200,-200,-200,-95,-79,-90,-200,-97,-94,-95,-96,-85,-200,-200,-97,-96,-200,-200,-89,-96,-200,-200,-200,-200,-200,-200,-200,-200,-88,-97,-200,-200,-200,-200,-200,-200,-200
1526450851143,-23,-51,-39,-68,-48,-59,-48,-58,-55,-76,-46,-61,-50,-62,-55,-200,-64,-72,-60,-59,-66,-70,-62,-79,-68,-73,-67,-200,-79,-69,-82,-80,-79,-74,-77,-67,-89,-74,-68,-78,-79,-75,-75,-88,-82,-90,-72,-90,-77,-87,-66,-200,-83,-200,-85,-88,-87,-200,-90,-200,-93,-200,-200,-92,-96,-94,-200,-93,-200,-200,-200,-98,-200,-200,-92,-80,-90,-200,-97,-94,-95,-94,-85,-200,-200,-97,-96,-200,-200,-90,-95,-200,-96,-200,-200,-200,-96,-200,-200,-88,-97,-84,-200,-200,-200,-200,-200,-200
1526450854198,-23,-52,-41,-70,-48,-67,-49,-58,-56,-72,-43,-57,-51,-62,-60,-61,-66,-72,-55,-57,-65,-72,-65,-79,-68,-73,-68,-200,-78,-70,-82,-80,-80,-75,-77,-200,-87,-74,-68,-78,-80,-75,-76,-88,-85,-90,-72,-91,-77,-87,-76,-200,-200,-200,-85,-89,-89,-200,-83,-200,-93,-200,-200,-92,-94,-94,-200,-93,-200,-200,-200,-98,-200,-200,-92,-80,-91,-91,-97,-96,-93,-94,-85,-200,-200,-97,-96,-200,-200,-90,-95,-200,-88,-200,-200,-200,-96,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526450857245,-25,-47,-40,-68,-51,-56,-51,-58,-56,-73,-45,-63,-52,-63,-56,-61,-62,-72,-57,-57,-67,-71,-65,-79,-76,-74,-67,-200,-79,-66,-80,-80,-79,-75,-74,-71,-88,-75,-68,-78,-79,-75,-77,-200,-86,-92,-72,-91,-81,-200,-74,-83,-84,-87,-86,-87,-86,-200,-86,-200,-90,-200,-93,-90,-94,-94,-200,-200,-200,-200,-200,-97,-200,-200,-93,-81,-91,-91,-200,-95,-92,-93,-89,-200,-200,-200,-200,-200,-200,-90,-95,-200,-88,-77,-200,-200,-96,-200,-200,-92,-200,-84,-97,-200,-200,-200,-200,-200
1526450860302,-24,-51,-42,-68,-47,-63,-51,-51,-56,-70,-44,-63,-51,-61,-55,-63,-64,-200,-58,-57,-65,-71,-67,-75,-73,-74,-66,-200,-79,-76,-87,-200,-79,-74,-76,-71,-90,-75,-68,-79,-80,-73,-72,-83,-71,-93,-74,-89,-83,-94,-71,-89,-84,-87,-86,-88,-86,-200,-91,-200,-94,-200,-93,-90,-94,-200,-200,-92,-96,-200,-200,-97,-200,-200,-93,-81,-91,-91,-95,-96,-93,-93,-89,-200,-200,-200,-98,-200,-200,-200,-95,-200,-96,-77,-200,-200,-96,-200,-89,-92,-200,-80,-97,-96,-200,-200,-200,-200
1526450863351,-24,-44,-47,-66,-54,-57,-50,-60,-56,-70,-44,-63,-55,-65,-62,-63,-65,-200,-60,-53,-64,-71,-64,-73,-68,-67,-70,-200,-71,-69,-86,-200,-79,-74,-76,-71,-85,-72,-65,-78,-79,-83,-72,-83,-82,-93,-72,-89,-80,-94,-78,-89,-83,-87,-84,-86,-86,-200,-83,-200,-94,-200,-93,-94,-200,-200,-200,-91,-96,-200,-200,-97,-93,-200,-93,-81,-94,-200,-94,-96,-93,-93,-88,-200,-200,-200,-98,-200,-200,-200,-95,-200,-96,-77,-200,-200,-96,-200,-89,-92,-200,-80,-90,-96,-200,-200,-200,-200
1526450866401,-25,-45,-43,-69,-51,-61,-52,-59,-56,-66,-46,-61,-54,-63,-58,-57,-64,-77,-57,-59,-68,-71,-65,-75,-69,-68,-70,-200,-74,-68,-86,-200,-80,-74,-83,-72,-86,-75,-68,-76,-82,-77,-73,-86,-89,-90,-72,-91,-80,-94,-78,-89,-83,-200,-85,-90,-200,-200,-85,-200,-94,-200,-200,-94,-200,-200,-200,-91,-96,-200,-200,-200,-93,-200,-200,-79,-94,-200,-94,-96,-93,-92,-76,-97,-200,-200,-98,-200,-200,-200,-95,-200,-96,-200,-200,-200,-97,-200,-89,-200,-200,-80,-90,-96,-200,-200,-200,-200
1526450869457,-23,-46,-26,-63,-47,-66,-51,-58,-56,-75,-44,-62,-51,-65,-61,-60,-67,-75,-59,-59,-65,-66,-67,-74,-72,-73,-68,-200,-71,-68,-85,-200,-80,-73,-77,-72,-88,-73,-72,-78,-79,-76,-75,-83,-91,-90,-73,-89,-80,-200,-73,-76,-83,-200,-85,-88,-200,-200,-89,-200,-90,-200,-91,-94,-200,-200,-200,-93,-200,-95,-200,-96,-93,-200,-200,-79,-94,-91,-94,-200,-93,-95,-88,-97,-200,-200,-200,-200,-200,-200,-200,-92,-98,-200,-200,-200,-97,-200,-200,-200,-200,-200,-90,-94,-200,-200,-200,-200
1526450872504,-24,-50,-40,-69,-49,-66,-49,-57,-55,-73,-44,-61,-49,-63,-56,-60,-65,-66,-56,-57,-64,-69,-64,-74,-68,-73,-68,-200,-78,-67,-85,-200,-80,-73,-76,-71,-90,-75,-68,-78,-78,-77,-75,-83,-82,-91,-73,-89,-82,-93,-72,-76,-200,-200,-88,-88,-89,-200,-92,-200,-93,-200,-91,-200,-200,-200,-200,-93,-200,-96,-200,-96,-200,-200,-95,-81,-200,-91,-200,-95,-92,-94,-88,-97,-200,-200,-97,-200,-200,-200,-200,-92,-98,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526450875559,-24,-50,-42,-67,-49,-64,-52,-57,-55,-72,-44,-60,-50,-64,-56,-59,-65,-68,-56,-58,-64,-69,-66,-77,-67,-72,-64,-200,-79,-66,-89,-200,-80,-73,-77,-71,-89,-74,-69,-78,-81,-77,-73,-72,-81,-93,-73,-89,-82,-94,-72,-88,-200,-92,-85,-88,-89,-200,-92,-200,-92,-200,-91,-200,-200,-200,-200,-93,-200,-96,-200,-96,-200,-99,-94,-79,-200,-91,-200,-95,-94,-93,-88,-200,-200,-200,-97,-200,-92,-200,-96,-96,-98,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-95,-92,-200,-200,-200
1526450878609,-24,-50,-39,-66,-49,-64,-51,-57,-55,-74,-44,-62,-47,-62,-56,-57,-65,-71,-56,-56,-64,-69,-64,-70,-71,-74,-68,-87,-80,-68,-74,-200,-80,-200,-77,-71,-89,-71,-67,-78,-78,-77,-72,-83,-81,-93,-200,-89,-83,-91,-72,-88,-200,-90,-87,-86,-88,-200,-92,-200,-92,-200,-200,-200,-200,-200,-200,-92,-200,-96,-200,-95,-200,-99,-94,-79,-200,-200,-200,-95,-94,-93,-200,-96,-200,-95,-97,-200,-92,-88,-95,-96,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-95,-92,-91,-93,-97
