,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10
1526458339627,-33,-38,-38,-47,-53,-49,-57,-57,-46,-62,-62,-54,-61,-66,-70,-56,-200,-66,-75,-66,-75,-200,-61,-77,-77,-74,-68,-74,-84,-68,-200,-75,-79,-71,-78,-80,-200,-78,-76,-76,-92,-82,-75,-200,-200,-90,-200,-200,-81,-73,-200,-79,-200,-87,-79,-200,-80,-200,-200,-90,-200,-90,-81,-87,-65,-200,-200,-77,-200,-72,-84,-85,-79,-86,-77,-75,-80,-87,-89,-89,-200,-200,-200,-200,-200,-200
1526458342696,-37,-37,-38,-47,-52,-48,-53,-58,-46,-61,-65,-51,-61,-66,-74,-55,-69,-73,-75,-66,-71,-200,-62,-73,-70,-74,-68,-74,-84,-68,-200,-76,-79,-69,-82,-80,-200,-78,-76,-76,-92,-79,-75,-200,-200,-90,-80,-200,-81,-73,-200,-79,-200,-87,-79,-200,-200,-200,-200,-200,-200,-90,-81,-87,-67,-200,-200,-77,-87,-72,-200,-85,-88,-86,-77,-75,-80,-87,-89,-89,-88,-200,-200,-200,-200,-200
1526458345794,-35,-36,-37,-44,-52,-49,-53,-60,-45,-63,-64,-54,-60,-66,-67,-55,-73,-73,-67,-64,-71,-200,-63,-73,-70,-67,-68,-75,-85,-70,-200,-75,-79,-71,-82,-80,-200,-80,-76,-200,-92,-79,-75,-200,-200,-90,-79,-200,-81,-82,-200,-79,-200,-87,-79,-200,-200,-200,-200,-200,-200,-90,-200,-87,-68,-200,-200,-77,-87,-72,-200,-200,-88,-86,-77,-75,-80,-87,-89,-89,-88,-78,-200,-200,-200,-200
1526458348844,-35,-38,-38,-44,-58,-47,-56,-60,-46,-63,-65,-52,-63,-65,-72,-54,-72,-70,-67,-64,-76,-200,-62,-73,-72,-67,-68,-71,-85,-67,-200,-76,-83,-68,-83,-80,-200,-77,-76,-200,-92,-79,-75,-200,-200,-90,-79,-90,-81,-82,-200,-81,-200,-87,-82,-200,-200,-200,-200,-200,-200,-90,-200,-87,-68,-200,-200,-200,-87,-68,-200,-200,-88,-200,-75,-75,-80,-87,-89,-89,-88,-78,-200,-200,-200,-200
1526458351890,-44,-35,-41,-45,-55,-51,-53,-60,-44,-63,-63,-48,-63,-63,-72,-53,-72,-66,-67,-63,-70,-200,-61,-73,-66,-67,-70,-73,-88,-67,-73,-76,-83,-68,-80,-200,-200,-77,-76,-200,-92,-78,-75,-200,-200,-90,-79,-90,-200,-82,-200,-81,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-87,-68,-200,-200,-87,-87,-68,-200,-200,-88,-200,-75,-200,-200,-200,-200,-89,-88,-78,-78,-200,-200,-200
1526458354948,-51,-37,-41,-44,-56,-51,-52,-60,-43,-63,-63,-48,-64,-60,-72,-55,-72,-66,-69,-63,-70,-200,-62,-73,-66,-67,-71,-73,-88,-67,-73,-75,-83,-77,-80,-200,-200,-81,-87,-200,-200,-78,-200,-200,-200,-200,-78,-90,-200,-82,-200,-81,-200,-79,-82,-200,-81,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-87,-87,-68,-200,-200,-88,-200,-76,-200,-200,-200,-200,-200,-88,-78,-78,-80,-200,-200
1526458358030,-45,-38,-41,-44,-56,-44,-50,-66,-42,-62,-66,-49,-64,-60,-71,-56,-60,-66,-69,-63,-65,-200,-66,-72,-66,-77,-71,-75,-88,-69,-77,-75,-83,-75,-76,-200,-200,-78,-79,-200,-82,-78,-67,-200,-200,-200,-77,-90,-200,-74,-200,-81,-82,-81,-82,-200,-85,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-87,-200,-68,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-78,-78,-80,-90,-200
1526458361089,-44,-34,-41,-45,-56,-46,-51,-64,-43,-61,-65,-52,-64,-65,-74,-53,-62,-66,-69,-63,-65,-200,-61,-72,-65,-77,-71,-73,-86,-67,-77,-75,-83,-74,-78,-200,-200,-78,-79,-200,-82,-78,-68,-200,-200,-200,-77,-90,-200,-74,-200,-81,-82,-79,-82,-200,-85,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-87,-200,-68,-200,-200,-82,-200,-76,-200,-200,-200,-200,-200,-200,-200,-78,-80,-89,-200
1526458364141,-43,-36,-41,-46,-54,-43,-51,-64,-45,-56,-65,-52,-60,-65,-72,-53,-63,-63,-66,-63,-65,-200,-59,-70,-65,-76,-71,-73,-86,-65,-77,-76,-200,-74,-78,-200,-200,-78,-78,-200,-80,-78,-68,-200,-200,-200,-78,-200,-200,-74,-200,-200,-82,-79,-79,-200,-83,-200,-200,-200,-200,-200,-67,-200,-67,-200,-200,-87,-200,-200,-200,-200,-82,-200,-76,-200,-200,-200,-200,-200,-200,-83,-78,-80,-88,-200
1526458367175,-43,-38,-45,-44,-55,-45,-52,-64,-43,-56,-65,-55,-63,-65,-74,-53,-63,-63,-66,-63,-68,-200,-59,-70,-65,-76,-70,-74,-85,-65,-73,-79,-200,-74,-78,-200,-200,-78,-78,-200,-80,-200,-68,-200,-200,-200,-78,-200,-200,-74,-200,-78,-82,-79,-79,-200,-83,-200,-200,-200,-200,-200,-67,-200,-67,-200,-200,-200,-200,-200,-200,-200,-82,-200,-76,-200,-200,-200,-200,-200,-200,-83,-200,-80,-88,-90
1526458370234,-42,-33,-42,-43,-55,-43,-54,-64,-43,-61,-65,-51,-62,-65,-74,-55,-64,-68,-68,-60,-67,-200,-60,-75,-69,-76,-70,-74,-83,-68,-73,-77,-200,-69,-84,-200,-73,-76,-78,-70,-82,-200,-82,-200,-200,-91,-77,-200,-200,-74,-80,-78,-82,-79,-79,-200,-83,-200,-84,-200,-200,-200,-67,-200,-64,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-90
1526458373301,-36,-36,-41,-44,-55,-47,-54,-68,-45,-61,-63,-60,-65,-67,-74,-54,-70,-66,-68,-61,-67,-200,-64,-75,-69,-77,-68,-74,-83,-67,-68,-75,-200,-69,-81,-200,-69,-79,-78,-70,-82,-200,-82,-200,-200,-91,-77,-200,-200,-200,-80,-78,-200,-79,-81,-200,-83,-200,-84,-200,-200,-200,-67,-200,-63,-200,-200,-200,-200,-70,-200,-200,-82,-200,-200,-200,-200,-88,-200,-200,-200,-83,-200,-200,-88,-90
