,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526458418928,-42,-56,-35,-38,-52,-34,-66,-54,-41,-62,-47,-63,-63,-57,-69,-62,-45,-67,-69,-68,-65,-200,-55,-81,-79,-77,-69,-79,-81,-67,-70,-71,-75,-72,-85,-67,-200,-85,-200,-80,-83,-70,-200,-200,-75,-200,-77,-85,-86,-67,-200,-200,-200,-200,-200,-62,-77,-72,-82,-87,-85,-200,-94,-76,-200,-200,-200,-200,-81,-200,-200,-85,-86,-83,-87,-81,-90,-83,-83,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526458422000,-45,-53,-39,-37,-52,-37,-63,-54,-44,-56,-43,-63,-63,-56,-65,-60,-44,-67,-69,-68,-65,-200,-57,-81,-79,-75,-69,-79,-81,-66,-66,-81,-75,-72,-85,-66,-200,-81,-200,-81,-83,-70,-200,-200,-76,-200,-77,-85,-86,-67,-200,-200,-200,-200,-200,-62,-77,-72,-82,-89,-200,-200,-94,-76,-200,-200,-200,-200,-81,-200,-200,-86,-86,-83,-87,-81,-90,-83,-83,-89,-90,-84,-200,-200,-200,-200,-200,-200,-200
1526458425070,-44,-57,-41,-37,-46,-37,-64,-52,-42,-53,-46,-63,-64,-56,-68,-60,-48,-68,-69,-67,-63,-200,-55,-81,-80,-70,-69,-79,-81,-66,-66,-81,-76,-72,-79,-70,-200,-81,-74,-80,-83,-70,-200,-200,-76,-82,-77,-81,-85,-67,-200,-200,-200,-200,-200,-63,-77,-72,-83,-89,-200,-200,-94,-76,-200,-200,-200,-71,-81,-200,-200,-86,-86,-200,-200,-81,-90,-83,-83,-89,-90,-84,-82,-200,-200,-200,-200,-200,-200
1526458428137,-43,-57,-37,-38,-50,-39,-64,-52,-41,-52,-46,-61,-63,-58,-68,-64,-45,-67,-69,-68,-63,-200,-55,-81,-80,-68,-69,-76,-81,-67,-66,-81,-75,-75,-79,-70,-200,-81,-74,-81,-83,-73,-200,-200,-76,-82,-200,-81,-87,-68,-200,-200,-200,-200,-200,-63,-77,-71,-83,-89,-200,-200,-94,-76,-200,-200,-93,-61,-81,-200,-200,-86,-86,-200,-200,-200,-200,-83,-83,-89,-90,-84,-82,-200,-200,-200,-200,-200,-200
1526458431203,-45,-57,-37,-38,-54,-38,-74,-52,-41,-55,-47,-61,-61,-58,-69,-64,-48,-67,-69,-68,-63,-69,-55,-70,-80,-70,-69,-75,-78,-66,-66,-67,-71,-73,-79,-70,-200,-81,-74,-79,-83,-73,-200,-84,-76,-80,-200,-81,-87,-68,-200,-200,-200,-200,-200,-59,-77,-71,-83,-89,-200,-200,-94,-200,-200,-200,-93,-61,-81,-200,-200,-86,-86,-200,-200,-200,-200,-83,-83,-89,-90,-84,-81,-200,-200,-200,-200,-200,-200
1526458434290,-44,-57,-42,-34,-52,-39,-66,-52,-41,-57,-47,-61,-61,-56,-66,-63,-44,-70,-70,-68,-63,-69,-55,-70,-80,-68,-200,-75,-78,-66,-64,-67,-74,-73,-79,-70,-83,-81,-74,-79,-83,-73,-200,-84,-73,-80,-76,-81,-87,-63,-200,-200,-200,-200,-90,-62,-77,-71,-83,-89,-200,-200,-200,-200,-88,-200,-91,-61,-79,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-84,-81,-200,-200,-200,-200,-200,-200
1526458437360,-45,-53,-43,-37,-48,-39,-66,-51,-42,-57,-44,-61,-66,-57,-70,-61,-46,-70,-68,-69,-68,-69,-56,-73,-80,-69,-200,-75,-78,-66,-64,-69,-78,-76,-77,-68,-83,-200,-71,-81,-200,-77,-200,-84,-73,-80,-76,-83,-85,-67,-200,-200,-200,-200,-90,-63,-77,-71,-83,-89,-200,-200,-200,-200,-88,-200,-88,-61,-79,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-81,-87,-200,-200,-200,-200,-200
1526458440422,-42,-51,-41,-38,-51,-43,-65,-62,-42,-56,-45,-59,-71,-55,-70,-61,-46,-70,-68,-69,-63,-69,-56,-70,-81,-76,-70,-73,-78,-66,-64,-69,-75,-78,-77,-64,-83,-200,-76,-81,-200,-72,-75,-84,-76,-79,-75,-83,-86,-67,-200,-200,-200,-200,-90,-61,-77,-71,-200,-89,-200,-200,-200,-200,-90,-200,-88,-72,-79,-200,-200,-86,-200,-82,-200,-200,-200,-84,-200,-200,-200,-200,-81,-87,-91,-200,-200,-200,-200
1526458443476,-42,-56,-40,-40,-51,-38,-63,-56,-39,-54,-44,-59,-63,-55,-70,-61,-48,-71,-68,-71,-64,-69,-56,-64,-81,-77,-69,-73,-78,-67,-64,-74,-78,-77,-77,-65,-83,-200,-76,-82,-200,-76,-75,-84,-76,-79,-75,-82,-86,-66,-200,-200,-200,-200,-90,-64,-77,-200,-200,-200,-200,-200,-200,-200,-90,-200,-88,-72,-79,-200,-82,-86,-200,-82,-200,-200,-200,-84,-83,-200,-200,-200,-81,-88,-91,-86,-88,-200,-200
1526458446540,-42,-53,-37,-41,-47,-38,-63,-56,-40,-54,-48,-59,-63,-58,-70,-61,-44,-71,-68,-67,-64,-69,-56,-64,-81,-77,-69,-73,-200,-69,-64,-74,-78,-81,-77,-67,-83,-200,-76,-80,-200,-72,-75,-200,-76,-79,-75,-82,-84,-66,-200,-200,-200,-200,-90,-64,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-88,-66,-79,-200,-82,-86,-200,-82,-200,-200,-200,-84,-83,-200,-200,-200,-200,-88,-91,-86,-88,-200,-200
1526458449597,-41,-55,-37,-40,-51,-40,-62,-55,-41,-58,-46,-58,-67,-58,-65,-59,-45,-70,-77,-68,-67,-69,-56,-70,-81,-67,-69,-78,-200,-63,-200,-74,-78,-79,-81,-66,-200,-200,-76,-80,-200,-72,-74,-200,-77,-79,-75,-82,-84,-67,-200,-200,-200,-200,-200,-63,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-88,-66,-79,-200,-82,-86,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200,-88,-91,-86,-88,-86,-200
1526458452646,-42,-52,-41,-36,-48,-41,-62,-51,-42,-59,-47,-57,-66,-57,-73,-60,-37,-69,-70,-67,-71,-69,-55,-70,-81,-74,-69,-77,-200,-63,-70,-73,-78,-75,-81,-69,-200,-200,-76,-79,-200,-72,-74,-200,-80,-83,-75,-82,-84,-67,-200,-200,-200,-200,-200,-63,-79,-200,-88,-87,-85,-200,-200,-200,-90,-200,-200,-66,-200,-200,-82,-89,-200,-200,-200,-76,-200,-84,-83,-200,-200,-200,-200,-88,-91,-86,-88,-86,-82
