,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526461680008,-48,-65,-63,-58,-35,-77,-79,-82,-63,-46,-66,-81,-68,-77,-83,-200,-200,-75,-86,-82,-82,-200,-86,-200,-200,-79,-75,-90,-87,-76,-200,-200,-200,-87,-86,-81,-83,-200,-91,-200,-200,-200,-81,-90,-86,-89,-91,-200,-200,-200,-90,-200,-81,-88,-78,-82,-85,-200,-86,-72,-90,-89,-200,-91,-72,-200,-89,-200,-90,-200,-88,-200,-89,-91,-200,-86,-200,-89,-200,-80,-200,-200,-200,-83,-86,-88,-85,-86,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461683039,-52,-62,-62,-58,-31,-77,-72,-82,-57,-36,-57,-75,-66,-78,-80,-200,-200,-75,-86,-78,-61,-200,-86,-200,-79,-79,-79,-90,-87,-76,-200,-200,-200,-87,-86,-81,-83,-200,-91,-200,-200,-200,-81,-90,-86,-89,-91,-81,-200,-200,-90,-200,-81,-88,-80,-82,-85,-200,-82,-72,-90,-89,-200,-91,-74,-84,-83,-200,-90,-86,-84,-200,-89,-91,-200,-80,-200,-89,-90,-80,-200,-200,-200,-84,-86,-88,-85,-86,-87,-81,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461686078,-49,-57,-60,-55,-31,-78,-72,-70,-60,-35,-61,-74,-62,-78,-80,-200,-200,-75,-200,-77,-65,-200,-83,-200,-79,-75,-79,-90,-87,-77,-200,-200,-200,-87,-86,-81,-83,-200,-91,-200,-200,-200,-80,-87,-86,-82,-91,-85,-200,-200,-90,-84,-73,-87,-80,-82,-200,-200,-80,-82,-88,-89,-89,-90,-75,-84,-84,-200,-90,-88,-84,-200,-86,-91,-89,-80,-200,-90,-90,-200,-200,-200,-200,-85,-200,-200,-85,-84,-87,-81,-80,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461689116,-49,-63,-57,-58,-35,-59,-63,-70,-59,-36,-68,-74,-66,-78,-76,-87,-200,-75,-200,-77,-62,-200,-83,-200,-76,-75,-74,-200,-200,-81,-200,-200,-200,-87,-87,-200,-88,-200,-91,-87,-200,-89,-80,-87,-86,-82,-91,-85,-200,-200,-200,-84,-73,-87,-84,-200,-200,-200,-80,-82,-88,-200,-89,-90,-75,-84,-88,-200,-200,-88,-84,-200,-86,-200,-89,-83,-200,-90,-90,-200,-200,-200,-200,-85,-200,-88,-85,-84,-87,-81,-82,-90,-88,-91,-89,-95,-200,-200,-200,-200,-200,-200,-200
1526461692205,-47,-67,-58,-57,-41,-67,-71,-70,-59,-42,-58,-74,-63,-78,-76,-83,-200,-78,-87,-86,-73,-85,-83,-200,-81,-75,-74,-200,-86,-75,-200,-200,-200,-200,-87,-200,-88,-200,-200,-83,-200,-90,-80,-87,-200,-82,-200,-85,-89,-200,-83,-84,-73,-87,-74,-85,-200,-91,-80,-73,-88,-200,-89,-90,-75,-84,-88,-200,-200,-88,-84,-87,-86,-200,-89,-83,-200,-90,-89,-82,-200,-200,-200,-85,-81,-88,-200,-84,-200,-81,-80,-87,-88,-91,-89,-95,-200,-200,-200,-200,-200,-200,-200
1526461695225,-45,-61,-61,-56,-42,-62,-73,-70,-58,-42,-58,-74,-68,-200,-76,-86,-200,-76,-87,-86,-72,-85,-84,-200,-81,-79,-73,-200,-84,-75,-200,-200,-200,-200,-87,-81,-88,-200,-200,-83,-200,-90,-80,-85,-200,-82,-200,-85,-89,-200,-85,-84,-72,-87,-78,-85,-200,-90,-80,-73,-88,-200,-89,-84,-75,-200,-88,-200,-200,-87,-200,-87,-86,-200,-89,-83,-200,-87,-89,-82,-200,-200,-200,-85,-81,-88,-200,-84,-200,-200,-80,-87,-88,-91,-89,-95,-88,-89,-92,-200,-200,-200,-200
1526461698262,-47,-59,-62,-58,-34,-62,-73,-71,-55,-38,-61,-74,-64,-200,-81,-86,-200,-76,-87,-86,-78,-85,-84,-200,-81,-79,-76,-86,-84,-83,-200,-200,-200,-200,-87,-81,-88,-200,-83,-83,-200,-90,-200,-89,-200,-84,-200,-200,-89,-200,-92,-87,-72,-89,-81,-88,-200,-90,-200,-73,-200,-88,-200,-84,-79,-200,-88,-200,-200,-87,-93,-87,-89,-91,-200,-83,-200,-87,-89,-82,-200,-200,-200,-80,-81,-85,-200,-90,-200,-200,-80,-87,-200,-200,-89,-95,-88,-89,-92,-89,-200,-200,-200
1526461701282,-50,-60,-66,-62,-41,-71,-62,-70,-65,-40,-55,-79,-66,-82,-81,-82,-200,-69,-87,-83,-69,-85,-84,-200,-81,-79,-76,-86,-84,-75,-200,-200,-200,-200,-84,-81,-200,-200,-83,-83,-200,-90,-200,-89,-200,-84,-200,-200,-89,-200,-92,-87,-78,-89,-76,-88,-200,-90,-200,-73,-200,-88,-200,-84,-79,-200,-200,-200,-200,-87,-93,-87,-89,-91,-200,-200,-200,-87,-89,-82,-200,-200,-200,-87,-81,-85,-200,-90,-88,-84,-84,-87,-200,-200,-200,-200,-88,-89,-92,-89,-200,-200,-200
1526461704314,-48,-57,-65,-64,-36,-63,-63,-77,-68,-43,-58,-80,-59,-82,-81,-82,-200,-76,-200,-83,-69,-200,-84,-200,-78,-75,-78,-86,-84,-76,-200,-200,-200,-88,-85,-81,-200,-200,-86,-83,-200,-90,-200,-89,-86,-84,-200,-200,-200,-200,-92,-87,-74,-89,-76,-88,-200,-90,-86,-83,-200,-88,-200,-89,-79,-90,-83,-200,-200,-87,-93,-200,-89,-91,-200,-85,-200,-87,-89,-200,-200,-200,-200,-87,-200,-85,-200,-90,-88,-81,-85,-200,-200,-90,-200,-200,-88,-89,-92,-89,-88,-200,-200
1526461707374,-51,-72,-67,-68,-38,-67,-67,-80,-61,-42,-59,-77,-69,-82,-83,-81,-89,-73,-83,-83,-70,-200,-87,-88,-79,-75,-75,-87,-90,-74,-200,-200,-87,-88,-81,-200,-200,-91,-88,-200,-200,-200,-200,-87,-86,-200,-81,-83,-200,-200,-200,-89,-75,-200,-73,-84,-200,-200,-94,-87,-91,-88,-200,-89,-200,-90,-87,-87,-200,-200,-90,-200,-89,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-84,-200,-89,-200,-89,-88,-81,-85,-89,-200,-90,-200,-200,-200,-200,-200,-200,-90,-89,-200
1526461710435,-53,-69,-66,-67,-43,-68,-69,-80,-62,-42,-57,-76,-65,-82,-68,-79,-89,-73,-83,-87,-71,-200,-87,-88,-79,-74,-76,-87,-90,-70,-200,-200,-87,-88,-83,-87,-82,-91,-88,-200,-200,-200,-86,-87,-86,-200,-81,-85,-200,-90,-200,-89,-75,-200,-73,-84,-200,-88,-94,-87,-91,-88,-200,-89,-81,-90,-87,-87,-200,-200,-90,-200,-89,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-84,-200,-91,-200,-89,-88,-81,-81,-89,-200,-90,-200,-200,-200,-200,-200,-200,-90,-89,-86
1526461713440,-57,-63,-65,-65,-35,-69,-66,-80,-60,-43,-55,-77,-66,-76,-80,-79,-89,-73,-83,-87,-66,-200,-87,-88,-77,-74,-74,-87,-90,-70,-200,-200,-87,-88,-83,-87,-83,-91,-88,-200,-200,-200,-86,-87,-200,-200,-81,-85,-200,-89,-200,-89,-75,-200,-82,-79,-200,-87,-94,-88,-91,-88,-200,-200,-79,-200,-83,-86,-200,-200,-90,-200,-89,-200,-200,-89,-200,-200,-200,-200,-200,-200,-91,-84,-200,-91,-200,-86,-88,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-90,-89,-86
