,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526442381017,-27,-43,-46,-69,-63,-46,-55,-55,-64,-82,-66,-66,-46,-73,-65,-81,-69,-77,-69,-88,-83,-88,-73,-82,-88,-75,-82,-83,-200,-82,-74,-89,-78,-71,-89,-81,-84,-84,-200,-200,-92,-89,-75,-89,-200,-200,-87,-90,-91,-200,-200,-200,-200,-91,-200,-88,-200,-200,-91,-92,-79,-87,-200,-92,-200,-200,-91,-91,-88,-89,-90,-90,-90,-91,-200,-200,-200
1526442384052,-27,-43,-50,-68,-68,-48,-53,-56,-63,-82,-63,-64,-65,-71,-63,-82,-70,-74,-69,-84,-77,-85,-81,-80,-86,-77,-80,-84,-200,-88,-85,-86,-82,-70,-89,-81,-84,-80,-87,-200,-86,-88,-75,-90,-200,-200,-87,-90,-90,-200,-200,-200,-200,-91,-200,-87,-200,-91,-91,-92,-79,-87,-200,-89,-200,-200,-88,-91,-90,-200,-90,-90,-90,-91,-200,-200,-200
1526442387086,-27,-38,-42,-69,-73,-49,-55,-57,-66,-79,-64,-66,-63,-75,-65,-85,-72,-74,-71,-85,-79,-85,-76,-83,-86,-76,-80,-88,-200,-81,-85,-86,-87,-71,-89,-82,-88,-84,-87,-200,-86,-86,-74,-90,-200,-200,-87,-90,-82,-200,-200,-200,-200,-91,-200,-87,-200,-91,-85,-92,-79,-71,-200,-89,-200,-200,-88,-91,-90,-200,-90,-90,-90,-91,-200,-200,-200
1526442390098,-25,-56,-46,-64,-68,-42,-57,-58,-69,-71,-68,-62,-70,-68,-55,-75,-68,-60,-71,-78,-81,-85,-70,-79,-86,-75,-80,-85,-200,-83,-84,-89,-73,-67,-89,-82,-88,-84,-88,-200,-90,-86,-74,-88,-200,-200,-90,-90,-82,-200,-200,-200,-200,-91,-200,-84,-200,-91,-89,-200,-200,-86,-200,-89,-200,-200,-88,-91,-90,-200,-90,-200,-200,-200,-85,-200,-200
1526442393133,-26,-45,-40,-62,-64,-43,-54,-58,-62,-73,-61,-63,-66,-70,-60,-72,-72,-72,-72,-79,-82,-80,-69,-81,-85,-78,-82,-89,-92,-79,-87,-89,-85,-67,-88,-81,-88,-79,-88,-92,-88,-86,-72,-88,-200,-200,-87,-90,-89,-200,-200,-200,-200,-90,-200,-84,-200,-200,-86,-200,-200,-87,-200,-91,-200,-200,-88,-91,-90,-200,-90,-200,-200,-200,-85,-200,-200
1526442396174,-26,-47,-42,-62,-71,-44,-57,-57,-66,-69,-65,-67,-66,-67,-63,-73,-75,-60,-70,-83,-76,-83,-72,-79,-83,-80,-84,-82,-92,-88,-85,-90,-85,-69,-88,-84,-88,-85,-88,-92,-88,-86,-73,-89,-200,-200,-87,-90,-89,-200,-200,-200,-200,-90,-200,-88,-200,-200,-86,-200,-200,-85,-200,-89,-200,-200,-89,-91,-90,-200,-90,-200,-200,-200,-85,-200,-200
1526442399212,-27,-47,-40,-66,-71,-43,-59,-55,-63,-80,-69,-65,-66,-70,-58,-82,-70,-61,-74,-85,-83,-83,-70,-79,-85,-72,-84,-89,-92,-77,-80,-90,-92,-71,-91,-84,-88,-85,-87,-92,-90,-89,-74,-89,-200,-200,-86,-88,-90,-200,-200,-200,-200,-89,-200,-88,-200,-200,-89,-200,-200,-85,-200,-89,-200,-200,-89,-91,-90,-200,-90,-200,-200,-93,-200,-200,-200
1526442402246,-24,-44,-40,-68,-70,-42,-56,-65,-61,-70,-66,-64,-65,-62,-55,-85,-67,-70,-72,-83,-78,-83,-75,-82,-85,-74,-84,-88,-88,-81,-79,-86,-88,-69,-89,-84,-84,-82,-87,-200,-93,-85,-74,-91,-200,-200,-88,-93,-90,-200,-200,-200,-200,-91,-200,-88,-200,-91,-91,-200,-79,-84,-200,-92,-200,-200,-91,-91,-90,-200,-200,-200,-200,-93,-200,-200,-200
1526442405276,-15,-45,-39,-78,-70,-52,-55,-57,-73,-71,-62,-61,-70,-70,-57,-79,-74,-72,-71,-79,-83,-83,-75,-82,-85,-83,-87,-82,-88,-88,-89,-86,-88,-79,-89,-81,-82,-82,-87,-200,-89,-85,-73,-91,-200,-200,-88,-93,-90,-200,-200,-200,-200,-91,-200,-88,-200,-91,-91,-91,-79,-84,-80,-92,-200,-200,-91,-91,-90,-200,-200,-200,-200,-93,-200,-200,-200
1526442408314,-28,-42,-43,-68,-70,-44,-52,-59,-62,-75,-65,-63,-66,-77,-55,-79,-74,-64,-74,-78,-80,-83,-78,-82,-86,-86,-87,-87,-88,-82,-84,-86,-81,-69,-89,-85,-89,-82,-87,-200,-90,-86,-73,-91,-200,-200,-88,-89,-86,-200,-200,-200,-200,-91,-200,-85,-200,-91,-91,-91,-79,-88,-80,-92,-200,-200,-91,-91,-89,-200,-200,-200,-200,-93,-200,-93,-200
1526442411349,-26,-43,-43,-67,-67,-45,-53,-56,-68,-70,-63,-61,-67,-70,-55,-80,-74,-78,-74,-84,-80,-83,-80,-80,-86,-86,-87,-86,-88,-84,-86,-89,-81,-69,-89,-85,-89,-84,-200,-200,-90,-86,-73,-84,-200,-200,-90,-87,-86,-200,-200,-200,-87,-91,-200,-85,-200,-91,-91,-91,-79,-88,-80,-92,-200,-200,-91,-91,-89,-200,-200,-200,-200,-200,-200,-93,-85
1526442414362,-28,-47,-42,-59,-61,-50,-56,-57,-60,-71,-69,-63,-64,-75,-60,-81,-68,-72,-64,-81,-75,-80,-79,-77,-83,-75,-78,-84,-200,-84,-83,-89,-91,-78,-82,-79,-89,-84,-200,-200,-90,-86,-81,-84,-200,-200,-89,-87,-86,-200,-200,-200,-85,-200,-200,-90,-200,-200,-86,-92,-200,-88,-80,-92,-200,-200,-92,-200,-89,-200,-89,-93,-200,-200,-200,-93,-85
