,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro
1526442308033,-28,-45,-31,-47,-54,-65,-52,-54,-69,-63,-52,-65,-70,-63,-69,-73,-65,-76,-77,-70,-78,-68,-81,-69,-68,-76,-80,-50,-75,-73,-80,-89,-83,-200,-85,-87,-81,-84,-80,-88,-82,-88,-78,-90,-79,-88,-84,-200,-87,-91,-96,-89,-85,-89,-200,-83,-83,-93,-200,-200,-200,-200,-90,-88,-200,-200,-200,-90,-200,-200,-86,-200,-85,-200,-91,-88,-200,-200,-200,-200,-200
1526442311073,-25,-54,-40,-48,-54,-69,-58,-49,-62,-62,-51,-69,-69,-70,-71,-71,-63,-77,-80,-72,-74,-69,-85,-69,-68,-80,-80,-50,-83,-73,-82,-89,-84,-200,-84,-87,-83,-84,-78,-88,-82,-88,-78,-90,-80,-88,-84,-83,-200,-91,-90,-91,-85,-87,-200,-88,-83,-93,-200,-200,-200,-200,-90,-84,-200,-200,-200,-89,-200,-200,-86,-200,-85,-200,-93,-88,-83,-200,-200,-200,-200
1526442314111,-25,-40,-35,-49,-52,-70,-51,-53,-65,-61,-54,-61,-69,-64,-72,-69,-64,-75,-79,-70,-75,-62,-83,-69,-68,-78,-80,-50,-83,-76,-87,-89,-85,-200,-86,-87,-83,-84,-75,-200,-82,-87,-78,-90,-79,-200,-80,-83,-88,-91,-90,-89,-89,-87,-200,-89,-86,-93,-200,-200,-200,-200,-90,-84,-200,-200,-200,-89,-200,-200,-86,-200,-85,-200,-93,-88,-83,-89,-90,-200,-200
1526442317151,-32,-43,-32,-51,-50,-70,-52,-61,-65,-59,-53,-64,-67,-64,-72,-69,-63,-76,-80,-72,-75,-70,-82,-74,-69,-80,-80,-49,-80,-77,-86,-89,-85,-200,-86,-87,-83,-84,-75,-91,-84,-89,-78,-90,-79,-200,-80,-83,-88,-91,-90,-92,-89,-90,-200,-89,-82,-90,-200,-200,-200,-200,-90,-85,-200,-200,-200,-90,-200,-200,-86,-200,-200,-89,-93,-88,-83,-89,-90,-200,-200
1526442320191,-15,-43,-36,-48,-54,-70,-54,-57,-66,-62,-50,-64,-68,-61,-73,-69,-68,-77,-78,-74,-74,-71,-82,-73,-69,-91,-200,-52,-82,-78,-92,-87,-86,-200,-85,-87,-83,-86,-80,-91,-81,-89,-87,-90,-81,-200,-80,-83,-86,-91,-90,-92,-89,-90,-200,-88,-82,-90,-200,-200,-200,-200,-200,-85,-200,-200,-200,-90,-200,-200,-88,-200,-200,-90,-93,-200,-83,-89,-90,-200,-200
1526442323204,-27,-50,-35,-47,-54,-66,-54,-55,-69,-62,-48,-68,-72,-68,-72,-71,-66,-77,-82,-68,-72,-74,-83,-73,-64,-91,-200,-50,-82,-77,-80,-86,-85,-200,-86,-89,-82,-87,-79,-91,-81,-91,-87,-90,-79,-200,-80,-83,-86,-91,-200,-88,-89,-90,-200,-84,-82,-90,-200,-200,-200,-200,-90,-87,-200,-200,-200,-88,-200,-200,-88,-200,-200,-90,-200,-200,-200,-89,-90,-200,-200
1526442326238,-27,-45,-15,-48,-55,-67,-53,-56,-64,-59,-52,-71,-70,-65,-73,-78,-63,-74,-80,-77,-73,-79,-79,-80,-69,-91,-200,-51,-82,-77,-89,-86,-85,-200,-86,-89,-82,-85,-75,-91,-81,-91,-87,-88,-85,-200,-200,-85,-86,-91,-90,-91,-200,-90,-200,-88,-86,-90,-200,-200,-200,-200,-90,-85,-200,-200,-200,-88,-200,-200,-88,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526442329272,-25,-38,-32,-51,-51,-73,-50,-53,-64,-59,-53,-62,-67,-58,-73,-68,-63,-73,-78,-68,-78,-69,-82,-66,-66,-79,-200,-48,-82,-72,-85,-87,-85,-200,-84,-89,-82,-85,-74,-86,-80,-91,-87,-88,-69,-200,-200,-85,-85,-89,-90,-92,-200,-88,-200,-84,-84,-200,-200,-200,-200,-200,-90,-85,-200,-200,-200,-88,-200,-200,-88,-200,-200,-90,-200,-200,-200,-200,-200,-89,-200
1526442332310,-7,-45,-16,-52,-54,-67,-52,-49,-62,-61,-55,-67,-66,-67,-71,-72,-74,-82,-79,-70,-75,-72,-81,-67,-69,-79,-200,-50,-82,-81,-83,-87,-85,-200,-87,-89,-79,-85,-87,-89,-82,-89,-200,-88,-84,-200,-82,-85,-85,-89,-92,-92,-200,-88,-89,-88,-84,-200,-200,-200,-200,-200,-90,-83,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200
1526442335346,-27,-44,-34,-49,-55,-66,-50,-49,-65,-60,-50,-63,-63,-63,-72,-71,-67,-65,-85,-71,-73,-73,-84,-69,-68,-77,-200,-48,-82,-79,-84,-88,-82,-200,-86,-88,-79,-88,-71,-90,-81,-89,-85,-89,-79,-200,-82,-85,-85,-90,-92,-89,-200,-88,-89,-88,-85,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-84,-200,-200,-90,-92
1526442338386,-26,-46,-35,-49,-54,-67,-51,-53,-63,-61,-47,-64,-64,-63,-72,-76,-63,-75,-76,-71,-71,-71,-81,-70,-67,-77,-200,-50,-82,-79,-72,-88,-86,-200,-84,-88,-79,-86,-73,-90,-81,-89,-80,-86,-77,-200,-84,-87,-200,-90,-92,-89,-200,-89,-89,-85,-88,-200,-200,-200,-200,-200,-90,-85,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200,-200,-84,-200,-200,-89,-92
1526442341428,-25,-43,-35,-50,-54,-67,-52,-60,-62,-59,-48,-61,-64,-61,-73,-70,-63,-70,-80,-73,-72,-72,-86,-71,-68,-79,-200,-49,-80,-79,-72,-87,-86,-200,-86,-90,-88,-85,-73,-90,-82,-91,-80,-86,-80,-200,-84,-86,-200,-90,-200,-90,-87,-87,-200,-88,-84,-89,-200,-200,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-89,-92
