,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526442240495,-27,-41,-46,-49,-43,-59,-14,-62,-59,-62,-69,-71,-66,-79,-63,-67,-67,-71,-68,-68,-71,-83,-72,-87,-200,-71,-78,-72,-69,-78,-81,-75,-83,-83,-84,-81,-79,-82,-73,-76,-200,-84,-83,-200,-78,-90,-89,-89,-87,-85,-88,-200,-84,-200,-91,-91,-200,-90,-200,-83,-200,-200,-200,-87,-78,-90,-89,-88,-89,-84,-93,-200,-200,-200,-90,-90,-87,-200,-200
1526442243533,-14,-30,-42,-43,-46,-72,-47,-62,-59,-62,-65,-69,-75,-79,-68,-68,-73,-71,-68,-66,-70,-79,-71,-85,-200,-69,-79,-78,-69,-81,-76,-75,-85,-81,-85,-81,-76,-82,-73,-78,-87,-84,-83,-200,-78,-91,-90,-86,-87,-83,-86,-200,-83,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-87,-89,-89,-89,-200,-89,-84,-93,-200,-200,-200,-90,-90,-87,-200,-200
1526442246570,-28,-36,-45,-48,-48,-70,-39,-58,-60,-64,-61,-71,-70,-79,-71,-68,-73,-69,-64,-66,-69,-79,-73,-85,-200,-73,-78,-69,-77,-81,-76,-76,-85,-83,-84,-80,-76,-87,-73,-79,-87,-84,-83,-200,-78,-91,-90,-86,-91,-87,-86,-200,-82,-200,-200,-90,-200,-200,-200,-84,-200,-200,-200,-200,-89,-89,-200,-200,-89,-84,-93,-200,-91,-200,-90,-200,-87,-200,-200
1526442249600,-27,-36,-44,-46,-46,-64,-47,-60,-62,-66,-70,-67,-77,-77,-67,-68,-74,-73,-64,-64,-70,-79,-73,-84,-200,-75,-78,-69,-77,-81,-73,-74,-85,-83,-84,-80,-79,-87,-74,-79,-87,-84,-89,-200,-79,-88,-82,-78,-86,-87,-89,-200,-84,-200,-200,-90,-200,-90,-200,-84,-200,-200,-200,-91,-89,-89,-200,-200,-90,-81,-93,-92,-91,-200,-200,-200,-200,-200,-200
1526442252644,-27,-31,-48,-48,-54,-59,-51,-59,-63,-64,-63,-66,-77,-75,-66,-69,-73,-69,-64,-68,-73,-71,-73,-82,-200,-76,-80,-72,-77,-82,-76,-74,-87,-83,-83,-80,-81,-87,-72,-82,-86,-84,-89,-200,-79,-88,-85,-82,-86,-81,-89,-200,-84,-200,-85,-89,-92,-90,-200,-85,-200,-200,-200,-87,-80,-91,-200,-200,-90,-83,-200,-92,-89,-200,-200,-200,-200,-200,-200
1526442255678,-27,-17,-45,-48,-54,-63,-50,-59,-64,-60,-66,-71,-70,-73,-72,-67,-71,-69,-64,-69,-71,-78,-73,-83,-200,-79,-80,-72,-60,-80,-79,-74,-87,-81,-82,-81,-81,-87,-74,-79,-86,-81,-86,-200,-80,-88,-85,-85,-86,-88,-89,-200,-84,-200,-85,-89,-92,-90,-200,-87,-200,-90,-200,-89,-89,-92,-200,-200,-90,-83,-91,-92,-89,-200,-200,-200,-200,-91,-200
1526442258710,-28,-40,-45,-53,-46,-59,-53,-53,-62,-62,-72,-66,-78,-73,-66,-74,-78,-77,-65,-71,-67,-72,-77,-88,-200,-78,-80,-73,-73,-82,-76,-75,-84,-81,-84,-85,-77,-87,-81,-79,-86,-83,-86,-200,-80,-88,-87,-87,-90,-88,-90,-200,-86,-87,-85,-89,-92,-90,-200,-89,-200,-90,-200,-89,-89,-92,-200,-200,-90,-83,-91,-92,-89,-200,-200,-200,-200,-91,-200
1526442261747,-26,-32,-47,-48,-31,-65,-55,-54,-60,-58,-74,-71,-70,-73,-71,-74,-78,-78,-71,-71,-67,-76,-72,-79,-200,-80,-80,-73,-73,-82,-75,-75,-84,-81,-86,-82,-80,-200,-80,-81,-86,-83,-84,-200,-79,-87,-83,-87,-90,-90,-90,-200,-81,-87,-85,-89,-95,-200,-200,-89,-200,-90,-200,-88,-89,-92,-90,-200,-200,-83,-91,-200,-89,-200,-200,-200,-200,-91,-200
1526442264784,-26,-40,-47,-49,-40,-65,-57,-55,-57,-58,-77,-70,-67,-73,-70,-73,-69,-74,-71,-71,-62,-73,-74,-81,-200,-83,-78,-78,-77,-82,-72,-79,-84,-84,-86,-82,-83,-200,-78,-81,-79,-81,-84,-200,-79,-87,-85,-87,-90,-90,-89,-200,-84,-87,-200,-86,-95,-200,-200,-89,-200,-90,-200,-88,-89,-92,-90,-200,-200,-84,-91,-200,-89,-200,-90,-200,-200,-91,-200
1526442267797,-22,-38,-43,-46,-43,-66,-53,-53,-56,-54,-73,-74,-73,-73,-60,-68,-71,-75,-69,-73,-60,-71,-71,-85,-200,-80,-78,-80,-74,-84,-72,-79,-84,-83,-87,-82,-79,-200,-72,-80,-86,-80,-84,-200,-77,-87,-85,-86,-90,-89,-90,-200,-84,-87,-200,-86,-95,-200,-200,-85,-200,-90,-200,-88,-88,-89,-90,-200,-200,-82,-90,-200,-89,-200,-90,-200,-200,-200,-90
