,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526458777022,-18,-49,-55,-47,-56,-54,-60,-49,-45,-65,-51,-63,-66,-65,-57,-64,-58,-63,-74,-67,-78,-75,-69,-60,-200,-200,-75,-76,-79,-77,-82,-200,-66,-200,-51,-86,-85,-200,-58,-68,-200,-81,-76,-200,-83,-200,-70,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-78,-80,-86,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458780074,-17,-49,-56,-47,-56,-57,-59,-46,-47,-61,-52,-63,-66,-200,-58,-64,-63,-63,-63,-68,-78,-75,-69,-74,-200,-200,-77,-77,-78,-73,-80,-75,-68,-200,-80,-200,-200,-200,-56,-200,-200,-200,-80,-200,-200,-200,-200,-200,-71,-200,-83,-200,-200,-200,-200,-74,-200,-200,-200,-83,-200,-200,-77,-200,-200,-200,-81,-89,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458783145,-17,-49,-53,-69,-57,-56,-60,-50,-45,-63,-52,-64,-66,-65,-58,-64,-59,-65,-63,-68,-81,-74,-69,-65,-200,-74,-76,-77,-79,-74,-82,-74,-67,-200,-80,-200,-200,-200,-63,-71,-200,-200,-80,-200,-200,-200,-70,-200,-78,-200,-83,-200,-88,-200,-200,-74,-200,-200,-200,-84,-79,-200,-77,-200,-200,-200,-81,-89,-76,-84,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458786212,-17,-50,-53,-47,-56,-57,-73,-50,-48,-62,-48,-64,-200,-65,-59,-63,-57,-62,-64,-200,-81,-74,-70,-65,-72,-74,-76,-76,-77,-74,-82,-74,-73,-200,-76,-200,-200,-200,-61,-64,-83,-82,-80,-200,-200,-200,-70,-200,-78,-200,-200,-82,-88,-200,-200,-200,-200,-200,-200,-84,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458789226,-20,-43,-54,-50,-56,-54,-62,-46,-44,-62,-50,-57,-200,-200,-57,-63,-65,-63,-63,-200,-76,-79,-73,-65,-76,-200,-76,-76,-79,-70,-81,-200,-69,-200,-76,-200,-200,-200,-57,-67,-88,-82,-200,-200,-200,-200,-61,-200,-200,-200,-86,-81,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526458792235,-18,-49,-54,-52,-56,-62,-62,-46,-46,-59,-50,-57,-71,-65,-54,-200,-63,-63,-66,-200,-79,-74,-70,-59,-85,-200,-77,-50,-78,-73,-81,-200,-69,-200,-200,-200,-200,-200,-61,-67,-88,-82,-200,-200,-200,-200,-61,-200,-71,-79,-85,-81,-200,-200,-200,-76,-200,-200,-89,-200,-200,-200,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526458795287,-18,-50,-54,-87,-58,-55,-62,-49,-48,-62,-50,-78,-71,-65,-58,-64,-62,-63,-66,-200,-80,-74,-69,-59,-70,-77,-77,-80,-78,-73,-50,-73,-64,-200,-80,-200,-200,-200,-60,-69,-85,-81,-200,-86,-86,-200,-200,-69,-71,-79,-85,-200,-200,-200,-83,-76,-200,-200,-200,-200,-200,-81,-79,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526458798364,-18,-51,-54,-51,-59,-59,-62,-50,-48,-62,-50,-77,-68,-65,-58,-73,-60,-63,-73,-200,-77,-73,-69,-59,-72,-77,-77,-77,-78,-75,-77,-73,-65,-200,-80,-200,-200,-200,-60,-74,-85,-81,-80,-86,-86,-200,-200,-69,-71,-87,-85,-200,-200,-200,-83,-76,-200,-200,-200,-200,-200,-81,-80,-200,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-80,-88,-89,-89,-200,-200,-200
1526458801410,-23,-49,-54,-52,-58,-56,-88,-49,-49,-62,-50,-63,-72,-61,-56,-73,-60,-62,-64,-70,-77,-75,-69,-62,-72,-200,-78,-75,-79,-76,-80,-73,-65,-200,-200,-200,-200,-200,-59,-74,-200,-200,-80,-200,-200,-86,-70,-200,-72,-87,-82,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-79,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-89,-89,-77,-87,-200
1526458804475,-17,-50,-54,-47,-56,-58,-59,-46,-48,-62,-50,-63,-67,-61,-59,-200,-60,-63,-64,-68,-77,-74,-68,-68,-71,-200,-77,-69,-77,-76,-80,-73,-68,-200,-200,-200,-200,-200,-59,-64,-200,-80,-50,-200,-200,-86,-74,-200,-72,-200,-82,-200,-200,-200,-200,-77,-82,-200,-200,-83,-200,-80,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-82,-87,-84
1526458807545,-24,-50,-54,-47,-59,-57,-60,-45,-46,-78,-49,-200,-70,-64,-58,-59,-76,-63,-65,-68,-200,-75,-69,-62,-71,-200,-77,-50,-78,-75,-50,-75,-69,-200,-200,-200,-85,-200,-59,-64,-200,-80,-81,-200,-86,-200,-74,-200,-200,-78,-200,-200,-200,-200,-200,-200,-82,-200,-200,-85,-200,-80,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-82,-200,-84
1526458810594,-17,-50,-52,-45,-61,-59,-65,-46,-52,-62,-50,-64,-71,-64,-57,-64,-57,-63,-65,-78,-80,-72,-69,-63,-72,-200,-76,-76,-78,-76,-76,-75,-65,-200,-200,-200,-86,-200,-59,-67,-200,-200,-81,-200,-87,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-77,-200,-200,-200,-85,-200,-200,-78,-200,-200,-200,-85,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200
