,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526459180792,-35,-48,-47,-54,-59,-51,-48,-55,-63,-59,-68,-59,-67,-63,-72,-77,-71,-73,-59,-87,-77,-65,-72,-200,-69,-200,-200,-76,-200,-200,-81,-200,-200,-75,-59,-200,-86,-200,-64,-69,-200,-75,-200,-77,-81,-200,-89,-68,-200,-200,-80,-200,-80,-84,-200,-200,-82,-200,-200,-200,-87,-200,-200,-200,-84,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459183840,-35,-48,-47,-56,-58,-66,-53,-68,-61,-59,-68,-56,-66,-62,-89,-76,-81,-69,-77,-87,-77,-67,-75,-200,-70,-200,-200,-200,-200,-200,-81,-200,-200,-75,-82,-200,-86,-200,-63,-69,-200,-74,-77,-77,-81,-200,-89,-70,-200,-200,-79,-200,-80,-84,-200,-200,-82,-200,-200,-200,-87,-200,-200,-200,-200,-200,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459186847,-30,-48,-47,-57,-59,-51,-51,-55,-59,-77,-68,-57,-66,-62,-89,-77,-72,-68,-77,-86,-200,-62,-70,-200,-70,-200,-200,-200,-200,-200,-77,-200,-200,-200,-77,-200,-200,-200,-62,-200,-200,-74,-78,-200,-200,-200,-200,-70,-200,-200,-79,-200,-200,-80,-200,-200,-87,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526459189904,-35,-49,-48,-59,-59,-50,-49,-53,-62,-61,-68,-56,-66,-62,-89,-77,-71,-68,-77,-86,-200,-65,-70,-200,-72,-200,-200,-200,-200,-85,-77,-200,-200,-71,-83,-200,-200,-200,-64,-200,-200,-77,-78,-76,-200,-200,-200,-70,-200,-200,-79,-200,-200,-80,-200,-200,-87,-200,-200,-200,-200,-200,-200,-90,-200,-91,-200,-89,-80,-90,-89,-90,-200,-200,-200,-200,-200,-200
1526459192916,-31,-49,-46,-56,-59,-50,-48,-54,-60,-58,-68,-56,-66,-66,-78,-77,-71,-90,-59,-200,-200,-67,-72,-200,-200,-200,-200,-76,-88,-200,-200,-200,-200,-73,-83,-200,-200,-200,-60,-71,-200,-76,-76,-80,-200,-200,-200,-71,-200,-200,-82,-200,-200,-200,-200,-92,-200,-85,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-86,-90,-91,-200,-200,-200
1526459195967,-35,-49,-47,-56,-59,-52,-85,-52,-58,-61,-68,-56,-66,-63,-71,-77,-80,-69,-76,-200,-200,-66,-73,-200,-67,-200,-84,-76,-84,-200,-200,-200,-200,-73,-82,-89,-86,-200,-62,-71,-200,-77,-76,-80,-200,-200,-200,-71,-200,-200,-79,-200,-81,-80,-200,-92,-200,-85,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-87,-90,-91,-81,-200,-200
1526459199022,-31,-48,-47,-51,-59,-49,-50,-54,-61,-75,-68,-56,-66,-62,-86,-77,-73,-69,-60,-87,-200,-65,-70,-200,-71,-200,-84,-76,-84,-200,-200,-200,-81,-71,-83,-89,-86,-200,-62,-74,-200,-73,-76,-80,-79,-200,-200,-71,-200,-200,-79,-200,-81,-80,-200,-84,-91,-85,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-86,-90,-91,-81,-200,-200
1526459202069,-31,-47,-47,-55,-58,-51,-53,-51,-59,-62,-69,-58,-76,-62,-71,-78,-72,-73,-77,-87,-79,-66,-70,-200,-68,-86,-200,-76,-87,-200,-200,-200,-81,-71,-83,-89,-200,-200,-65,-74,-200,-73,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-84,-91,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-81,-200
1526459205123,-38,-52,-49,-54,-57,-55,-55,-53,-63,-64,-71,-57,-68,-60,-71,-78,-72,-73,-76,-89,-79,-66,-70,-200,-72,-86,-200,-79,-87,-200,-77,-200,-81,-73,-83,-89,-200,-200,-64,-74,-200,-73,-200,-200,-79,-200,-200,-73,-200,-200,-84,-200,-82,-200,-200,-84,-83,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-81,-89
1526459208131,-32,-48,-45,-55,-56,-50,-50,-62,-62,-57,-68,-58,-59,-59,-74,-200,-72,-66,-56,-89,-77,-200,-68,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-72,-82,-200,-200,-200,-68,-70,-200,-200,-83,-73,-200,-200,-200,-72,-200,-200,-81,-200,-81,-81,-200,-200,-82,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459211176,-37,-48,-48,-54,-60,-51,-50,-57,-61,-63,-68,-55,-69,-58,-76,-200,-83,-67,-77,-87,-78,-66,-68,-200,-71,-200,-200,-200,-89,-200,-81,-200,-200,-73,-60,-88,-200,-200,-64,-70,-200,-75,-83,-73,-82,-200,-200,-72,-200,-200,-81,-200,-81,-81,-200,-200,-82,-81,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459214194,-31,-48,-48,-58,-59,-49,-49,-53,-62,-64,-69,-54,-67,-57,-76,-200,-83,-67,-78,-87,-78,-63,-68,-87,-70,-200,-200,-76,-89,-200,-78,-200,-200,-73,-59,-88,-200,-200,-61,-72,-200,-75,-83,-72,-82,-200,-200,-72,-200,-200,-81,-200,-83,-81,-200,-200,-82,-81,-200,-200,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
