,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526458264025,-32,-37,-35,-43,-54,-46,-47,-54,-56,-35,-71,-55,-66,-50,-57,-200,-61,-63,-68,-67,-71,-67,-62,-69,-65,-69,-62,-69,-200,-79,-65,-76,-200,-80,-81,-200,-200,-74,-73,-200,-55,-200,-200,-200,-77,-86,-200,-200,-200,-73,-68,-68,-200,-72,-74,-76,-200,-200,-79,-83,-66,-81,-200,-200,-200,-200,-200,-200,-88,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458264135,-32,-37,-35,-43,-54,-46,-47,-54,-56,-35,-71,-55,-66,-50,-57,-200,-61,-63,-68,-67,-71,-67,-62,-69,-65,-69,-62,-69,-200,-79,-65,-76,-200,-80,-81,-200,-200,-74,-73,-200,-55,-200,-200,-200,-77,-86,-200,-200,-200,-73,-68,-68,-200,-72,-74,-76,-200,-200,-79,-83,-66,-81,-200,-200,-200,-200,-200,-200,-88,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458267094,-31,-38,-35,-43,-53,-46,-46,-54,-56,-51,-53,-56,-63,-53,-55,-65,-61,-63,-66,-70,-71,-69,-62,-68,-65,-69,-61,-69,-200,-79,-65,-76,-200,-80,-81,-200,-200,-74,-73,-200,-82,-200,-200,-200,-76,-86,-200,-78,-89,-73,-68,-68,-200,-72,-74,-76,-200,-200,-79,-83,-66,-81,-200,-200,-200,-200,-200,-200,-88,-78,-87,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458267145,-31,-38,-35,-43,-53,-46,-46,-54,-56,-51,-53,-56,-63,-53,-55,-65,-61,-63,-66,-70,-71,-69,-62,-68,-65,-69,-61,-69,-200,-79,-65,-76,-200,-80,-81,-200,-200,-74,-73,-200,-82,-200,-200,-200,-76,-86,-200,-78,-89,-73,-68,-68,-200,-72,-74,-76,-200,-200,-79,-83,-66,-81,-200,-200,-200,-200,-200,-200,-88,-78,-87,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458270142,-31,-38,-35,-42,-54,-46,-47,-64,-57,-51,-53,-56,-63,-53,-59,-65,-200,-58,-66,-69,-70,-66,-61,-69,-65,-200,-61,-200,-200,-79,-200,-200,-200,-80,-200,-65,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-77,-88,-200,-68,-66,-200,-200,-200,-76,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-78,-200,-84,-85,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458270156,-31,-38,-35,-42,-54,-46,-47,-64,-57,-51,-53,-56,-63,-53,-59,-65,-200,-58,-66,-69,-70,-66,-61,-69,-65,-200,-61,-200,-200,-79,-200,-200,-200,-80,-200,-65,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-77,-88,-200,-68,-66,-200,-200,-200,-76,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-78,-200,-84,-85,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458273204,-32,-38,-34,-46,-52,-46,-47,-49,-56,-200,-55,-56,-63,-53,-59,-200,-59,-59,-68,-69,-70,-66,-62,-69,-65,-73,-85,-68,-200,-79,-66,-76,-200,-80,-70,-66,-200,-73,-73,-200,-83,-200,-200,-200,-56,-200,-77,-77,-89,-200,-68,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-81,-75,-76,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458273206,-32,-38,-34,-46,-52,-46,-47,-49,-56,-200,-55,-56,-63,-53,-59,-200,-59,-59,-68,-69,-70,-66,-62,-69,-65,-73,-85,-68,-200,-79,-66,-76,-200,-80,-70,-66,-200,-73,-73,-200,-83,-200,-200,-200,-56,-200,-77,-77,-89,-200,-68,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-81,-75,-76,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458276258,-31,-38,-44,-42,-53,-46,-47,-53,-56,-51,-54,-56,-64,-54,-59,-64,-59,-59,-68,-89,-69,-66,-62,-69,-65,-73,-68,-68,-200,-79,-66,-76,-200,-80,-70,-66,-200,-73,-73,-200,-83,-200,-200,-200,-75,-200,-77,-200,-89,-200,-200,-200,-67,-72,-200,-200,-200,-200,-200,-200,-66,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-71,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458276270,-31,-38,-44,-42,-53,-46,-47,-53,-56,-51,-54,-56,-64,-54,-59,-64,-59,-59,-68,-89,-69,-66,-62,-69,-65,-73,-68,-68,-200,-79,-66,-76,-200,-80,-70,-66,-200,-73,-73,-200,-83,-200,-200,-200,-75,-200,-77,-200,-89,-200,-200,-200,-67,-72,-200,-200,-200,-200,-200,-200,-66,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-71,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458279276,-31,-39,-53,-43,-53,-47,-47,-56,-69,-51,-54,-56,-63,-54,-54,-64,-61,-61,-200,-89,-70,-67,-62,-69,-65,-74,-60,-68,-200,-80,-200,-200,-200,-81,-200,-66,-200,-73,-71,-200,-82,-200,-200,-200,-76,-200,-78,-200,-200,-200,-67,-68,-67,-69,-71,-200,-200,-200,-200,-84,-67,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526458279316,-31,-39,-53,-43,-53,-47,-47,-56,-69,-51,-54,-56,-63,-54,-54,-64,-61,-61,-200,-89,-70,-67,-62,-69,-65,-74,-60,-68,-200,-80,-200,-200,-200,-81,-200,-66,-200,-73,-71,-200,-82,-200,-200,-200,-76,-200,-78,-200,-200,-200,-67,-68,-67,-69,-71,-200,-200,-200,-200,-84,-67,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526458282322,-31,-37,-35,-42,-54,-46,-46,-64,-54,-50,-55,-55,-65,-52,-58,-200,-54,-61,-200,-200,-70,-67,-62,-69,-65,-74,-69,-200,-200,-79,-64,-200,-200,-81,-200,-200,-200,-74,-73,-200,-82,-84,-200,-200,-76,-200,-78,-200,-200,-200,-70,-68,-200,-69,-71,-76,-200,-200,-200,-84,-67,-200,-200,-200,-200,-79,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526458282343,-31,-37,-35,-42,-54,-46,-46,-64,-54,-50,-55,-55,-65,-52,-58,-200,-54,-61,-200,-200,-70,-67,-62,-69,-65,-74,-69,-200,-200,-79,-64,-200,-200,-81,-200,-200,-200,-74,-73,-200,-82,-84,-200,-200,-76,-200,-78,-200,-200,-200,-70,-68,-200,-69,-71,-76,-200,-200,-200,-84,-67,-200,-200,-200,-200,-79,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526458285396,-31,-37,-43,-42,-54,-46,-46,-53,-55,-51,-52,-54,-65,-53,-61,-200,-62,-200,-200,-200,-200,-200,-60,-69,-65,-73,-69,-200,-200,-54,-65,-77,-200,-81,-200,-200,-200,-73,-73,-200,-200,-84,-200,-200,-74,-200,-200,-200,-89,-200,-70,-200,-200,-200,-200,-76,-200,-200,-80,-200,-200,-200,-200,-200,-200,-80,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-88,-89,-200,-200,-200,-200,-200,-200
1526458285400,-31,-37,-43,-42,-54,-46,-46,-53,-55,-51,-52,-54,-65,-53,-61,-200,-62,-200,-200,-200,-200,-200,-60,-69,-65,-73,-69,-200,-200,-54,-65,-77,-200,-81,-200,-200,-200,-73,-73,-200,-200,-84,-200,-200,-74,-200,-200,-200,-89,-200,-70,-200,-200,-200,-200,-76,-200,-200,-80,-200,-200,-200,-200,-200,-200,-80,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-88,-89,-200,-200,-200,-200,-200,-200
1526458288452,-31,-38,-35,-43,-53,-47,-45,-53,-57,-50,-54,-56,-64,-51,-55,-200,-62,-62,-200,-70,-200,-200,-62,-69,-65,-73,-62,-200,-78,-56,-67,-75,-200,-62,-200,-78,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-76,-89,-200,-200,-200,-200,-73,-75,-77,-200,-200,-80,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-80,-88,-89,-72,-79,-200,-200,-200,-200
1526458288462,-31,-38,-35,-43,-53,-47,-45,-53,-57,-50,-54,-56,-64,-51,-55,-200,-62,-62,-200,-70,-200,-200,-62,-69,-65,-73,-62,-200,-78,-56,-67,-75,-200,-62,-200,-78,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-76,-89,-200,-200,-200,-200,-73,-75,-77,-200,-200,-80,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-80,-88,-89,-72,-79,-200,-200,-200,-200
1526458291505,-31,-37,-35,-42,-54,-47,-47,-54,-57,-48,-53,-56,-62,-53,-54,-66,-61,-56,-200,-67,-200,-200,-61,-69,-65,-68,-60,-68,-78,-62,-67,-75,-200,-80,-200,-78,-200,-73,-73,-200,-82,-86,-200,-200,-76,-200,-200,-76,-89,-200,-200,-67,-69,-73,-73,-77,-200,-200,-79,-62,-66,-69,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-80,-200,-200,-200,-72,-79,-83,-200,-200,-200
1526458291520,-31,-37,-35,-42,-54,-47,-47,-54,-57,-48,-53,-56,-62,-53,-54,-66,-61,-56,-200,-67,-200,-200,-61,-69,-65,-68,-60,-68,-78,-62,-67,-75,-200,-80,-200,-78,-200,-73,-73,-200,-82,-86,-200,-200,-76,-200,-200,-76,-89,-200,-200,-67,-69,-73,-73,-77,-200,-200,-79,-62,-66,-69,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-80,-200,-200,-200,-72,-79,-83,-200,-200,-200
1526458294586,-31,-38,-35,-46,-52,-47,-47,-49,-57,-51,-53,-56,-62,-69,-56,-66,-62,-56,-200,-67,-200,-200,-62,-65,-63,-74,-70,-68,-89,-79,-65,-200,-72,-88,-89,-67,-200,-73,-56,-200,-200,-86,-200,-84,-76,-200,-200,-200,-200,-200,-200,-67,-70,-200,-73,-72,-200,-200,-79,-84,-66,-69,-72,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-200,-200,-200,-200,-200,-80,-83,-89,-200,-200
1526458294587,-31,-38,-35,-46,-52,-47,-47,-49,-57,-51,-53,-56,-62,-69,-56,-66,-62,-56,-200,-67,-200,-200,-62,-65,-63,-74,-70,-68,-89,-79,-65,-200,-72,-88,-89,-67,-200,-73,-56,-200,-200,-86,-200,-84,-76,-200,-200,-200,-200,-200,-200,-67,-70,-200,-73,-72,-200,-200,-79,-84,-66,-69,-72,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-200,-200,-200,-200,-200,-80,-83,-89,-200,-200
1526458297662,-30,-37,-44,-46,-54,-46,-48,-59,-57,-51,-57,-55,-64,-53,-58,-66,-62,-57,-69,-79,-64,-200,-62,-69,-65,-74,-70,-69,-89,-62,-65,-200,-74,-80,-89,-67,-200,-73,-73,-200,-200,-86,-200,-84,-76,-200,-200,-200,-200,-200,-71,-66,-70,-200,-73,-72,-200,-200,-79,-84,-67,-77,-72,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-200,-200,-200,-200,-200,-80,-83,-89,-76,-87
1526458297664,-30,-37,-44,-46,-54,-46,-48,-59,-57,-51,-57,-55,-64,-53,-58,-66,-62,-57,-69,-79,-64,-200,-62,-69,-65,-74,-70,-69,-89,-62,-65,-200,-74,-80,-89,-67,-200,-73,-73,-200,-200,-86,-200,-84,-76,-200,-200,-200,-200,-200,-71,-66,-70,-200,-73,-72,-200,-200,-79,-84,-67,-77,-72,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-87,-200,-200,-200,-200,-200,-80,-83,-89,-76,-87
1526458300728,-31,-37,-35,-47,-54,-47,-47,-59,-56,-49,-53,-56,-64,-52,-69,-200,-62,-57,-69,-69,-66,-200,-62,-65,-65,-200,-58,-69,-200,-76,-64,-200,-74,-80,-200,-66,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-200,-200,-200,-71,-68,-200,-200,-74,-200,-200,-200,-200,-84,-67,-77,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-87
1526458300732,-31,-37,-35,-47,-54,-47,-47,-59,-56,-49,-53,-56,-64,-52,-69,-200,-62,-57,-69,-69,-66,-200,-62,-65,-65,-200,-58,-69,-200,-76,-64,-200,-74,-80,-200,-66,-200,-73,-73,-200,-82,-200,-200,-200,-76,-200,-200,-200,-200,-200,-71,-68,-200,-200,-74,-200,-200,-200,-200,-84,-67,-77,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-87
1526458303733,-31,-22,-36,-41,-54,-46,-45,-79,-56,-50,-68,-55,-63,-52,-55,-62,-62,-61,-66,-70,-70,-80,-61,-68,-65,-200,-83,-200,-200,-55,-64,-77,-200,-79,-200,-66,-200,-74,-73,-200,-82,-200,-82,-200,-76,-87,-68,-200,-89,-200,-200,-68,-71,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526458303737,-31,-22,-36,-41,-54,-46,-45,-79,-56,-50,-68,-55,-63,-52,-55,-62,-62,-61,-66,-70,-70,-80,-61,-68,-65,-200,-83,-200,-200,-55,-64,-77,-200,-79,-200,-66,-200,-74,-73,-200,-82,-200,-82,-200,-76,-87,-68,-200,-89,-200,-200,-68,-71,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526458306787,-32,-36,-43,-46,-53,-46,-46,-53,-68,-53,-53,-56,-64,-50,-55,-62,-59,-61,-66,-70,-70,-66,-62,-68,-65,-200,-83,-200,-200,-79,-66,-77,-200,-80,-200,-67,-200,-74,-73,-200,-83,-200,-82,-200,-76,-86,-68,-77,-89,-200,-69,-65,-71,-200,-200,-200,-200,-200,-200,-200,-63,-70,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526458306796,-32,-36,-43,-46,-53,-46,-46,-53,-68,-53,-53,-56,-64,-50,-55,-62,-59,-61,-66,-70,-70,-66,-62,-68,-65,-200,-83,-200,-200,-79,-66,-77,-200,-80,-200,-67,-200,-74,-73,-200,-83,-200,-82,-200,-76,-86,-68,-77,-89,-200,-69,-65,-71,-200,-200,-200,-200,-200,-200,-200,-63,-70,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
