,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
1526450975118,-41,-41,-43,-57,-53,-49,-66,-60,-79,-61,-58,-65,-79,-74,-80,-76,-71,-60,-66,-66,-63,-200,-64,-75,-78,-78,-80,-79,-73,-85,-75,-79,-75,-86,-83,-81,-84,-91,-89,-81,-87,-81,-89,-91,-90,-200,-85,-79,-200,-89,-90,-87,-91,-94,-92,-200,-200,-96,-89,-95,-200,-90,-200,-91,-90,-95,-200,-200,-90,-96,-97,-92,-200,-200,-200,-97,-95,-85,-84,-92,-200,-200,-90,-92,-98,-97,-93,-97,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450975124,-41,-41,-43,-57,-53,-49,-66,-60,-79,-61,-58,-65,-79,-74,-80,-76,-71,-60,-66,-66,-63,-200,-64,-75,-78,-78,-80,-79,-73,-85,-75,-79,-75,-86,-83,-81,-84,-91,-89,-81,-87,-81,-89,-91,-90,-200,-85,-79,-200,-89,-90,-87,-91,-94,-92,-200,-200,-96,-89,-95,-200,-90,-200,-91,-90,-95,-200,-200,-90,-96,-97,-92,-200,-200,-200,-97,-95,-85,-84,-92,-200,-200,-90,-92,-98,-97,-93,-97,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450978161,-42,-43,-42,-57,-52,-49,-65,-62,-68,-60,-57,-64,-79,-80,-81,-76,-69,-59,-71,-66,-65,-200,-64,-76,-78,-81,-80,-82,-74,-86,-73,-80,-77,-86,-83,-81,-82,-89,-84,-80,-87,-81,-89,-93,-90,-200,-85,-79,-200,-86,-91,-86,-92,-96,-91,-200,-200,-96,-90,-95,-200,-90,-91,-91,-90,-95,-200,-200,-91,-96,-200,-92,-200,-200,-200,-200,-95,-85,-87,-90,-200,-200,-90,-98,-98,-85,-200,-97,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450978165,-42,-43,-42,-57,-52,-49,-65,-62,-68,-60,-57,-64,-79,-80,-81,-76,-69,-59,-71,-66,-65,-200,-64,-76,-78,-81,-80,-82,-74,-86,-73,-80,-77,-86,-83,-81,-82,-89,-84,-80,-87,-81,-89,-93,-90,-200,-85,-79,-200,-86,-91,-86,-92,-96,-91,-200,-200,-96,-90,-95,-200,-90,-91,-91,-90,-95,-200,-200,-91,-96,-200,-92,-200,-200,-200,-200,-95,-85,-87,-90,-200,-200,-90,-98,-98,-85,-200,-97,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450981229,-42,-42,-42,-57,-52,-50,-65,-56,-76,-60,-56,-66,-77,-81,-78,-84,-70,-64,-65,-68,-65,-200,-63,-76,-77,-81,-79,-82,-72,-82,-71,-78,-75,-84,-85,-74,-82,-89,-84,-82,-86,-80,-87,-93,-90,-200,-86,-79,-200,-86,-76,-87,-93,-96,-91,-200,-200,-97,-90,-200,-200,-91,-91,-92,-92,-95,-200,-200,-87,-94,-200,-93,-200,-200,-200,-200,-93,-85,-85,-89,-200,-96,-89,-98,-200,-85,-200,-97,-200,-95,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450981232,-42,-42,-42,-57,-52,-50,-65,-56,-76,-60,-56,-66,-77,-81,-78,-84,-70,-64,-65,-68,-65,-200,-63,-76,-77,-81,-79,-82,-72,-82,-71,-78,-75,-84,-85,-74,-82,-89,-84,-82,-86,-80,-87,-93,-90,-200,-86,-79,-200,-86,-76,-87,-93,-96,-91,-200,-200,-97,-90,-200,-200,-91,-91,-92,-92,-95,-200,-200,-87,-94,-200,-93,-200,-200,-200,-200,-93,-85,-85,-89,-200,-96,-89,-98,-200,-85,-200,-97,-200,-95,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450984276,-42,-41,-43,-56,-53,-50,-66,-60,-75,-61,-55,-67,-80,-80,-80,-76,-70,-63,-65,-65,-58,-200,-64,-75,-78,-78,-78,-84,-73,-85,-75,-78,-76,-86,-85,-83,-82,-88,-86,-81,-86,-82,-89,-95,-90,-200,-86,-79,-94,-86,-92,-86,-93,-93,-90,-200,-200,-97,-90,-200,-200,-91,-79,-92,-91,-99,-200,-200,-87,-89,-200,-92,-200,-200,-200,-96,-93,-83,-84,-89,-98,-96,-89,-98,-200,-85,-200,-200,-95,-97,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450984279,-42,-41,-43,-56,-53,-50,-66,-60,-75,-61,-55,-67,-80,-80,-80,-76,-70,-63,-65,-65,-58,-200,-64,-75,-78,-78,-78,-84,-73,-85,-75,-78,-76,-86,-85,-83,-82,-88,-86,-81,-86,-82,-89,-95,-90,-200,-86,-79,-94,-86,-92,-86,-93,-93,-90,-200,-200,-97,-90,-200,-200,-91,-79,-92,-91,-99,-200,-200,-87,-89,-200,-92,-200,-200,-200,-96,-93,-83,-84,-89,-98,-96,-89,-98,-200,-85,-200,-200,-95,-97,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450987328,-43,-41,-40,-57,-51,-53,-63,-61,-79,-61,-56,-66,-79,-78,-80,-76,-72,-59,-68,-67,-64,-200,-65,-76,-78,-78,-80,-84,-71,-86,-73,-77,-79,-85,-85,-83,-83,-87,-89,-79,-86,-81,-86,-95,-200,-200,-86,-79,-94,-87,-90,-87,-94,-93,-90,-200,-200,-93,-88,-94,-200,-90,-95,-91,-92,-95,-200,-200,-90,-92,-200,-92,-200,-200,-200,-94,-200,-83,-86,-91,-97,-96,-91,-97,-200,-200,-200,-96,-97,-96,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450987332,-43,-41,-40,-57,-51,-53,-63,-61,-79,-61,-56,-66,-79,-78,-80,-76,-72,-59,-68,-67,-64,-200,-65,-76,-78,-78,-80,-84,-71,-86,-73,-77,-79,-85,-85,-83,-83,-87,-89,-79,-86,-81,-86,-95,-200,-200,-86,-79,-94,-87,-90,-87,-94,-93,-90,-200,-200,-93,-88,-94,-200,-90,-95,-91,-92,-95,-200,-200,-90,-92,-200,-92,-200,-200,-200,-94,-200,-83,-86,-91,-97,-96,-91,-97,-200,-200,-200,-96,-97,-96,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450990383,-43,-41,-44,-58,-55,-50,-67,-62,-67,-62,-56,-65,-78,-81,-80,-79,-70,-61,-69,-65,-64,-200,-68,-76,-78,-78,-78,-86,-74,-86,-72,-79,-78,-86,-200,-200,-82,-89,-88,-80,-87,-80,-90,-91,-200,-200,-87,-79,-94,-88,-91,-85,-94,-94,-95,-200,-200,-98,-89,-91,-200,-89,-93,-91,-92,-97,-200,-200,-89,-95,-200,-92,-200,-200,-200,-100,-95,-83,-86,-91,-97,-96,-91,-95,-200,-87,-200,-97,-97,-96,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450990387,-43,-41,-44,-58,-55,-50,-67,-62,-67,-62,-56,-65,-78,-81,-80,-79,-70,-61,-69,-65,-64,-200,-68,-76,-78,-78,-78,-86,-74,-86,-72,-79,-78,-86,-200,-200,-82,-89,-88,-80,-87,-80,-90,-91,-200,-200,-87,-79,-94,-88,-91,-85,-94,-94,-95,-200,-200,-98,-89,-91,-200,-89,-93,-91,-92,-97,-200,-200,-89,-95,-200,-92,-200,-200,-200,-100,-95,-83,-86,-91,-97,-96,-91,-95,-200,-87,-200,-97,-97,-96,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450993435,-42,-41,-42,-58,-53,-52,-67,-63,-71,-62,-56,-66,-80,-77,-81,-75,-70,-61,-70,-64,-59,-200,-65,-78,-78,-79,-81,-85,-76,-85,-76,-79,-76,-80,-87,-80,-83,-88,-89,-80,-86,-81,-89,-96,-200,-200,-87,-81,-200,-88,-90,-90,-94,-95,-93,-200,-200,-92,-90,-91,-200,-89,-94,-91,-92,-97,-200,-200,-88,-91,-200,-91,-200,-200,-200,-100,-92,-83,-84,-95,-96,-96,-90,-97,-200,-87,-200,-97,-97,-98,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450993435,-42,-41,-42,-58,-53,-52,-67,-63,-71,-62,-56,-66,-80,-77,-81,-75,-70,-61,-70,-64,-59,-200,-65,-78,-78,-79,-81,-85,-76,-85,-76,-79,-76,-80,-87,-80,-83,-88,-89,-80,-86,-81,-89,-96,-200,-200,-87,-81,-200,-88,-90,-90,-94,-95,-93,-200,-200,-92,-90,-91,-200,-89,-94,-91,-92,-97,-200,-200,-88,-91,-200,-91,-200,-200,-200,-100,-92,-83,-84,-95,-96,-96,-90,-97,-200,-87,-200,-97,-97,-98,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450996491,-42,-40,-42,-58,-55,-52,-66,-61,-67,-63,-58,-66,-79,-75,-81,-79,-72,-58,-67,-67,-61,-200,-66,-84,-79,-80,-66,-78,-77,-85,-76,-79,-77,-85,-87,-74,-82,-86,-85,-79,-87,-81,-87,-95,-200,-200,-87,-82,-94,-86,-89,-88,-91,-95,-93,-200,-200,-96,-91,-91,-200,-90,-94,-92,-89,-97,-200,-200,-88,-91,-200,-91,-95,-200,-96,-95,-92,-200,-87,-93,-96,-96,-90,-96,-200,-200,-200,-200,-94,-98,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450996493,-42,-40,-42,-58,-55,-52,-66,-61,-67,-63,-58,-66,-79,-75,-81,-79,-72,-58,-67,-67,-61,-200,-66,-84,-79,-80,-66,-78,-77,-85,-76,-79,-77,-85,-87,-74,-82,-86,-85,-79,-87,-81,-87,-95,-200,-200,-87,-82,-94,-86,-89,-88,-91,-95,-93,-200,-200,-96,-91,-91,-200,-90,-94,-92,-89,-97,-200,-200,-88,-91,-200,-91,-95,-200,-96,-95,-92,-200,-87,-93,-96,-96,-90,-96,-200,-200,-200,-200,-94,-98,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450999550,-40,-49,-42,-58,-52,-52,-66,-63,-76,-67,-57,-65,-77,-77,-77,-78,-69,-62,-69,-65,-62,-200,-66,-76,-78,-80,-80,-87,-78,-88,-72,-79,-78,-84,-87,-80,-88,-92,-86,-83,-87,-79,-93,-95,-88,-200,-85,-81,-94,-87,-86,-87,-92,-93,-90,-200,-200,-96,-90,-200,-200,-90,-200,-92,-94,-97,-200,-200,-90,-94,-200,-92,-95,-200,-96,-98,-93,-80,-84,-92,-96,-96,-90,-95,-96,-200,-200,-200,-94,-99,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450999551,-40,-49,-42,-58,-52,-52,-66,-63,-76,-67,-57,-65,-77,-77,-77,-78,-69,-62,-69,-65,-62,-200,-66,-76,-78,-80,-80,-87,-78,-88,-72,-79,-78,-84,-87,-80,-88,-92,-86,-83,-87,-79,-93,-95,-88,-200,-85,-81,-94,-87,-86,-87,-92,-93,-90,-200,-200,-96,-90,-200,-200,-90,-200,-92,-94,-97,-200,-200,-90,-94,-200,-92,-95,-200,-96,-98,-93,-80,-84,-92,-96,-96,-90,-95,-96,-200,-200,-200,-94,-99,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
