,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526441364437,-200,-200,-200,-200,-200,-79,-84,-200,-200,-200,-69,-200,-83,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526441364654,-74,-84,-200,-200,-83,-74,-85,-73,-200,-200,-65,-200,-200,-74,-96,-83,-100,-200,-200,-200,-86,-88,-200
1526441369479,-200,-84,-73,-200,-200,-74,-200,-76,-200,-200,-66,-200,-76,-200,-96,-200,-90,-200,-200,-200,-200,-87,-200
1526441369593,-74,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-94,-200,-200,-200,-83,-200,-200,-200,-200
1526441369731,-74,-200,-75,-80,-83,-200,-200,-200,-73,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441374357,-68,-82,-200,-200,-80,-200,-75,-74,-74,-87,-200,-88,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526441374467,-200,-200,-82,-200,-200,-200,-200,-74,-74,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441374582,-200,-81,-82,-88,-81,-79,-75,-74,-74,-86,-200,-87,-200,-200,-99,-200,-93,-86,-200,-90,-200,-200,-200
1526441374713,-68,-200,-200,-200,-200,-200,-75,-74,-74,-200,-65,-88,-200,-200,-200,-77,-200,-200,-84,-200,-83,-200,-200
1526441379345,-68,-87,-200,-79,-83,-78,-76,-67,-78,-200,-66,-200,-200,-200,-200,-87,-200,-200,-200,-200,-84,-200,-200
1526441379435,-68,-88,-200,-200,-83,-77,-200,-68,-79,-200,-66,-200,-82,-200,-200,-88,-200,-200,-84,-88,-200,-200,-200
1526441379551,-69,-88,-200,-200,-83,-77,-76,-67,-79,-200,-65,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526441379649,-200,-88,-200,-200,-200,-76,-84,-68,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526441384313,-75,-84,-77,-83,-200,-74,-200,-76,-73,-200,-200,-200,-78,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526441384490,-200,-200,-77,-200,-82,-74,-200,-76,-200,-200,-68,-200,-78,-79,-95,-200,-88,-200,-84,-200,-83,-200,-200
1526441384597,-200,-200,-77,-200,-200,-74,-200,-76,-73,-200,-67,-200,-78,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526441384722,-200,-200,-77,-200,-200,-79,-200,-200,-200,-87,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526441389347,-200,-82,-83,-200,-80,-200,-75,-77,-70,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-86,-200,-200
1526441389457,-68,-83,-83,-86,-200,-200,-75,-78,-69,-86,-200,-200,-200,-75,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526441389628,-68,-200,-200,-200,-79,-78,-75,-200,-69,-86,-200,-88,-200,-76,-200,-200,-95,-85,-200,-200,-200,-200,-200
1526441389681,-68,-200,-200,-86,-80,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526441394327,-68,-200,-200,-200,-86,-200,-200,-67,-200,-200,-200,-200,-80,-73,-200,-86,-200,-200,-86,-88,-82,-200,-200
1526441394425,-200,-200,-200,-200,-86,-75,-79,-67,-76,-200,-200,-200,-80,-72,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526441394534,-200,-200,-200,-200,-88,-200,-77,-66,-200,-200,-66,-200,-80,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200
1526441394628,-68,-89,-82,-200,-85,-77,-200,-200,-200,-200,-66,-200,-82,-200,-200,-200,-90,-87,-200,-200,-200,-200,-89
1526441399327,-74,-200,-74,-200,-82,-74,-69,-77,-200,-85,-69,-200,-80,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526441399447,-74,-200,-200,-200,-82,-74,-70,-76,-200,-85,-200,-200,-81,-79,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526441399552,-74,-200,-74,-200,-82,-74,-71,-78,-200,-200,-69,-200,-81,-200,-200,-200,-90,-200,-83,-200,-83,-86,-200
1526441399686,-73,-200,-200,-200,-200,-200,-200,-200,-74,-85,-69,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526441404376,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-85,-200,-200,-200,-200
1526441409341,-69,-91,-200,-78,-84,-76,-76,-67,-79,-200,-65,-200,-200,-200,-200,-200,-200,-85,-85,-200,-200,-200,-88
1526441409451,-200,-200,-200,-200,-200,-76,-76,-67,-200,-200,-65,-89,-200,-200,-200,-200,-92,-85,-85,-87,-200,-200,-200
1526441409545,-200,-200,-200,-78,-85,-76,-76,-67,-79,-200,-65,-88,-80,-200,-200,-200,-92,-85,-200,-200,-200,-200,-200
1526441409666,-69,-90,-78,-78,-200,-76,-76,-200,-200,-200,-200,-200,-200,-84,-98,-84,-200,-85,-200,-200,-200,-200,-200
1526441414381,-74,-85,-200,-200,-81,-200,-69,-200,-200,-200,-66,-200,-200,-200,-200,-200,-92,-200,-200,-200,-82,-200,-200
1526441414536,-74,-200,-74,-85,-81,-200,-70,-200,-74,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-85,-200
1526441414665,-74,-200,-74,-200,-81,-200,-69,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200
