,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309
1526450761658,-38,-33,-28,-37,-48,-43,-43,-51,-49,-49,-42,-51,-57,-64,-58,-49,-49,-52,-56,-62,-54,-59,-50,-52,-58,-72,-200,-52,-57,-54,-64,-61,-69,-65,-60,-60,-60,-63,-77,-70,-66,-62,-200,-66,-76,-75,-79,-80,-75,-77,-84,-81,-200,-80,-85,-89,-72,-200,-200,-64,-70,-78,-50,-85,-88,-78,-89,-200,-200,-200,-200,-200
1526450764677,-34,-33,-31,-41,-49,-42,-43,-51,-49,-49,-38,-48,-55,-62,-58,-50,-49,-52,-56,-62,-54,-58,-57,-53,-58,-68,-200,-52,-57,-54,-64,-62,-69,-65,-59,-59,-61,-63,-75,-70,-66,-64,-200,-69,-75,-75,-79,-79,-73,-74,-84,-81,-200,-79,-84,-89,-72,-200,-200,-61,-200,-200,-52,-85,-88,-78,-89,-200,-200,-200,-200,-200
1526450767708,-35,-35,-31,-38,-48,-42,-43,-51,-49,-41,-37,-50,-55,-62,-58,-51,-49,-52,-55,-62,-54,-58,-57,-53,-58,-68,-200,-53,-57,-59,-64,-62,-200,-65,-59,-55,-61,-63,-75,-70,-66,-66,-200,-70,-75,-79,-77,-79,-77,-78,-84,-80,-200,-79,-87,-89,-200,-200,-80,-61,-200,-200,-52,-85,-88,-78,-89,-91,-200,-200,-200,-200
1526450770736,-15,-35,-13,-38,-47,-43,-44,-51,-49,-47,-41,-50,-58,-62,-58,-51,-49,-58,-59,-62,-54,-61,-57,-51,-200,-68,-200,-53,-57,-55,-63,-63,-200,-65,-59,-55,-58,-61,-75,-71,-66,-62,-200,-67,-75,-75,-77,-79,-77,-75,-84,-77,-200,-82,-85,-89,-200,-200,-80,-62,-200,-200,-52,-200,-89,-78,-89,-91,-200,-200,-200,-200
1526450773756,-31,-35,-29,-39,-48,-43,-44,-51,-49,-49,-42,-50,-57,-60,-58,-52,-200,-58,-58,-62,-54,-61,-57,-53,-200,-69,-200,-53,-200,-55,-64,-63,-200,-200,-61,-55,-58,-61,-75,-67,-200,-61,-200,-66,-80,-75,-78,-79,-76,-76,-84,-78,-200,-83,-82,-89,-200,-200,-80,-62,-200,-200,-52,-200,-89,-78,-89,-91,-66,-200,-200,-200
1526450776785,-34,-35,-29,-42,-48,-43,-46,-200,-200,-49,-40,-50,-57,-61,-58,-54,-200,-58,-58,-62,-200,-58,-65,-53,-200,-69,-200,-51,-200,-55,-64,-63,-200,-200,-57,-56,-58,-60,-75,-67,-200,-64,-200,-70,-73,-75,-74,-77,-78,-74,-80,-78,-200,-84,-85,-200,-200,-200,-80,-62,-200,-200,-52,-200,-88,-78,-89,-91,-66,-82,-200,-200
1526450779813,-35,-35,-31,-41,-48,-43,-46,-200,-200,-49,-39,-51,-57,-61,-58,-57,-200,-58,-57,-62,-200,-59,-65,-53,-200,-72,-200,-52,-200,-55,-64,-62,-200,-200,-57,-56,-61,-60,-80,-68,-200,-64,-200,-66,-73,-75,-78,-77,-75,-75,-80,-78,-200,-84,-86,-200,-200,-200,-80,-62,-200,-200,-52,-200,-88,-78,-89,-91,-66,-82,-81,-200
1526450782839,-35,-35,-29,-41,-48,-43,-45,-200,-200,-49,-39,-50,-57,-60,-58,-55,-200,-58,-57,-62,-200,-60,-65,-51,-200,-68,-200,-53,-200,-55,-64,-62,-200,-200,-61,-56,-61,-60,-80,-68,-200,-64,-200,-66,-73,-75,-79,-77,-75,-75,-80,-77,-200,-81,-84,-200,-200,-200,-80,-62,-72,-200,-55,-200,-87,-200,-200,-91,-66,-81,-81,-200
1526450785862,-35,-33,-28,-41,-49,-44,-45,-200,-200,-49,-39,-50,-57,-60,-58,-51,-55,-58,-57,-62,-200,-60,-61,-51,-200,-69,-200,-52,-200,-58,-65,-62,-200,-200,-61,-55,-60,-60,-80,-67,-200,-66,-200,-66,-73,-76,-78,-77,-76,-75,-80,-77,-200,-84,-87,-200,-200,-200,-80,-62,-72,-200,-55,-200,-87,-200,-200,-91,-66,-81,-81,-86
1526450788892,-35,-35,-30,-41,-49,-43,-45,-200,-200,-49,-39,-52,-57,-60,-55,-56,-55,-59,-57,-59,-200,-60,-59,-51,-200,-69,-200,-52,-200,-57,-61,-62,-200,-200,-62,-55,-61,-59,-80,-67,-200,-66,-200,-66,-73,-77,-78,-77,-76,-75,-80,-77,-200,-83,-87,-200,-200,-200,-80,-62,-72,-200,-54,-200,-87,-200,-200,-200,-66,-81,-81,-86
1526450791915,-35,-35,-30,-40,-49,-43,-45,-200,-200,-49,-42,-50,-58,-61,-55,-57,-55,-55,-56,-59,-200,-60,-59,-52,-200,-69,-200,-49,-200,-56,-64,-62,-200,-200,-62,-55,-61,-61,-80,-67,-200,-62,-200,-66,-73,-77,-77,-79,-74,-76,-80,-78,-200,-83,-83,-200,-200,-200,-80,-65,-72,-200,-55,-200,-87,-200,-200,-200,-66,-81,-81,-86
1526450794943,-35,-35,-28,-39,-49,-43,-45,-200,-200,-49,-42,-50,-54,-61,-55,-52,-55,-55,-56,-63,-200,-59,-58,-52,-200,-69,-200,-50,-200,-56,-62,-63,-200,-200,-62,-55,-61,-61,-80,-67,-200,-62,-200,-66,-78,-76,-76,-79,-77,-76,-80,-80,-200,-84,-82,-200,-200,-200,-80,-65,-72,-200,-55,-200,-89,-200,-200,-200,-200,-81,-81,-86
