,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526451642524,-38,-32,-30,-47,-52,-33,-42,-51,-52,-57,-51,-53,-51,-49,-43,-200,-56,-63,-200,-72,-61,-56,-50,-69,-200,-200,-74,-200,-54,-65,-200,-83,-62,-74,-70,-78,-82,-86,-76,-83,-81,-63,-67,-70,-71,-88,-70,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451645535,-38,-32,-30,-47,-52,-33,-42,-51,-52,-57,-51,-53,-51,-49,-43,-200,-56,-63,-200,-72,-61,-56,-50,-69,-200,-200,-74,-200,-54,-65,-200,-83,-62,-74,-70,-78,-82,-86,-76,-83,-81,-63,-67,-70,-71,-88,-70,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451648568,-37,-32,-28,-47,-49,-32,-42,-51,-54,-57,-51,-52,-48,-50,-43,-57,-57,-55,-72,-72,-62,-56,-48,-68,-200,-200,-74,-200,-56,-65,-200,-82,-62,-74,-72,-79,-85,-87,-78,-80,-81,-63,-67,-70,-67,-88,-67,-87,-60,-65,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526451651591,-37,-32,-28,-47,-49,-32,-42,-51,-54,-57,-51,-52,-48,-50,-43,-57,-57,-55,-72,-72,-62,-56,-48,-68,-200,-200,-74,-200,-56,-65,-200,-82,-62,-74,-72,-79,-85,-87,-78,-80,-81,-63,-67,-70,-67,-88,-67,-87,-60,-65,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526451654618,-36,-31,-32,-47,-49,-32,-42,-48,-55,-57,-51,-52,-48,-53,-43,-57,-61,-54,-72,-72,-60,-60,-48,-66,-73,-65,-74,-200,-56,-65,-200,-82,-63,-75,-70,-77,-85,-89,-82,-80,-81,-200,-67,-200,-67,-88,-67,-87,-61,-65,-77,-67,-200,-200,-200,-200,-200,-200,-200
1526451657650,-36,-31,-32,-47,-49,-32,-42,-48,-55,-57,-51,-52,-48,-53,-43,-57,-61,-54,-72,-72,-60,-60,-48,-66,-73,-65,-74,-200,-56,-65,-200,-82,-63,-75,-70,-77,-85,-89,-82,-80,-81,-200,-67,-200,-67,-88,-67,-87,-61,-65,-77,-67,-200,-200,-200,-200,-200,-200,-200
1526451660662,-36,-31,-31,-47,-51,-31,-46,-48,-55,-60,-52,-52,-50,-53,-43,-57,-61,-53,-72,-200,-60,-60,-48,-66,-73,-65,-74,-200,-56,-65,-200,-82,-63,-76,-70,-78,-84,-89,-79,-81,-81,-200,-67,-200,-67,-87,-67,-88,-59,-65,-77,-67,-200,-200,-200,-200,-200,-200,-200
1526451663691,-36,-31,-31,-47,-51,-31,-46,-48,-55,-60,-52,-52,-50,-53,-43,-57,-61,-53,-72,-200,-60,-60,-48,-66,-73,-65,-74,-200,-56,-65,-200,-82,-63,-76,-70,-78,-84,-89,-79,-81,-81,-200,-67,-200,-67,-87,-67,-88,-59,-65,-77,-67,-200,-200,-200,-200,-200,-200,-200
1526451666717,-36,-31,-28,-47,-51,-31,-46,-46,-57,-60,-48,-52,-50,-55,-46,-57,-58,-58,-72,-200,-64,-60,-50,-59,-73,-67,-74,-200,-54,-65,-200,-82,-67,-82,-71,-76,-85,-85,-75,-85,-81,-200,-69,-200,-68,-87,-67,-88,-57,-65,-77,-67,-66,-76,-200,-200,-200,-200,-200
1526451669744,-36,-31,-28,-47,-51,-31,-46,-46,-57,-60,-48,-52,-50,-55,-46,-57,-58,-58,-72,-200,-64,-60,-50,-59,-73,-67,-74,-200,-54,-65,-200,-82,-67,-82,-71,-76,-85,-85,-75,-85,-81,-200,-69,-200,-68,-87,-67,-88,-57,-65,-77,-67,-66,-76,-200,-200,-200,-200,-200
1526451672776,-33,-31,-33,-47,-51,-33,-46,-51,-61,-59,-48,-52,-53,-55,-52,-57,-57,-58,-72,-200,-68,-60,-50,-59,-73,-68,-200,-200,-56,-68,-77,-80,-65,-79,-73,-76,-83,-86,-75,-85,-83,-200,-69,-200,-68,-87,-67,-88,-57,-65,-77,-63,-66,-76,-91,-200,-200,-200,-200
1526451675805,-33,-31,-33,-47,-51,-33,-46,-51,-61,-59,-48,-52,-53,-55,-52,-57,-57,-58,-72,-200,-68,-60,-50,-59,-73,-68,-200,-200,-56,-68,-77,-80,-65,-79,-73,-76,-83,-86,-75,-85,-83,-200,-69,-200,-68,-87,-67,-88,-57,-65,-77,-63,-66,-76,-91,-200,-200,-200,-200
1526451678830,-34,-31,-35,-200,-52,-38,-46,-52,-57,-57,-52,-56,-53,-58,-48,-200,-54,-57,-72,-200,-64,-57,-52,-59,-73,-70,-72,-200,-62,-68,-77,-80,-67,-79,-73,-75,-86,-86,-76,-86,-84,-200,-71,-200,-68,-87,-200,-88,-56,-200,-200,-63,-66,-76,-91,-64,-67,-81,-89
