,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526451790637,-26,-40,-50,-46,-50,-65,-54,-31,-58,-44,-49,-63,-60,-58,-69,-65,-55,-200,-200,-200,-200,-64,-62,-60,-200,-70,-200,-200,-200,-200,-200,-76,-200,-68,-78,-85,-75,-200,-87,-200,-200,-64,-70,-78,-86,-88,-75,-87,-67,-200,-200,-200,-200
1526451793663,-26,-40,-50,-46,-50,-65,-54,-31,-58,-44,-49,-63,-60,-58,-69,-65,-55,-200,-200,-200,-200,-64,-62,-60,-200,-70,-200,-200,-200,-200,-200,-76,-200,-68,-78,-85,-75,-200,-87,-200,-200,-64,-70,-78,-86,-88,-75,-87,-67,-200,-200,-200,-200
1526451796688,-27,-36,-44,-46,-52,-65,-56,-35,-60,-44,-54,-63,-67,-62,-70,-64,-55,-200,-77,-200,-200,-65,-58,-60,-200,-70,-200,-200,-200,-200,-200,-76,-200,-68,-80,-85,-75,-200,-87,-200,-200,-64,-70,-200,-86,-200,-75,-87,-71,-79,-80,-200,-200
1526451799696,-27,-36,-44,-46,-52,-65,-56,-35,-60,-44,-54,-63,-67,-62,-70,-64,-55,-200,-77,-200,-200,-65,-58,-60,-200,-70,-200,-200,-200,-200,-200,-76,-200,-68,-80,-85,-75,-200,-87,-200,-200,-64,-70,-200,-86,-200,-75,-87,-71,-79,-80,-200,-200
1526451802720,-31,-36,-46,-44,-52,-61,-56,-35,-59,-47,-54,-63,-67,-62,-70,-64,-55,-200,-77,-200,-200,-65,-58,-60,-200,-72,-200,-200,-67,-200,-200,-73,-200,-67,-84,-200,-77,-200,-83,-200,-200,-64,-70,-200,-86,-200,-200,-87,-71,-79,-80,-200,-200
1526451805731,-31,-36,-42,-44,-58,-61,-57,-35,-59,-48,-54,-63,-68,-62,-70,-68,-61,-200,-77,-200,-200,-65,-57,-57,-200,-72,-200,-200,-67,-200,-200,-75,-77,-71,-82,-87,-74,-200,-87,-200,-200,-73,-75,-200,-83,-200,-200,-87,-71,-79,-80,-200,-200
1526451808748,-31,-35,-49,-41,-48,-61,-55,-35,-59,-46,-57,-60,-61,-62,-66,-68,-61,-200,-77,-200,-200,-69,-65,-56,-200,-69,-200,-200,-67,-200,-200,-75,-77,-74,-79,-87,-75,-200,-87,-200,-200,-73,-75,-200,-84,-200,-200,-87,-69,-79,-80,-200,-200
1526451811771,-31,-35,-49,-41,-48,-61,-55,-35,-59,-46,-57,-60,-61,-62,-66,-68,-61,-200,-77,-200,-200,-69,-65,-56,-200,-69,-200,-200,-67,-200,-200,-75,-77,-74,-79,-87,-75,-200,-87,-200,-200,-73,-75,-200,-84,-200,-200,-200,-69,-79,-80,-200,-200
1526451814782,-32,-36,-49,-41,-50,-61,-59,-35,-59,-46,-58,-60,-61,-65,-70,-68,-57,-200,-77,-200,-200,-68,-64,-57,-200,-75,-200,-200,-67,-200,-200,-73,-77,-75,-81,-84,-79,-200,-84,-200,-200,-73,-75,-200,-85,-200,-200,-200,-69,-79,-80,-74,-200
1526451817807,-32,-36,-49,-41,-50,-61,-59,-35,-59,-46,-58,-60,-61,-65,-70,-68,-57,-200,-77,-200,-200,-68,-64,-57,-200,-75,-200,-200,-67,-200,-200,-73,-77,-75,-81,-84,-79,-200,-84,-200,-200,-73,-75,-200,-85,-200,-200,-200,-69,-79,-80,-74,-200
1526451820835,-29,-39,-50,-41,-48,-61,-55,-40,-59,-45,-58,-60,-59,-61,-66,-68,-56,-200,-78,-200,-200,-68,-63,-57,-200,-71,-200,-200,-67,-200,-200,-74,-77,-74,-80,-84,-73,-200,-85,-200,-200,-73,-75,-200,-90,-200,-200,-200,-73,-79,-80,-70,-78
1526451823859,-29,-39,-50,-41,-48,-61,-55,-40,-59,-45,-58,-60,-59,-61,-66,-68,-56,-200,-78,-200,-200,-68,-63,-57,-200,-71,-200,-200,-67,-200,-200,-74,-77,-74,-80,-84,-73,-200,-85,-200,-200,-73,-75,-200,-90,-200,-200,-200,-73,-200,-200,-70,-78
