,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526446932930,-24,-45,-39,-71,-52,-57,-56,-56,-55,-60,-55,-68,-62,-200,-65,-65,-69,-82,-60,-200,-200,-60,-200,-200,-71,-200,-77,-66,-200,-200,-200,-79,-200,-200,-71,-85,-200,-200,-83,-200,-81,-200,-200,-200,-86,-200,-200,-83,-200,-64,-80,-200,-200,-200,-88,-200,-82,-87,-200,-200,-200,-200,-200,-200
1526446935966,-25,-46,-40,-71,-53,-56,-55,-56,-55,-61,-53,-63,-63,-200,-63,-62,-69,-58,-67,-200,-68,-70,-77,-73,-71,-200,-78,-71,-200,-200,-82,-66,-200,-200,-78,-81,-200,-200,-200,-200,-81,-200,-200,-200,-87,-200,-200,-83,-200,-62,-80,-200,-200,-200,-89,-200,-83,-86,-200,-200,-200,-200,-200,-200
1526446938975,-27,-47,-40,-71,-53,-72,-56,-59,-56,-60,-56,-86,-77,-200,-63,-62,-70,-63,-69,-200,-68,-61,-78,-73,-71,-200,-74,-64,-85,-200,-80,-66,-76,-200,-72,-88,-200,-200,-200,-200,-81,-88,-200,-200,-87,-200,-200,-83,-200,-64,-80,-200,-200,-200,-89,-200,-86,-89,-91,-200,-200,-200,-200,-200
1526446941979,-24,-48,-40,-71,-53,-55,-57,-57,-55,-60,-56,-86,-63,-200,-63,-66,-72,-57,-68,-200,-200,-62,-75,-71,-76,-200,-77,-67,-85,-200,-80,-69,-76,-200,-78,-88,-200,-200,-200,-200,-200,-88,-200,-200,-72,-200,-200,-83,-200,-64,-200,-200,-200,-200,-88,-200,-83,-89,-91,-200,-200,-200,-200,-200
1526446944985,-23,-46,-40,-71,-54,-58,-56,-55,-55,-60,-55,-63,-62,-200,-61,-65,-72,-57,-61,-200,-200,-62,-76,-71,-76,-200,-77,-66,-85,-73,-78,-69,-76,-200,-77,-88,-200,-200,-200,-200,-200,-79,-200,-200,-86,-200,-200,-83,-200,-64,-82,-200,-200,-200,-88,-200,-83,-89,-83,-200,-200,-200,-200,-200
1526446948021,-24,-47,-40,-71,-55,-58,-55,-57,-55,-60,-38,-63,-62,-79,-61,-66,-71,-58,-67,-200,-200,-69,-76,-200,-200,-200,-77,-66,-200,-73,-83,-200,-200,-200,-71,-200,-84,-200,-200,-200,-200,-79,-200,-200,-71,-200,-200,-200,-200,-64,-82,-200,-200,-200,-200,-200,-83,-87,-82,-200,-200,-200,-200,-200
1526446951027,-24,-46,-39,-71,-59,-54,-56,-54,-55,-61,-58,-67,-63,-80,-59,-64,-72,-59,-70,-200,-69,-61,-76,-200,-73,-200,-79,-67,-200,-74,-83,-200,-200,-200,-72,-200,-84,-200,-200,-200,-82,-79,-200,-200,-87,-200,-200,-200,-200,-64,-82,-200,-200,-200,-200,-200,-83,-87,-82,-200,-200,-200,-200,-200
1526446954031,-26,-46,-41,-70,-62,-59,-56,-56,-55,-60,-53,-78,-77,-80,-64,-64,-69,-62,-69,-92,-81,-61,-200,-200,-72,-200,-75,-66,-71,-87,-200,-64,-200,-200,-77,-200,-200,-87,-91,-200,-82,-200,-200,-92,-86,-200,-200,-200,-89,-69,-92,-200,-200,-200,-200,-200,-79,-200,-90,-92,-200,-200,-200,-200
1526446957075,-24,-40,-37,-77,-55,-57,-55,-58,-56,-62,-53,-78,-63,-200,-62,-64,-61,-57,-68,-92,-81,-62,-200,-200,-72,-200,-76,-64,-71,-87,-200,-64,-200,-200,-78,-84,-200,-87,-91,-200,-200,-200,-200,-92,-77,-200,-200,-200,-89,-66,-92,-200,-200,-200,-200,-200,-85,-200,-90,-92,-200,-90,-200,-200
1526446960125,-24,-47,-44,-71,-53,-58,-55,-57,-55,-60,-56,-78,-64,-68,-61,-85,-61,-57,-67,-92,-81,-62,-200,-200,-73,-200,-76,-66,-70,-87,-200,-68,-200,-200,-78,-84,-200,-87,-91,-200,-200,-200,-200,-92,-77,-200,-200,-200,-89,-63,-92,-200,-200,-200,-90,-200,-85,-200,-90,-92,-200,-90,-88,-200
1526446963185,-24,-46,-38,-71,-66,-55,-55,-59,-55,-60,-56,-200,-64,-68,-65,-64,-73,-58,-67,-200,-200,-67,-200,-200,-73,-200,-200,-67,-70,-75,-200,-67,-200,-200,-78,-84,-79,-200,-200,-200,-86,-200,-200,-89,-87,-200,-200,-84,-200,-63,-83,-200,-85,-85,-90,-87,-85,-200,-83,-80,-200,-200,-88,-200
1526446966255,-26,-46,-39,-70,-54,-54,-54,-56,-56,-61,-53,-67,-62,-200,-63,-64,-69,-59,-67,-200,-200,-67,-200,-200,-68,-200,-78,-67,-72,-74,-200,-66,-200,-200,-71,-200,-79,-200,-200,-200,-86,-200,-200,-89,-86,-200,-200,-84,-200,-64,-83,-200,-85,-85,-200,-87,-84,-85,-83,-83,-200,-200,-200,-80
