,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro
1526446638019,-40,-55,-52,-52,-52,-86,-47,-66,-46,-48,-68,-54,-52,-64,-52,-58,-200,-64,-63,-60,-64,-79,-63,-59,-69,-74,-200,-200,-200,-200,-200,-77,-75,-200,-200,-78,-92,-200,-73,-200,-82,-200,-86,-200,-200,-82,-85,-76,-71,-74,-76,-78,-78,-200,-200,-200,-200,-200,-84,-200,-68,-79,-200,-80,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-86,-90,-200,-84,-85,-85,-200,-200,-200,-200,-200,-200
1526446641023,-69,-36,-51,-52,-51,-86,-50,-53,-49,-50,-53,-57,-48,-50,-50,-59,-200,-64,-61,-61,-63,-65,-65,-62,-68,-73,-64,-200,-70,-200,-74,-74,-62,-200,-200,-75,-92,-200,-72,-200,-81,-200,-86,-90,-200,-82,-71,-76,-66,-74,-76,-78,-78,-200,-200,-200,-200,-200,-84,-200,-67,-79,-200,-80,-200,-200,-200,-78,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-86,-90,-200,-84,-85,-85,-200,-200,-200,-200,-200,-200
1526446644029,-43,-39,-59,-52,-51,-86,-64,-87,-50,-49,-53,-73,-50,-52,-50,-73,-200,-64,-61,-64,-61,-65,-65,-68,-71,-77,-84,-66,-70,-70,-74,-74,-75,-200,-75,-77,-92,-89,-73,-92,-78,-200,-86,-90,-67,-82,-75,-73,-66,-91,-88,-78,-78,-200,-86,-91,-200,-200,-91,-91,-82,-84,-82,-80,-200,-82,-200,-78,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-91,-91,-200,-84,-85,-92,-200,-200,-200,-200,-200,-200
1526446647074,-41,-39,-57,-49,-51,-200,-54,-48,-49,-52,-53,-73,-51,-50,-50,-73,-200,-200,-62,-61,-65,-200,-200,-68,-69,-75,-84,-67,-200,-66,-76,-200,-52,-200,-75,-77,-200,-84,-74,-92,-81,-200,-200,-90,-80,-69,-74,-73,-200,-91,-88,-200,-77,-80,-86,-91,-200,-200,-91,-91,-67,-84,-80,-200,-200,-83,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526446650127,-43,-34,-59,-51,-52,-85,-54,-51,-49,-50,-53,-73,-51,-50,-52,-86,-75,-64,-52,-67,-65,-200,-200,-66,-69,-73,-66,-67,-200,-66,-90,-200,-76,-75,-71,-78,-200,-77,-74,-92,-81,-200,-200,-90,-69,-69,-74,-73,-69,-91,-88,-75,-77,-84,-86,-91,-200,-200,-91,-91,-64,-87,-80,-200,-200,-83,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526446653140,-43,-39,-52,-51,-51,-85,-51,-48,-50,-51,-53,-200,-51,-46,-51,-60,-68,-64,-63,-63,-65,-73,-83,-63,-70,-75,-66,-200,-71,-66,-90,-200,-76,-75,-71,-71,-200,-77,-73,-200,-71,-200,-200,-200,-68,-69,-200,-200,-72,-200,-76,-75,-200,-81,-200,-200,-200,-200,-82,-200,-64,-87,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526446656145,-39,-39,-50,-50,-52,-86,-51,-51,-47,-50,-52,-55,-51,-46,-53,-59,-68,-200,-64,-67,-65,-73,-65,-63,-69,-74,-68,-72,-67,-66,-71,-200,-76,-200,-74,-78,-200,-200,-73,-200,-82,-200,-200,-91,-68,-69,-200,-73,-72,-66,-76,-200,-200,-81,-200,-200,-200,-200,-82,-200,-64,-82,-83,-200,-78,-81,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526446659205,-38,-39,-52,-51,-52,-86,-54,-48,-47,-51,-68,-74,-50,-50,-50,-74,-76,-83,-63,-65,-64,-65,-76,-59,-70,-75,-82,-85,-67,-69,-71,-200,-76,-89,-86,-75,-200,-200,-85,-200,-81,-200,-200,-91,-200,-200,-74,-75,-83,-78,-88,-81,-89,-200,-84,-200,-200,-200,-200,-200,-64,-92,-83,-200,-78,-81,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-93,-86,-88,-90,-200,-200
1526446662217,-39,-37,-48,-50,-51,-85,-50,-50,-60,-49,-54,-61,-50,-60,-53,-58,-75,-83,-62,-62,-65,-65,-64,-59,-77,-77,-82,-71,-70,-69,-87,-200,-74,-89,-86,-73,-200,-200,-85,-200,-82,-200,-200,-90,-200,-200,-74,-75,-83,-78,-88,-81,-89,-200,-84,-200,-200,-200,-200,-200,-65,-92,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-86,-88,-90,-200,-200
1526446665274,-39,-37,-51,-51,-51,-85,-54,-48,-49,-51,-49,-61,-51,-49,-49,-59,-75,-83,-61,-60,-64,-63,-64,-68,-70,-74,-82,-71,-88,-69,-87,-200,-76,-82,-70,-78,-200,-200,-85,-86,-76,-200,-200,-90,-200,-68,-74,-76,-71,-78,-88,-81,-78,-80,-84,-200,-200,-200,-200,-200,-64,-92,-200,-74,-200,-80,-200,-200,-82,-200,-200,-200,-200,-200,-84,-200,-200,-200,-87,-200,-200,-200,-200,-200,-93,-86,-88,-90,-92,-200
1526446668293,-39,-38,-52,-50,-52,-86,-51,-47,-50,-49,-66,-59,-51,-49,-52,-59,-82,-200,-66,-61,-64,-81,-200,-71,-70,-76,-200,-200,-71,-200,-200,-200,-76,-74,-70,-78,-200,-75,-200,-86,-77,-200,-200,-90,-200,-68,-200,-76,-70,-200,-200,-78,-78,-80,-200,-200,-200,-200,-200,-200,-64,-77,-200,-74,-200,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526446671343,-40,-54,-49,-86,-52,-85,-48,-48,-50,-51,-54,-58,-51,-50,-51,-60,-82,-62,-63,-59,-64,-67,-63,-70,-68,-74,-200,-200,-71,-200,-200,-200,-78,-74,-66,-78,-200,-75,-73,-86,-68,-200,-200,-90,-200,-68,-200,-76,-70,-200,-76,-76,-78,-80,-200,-200,-85,-200,-200,-200,-64,-84,-83,-72,-200,-84,-200,-81,-82,-200,-85,-200,-200,-78,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-90
