,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450308850,-200,-200,-94,-94,-77,-200,-200,-81,-88,-87,-200,-200
1526450313496,-63,-200,-200,-200,-81,-92,-200,-67,-88,-200,-200,-200
1526450313616,-63,-200,-200,-93,-81,-91,-200,-200,-86,-89,-200,-200
1526450313717,-63,-200,-200,-200,-82,-91,-200,-68,-87,-88,-200,-200
1526450313820,-63,-200,-200,-94,-82,-91,-200,-67,-200,-89,-91,-200
1526450318607,-63,-200,-200,-93,-78,-96,-200,-73,-84,-200,-91,-200
1526450318721,-200,-200,-200,-200,-78,-95,-200,-68,-85,-88,-200,-200
1526450318835,-62,-200,-200,-93,-78,-95,-200,-68,-85,-88,-200,-200
1526450318941,-64,-200,-200,-200,-78,-95,-200,-200,-86,-88,-200,-200
1526450323460,-61,-79,-92,-200,-68,-84,-200,-68,-81,-200,-200,-200
1526450323631,-200,-200,-90,-200,-69,-200,-200,-67,-200,-200,-200,-200
1526450323736,-200,-200,-91,-200,-68,-84,-200,-68,-200,-200,-85,-200
1526450323841,-200,-200,-200,-90,-69,-84,-200,-68,-81,-200,-85,-200
1526450328464,-75,-200,-200,-89,-76,-89,-200,-77,-85,-86,-200,-200
1526450328565,-75,-72,-200,-200,-76,-200,-86,-77,-85,-200,-200,-200
1526450328670,-75,-200,-200,-200,-76,-90,-200,-77,-85,-200,-91,-200
1526450328849,-74,-72,-200,-91,-76,-200,-200,-200,-85,-86,-200,-200
1526450333467,-66,-200,-94,-90,-69,-92,-200,-200,-87,-86,-200,-200
1526450333555,-200,-75,-200,-90,-69,-92,-200,-76,-87,-200,-90,-200
1526450333663,-200,-70,-200,-84,-69,-93,-200,-76,-87,-86,-200,-200
1526450333770,-200,-70,-95,-90,-200,-200,-200,-76,-86,-86,-200,-200
1526450333882,-200,-200,-200,-90,-200,-200,-200,-200,-87,-200,-200,-200
