,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526449822221,-40,-41,-48,-60,-57,-54,-57,-64,-46,-56,-67,-58,-66,-54,-59,-65,-71,-62,-82,-74,-65,-73,-70,-76,-66,-74,-83,-86,-71,-82,-87,-78,-76,-200,-84,-75,-73,-74,-93,-68,-200,-84,-82,-76,-82,-86,-200,-84,-92,-79,-88,-95,-89,-87,-91,-93,-92,-88,-95,-200,-89,-85,-92,-200,-92,-200,-91,-96,-90,-200,-200,-200,-200,-200,-87,-88,-93,-200,-92,-200,-200,-200,-97,-98,-200,-95,-95,-94,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449825274,-40,-47,-41,-52,-60,-57,-53,-55,-51,-60,-74,-59,-69,-55,-55,-76,-74,-64,-82,-69,-66,-72,-74,-77,-69,-76,-81,-78,-71,-77,-80,-72,-80,-84,-84,-76,-80,-78,-93,-75,-200,-85,-81,-79,-82,-83,-89,-86,-92,-81,-90,-97,-91,-89,-91,-93,-90,-92,-93,-200,-89,-85,-92,-200,-92,-200,-91,-93,-90,-200,-200,-200,-95,-89,-87,-200,-200,-200,-92,-200,-200,-200,-200,-98,-97,-200,-93,-94,-89,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449828319,-38,-45,-41,-53,-61,-57,-57,-61,-51,-61,-68,-54,-70,-59,-51,-71,-69,-64,-78,-59,-62,-69,-71,-80,-74,-74,-84,-72,-75,-83,-82,-72,-76,-84,-84,-79,-78,-78,-93,-80,-200,-79,-81,-78,-82,-83,-87,-80,-200,-79,-90,-91,-91,-89,-91,-93,-89,-93,-95,-200,-200,-96,-92,-200,-92,-200,-95,-95,-95,-200,-200,-200,-95,-89,-200,-200,-200,-200,-200,-200,-69,-200,-200,-98,-97,-200,-93,-94,-89,-96,-96,-93,-95,-200,-200,-200,-200,-200,-200,-200
1526449831371,-50,-52,-42,-52,-60,-56,-58,-58,-49,-61,-71,-55,-63,-57,-55,-66,-66,-63,-77,-66,-64,-68,-71,-80,-68,-68,-86,-75,-74,-76,-81,-72,-76,-84,-200,-78,-82,-72,-200,-80,-200,-78,-75,-79,-79,-88,-87,-80,-200,-79,-88,-91,-90,-87,-200,-200,-89,-93,-94,-97,-200,-96,-92,-200,-92,-200,-95,-95,-95,-200,-200,-200,-95,-89,-92,-200,-92,-200,-200,-200,-81,-200,-200,-200,-97,-200,-93,-200,-89,-85,-96,-93,-95,-200,-200,-200,-200,-200,-200,-200
1526449834420,-42,-45,-40,-50,-64,-55,-55,-58,-50,-59,-71,-56,-68,-56,-54,-65,-63,-65,-83,-62,-62,-67,-74,-77,-65,-67,-82,-75,-73,-82,-79,-77,-76,-200,-200,-78,-80,-73,-200,-77,-200,-82,-75,-79,-80,-84,-89,-84,-200,-79,-87,-91,-87,-87,-200,-200,-87,-91,-93,-97,-200,-96,-200,-95,-86,-200,-96,-95,-95,-200,-200,-200,-95,-200,-92,-200,-92,-200,-200,-200,-81,-200,-200,-200,-200,-200,-93,-200,-200,-85,-200,-93,-95,-200,-200,-200,-200,-200,-200,-200
1526449837463,-39,-47,-40,-55,-56,-61,-54,-57,-48,-54,-74,-56,-70,-57,-57,-66,-63,-70,-82,-65,-65,-67,-74,-80,-69,-70,-82,-71,-73,-80,-79,-72,-78,-200,-86,-81,-81,-73,-88,-77,-200,-82,-81,-83,-80,-83,-89,-84,-200,-78,-86,-200,-90,-87,-200,-200,-90,-91,-94,-97,-200,-200,-200,-95,-86,-200,-96,-200,-200,-200,-200,-200,-95,-200,-92,-200,-92,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449840509,-36,-51,-38,-54,-59,-61,-62,-58,-49,-58,-81,-58,-71,-54,-56,-67,-74,-65,-87,-68,-65,-72,-78,-80,-73,-71,-82,-60,-73,-72,-79,-72,-76,-200,-86,-77,-84,-73,-90,-77,-88,-86,-82,-81,-79,-81,-89,-84,-200,-78,-87,-96,-90,-200,-87,-200,-87,-95,-90,-97,-94,-89,-200,-95,-86,-200,-96,-95,-200,-97,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200
1526449843558,-40,-47,-38,-56,-60,-58,-61,-58,-50,-59,-73,-54,-73,-59,-54,-73,-68,-67,-80,-65,-61,-74,-81,-82,-67,-73,-200,-71,-71,-77,-200,-72,-76,-200,-86,-76,-83,-74,-85,-77,-88,-85,-81,-81,-80,-85,-89,-200,-200,-78,-89,-94,-92,-200,-87,-200,-87,-94,-90,-200,-95,-89,-200,-200,-200,-200,-97,-96,-200,-97,-200,-200,-200,-200,-93,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-96,-97,-94,-200,-200,-200,-200
1526449846611,-40,-46,-38,-53,-61,-59,-65,-59,-49,-58,-81,-56,-59,-58,-52,-74,-75,-68,-85,-60,-65,-71,-81,-82,-77,-74,-83,-73,-71,-80,-200,-78,-76,-200,-79,-76,-84,-77,-86,-76,-88,-79,-79,-81,-81,-88,-90,-200,-94,-200,-90,-94,-86,-200,-93,-200,-88,-92,-92,-200,-91,-89,-200,-96,-200,-200,-97,-96,-95,-97,-200,-200,-200,-86,-91,-200,-94,-93,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-96,-97,-93,-200,-200,-200,-200
1526449849653,-42,-52,-38,-63,-62,-60,-56,-62,-51,-57,-75,-56,-70,-55,-56,-68,-71,-68,-81,-60,-63,-73,-76,-82,-67,-74,-83,-69,-74,-73,-79,-74,-200,-200,-91,-77,-84,-76,-85,-76,-88,-79,-81,-200,-81,-85,-88,-200,-94,-200,-85,-94,-91,-200,-89,-92,-88,-93,-95,-200,-94,-200,-200,-96,-200,-200,-92,-94,-95,-200,-200,-200,-200,-86,-91,-200,-94,-93,-200,-200,-90,-200,-200,-200,-200,-200,-94,-200,-200,-86,-200,-200,-200,-200,-97,-93,-97,-200,-200,-200
1526449852696,-42,-46,-41,-51,-66,-60,-58,-65,-50,-58,-69,-55,-70,-57,-53,-72,-70,-63,-74,-61,-64,-72,-73,-80,-75,-73,-81,-75,-74,-74,-80,-76,-77,-91,-86,-78,-81,-72,-88,-76,-200,-83,-77,-80,-81,-85,-88,-200,-200,-77,-85,-93,-94,-200,-89,-92,-89,-93,-92,-200,-94,-200,-200,-200,-86,-200,-95,-96,-95,-200,-200,-200,-200,-200,-200,-200,-96,-94,-200,-200,-80,-200,-200,-98,-200,-200,-93,-200,-200,-200,-95,-200,-200,-200,-200,-200,-97,-81,-96,-200
1526449855747,-37,-48,-40,-47,-59,-57,-60,-58,-56,-58,-72,-56,-70,-58,-59,-68,-69,-65,-74,-69,-59,-74,-72,-80,-73,-69,-82,-74,-74,-75,-80,-76,-77,-91,-86,-80,-80,-75,-89,-76,-200,-83,-84,-80,-80,-85,-88,-78,-200,-79,-87,-94,-94,-200,-89,-92,-87,-93,-92,-200,-94,-93,-200,-200,-86,-200,-95,-96,-95,-200,-200,-200,-200,-200,-200,-200,-96,-90,-200,-200,-81,-200,-200,-98,-200,-200,-93,-200,-200,-200,-95,-200,-200,-200,-200,-200,-97,-81,-95,-97
