,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449748440,-34,-41,-64,-63,-56,-53,-57,-58,-59,-64,-61,-66,-64,-62,-66,-62,-70,-72,-76,-73,-76,-80,-67,-75,-79,-79,-88,-73,-77,-79,-88,-85,-83,-78,-85,-83,-87,-87,-82,-96,-96,-91,-92,-94,-96,-93,-67,-78,-79,-71,-90,-72,-84,-91,-79,-89,-85,-200,-200,-91,-95,-95,-97,-94,-95,-92,-200,-94,-200,-93,-87,-95,-200,-94,-94,-96,-200,-200,-200,-200,-97,-80,-85,-81,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526449751497,-26,-45,-43,-59,-60,-55,-57,-56,-61,-57,-68,-71,-67,-63,-77,-63,-71,-65,-78,-74,-72,-71,-75,-78,-79,-81,-87,-78,-77,-80,-83,-84,-81,-76,-85,-79,-80,-87,-79,-92,-95,-90,-90,-94,-94,-93,-74,-78,-82,-75,-90,-80,-84,-91,-78,-89,-85,-200,-95,-93,-95,-77,-97,-94,-95,-91,-96,-94,-200,-93,-87,-200,-200,-94,-94,-96,-200,-200,-84,-85,-97,-80,-85,-87,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526449754544,-31,-41,-68,-62,-63,-56,-58,-54,-61,-60,-68,-67,-66,-58,-72,-62,-74,-73,-79,-68,-72,-73,-73,-73,-80,-79,-86,-77,-80,-78,-83,-87,-85,-73,-83,-76,-96,-87,-78,-92,-88,-90,-90,-94,-94,-200,-69,-73,-78,-75,-200,-80,-86,-84,-86,-200,-88,-82,-95,-93,-92,-77,-200,-95,-95,-91,-96,-94,-95,-93,-87,-200,-200,-94,-200,-96,-200,-200,-84,-85,-97,-80,-85,-83,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526449757588,-26,-43,-62,-61,-64,-56,-57,-57,-64,-61,-66,-67,-66,-64,-73,-63,-68,-69,-78,-68,-74,-73,-71,-71,-82,-80,-86,-73,-77,-80,-84,-84,-89,-75,-86,-82,-81,-84,-80,-92,-94,-89,-90,-200,-97,-96,-72,-77,-81,-75,-200,-76,-86,-90,-81,-87,-88,-82,-95,-93,-87,-77,-200,-95,-200,-91,-95,-96,-95,-92,-200,-200,-200,-200,-200,-98,-200,-200,-84,-85,-200,-200,-200,-82,-200,-97,-97,-200,-200,-200,-200,-200,-200
1526449760638,-27,-42,-61,-61,-58,-55,-56,-60,-62,-58,-66,-65,-66,-62,-73,-65,-69,-70,-74,-76,-75,-75,-71,-70,-82,-78,-86,-76,-76,-80,-84,-88,-88,-77,-86,-81,-80,-85,-77,-200,-94,-89,-93,-200,-97,-93,-73,-76,-80,-70,-200,-83,-83,-90,-80,-88,-87,-82,-200,-90,-87,-200,-200,-96,-200,-91,-95,-96,-94,-92,-200,-200,-95,-200,-95,-98,-200,-200,-88,-200,-200,-200,-200,-81,-200,-97,-97,-87,-94,-96,-200,-200,-200
1526449763693,-32,-42,-59,-61,-58,-56,-55,-60,-63,-63,-64,-69,-60,-63,-71,-63,-69,-60,-77,-73,-76,-73,-72,-68,-82,-79,-84,-76,-76,-79,-83,-85,-84,-76,-87,-81,-80,-85,-81,-200,-94,-88,-92,-96,-97,-95,-75,-74,-79,-70,-200,-75,-89,-89,-80,-88,-88,-200,-95,-95,-87,-96,-200,-96,-200,-95,-95,-96,-96,-92,-200,-200,-95,-200,-95,-96,-200,-200,-85,-200,-200,-200,-80,-81,-200,-97,-97,-87,-94,-96,-200,-200,-200
1526449766741,-32,-41,-62,-61,-57,-61,-57,-56,-63,-61,-64,-66,-65,-62,-72,-69,-70,-71,-76,-73,-74,-72,-76,-71,-82,-79,-91,-76,-77,-79,-82,-91,-84,-76,-88,-81,-80,-85,-82,-200,-94,-90,-95,-96,-97,-94,-72,-74,-79,-70,-200,-80,-86,-87,-80,-88,-88,-200,-95,-89,-88,-96,-200,-96,-200,-91,-200,-200,-96,-92,-200,-200,-95,-200,-98,-96,-200,-200,-85,-200,-200,-200,-80,-81,-200,-200,-94,-87,-95,-96,-98,-200,-200
1526449769799,-25,-41,-63,-61,-63,-59,-57,-57,-61,-55,-66,-73,-60,-63,-73,-62,-69,-71,-80,-56,-76,-71,-73,-71,-82,-81,-83,-76,-79,-80,-84,-85,-81,-76,-86,-84,-81,-85,-78,-94,-91,-89,-94,-96,-97,-94,-70,-75,-80,-75,-200,-80,-86,-86,-83,-86,-88,-200,-95,-91,-93,-96,-200,-94,-200,-94,-200,-96,-96,-200,-200,-200,-95,-94,-98,-96,-200,-200,-85,-85,-200,-200,-80,-79,-200,-200,-94,-200,-95,-94,-97,-95,-200
1526449772855,-35,-42,-56,-56,-64,-55,-58,-55,-61,-59,-64,-71,-63,-68,-73,-63,-71,-67,-79,-73,-75,-70,-68,-65,-80,-78,-81,-77,-73,-80,-84,-82,-81,-76,-87,-77,-78,-86,-77,-95,-91,-78,-94,-200,-97,-96,-50,-74,-79,-72,-200,-77,-80,-85,-80,-84,-87,-200,-200,-89,-93,-92,-96,-94,-200,-94,-200,-93,-96,-91,-200,-93,-95,-94,-98,-200,-200,-200,-200,-85,-200,-200,-87,-79,-200,-200,-94,-200,-95,-94,-97,-95,-200
1526449775910,-32,-42,-57,-60,-64,-56,-55,-53,-65,-60,-67,-72,-62,-56,-71,-62,-68,-70,-71,-75,-75,-74,-74,-72,-75,-77,-84,-74,-76,-81,-85,-84,-84,-75,-86,-73,-82,-87,-79,-95,-91,-89,-95,-200,-97,-96,-76,-74,-80,-71,-200,-77,-80,-85,-80,-85,-86,-200,-96,-96,-93,-92,-94,-94,-96,-89,-200,-94,-96,-91,-200,-93,-95,-94,-94,-97,-200,-200,-200,-85,-200,-200,-87,-79,-95,-200,-98,-200,-200,-93,-97,-95,-78
1526449778957,-33,-45,-72,-60,-62,-56,-62,-54,-60,-58,-65,-71,-66,-57,-70,-64,-75,-71,-70,-73,-77,-72,-70,-73,-80,-75,-84,-73,-88,-81,-87,-88,-79,-79,-86,-78,-86,-84,-81,-92,-89,-89,-95,-200,-98,-95,-75,-76,-77,-74,-200,-79,-84,-85,-80,-85,-87,-200,-96,-89,-89,-92,-94,-200,-96,-89,-200,-94,-95,-91,-200,-93,-200,-96,-94,-97,-200,-200,-200,-200,-200,-200,-85,-79,-95,-200,-98,-200,-200,-93,-97,-200,-78
1526449782003,-40,-44,-75,-59,-65,-57,-57,-55,-62,-61,-60,-68,-66,-59,-77,-62,-72,-70,-70,-76,-76,-74,-74,-73,-78,-78,-86,-74,-83,-81,-87,-85,-79,-79,-87,-74,-86,-87,-81,-92,-90,-90,-95,-200,-98,-95,-66,-76,-78,-73,-200,-77,-84,-200,-200,-85,-85,-200,-96,-91,-90,-97,-94,-200,-96,-93,-200,-94,-95,-200,-200,-200,-200,-96,-96,-97,-200,-92,-200,-200,-200,-200,-85,-79,-95,-200,-90,-200,-200,-93,-97,-200,-78
