,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526449893379,-35,-49,-44,-45,-53,-59,-61,-70,-60,-60,-63,-61,-64,-62,-63,-75,-62,-62,-74,-56,-77,-78,-68,-66,-77,-74,-72,-83,-80,-68,-74,-77,-200,-78,-76,-75,-76,-80,-85,-200,-67,-79,-84,-87,-80,-85,-79,-85,-78,-93,-200,-88,-88,-84,-88,-92,-97,-200,-87,-89,-92,-94,-92,-200,-83,-200,-200,-200,-100,-94,-94,-200,-79,-83,-90,-92,-95,-200,-200,-200,-89,-90,-87,-200,-200,-96,-200,-97,-200,-200,-78,-200,-200,-91,-91,-200,-200,-200,-200,-200
1526449896426,-37,-51,-47,-50,-56,-66,-63,-72,-56,-59,-68,-63,-64,-60,-64,-80,-64,-58,-74,-48,-72,-78,-67,-66,-74,-73,-74,-80,-84,-72,-74,-77,-200,-76,-76,-77,-76,-82,-85,-92,-66,-82,-83,-89,-80,-85,-81,-85,-75,-93,-200,-88,-89,-86,-88,-92,-98,-200,-87,-86,-92,-94,-91,-200,-87,-93,-200,-200,-100,-96,-94,-200,-78,-200,-89,-94,-94,-200,-200,-200,-88,-90,-88,-96,-200,-94,-200,-97,-200,-200,-78,-200,-200,-200,-91,-93,-94,-95,-96,-200
1526449899477,-38,-49,-44,-49,-55,-60,-63,-71,-51,-64,-67,-62,-61,-59,-52,-78,-64,-60,-76,-59,-75,-77,-70,-71,-80,-73,-74,-76,-80,-72,-76,-77,-200,-77,-72,-83,-75,-81,-85,-92,-63,-84,-82,-89,-88,-85,-76,-85,-77,-200,-200,-90,-88,-83,-88,-95,-96,-200,-96,-87,-92,-93,-91,-200,-90,-93,-95,-200,-100,-96,-94,-95,-78,-200,-89,-92,-95,-81,-200,-200,-88,-92,-88,-97,-200,-94,-200,-97,-200,-200,-78,-200,-96,-89,-92,-93,-94,-95,-96,-200
1526449902531,-34,-51,-45,-50,-57,-64,-65,-72,-53,-66,-73,-59,-63,-59,-64,-77,-63,-58,-74,-45,-74,-77,-70,-66,-74,-76,-72,-81,-82,-68,-76,-79,-200,-75,-72,-83,-76,-80,-85,-92,-63,-83,-82,-90,-81,-79,-78,-200,-77,-200,-200,-90,-88,-87,-92,-91,-96,-91,-87,-88,-91,-93,-90,-200,-85,-93,-95,-200,-200,-96,-96,-95,-78,-200,-89,-92,-95,-81,-200,-200,-88,-92,-88,-97,-200,-96,-200,-200,-200,-200,-76,-200,-96,-89,-92,-93,-95,-95,-96,-200
1526449905578,-35,-49,-42,-44,-57,-64,-63,-73,-52,-66,-66,-64,-62,-56,-63,-77,-64,-59,-73,-48,-74,-77,-70,-69,-67,-73,-72,-77,-82,-71,-76,-79,-200,-79,-75,-84,-75,-78,-87,-200,-66,-83,-84,-91,-86,-79,-78,-200,-74,-200,-200,-90,-88,-87,-92,-95,-96,-73,-88,-88,-91,-91,-90,-200,-92,-95,-95,-200,-200,-96,-96,-95,-70,-200,-89,-91,-93,-81,-200,-200,-89,-88,-89,-97,-200,-94,-200,-200,-200,-200,-77,-200,-93,-91,-92,-200,-95,-200,-200,-92
1526449908625,-34,-47,-47,-51,-59,-60,-63,-77,-58,-65,-67,-62,-64,-59,-62,-72,-65,-57,-74,-56,-77,-77,-71,-69,-76,-76,-76,-76,-80,-71,-200,-79,-200,-81,-76,-79,-81,-80,-85,-200,-66,-78,-84,-89,-86,-79,-76,-88,-78,-91,-200,-85,-200,-85,-91,-95,-96,-82,-88,-88,-93,-90,-89,-200,-84,-95,-200,-200,-200,-200,-95,-200,-78,-200,-89,-90,-93,-200,-200,-200,-89,-88,-89,-96,-200,-95,-200,-200,-200,-200,-77,-200,-94,-92,-200,-92,-95,-200,-200,-92
1526449911671,-36,-49,-44,-51,-55,-62,-63,-69,-52,-71,-65,-63,-65,-61,-64,-77,-66,-59,-74,-54,-70,-76,-70,-67,-73,-77,-73,-79,-81,-64,-200,-79,-200,-79,-74,-79,-80,-74,-85,-200,-68,-85,-83,-89,-86,-200,-78,-91,-75,-91,-200,-85,-200,-85,-91,-93,-96,-82,-87,-88,-88,-94,-95,-200,-84,-95,-92,-200,-200,-200,-95,-200,-78,-86,-89,-94,-94,-200,-200,-88,-89,-93,-89,-96,-200,-95,-200,-200,-200,-200,-77,-200,-94,-92,-200,-92,-95,-200,-200,-92
1526449914719,-34,-49,-44,-44,-56,-63,-62,-72,-53,-66,-66,-63,-61,-60,-61,-78,-65,-58,-69,-47,-66,-79,-69,-67,-73,-75,-71,-78,-84,-74,-200,-79,-200,-74,-70,-77,-78,-79,-83,-200,-68,-83,-83,-88,-86,-200,-80,-91,-75,-91,-200,-85,-90,-85,-91,-92,-95,-82,-87,-90,-88,-93,-92,-83,-86,-95,-92,-200,-200,-200,-92,-200,-78,-88,-91,-91,-94,-200,-200,-86,-200,-94,-200,-96,-200,-95,-200,-92,-200,-200,-76,-200,-96,-92,-93,-92,-95,-200,-200,-200
1526449917765,-35,-49,-44,-51,-57,-63,-61,-71,-53,-68,-71,-63,-62,-58,-61,-79,-64,-58,-78,-54,-73,-79,-71,-73,-75,-75,-71,-78,-83,-74,-200,-79,-200,-75,-75,-80,-79,-79,-72,-200,-71,-83,-86,-88,-86,-200,-80,-97,-74,-200,-200,-200,-88,-85,-95,-94,-95,-79,-87,-92,-93,-93,-92,-83,-87,-95,-92,-200,-200,-200,-96,-200,-79,-90,-91,-91,-94,-200,-200,-86,-87,-91,-200,-200,-200,-200,-200,-92,-200,-200,-76,-200,-96,-92,-93,-95,-95,-200,-200,-93
1526449920815,-42,-49,-42,-50,-55,-60,-59,-73,-58,-65,-72,-62,-66,-62,-65,-76,-65,-59,-68,-46,-70,-74,-67,-80,-72,-80,-73,-78,-81,-66,-200,-77,-90,-75,-73,-80,-80,-84,-81,-200,-69,-83,-85,-87,-81,-94,-80,-88,-77,-200,-200,-92,-88,-86,-95,-94,-95,-75,-87,-90,-90,-94,-91,-88,-87,-95,-200,-200,-200,-200,-93,-200,-80,-88,-91,-91,-94,-200,-200,-86,-87,-91,-200,-97,-200,-200,-200,-92,-200,-200,-76,-200,-96,-92,-93,-95,-200,-200,-200,-93
1526449923860,-33,-48,-45,-49,-54,-63,-58,-73,-56,-63,-66,-62,-63,-58,-63,-79,-63,-59,-74,-54,-71,-80,-70,-81,-73,-76,-73,-77,-80,-71,-200,-76,-90,-75,-73,-76,-75,-87,-81,-93,-68,-78,-83,-89,-82,-94,-78,-91,-76,-200,-200,-92,-88,-89,-95,-94,-200,-75,-87,-90,-92,-94,-90,-88,-83,-200,-200,-200,-200,-200,-91,-200,-77,-88,-89,-92,-94,-200,-200,-200,-90,-91,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-91,-95,-200,-200,-200,-93
1526449926908,-30,-46,-44,-46,-55,-59,-58,-60,-52,-65,-67,-60,-61,-58,-61,-79,-64,-58,-74,-51,-73,-74,-69,-69,-72,-76,-74,-80,-80,-67,-68,-76,-90,-72,-74,-76,-75,-79,-81,-93,-68,-78,-83,-89,-78,-94,-79,-92,-76,-200,-200,-92,-91,-83,-200,-94,-200,-75,-87,-89,-90,-93,-90,-91,-85,-200,-200,-200,-200,-200,-91,-200,-77,-84,-90,-93,-94,-200,-200,-89,-90,-93,-90,-97,-200,-200,-200,-200,-200,-200,-76,-88,-97,-92,-91,-98,-200,-200,-200,-200
