,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526455307164,-47,-24,-41,-43,-55,-64,-51,-56,-60,-56,-62,-84,-52,-63,-61,-64,-59,-70,-74,-64,-66,-60,-69,-66,-63,-76,-66,-74,-69,-71,-74,-74,-85,-71,-200,-75,-78,-73,-89,-80,-90,-65,-81,-78,-80,-80,-71,-81,-83,-78,-200,-200,-88,-200,-92,-77,-79,-80,-89,-86,-81,-84,-80,-83,-95,-83,-200,-81,-200,-200,-200,-200,-96,-91,-200,-200,-91,-200,-200,-88,-87,-94,-97,-91,-93,-93,-200,-74,-200,-200,-200,-92,-86,-200,-97,-94,-89,-200,-90,-90,-200,-200,-85,-83,-200,-200,-95,-96,-81,-96,-87,-88,-91,-200,-200,-200,-200,-200
1526455310215,-45,-25,-42,-44,-56,-63,-53,-56,-65,-58,-62,-80,-52,-63,-62,-62,-58,-68,-72,-61,-67,-58,-71,-65,-64,-73,-67,-77,-68,-72,-74,-74,-86,-72,-200,-76,-77,-73,-89,-75,-90,-66,-82,-74,-80,-82,-69,-81,-87,-78,-200,-200,-88,-93,-90,-77,-79,-81,-90,-86,-77,-200,-81,-83,-200,-83,-200,-80,-200,-200,-200,-200,-96,-91,-200,-200,-91,-200,-200,-89,-87,-94,-91,-91,-92,-93,-95,-78,-200,-200,-200,-92,-86,-200,-94,-200,-89,-200,-90,-90,-200,-200,-77,-83,-200,-200,-200,-96,-81,-96,-87,-88,-91,-74,-200,-200,-200,-200
1526455313273,-45,-35,-42,-45,-56,-62,-56,-59,-62,-57,-64,-76,-53,-67,-56,-60,-56,-64,-72,-66,-66,-59,-69,-65,-62,-71,-63,-73,-63,-66,-73,-74,-84,-72,-200,-75,-80,-73,-91,-75,-90,-71,-80,-78,-80,-82,-69,-81,-84,-78,-200,-87,-89,-93,-92,-78,-79,-71,-91,-86,-79,-200,-81,-81,-200,-81,-200,-86,-200,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200,-88,-86,-96,-91,-90,-92,-93,-95,-78,-90,-200,-93,-200,-86,-200,-94,-200,-89,-200,-90,-91,-200,-200,-84,-83,-200,-200,-200,-96,-81,-96,-87,-88,-91,-74,-200,-200,-200,-200
1526455316326,-47,-25,-45,-43,-62,-63,-51,-57,-66,-58,-62,-76,-52,-63,-59,-62,-56,-68,-72,-66,-67,-59,-72,-67,-68,-75,-65,-72,-63,-66,-73,-72,-81,-69,-200,-74,-80,-74,-89,-75,-84,-66,-80,-78,-200,-82,-71,-200,-88,-78,-200,-86,-89,-93,-91,-78,-200,-78,-91,-84,-79,-200,-82,-81,-96,-82,-200,-81,-200,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200,-88,-87,-94,-92,-90,-94,-93,-95,-78,-90,-200,-93,-200,-92,-200,-94,-200,-89,-200,-200,-91,-200,-200,-84,-200,-200,-200,-200,-200,-200,-96,-87,-200,-200,-74,-97,-200,-200,-200
1526455319380,-46,-29,-42,-44,-54,-64,-52,-57,-60,-57,-62,-71,-52,-61,-62,-63,-60,-67,-200,-63,-69,-58,-70,-68,-63,-78,-65,-75,-68,-68,-74,-74,-80,-69,-200,-75,-77,-73,-89,-75,-87,-70,-80,-76,-75,-79,-71,-83,-88,-78,-200,-88,-87,-92,-91,-77,-200,-78,-89,-86,-79,-90,-80,-81,-96,-83,-200,-84,-97,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200,-88,-87,-94,-92,-90,-95,-94,-200,-200,-90,-200,-93,-200,-92,-200,-97,-200,-89,-200,-86,-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-97,-200,-200,-200
1526455322436,-47,-26,-42,-44,-55,-62,-55,-55,-60,-56,-63,-71,-52,-64,-57,-64,-62,-65,-67,-64,-64,-57,-69,-66,-64,-72,-64,-80,-67,-67,-73,-65,-81,-71,-200,-75,-77,-73,-90,-75,-85,-67,-81,-75,-75,-78,-72,-83,-88,-77,-200,-88,-86,-92,-92,-77,-81,-72,-86,-84,-80,-90,-79,-80,-96,-83,-93,-80,-97,-200,-200,-200,-200,-92,-200,-200,-93,-200,-200,-89,-87,-94,-92,-91,-94,-92,-95,-78,-200,-200,-200,-90,-92,-200,-94,-200,-93,-200,-86,-89,-200,-93,-200,-200,-200,-94,-200,-200,-200,-97,-200,-200,-200,-200,-97,-200,-200,-200
1526455325498,-47,-24,-41,-45,-60,-64,-50,-56,-63,-58,-61,-73,-52,-67,-60,-64,-63,-68,-67,-64,-67,-60,-68,-72,-61,-72,-66,-72,-64,-69,-76,-65,-86,-71,-200,-75,-82,-74,-90,-75,-85,-67,-82,-74,-75,-82,-70,-83,-86,-78,-200,-88,-90,-92,-92,-77,-81,-78,-92,-84,-78,-87,-80,-82,-95,-83,-93,-82,-97,-200,-200,-200,-200,-90,-200,-200,-93,-200,-200,-89,-87,-95,-92,-91,-93,-93,-95,-78,-200,-200,-200,-90,-200,-200,-94,-200,-93,-200,-89,-92,-200,-93,-87,-200,-200,-94,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526455328555,-47,-25,-44,-42,-54,-64,-52,-55,-59,-64,-63,-76,-53,-61,-63,-63,-57,-68,-67,-62,-68,-60,-68,-72,-66,-76,-65,-75,-67,-61,-74,-72,-80,-71,-200,-74,-82,-73,-91,-75,-91,-70,-81,-74,-200,-82,-71,-83,-86,-78,-80,-200,-90,-200,-91,-77,-81,-78,-87,-84,-82,-87,-79,-82,-95,-83,-93,-82,-93,-200,-200,-200,-200,-91,-200,-200,-93,-200,-200,-89,-87,-95,-92,-92,-93,-92,-96,-75,-200,-94,-200,-90,-200,-200,-94,-200,-93,-200,-89,-92,-200,-93,-87,-81,-85,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-97,-200
1526455331608,-47,-24,-44,-52,-57,-61,-49,-53,-64,-57,-66,-76,-53,-66,-56,-64,-55,-68,-200,-61,-70,-59,-70,-69,-65,-71,-65,-73,-71,-67,-74,-71,-86,-200,-200,-76,-76,-75,-91,-70,-87,-71,-82,-78,-200,-84,-71,-82,-86,-78,-80,-200,-90,-92,-91,-76,-200,-71,-90,-86,-82,-87,-78,-81,-95,-81,-200,-83,-93,-200,-200,-200,-200,-91,-200,-200,-92,-200,-200,-89,-87,-94,-92,-90,-93,-93,-96,-74,-90,-94,-200,-200,-92,-86,-200,-200,-93,-200,-90,-89,-200,-200,-87,-81,-85,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-94,-97,-200
1526455334659,-46,-25,-41,-52,-60,-64,-51,-56,-64,-59,-65,-81,-53,-66,-61,-65,-56,-66,-200,-60,-68,-54,-75,-67,-66,-69,-66,-74,-69,-73,-72,-70,-85,-200,-200,-77,-76,-73,-95,-76,-82,-73,-80,-80,-73,-84,-71,-82,-200,-78,-80,-200,-91,-92,-90,-76,-200,-80,-90,-86,-83,-200,-80,-81,-94,-83,-200,-82,-92,-200,-200,-200,-200,-91,-200,-200,-96,-200,-96,-88,-87,-96,-200,-90,-93,-93,-96,-74,-90,-94,-95,-200,-92,-86,-200,-200,-200,-200,-90,-89,-200,-200,-200,-81,-85,-200,-93,-200,-200,-200,-200,-200,-200,-200,-95,-94,-97,-200
1526455337707,-45,-33,-42,-44,-60,-61,-51,-55,-65,-58,-62,-81,-52,-67,-59,-63,-60,-69,-200,-65,-66,-60,-68,-67,-65,-77,-68,-74,-62,-66,-75,-73,-83,-72,-200,-72,-84,-74,-91,-75,-87,-68,-86,-74,-73,-78,-70,-83,-200,-78,-200,-200,-91,-92,-93,-77,-200,-71,-88,-85,-83,-200,-82,-81,-94,-81,-96,-81,-93,-200,-200,-200,-200,-93,-200,-200,-89,-200,-96,-88,-87,-96,-90,-90,-93,-92,-200,-73,-89,-200,-95,-200,-92,-86,-93,-200,-99,-200,-90,-92,-200,-200,-200,-200,-87,-200,-93,-200,-200,-200,-200,-200,-200,-76,-95,-200,-200,-96
1526455340757,-45,-30,-43,-46,-60,-61,-55,-57,-60,-59,-62,-79,-52,-62,-60,-64,-60,-70,-75,-61,-68,-59,-76,-79,-66,-77,-67,-76,-67,-66,-74,-76,-84,-71,-200,-73,-76,-74,-91,-75,-92,-67,-86,-74,-73,-78,-70,-82,-200,-78,-200,-200,-89,-200,-89,-78,-82,-80,-88,-85,-79,-200,-81,-81,-94,-82,-96,-82,-93,-200,-200,-200,-200,-90,-200,-200,-95,-200,-96,-89,-87,-96,-90,-200,-93,-93,-96,-74,-89,-200,-95,-89,-200,-86,-93,-200,-82,-200,-200,-89,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-76,-95,-200,-200,-96
