,DLINK_D02A18,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454868822,-39,-45,-52,-49,-58,-52,-56,-57,-54,-55,-55,-53,-58,-61,-66,-59,-63,-55,-67,-66,-68,-65,-77,-71,-68,-69,-82,-73,-56,-76,-85,-75,-75,-75,-76,-77,-74,-77,-75,-84,-76,-81,-82,-81,-75,-83,-82,-85,-82,-83,-84,-83,-80,-82,-84,-82,-90,-88,-84,-86,-87,-85,-96,-85,-90,-87,-92,-89,-92,-94,-94,-94,-94,-91,-74,-93,-200,-71,-200,-85,-200,-93,-90,-94,-94,-77,-94,-96,-200,-200,-200,-200,-200,-86,-96,-83,-200,-200,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454871879,-39,-47,-53,-53,-61,-52,-55,-59,-52,-56,-58,-52,-58,-62,-66,-64,-62,-55,-66,-67,-65,-65,-73,-71,-68,-69,-82,-71,-53,-76,-200,-74,-75,-75,-74,-77,-74,-77,-76,-82,-75,-78,-80,-80,-81,-84,-81,-85,-82,-84,-84,-83,-79,-82,-84,-82,-88,-87,-84,-86,-87,-87,-200,-85,-90,-88,-92,-90,-92,-94,-94,-91,-94,-91,-74,-93,-200,-66,-79,-85,-200,-90,-200,-94,-94,-77,-94,-96,-200,-200,-200,-200,-200,-86,-96,-96,-200,-200,-90,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454874935,-40,-48,-52,-54,-61,-55,-55,-58,-52,-55,-57,-54,-59,-61,-66,-64,-63,-54,-65,-69,-69,-68,-73,-70,-68,-69,-73,-65,-54,-68,-200,-76,-75,-80,-77,-79,-200,-80,-77,-80,-73,-80,-79,-82,-81,-84,-80,-84,-82,-83,-83,-82,-78,-84,-85,-85,-88,-88,-84,-82,-86,-87,-95,-200,-91,-89,-92,-90,-91,-94,-94,-93,-94,-92,-74,-93,-200,-67,-79,-200,-200,-90,-200,-94,-200,-200,-88,-96,-200,-200,-200,-200,-200,-200,-96,-91,-200,-200,-89,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454877994,-40,-49,-50,-50,-62,-50,-58,-62,-54,-56,-58,-57,-57,-65,-66,-67,-65,-56,-67,-64,-64,-64,-73,-71,-71,-70,-86,-71,-58,-77,-85,-82,-76,-78,-74,-79,-71,-75,-78,-77,-73,-80,-84,-78,-81,-85,-83,-86,-84,-79,-83,-82,-76,-84,-84,-83,-89,-82,-81,-85,-86,-86,-95,-200,-91,-85,-92,-90,-89,-93,-94,-93,-93,-92,-200,-95,-96,-66,-75,-86,-200,-90,-200,-200,-200,-70,-93,-200,-200,-200,-200,-200,-200,-88,-200,-91,-200,-91,-89,-92,-88,-89,-96,-200,-200,-200,-200,-200,-200
1526454881050,-38,-45,-53,-52,-62,-52,-53,-75,-42,-58,-57,-55,-62,-61,-66,-65,-62,-63,-63,-79,-64,-68,-200,-71,-71,-70,-72,-69,-54,-83,-85,-74,-71,-76,-79,-79,-71,-77,-75,-86,-75,-81,-84,-80,-77,-85,-81,-87,-83,-77,-83,-82,-78,-84,-85,-84,-89,-85,-81,-86,-91,-86,-96,-200,-94,-89,-92,-200,-90,-93,-93,-93,-93,-92,-85,-95,-96,-67,-79,-89,-88,-200,-200,-95,-95,-70,-93,-200,-200,-200,-200,-200,-200,-88,-200,-91,-200,-91,-88,-92,-200,-89,-96,-87,-200,-200,-200,-200,-200
1526454884107,-47,-47,-54,-49,-63,-50,-60,-59,-46,-55,-53,-47,-60,-61,-200,-62,-61,-59,-62,-68,-64,-71,-69,-72,-72,-61,-74,-69,-62,-75,-84,-67,-73,-72,-82,-200,-71,-78,-74,-83,-73,-81,-84,-81,-77,-91,-81,-86,-84,-80,-83,-81,-85,-83,-86,-82,-90,-87,-81,-89,-88,-88,-95,-200,-92,-88,-92,-91,-90,-96,-93,-93,-94,-94,-85,-94,-96,-66,-78,-89,-88,-92,-200,-97,-95,-70,-82,-200,-200,-200,-200,-89,-200,-88,-200,-95,-200,-91,-88,-92,-200,-92,-96,-87,-200,-200,-200,-200,-200
1526454887165,-37,-50,-52,-49,-63,-55,-55,-78,-49,-60,-52,-62,-65,-59,-65,-63,-61,-57,-72,-69,-64,-65,-75,-86,-75,-61,-73,-69,-55,-70,-87,-78,-73,-79,-75,-79,-200,-78,-76,-77,-74,-81,-84,-82,-79,-85,-85,-88,-84,-81,-200,-81,-85,-88,-86,-82,-88,-87,-200,-89,-93,-88,-95,-200,-93,-88,-200,-94,-89,-92,-93,-200,-94,-88,-85,-93,-200,-66,-81,-89,-88,-92,-200,-97,-97,-200,-88,-96,-200,-74,-200,-89,-200,-200,-95,-95,-200,-82,-89,-86,-200,-92,-200,-87,-97,-200,-200,-200,-200
1526454890220,-44,-46,-56,-54,-61,-56,-57,-68,-47,-61,-52,-51,-61,-60,-65,-66,-64,-56,-69,-67,-64,-61,-71,-83,-74,-72,-73,-73,-56,-80,-89,-73,-73,-78,-75,-78,-200,-78,-76,-77,-73,-79,-85,-84,-83,-84,-82,-90,-84,-83,-89,-81,-85,-88,-88,-82,-89,-90,-200,-85,-84,-87,-95,-200,-92,-94,-200,-94,-89,-95,-92,-200,-94,-89,-200,-93,-200,-66,-83,-89,-200,-91,-200,-97,-97,-200,-97,-96,-200,-77,-200,-89,-200,-200,-94,-95,-200,-82,-90,-86,-200,-92,-200,-200,-97,-97,-200,-200,-200
1526454893276,-41,-45,-55,-54,-61,-51,-57,-62,-60,-56,-60,-54,-58,-64,-64,-66,-64,-64,-69,-68,-68,-67,-76,-84,-73,-72,-72,-71,-66,-71,-89,-76,-70,-78,-80,-69,-200,-77,-77,-77,-75,-82,-85,-77,-82,-83,-79,-84,-84,-75,-86,-81,-200,-88,-84,-83,-89,-83,-84,-89,-88,-88,-200,-200,-93,-96,-92,-94,-89,-89,-92,-200,-200,-89,-200,-93,-200,-67,-84,-89,-200,-91,-200,-93,-96,-200,-89,-97,-200,-77,-200,-200,-200,-88,-94,-97,-200,-82,-93,-89,-200,-200,-200,-200,-97,-97,-79,-200,-200
1526454896335,-40,-47,-64,-52,-61,-53,-56,-60,-50,-56,-56,-58,-59,-61,-63,-65,-64,-56,-62,-70,-68,-65,-77,-70,-66,-73,-73,-65,-56,-71,-83,-77,-74,-78,-80,-74,-200,-82,-79,-78,-76,-80,-81,-77,-80,-81,-78,-85,-85,-82,-89,-81,-79,-83,-85,-83,-90,-88,-90,-87,-88,-86,-200,-89,-88,-87,-90,-94,-89,-89,-89,-92,-200,-89,-200,-92,-97,-67,-84,-86,-200,-91,-200,-93,-96,-200,-93,-97,-96,-77,-200,-200,-200,-88,-97,-97,-200,-200,-93,-89,-200,-200,-200,-200,-200,-97,-79,-200,-200
1526454899396,-44,-47,-60,-53,-61,-51,-53,-62,-42,-58,-57,-47,-58,-58,-64,-69,-65,-58,-67,-76,-68,-70,-77,-81,-71,-76,-80,-70,-55,-72,-85,-79,-71,-81,-76,-71,-200,-85,-79,-81,-74,-84,-84,-83,-80,-82,-80,-90,-87,-84,-90,-82,-76,-83,-84,-86,-90,-88,-87,-85,-88,-87,-200,-85,-88,-85,-90,-92,-92,-89,-94,-94,-200,-89,-85,-92,-97,-67,-77,-89,-200,-200,-200,-93,-96,-200,-93,-96,-96,-81,-83,-200,-200,-88,-97,-97,-200,-200,-93,-88,-200,-200,-200,-200,-200,-200,-79,-95,-99
1526454902442,-38,-46,-58,-54,-61,-49,-57,-63,-42,-57,-54,-49,-61,-58,-65,-66,-62,-57,-64,-68,-200,-61,-68,-80,-72,-73,-72,-71,-56,-75,-85,-74,-70,-76,-77,-72,-200,-80,-80,-80,-75,-83,-84,-81,-75,-80,-74,-84,-87,-84,-90,-82,-76,-83,-83,-86,-89,-89,-87,-85,-86,-87,-200,-85,-94,-85,-90,-92,-90,-88,-91,-96,-200,-89,-87,-92,-97,-66,-77,-89,-200,-200,-200,-79,-96,-200,-93,-96,-96,-81,-83,-200,-200,-200,-97,-200,-200,-200,-200,-90,-200,-94,-200,-200,-200,-200,-200,-95,-99
