,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,WHU-2018,DLINK_D02A58,WHU-2018,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526454647433,-38,-61,-32,-49,-57,-70,-43,-56,-45,-62,-51,-56,-60,-50,-56,-57,-50,-61,-75,-78,-47,-63,-66,-61,-69,-66,-54,-79,-75,-200,-73,-73,-71,-79,-82,-77,-77,-200,-74,-65,-200,-75,-200,-200,-68,-200,-200,-83,-84,-83,-86,-200,-200,-200,-87,-200,-81,-72,-200,-200,-200,-66,-78,-85,-200,-200,-200,-83,-200,-200,-200,-81,-200,-200,-200,-82,-200,-86,-75,-68,-81,-75,-78,-80,-81,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454650462,-37,-54,-35,-43,-53,-71,-79,-59,-46,-67,-49,-56,-70,-54,-62,-58,-59,-49,-78,-80,-51,-64,-63,-59,-71,-58,-54,-75,-82,-200,-76,-78,-70,-70,-82,-80,-77,-200,-74,-65,-73,-75,-200,-200,-68,-200,-200,-83,-84,-83,-80,-200,-200,-200,-87,-200,-81,-70,-200,-71,-200,-68,-78,-85,-200,-200,-200,-83,-200,-200,-200,-81,-200,-200,-200,-82,-200,-86,-80,-58,-81,-75,-80,-79,-81,-87,-88,-91,-88,-200,-200,-200,-200,-200,-200,-200
1526454653522,-40,-53,-37,-44,-56,-70,-62,-55,-45,-57,-49,-55,-56,-59,-58,-51,-52,-49,-76,-82,-51,-75,-62,-65,-69,-67,-200,-76,-70,-200,-75,-79,-73,-70,-82,-80,-76,-200,-200,-63,-80,-78,-200,-200,-67,-200,-200,-83,-200,-76,-80,-200,-200,-200,-86,-200,-200,-69,-69,-73,-200,-68,-74,-200,-88,-200,-78,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-80,-58,-77,-200,-80,-79,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454656587,-37,-64,-32,-49,-53,-51,-41,-55,-46,-59,-50,-58,-70,-82,-64,-51,-51,-51,-79,-75,-51,-62,-62,-59,-70,-67,-59,-51,-81,-200,-81,-75,-74,-74,-82,-80,-71,-200,-76,-61,-80,-78,-74,-200,-67,-200,-200,-83,-200,-74,-80,-200,-200,-200,-86,-200,-55,-64,-69,-73,-200,-68,-74,-200,-88,-200,-78,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-72,-80,-58,-77,-200,-80,-79,-200,-200,-200,-200,-88,-86,-87,-200,-200,-200,-200,-200
1526454659597,-37,-53,-34,-44,-56,-72,-39,-51,-56,-57,-52,-56,-70,-52,-60,-49,-51,-50,-80,-80,-57,-61,-65,-62,-74,-65,-59,-75,-81,-200,-56,-80,-81,-75,-200,-200,-78,-78,-76,-62,-200,-200,-74,-200,-67,-200,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200,-55,-64,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200,-73,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-87,-88,-89,-89,-200,-200
1526454662652,-48,-56,-33,-40,-52,-60,-38,-73,-48,-55,-52,-58,-59,-62,-53,-60,-54,-51,-82,-80,-46,-73,-68,-55,-69,-65,-71,-80,-83,-200,-76,-80,-69,-66,-200,-200,-78,-78,-66,-59,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-80,-200,-200,-82,-86,-200,-53,-200,-65,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-73,-200,-63,-200,-200,-85,-200,-200,-200,-200,-200,-200,-87,-200,-88,-89,-89,-200,-200
1526454665702,-43,-55,-32,-37,-57,-74,-39,-56,-45,-52,-53,-68,-55,-58,-58,-54,-51,-65,-80,-80,-46,-73,-58,-53,-69,-59,-71,-80,-80,-200,-79,-80,-78,-67,-200,-200,-78,-78,-70,-63,-200,-200,-200,-200,-67,-200,-79,-83,-200,-200,-80,-200,-200,-82,-86,-200,-54,-72,-65,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-84,-200,-200,-200,-200,-200,-73,-200,-63,-200,-200,-85,-200,-200,-200,-200,-200,-200,-87,-200,-88,-89,-81,-80,-200
1526454668758,-38,-58,-35,-40,-50,-69,-35,-56,-48,-66,-51,-68,-55,-51,-48,-50,-50,-65,-73,-72,-46,-200,-80,-57,-64,-60,-200,-69,-80,-200,-77,-80,-73,-67,-80,-80,-200,-200,-79,-59,-200,-200,-200,-200,-65,-200,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-57,-72,-200,-73,-200,-68,-200,-200,-200,-200,-200,-200,-200,-80,-200,-84,-200,-89,-200,-200,-200,-200,-200,-62,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-80,-200
1526454671766,-43,-51,-32,-38,-51,-71,-34,-59,-43,-55,-52,-68,-60,-51,-55,-58,-60,-53,-75,-74,-42,-65,-68,-57,-71,-60,-58,-72,-81,-200,-58,-79,-72,-67,-80,-80,-200,-200,-78,-64,-200,-200,-200,-200,-78,-200,-79,-81,-85,-200,-80,-200,-200,-82,-200,-200,-57,-72,-69,-84,-200,-68,-200,-200,-91,-200,-200,-79,-200,-80,-200,-84,-200,-89,-200,-84,-200,-70,-200,-62,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-81,-80,-200
1526454674801,-39,-51,-27,-60,-54,-72,-34,-56,-43,-55,-51,-65,-62,-51,-79,-52,-62,-53,-79,-74,-42,-69,-68,-58,-73,-62,-59,-69,-56,-200,-79,-77,-72,-200,-200,-200,-200,-200,-76,-66,-200,-200,-77,-200,-78,-75,-200,-81,-85,-200,-80,-200,-200,-82,-87,-200,-52,-70,-69,-84,-200,-67,-200,-200,-91,-200,-75,-79,-83,-200,-200,-200,-200,-200,-200,-84,-200,-71,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-79,-200,-84,-200,-79
1526454677854,-43,-53,-33,-39,-57,-57,-33,-58,-73,-57,-52,-65,-57,-49,-79,-57,-62,-52,-74,-73,-42,-66,-200,-62,-73,-62,-59,-57,-81,-200,-80,-82,-73,-200,-200,-200,-79,-200,-78,-64,-200,-200,-77,-200,-200,-75,-78,-200,-86,-200,-200,-200,-200,-200,-87,-200,-51,-70,-72,-200,-200,-67,-200,-200,-200,-200,-75,-200,-83,-200,-200,-200,-200,-200,-76,-200,-200,-74,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200,-80,-200,-84,-200,-79
1526454680912,-43,-52,-35,-42,-60,-71,-36,-58,-42,-61,-55,-65,-57,-49,-53,-58,-62,-57,-76,-73,-44,-66,-200,-62,-73,-64,-66,-74,-79,-200,-80,-77,-72,-63,-200,-200,-79,-200,-78,-63,-200,-200,-77,-200,-200,-75,-81,-80,-86,-200,-200,-200,-200,-200,-87,-200,-56,-70,-72,-80,-200,-68,-200,-200,-200,-200,-75,-200,-83,-200,-200,-200,-200,-200,-76,-200,-200,-74,-76,-70,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200,-80,-200,-84,-200,-79
