,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526466332173,-200,-200,-200,-76,-68,-200,-200,-200,-78,-200,-200,-200,-78,-200,-200,-83,-83,-200,-200,-200,-200,-200,-88,-200
1526466332279,-76,-84,-200,-76,-62,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-80,-88,-200,-200,-200,-86,-93,-200,-200
1526466333341,-74,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526466334388,-200,-200,-200,-80,-200,-200,-200,-200,-75,-90,-200,-200,-92,-200,-200,-200,-200,-200,-87,-200,-84,-200,-200,-200
1526466334500,-200,-83,-200,-76,-69,-92,-200,-200,-77,-90,-200,-200,-77,-200,-75,-200,-82,-200,-86,-200,-200,-200,-200,-200
1526466336574,-200,-200,-200,-72,-200,-200,-200,-200,-200,-90,-86,-200,-200,-70,-75,-200,-200,-86,-94,-200,-200,-200,-200,-200
1526466336697,-200,-200,-92,-200,-59,-200,-200,-200,-200,-90,-200,-95,-200,-200,-75,-86,-200,-90,-88,-91,-200,-200,-91,-200
1526466337867,-72,-200,-86,-79,-59,-200,-88,-200,-80,-93,-93,-200,-73,-200,-200,-200,-200,-200,-86,-200,-82,-89,-200,-200
1526466340027,-200,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-75,-200,-83,-200,-200,-200,-200,-75,-200,-200
1526466341118,-200,-85,-200,-200,-67,-200,-92,-200,-200,-200,-200,-200,-78,-72,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526466342217,-200,-200,-91,-200,-58,-90,-200,-200,-200,-91,-200,-200,-84,-200,-97,-90,-200,-200,-90,-200,-82,-75,-95,-200
1526466343373,-87,-200,-82,-200,-60,-200,-200,-200,-79,-200,-200,-200,-78,-200,-75,-200,-200,-89,-86,-200,-79,-86,-88,-200
1526466345510,-200,-200,-91,-200,-200,-90,-200,-200,-77,-200,-200,-200,-84,-200,-74,-85,-200,-200,-90,-94,-82,-200,-96,-200
1526466346689,-200,-85,-200,-200,-68,-93,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-80,-200,-200,-200
1526466347796,-200,-200,-200,-73,-59,-200,-90,-200,-200,-200,-87,-93,-200,-200,-92,-200,-200,-200,-90,-92,-200,-75,-200,-200
1526466349991,-200,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-89,-200,-200,-75,-94,-200
1526466351119,-84,-200,-83,-72,-61,-200,-200,-200,-200,-200,-200,-200,-78,-200,-75,-200,-85,-200,-200,-200,-200,-200,-90,-200
1526466352248,-200,-200,-91,-200,-200,-200,-86,-200,-75,-90,-200,-93,-200,-76,-75,-200,-200,-200,-89,-200,-200,-75,-86,-200
1526466354388,-80,-82,-200,-75,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-84,-92,-200,-200,-200,-89,-200,-200
1526466355476,-82,-200,-200,-73,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466355585,-72,-200,-200,-73,-59,-200,-200,-200,-76,-91,-200,-200,-86,-74,-74,-200,-86,-86,-93,-200,-200,-74,-94,-200
1526466356692,-200,-200,-200,-76,-69,-200,-200,-200,-200,-200,-200,-200,-79,-72,-76,-200,-200,-200,-200,-200,-81,-200,-200,-200
