,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526466391524,-78,-200,-200,-200,-200,-69,-200,-200,-94,-200,-200,-200,-200,-84,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526466392578,-200,-82,-200,-74,-200,-71,-86,-200,-94,-200,-200,-200,-200,-86,-200,-200,-83,-82,-93,-200,-200,-200,-88
1526466392685,-200,-200,-200,-72,-200,-68,-87,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-85,-200,-200,-200,-200,-200
1526466393792,-74,-200,-83,-70,-200,-67,-200,-200,-91,-89,-83,-200,-80,-85,-200,-200,-200,-87,-200,-200,-93,-200,-200
1526466394885,-200,-83,-75,-72,-200,-77,-84,-200,-200,-94,-84,-200,-200,-200,-94,-94,-84,-200,-92,-200,-90,-200,-84
1526466397086,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466397180,-82,-85,-85,-72,-200,-68,-200,-83,-200,-200,-78,-86,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466398247,-200,-87,-84,-73,-200,-200,-86,-86,-200,-200,-81,-200,-75,-85,-200,-200,-200,-91,-200,-200,-88,-200,-93
1526466400373,-76,-200,-74,-70,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-88,-200,-200,-200,-200,-200
1526466401491,-81,-200,-200,-72,-200,-200,-200,-95,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200,-88,-200
1526466402575,-200,-81,-200,-75,-88,-68,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-83,-84,-200,-88,-200,-200,-200
1526466402676,-74,-86,-75,-74,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-89,-200,-84,-200,-200,-200
1526466403773,-200,-87,-78,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-200
1526466403912,-200,-90,-78,-200,-86,-200,-200,-200,-200,-200,-79,-200,-200,-81,-200,-200,-88,-200,-200,-91,-200,-200,-87
1526466406017,-200,-200,-72,-74,-86,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200
1526466407084,-200,-200,-80,-72,-89,-67,-200,-200,-200,-93,-200,-200,-200,-89,-200,-200,-200,-82,-200,-200,-200,-89,-82
1526466409329,-74,-200,-200,-72,-200,-73,-86,-96,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-86,-200,-86,-200
1526466410470,-200,-200,-200,-73,-200,-72,-85,-200,-200,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526466411596,-84,-86,-200,-200,-91,-67,-200,-200,-200,-200,-200,-91,-78,-87,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526466412635,-76,-91,-200,-71,-200,-72,-200,-200,-92,-200,-200,-200,-77,-200,-200,-200,-200,-90,-200,-200,-90,-200,-200
1526466412736,-200,-200,-200,-76,-200,-68,-200,-85,-200,-200,-79,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466413885,-200,-88,-74,-200,-200,-70,-84,-200,-200,-200,-200,-88,-86,-79,-200,-200,-85,-82,-200,-200,-200,-200,-200
1526466414933,-200,-200,-79,-79,-200,-200,-200,-200,-200,-90,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466416045,-80,-87,-200,-70,-200,-67,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-86,-200,-200,-200,-87,-200,-200
1526466417102,-200,-200,-74,-74,-90,-70,-200,-200,-200,-200,-200,-200,-77,-81,-200,-200,-200,-83,-200,-200,-200,-200,-94
1526466418280,-200,-200,-76,-75,-88,-74,-200,-81,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526466419271,-79,-86,-200,-72,-90,-71,-82,-200,-200,-200,-200,-200,-78,-80,-200,-200,-200,-200,-92,-200,-200,-200,-82
1526466420454,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466421505,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466421610,-83,-200,-75,-70,-200,-68,-87,-80,-200,-92,-79,-91,-75,-86,-200,-95,-200,-79,-200,-94,-200,-88,-200
1526466423829,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526466424794,-83,-200,-200,-70,-89,-200,-200,-89,-200,-200,-86,-200,-80,-82,-200,-95,-200,-81,-200,-89,-200,-200,-200
1526466425887,-75,-200,-76,-73,-200,-73,-200,-200,-200,-200,-78,-200,-78,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526466427064,-74,-90,-200,-76,-89,-75,-200,-81,-200,-200,-200,-90,-86,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526466429248,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
