,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449249683,-35,-32,-31,-50,-46,-53,-42,-52,-56,-56,-57,-56,-66,-72,-66,-67,-65,-72,-67,-74,-68,-49,-85,-74,-76,-200,-200,-74,-83,-78,-75,-72,-66,-200,-85,-73,-81,-80,-78,-78,-68,-83,-200,-85,-80,-78,-86,-200,-200,-200,-82,-78,-85,-92,-200,-200,-200,-200,-200,-200,-87,-90,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449252742,-35,-34,-32,-49,-42,-53,-43,-52,-55,-56,-55,-56,-59,-72,-62,-67,-73,-72,-64,-74,-68,-45,-79,-77,-74,-200,-200,-74,-83,-78,-73,-74,-66,-200,-85,-73,-77,-80,-78,-78,-68,-82,-200,-85,-80,-78,-86,-200,-90,-200,-82,-82,-83,-92,-200,-200,-200,-200,-200,-200,-87,-90,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449255784,-43,-33,-32,-45,-45,-51,-43,-52,-52,-56,-56,-56,-60,-72,-62,-67,-69,-72,-63,-200,-69,-49,-79,-77,-70,-200,-200,-73,-83,-78,-74,-74,-66,-200,-85,-71,-79,-80,-78,-76,-70,-82,-200,-85,-80,-200,-86,-200,-90,-200,-82,-82,-83,-92,-200,-200,-200,-200,-200,-200,-200,-90,-85,-90,-81,-90,-200,-200,-200,-200,-200,-200,-200
1526449258836,-39,-31,-32,-45,-45,-51,-40,-58,-51,-56,-56,-58,-58,-53,-62,-66,-69,-72,-64,-200,-69,-48,-81,-77,-78,-200,-200,-74,-200,-78,-74,-74,-65,-200,-76,-74,-81,-84,-200,-76,-76,-82,-200,-82,-80,-200,-86,-200,-91,-200,-82,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-90,-85,-90,-81,-90,-93,-200,-200,-200,-200,-200,-200
1526449261897,-36,-33,-33,-42,-47,-51,-40,-58,-50,-50,-56,-58,-60,-53,-61,-66,-70,-62,-65,-200,-66,-48,-81,-74,-73,-200,-200,-74,-200,-78,-74,-74,-65,-200,-76,-74,-81,-84,-76,-77,-77,-82,-200,-82,-80,-200,-86,-200,-91,-200,-84,-83,-85,-200,-200,-200,-200,-67,-200,-89,-200,-90,-200,-90,-78,-90,-93,-80,-200,-200,-200,-200,-200
1526449264965,-36,-33,-33,-42,-47,-52,-40,-57,-52,-50,-55,-58,-58,-53,-61,-66,-66,-62,-65,-200,-66,-46,-77,-76,-70,-200,-200,-73,-72,-78,-74,-75,-65,-70,-87,-74,-81,-84,-76,-77,-71,-82,-200,-82,-200,-82,-200,-200,-91,-200,-83,-83,-85,-200,-200,-200,-200,-59,-200,-89,-200,-200,-200,-90,-78,-90,-93,-80,-90,-200,-200,-200,-200
1526449268038,-38,-35,-33,-45,-44,-52,-39,-61,-50,-53,-56,-61,-58,-55,-64,-65,-70,-62,-65,-59,-65,-46,-77,-75,-74,-200,-200,-74,-72,-78,-74,-75,-65,-70,-87,-74,-78,-83,-76,-77,-76,-82,-200,-82,-200,-82,-90,-200,-91,-200,-83,-84,-85,-200,-200,-200,-200,-59,-200,-89,-200,-89,-200,-200,-78,-90,-93,-80,-90,-200,-200,-200,-200
1526449271088,-45,-32,-33,-49,-46,-51,-39,-61,-53,-52,-56,-61,-59,-55,-64,-65,-64,-60,-67,-59,-71,-47,-81,-77,-71,-200,-200,-74,-72,-77,-74,-75,-65,-70,-87,-74,-80,-83,-76,-78,-76,-78,-200,-85,-80,-82,-89,-200,-91,-200,-84,-81,-85,-200,-200,-200,-200,-62,-81,-89,-200,-88,-200,-200,-78,-200,-93,-80,-90,-200,-200,-200,-200
1526449274134,-38,-32,-33,-47,-45,-47,-38,-61,-50,-52,-56,-60,-61,-58,-65,-66,-63,-60,-68,-59,-70,-47,-82,-81,-71,-200,-200,-71,-67,-74,-74,-73,-65,-70,-87,-75,-79,-83,-76,-78,-72,-78,-200,-84,-81,-82,-89,-200,-90,-200,-84,-80,-85,-200,-200,-200,-200,-62,-81,-89,-89,-88,-200,-200,-78,-200,-200,-80,-90,-200,-200,-200,-200
1526449277205,-42,-33,-34,-43,-47,-54,-38,-61,-55,-49,-55,-60,-61,-77,-65,-66,-65,-60,-67,-59,-70,-47,-82,-81,-71,-200,-200,-71,-67,-74,-72,-73,-63,-70,-87,-75,-81,-83,-200,-75,-73,-78,-200,-84,-81,-82,-89,-200,-90,-200,-84,-80,-85,-200,-200,-200,-200,-62,-81,-200,-89,-88,-200,-200,-79,-200,-200,-200,-90,-95,-200,-200,-200
1526449280270,-42,-33,-33,-48,-45,-50,-38,-59,-55,-54,-57,-60,-62,-61,-65,-68,-65,-60,-67,-59,-66,-49,-76,-81,-73,-200,-200,-76,-67,-82,-75,-75,-72,-200,-200,-78,-80,-83,-80,-75,-73,-86,-200,-84,-81,-200,-89,-200,-87,-200,-82,-82,-87,-200,-200,-200,-200,-62,-81,-200,-89,-88,-200,-200,-79,-200,-200,-200,-200,-95,-89,-200,-200
1526449283306,-38,-31,-32,-57,-46,-53,-40,-59,-51,-50,-56,-58,-60,-61,-65,-66,-62,-63,-66,-200,-69,-49,-77,-72,-77,-200,-200,-74,-67,-78,-75,-75,-68,-69,-200,-77,-79,-200,-80,-78,-67,-81,-200,-84,-81,-200,-89,-200,-87,-200,-82,-82,-86,-200,-200,-200,-200,-62,-81,-200,-89,-88,-200,-200,-79,-200,-200,-200,-200,-95,-89,-90,-93
