,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526463137001,-31,-40,-29,-41,-50,-61,-51,-53,-49,-55,-51,-43,-41,-37,-46,-62,-50,-64,-58,-63,-59,-54,-67,-83,-60,-200,-76,-80,-61,-87,-78,-64,-57,-65,-72,-79,-71,-64,-93,-56,-200,-71,-72,-76,-200,-200,-200,-82,-200,-77,-200,-70,-79,-200,-79,-200,-80,-200,-91,-78,-80,-68,-80,-79,-200,-200,-200,-80,-75,-81,-91,-200,-77,-72,-200,-200,-81,-200,-200,-86,-200,-76,-77,-89,-82,-87,-200,-200,-200,-86,-200,-72,-200,-89,-200,-200,-200,-91,-200,-200,-81,-200,-82,-200,-200,-81,-200,-75,-75,-70,-200,-89,-80,-87,-77,-81,-200,-200,-200,-200,-200,-200
1526463139667,-31,-42,-22,-45,-52,-59,-51,-53,-49,-60,-50,-46,-41,-39,-45,-58,-50,-62,-61,-63,-59,-53,-65,-83,-53,-64,-76,-79,-61,-87,-78,-65,-57,-66,-72,-79,-79,-67,-75,-59,-200,-66,-72,-77,-200,-200,-200,-81,-200,-75,-200,-200,-79,-200,-81,-200,-80,-200,-91,-85,-82,-67,-81,-84,-200,-200,-200,-80,-74,-81,-91,-200,-77,-72,-200,-200,-78,-200,-200,-85,-200,-76,-77,-89,-82,-87,-200,-83,-200,-86,-200,-72,-200,-88,-200,-200,-200,-89,-200,-200,-81,-200,-83,-200,-200,-82,-200,-75,-75,-72,-200,-200,-200,-87,-77,-81,-78,-85,-200,-200,-200,-200
1526463140045,-31,-42,-22,-45,-52,-59,-51,-53,-49,-60,-50,-46,-41,-39,-45,-58,-50,-62,-61,-63,-59,-53,-65,-83,-53,-64,-76,-79,-61,-87,-78,-65,-57,-66,-72,-79,-79,-67,-75,-59,-200,-66,-72,-77,-200,-200,-200,-81,-200,-75,-200,-200,-79,-200,-81,-200,-80,-200,-91,-85,-82,-67,-81,-84,-200,-200,-200,-80,-74,-81,-91,-200,-77,-72,-200,-200,-78,-200,-200,-85,-200,-76,-77,-89,-82,-87,-200,-83,-200,-86,-200,-72,-200,-88,-200,-200,-200,-89,-200,-200,-81,-200,-83,-200,-200,-82,-200,-75,-75,-72,-200,-200,-200,-87,-77,-81,-78,-85,-200,-200,-200,-200
1526463142681,-32,-40,-29,-43,-51,-62,-50,-56,-48,-55,-51,-45,-41,-39,-46,-61,-50,-65,-58,-62,-200,-56,-66,-79,-53,-65,-76,-79,-60,-86,-78,-64,-57,-62,-71,-72,-78,-65,-75,-67,-80,-67,-73,-78,-85,-200,-200,-51,-78,-76,-200,-71,-79,-200,-80,-200,-80,-87,-91,-85,-82,-68,-81,-84,-200,-200,-200,-79,-74,-83,-200,-87,-86,-72,-200,-87,-81,-200,-200,-87,-200,-76,-78,-200,-82,-87,-200,-83,-200,-86,-200,-200,-200,-88,-68,-88,-200,-91,-200,-200,-200,-200,-83,-200,-200,-82,-200,-75,-75,-70,-89,-200,-200,-200,-200,-200,-84,-85,-200,-200,-200,-200
1526463143076,-32,-40,-29,-43,-51,-62,-50,-56,-48,-55,-51,-45,-41,-39,-46,-61,-50,-65,-58,-62,-200,-56,-66,-79,-53,-65,-76,-79,-60,-86,-78,-64,-57,-62,-71,-72,-78,-65,-75,-67,-80,-67,-73,-78,-85,-200,-200,-51,-78,-76,-200,-71,-79,-200,-80,-200,-80,-87,-91,-85,-82,-68,-81,-84,-200,-200,-200,-79,-74,-83,-200,-87,-86,-72,-200,-87,-81,-200,-200,-87,-200,-76,-78,-200,-82,-87,-200,-83,-200,-86,-200,-200,-200,-88,-68,-88,-200,-91,-200,-200,-200,-200,-83,-200,-200,-82,-200,-75,-75,-70,-89,-200,-200,-200,-200,-200,-84,-85,-200,-200,-200,-200
1526463145729,-35,-49,-27,-55,-56,-61,-51,-53,-49,-67,-59,-46,-44,-40,-41,-64,-50,-63,-65,-60,-200,-57,-67,-79,-58,-65,-76,-79,-63,-86,-78,-63,-56,-67,-71,-75,-77,-90,-81,-56,-80,-67,-73,-79,-85,-200,-200,-51,-78,-72,-200,-70,-79,-200,-81,-200,-88,-87,-90,-78,-82,-67,-85,-84,-200,-200,-81,-80,-74,-88,-200,-87,-86,-79,-200,-87,-81,-92,-200,-86,-200,-90,-78,-200,-82,-87,-81,-83,-200,-200,-200,-200,-200,-88,-68,-88,-200,-91,-200,-200,-200,-200,-83,-200,-200,-82,-200,-79,-200,-70,-89,-200,-200,-200,-200,-200,-84,-85,-89,-90,-200,-200
1526463146124,-35,-49,-27,-55,-56,-61,-51,-53,-49,-67,-59,-46,-44,-40,-41,-64,-50,-63,-65,-60,-200,-57,-67,-79,-58,-65,-76,-79,-63,-86,-78,-63,-56,-67,-71,-75,-77,-90,-81,-56,-80,-67,-73,-79,-85,-200,-200,-51,-78,-72,-200,-70,-79,-200,-81,-200,-88,-87,-90,-78,-82,-67,-85,-84,-200,-200,-81,-80,-74,-88,-200,-87,-86,-79,-200,-87,-81,-92,-200,-86,-200,-90,-78,-200,-82,-87,-81,-83,-200,-200,-200,-200,-200,-88,-68,-88,-200,-91,-200,-200,-200,-200,-83,-200,-200,-82,-200,-79,-200,-70,-89,-200,-200,-200,-200,-200,-84,-85,-89,-90,-200,-200
1526463148777,-30,-41,-28,-44,-50,-60,-50,-54,-50,-59,-50,-46,-44,-39,-43,-62,-49,-65,-59,-62,-200,-58,-66,-79,-59,-65,-76,-78,-67,-86,-78,-63,-56,-66,-71,-75,-78,-62,-69,-57,-79,-69,-73,-77,-85,-200,-200,-81,-78,-75,-200,-77,-80,-79,-79,-200,-88,-87,-90,-86,-200,-68,-85,-85,-200,-200,-81,-80,-74,-86,-200,-87,-86,-73,-200,-87,-81,-92,-200,-85,-200,-77,-76,-200,-83,-87,-81,-200,-200,-85,-90,-72,-67,-90,-68,-88,-200,-90,-200,-200,-200,-200,-83,-200,-200,-82,-200,-76,-200,-70,-89,-90,-200,-200,-200,-200,-84,-200,-89,-90,-90,-200
1526463149158,-30,-41,-28,-44,-50,-60,-50,-54,-50,-59,-50,-46,-44,-39,-43,-62,-49,-65,-59,-62,-200,-58,-66,-79,-59,-65,-76,-78,-67,-86,-78,-63,-56,-66,-71,-75,-78,-62,-69,-57,-79,-69,-73,-77,-85,-200,-200,-81,-78,-75,-200,-77,-80,-79,-79,-200,-88,-87,-90,-86,-200,-68,-85,-85,-200,-200,-81,-80,-74,-86,-200,-87,-86,-73,-200,-87,-81,-92,-200,-85,-200,-77,-76,-200,-83,-87,-81,-200,-200,-85,-90,-72,-67,-90,-68,-88,-200,-90,-200,-200,-200,-200,-83,-200,-200,-82,-200,-76,-200,-70,-89,-90,-200,-200,-200,-200,-84,-200,-89,-90,-90,-200
1526463151824,-29,-41,-26,-47,-51,-60,-49,-53,-48,-54,-52,-46,-43,-38,-42,-62,-51,-62,-56,-57,-200,-55,-66,-83,-59,-65,-75,-77,-60,-200,-77,-64,-56,-64,-71,-71,-78,-62,-72,-55,-73,-67,-73,-78,-86,-200,-200,-82,-78,-76,-200,-77,-81,-79,-79,-200,-88,-87,-91,-85,-200,-67,-85,-81,-200,-200,-81,-82,-75,-82,-200,-200,-86,-73,-200,-200,-81,-92,-200,-85,-200,-74,-76,-200,-83,-88,-81,-200,-200,-85,-90,-74,-67,-87,-200,-88,-200,-90,-200,-200,-200,-200,-83,-200,-200,-85,-200,-78,-200,-83,-86,-90,-200,-200,-200,-200,-84,-200,-90,-90,-90,-200
1526463152204,-29,-41,-26,-47,-51,-60,-49,-53,-48,-54,-52,-46,-43,-38,-42,-62,-51,-62,-56,-57,-200,-55,-66,-83,-59,-65,-75,-77,-60,-200,-77,-64,-56,-64,-71,-71,-78,-62,-72,-55,-73,-67,-73,-78,-86,-200,-200,-82,-78,-76,-200,-77,-81,-79,-79,-200,-88,-87,-91,-85,-200,-67,-85,-81,-200,-200,-81,-82,-75,-82,-200,-200,-86,-73,-200,-200,-81,-92,-200,-85,-200,-74,-76,-200,-83,-88,-81,-200,-200,-85,-90,-74,-67,-87,-200,-88,-200,-90,-200,-200,-200,-200,-83,-200,-200,-85,-200,-78,-200,-83,-86,-90,-200,-200,-200,-200,-84,-200,-90,-90,-90,-200
1526463154845,-31,-41,-30,-38,-50,-52,-49,-54,-48,-59,-54,-46,-44,-38,-46,-59,-51,-64,-61,-57,-200,-58,-66,-81,-58,-65,-75,-79,-64,-86,-77,-63,-57,-67,-200,-76,-78,-63,-77,-58,-78,-59,-73,-77,-86,-200,-200,-82,-200,-77,-200,-76,-80,-79,-80,-83,-88,-200,-90,-85,-83,-66,-84,-81,-200,-200,-80,-82,-74,-85,-200,-200,-200,-71,-200,-86,-81,-92,-200,-87,-200,-74,-76,-200,-84,-90,-81,-200,-200,-85,-90,-74,-74,-87,-77,-200,-87,-90,-200,-200,-200,-200,-83,-86,-200,-82,-200,-78,-200,-83,-86,-90,-200,-200,-200,-200,-200,-200,-90,-90,-90,-200
1526463155261,-32,-43,-29,-53,-59,-59,-49,-53,-48,-55,-54,-45,-44,-38,-46,-69,-50,-63,-67,-57,-200,-62,-67,-78,-56,-75,-75,-79,-61,-86,-74,-65,-55,-64,-75,-75,-78,-73,-77,-59,-78,-67,-73,-79,-85,-200,-200,-81,-81,-77,-200,-70,-80,-79,-80,-79,-200,-200,-90,-77,-83,-68,-84,-81,-200,-200,-80,-80,-74,-83,-200,-200,-200,-80,-200,-86,-81,-89,-200,-85,-200,-83,-76,-200,-84,-90,-200,-200,-200,-85,-90,-74,-74,-87,-77,-200,-87,-91,-200,-200,-200,-200,-83,-86,-200,-82,-200,-75,-75,-83,-86,-90,-200,-200,-200,-78,-200,-200,-90,-200,-90,-200
1526463157857,-32,-41,-29,-44,-43,-59,-51,-54,-48,-54,-54,-48,-43,-37,-46,-60,-50,-63,-58,-63,-200,-55,-66,-79,-58,-65,-76,-80,-61,-78,-77,-64,-57,-67,-75,-72,-78,-64,-72,-63,-78,-67,-73,-78,-85,-200,-200,-84,-81,-82,-200,-75,-81,-200,-82,-78,-81,-200,-90,-78,-83,-67,-84,-81,-200,-200,-80,-83,-74,-85,-200,-200,-200,-71,-200,-86,-83,-89,-200,-85,-200,-83,-77,-200,-84,-88,-84,-80,-200,-200,-200,-74,-68,-87,-77,-200,-88,-87,-200,-200,-200,-200,-200,-86,-200,-86,-200,-75,-75,-83,-86,-200,-200,-200,-200,-78,-200,-200,-90,-200,-200,-200
1526463158310,-32,-41,-29,-44,-43,-59,-51,-54,-48,-54,-54,-48,-43,-37,-46,-60,-50,-63,-58,-63,-200,-55,-66,-79,-58,-65,-76,-80,-61,-78,-77,-64,-57,-67,-75,-72,-78,-64,-72,-63,-78,-67,-73,-78,-85,-200,-200,-84,-81,-82,-200,-75,-81,-200,-82,-78,-81,-200,-90,-78,-83,-67,-84,-81,-200,-200,-80,-83,-74,-85,-200,-200,-200,-71,-200,-86,-83,-89,-200,-85,-200,-83,-77,-200,-84,-88,-84,-80,-200,-200,-200,-74,-68,-87,-77,-200,-88,-87,-200,-200,-200,-200,-200,-86,-200,-86,-200,-75,-75,-83,-86,-200,-200,-200,-200,-78,-200,-200,-90,-200,-200,-200
1526463160903,-34,-42,-29,-52,-52,-67,-51,-56,-48,-63,-62,-46,-43,-37,-45,-61,-50,-64,-58,-62,-200,-58,-61,-79,-49,-65,-76,-81,-63,-87,-77,-71,-57,-76,-75,-72,-79,-73,-72,-60,-73,-69,-80,-76,-86,-200,-200,-82,-81,-76,-83,-75,-81,-200,-82,-78,-86,-200,-88,-86,-83,-68,-84,-83,-200,-200,-80,-83,-74,-83,-200,-200,-200,-72,-200,-86,-83,-89,-200,-86,-200,-83,-76,-200,-84,-88,-84,-80,-200,-200,-200,-200,-68,-85,-77,-200,-88,-87,-200,-200,-80,-200,-83,-86,-200,-86,-200,-77,-76,-77,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526463161357,-34,-42,-29,-52,-52,-67,-51,-56,-48,-63,-62,-46,-43,-37,-45,-61,-50,-64,-58,-62,-200,-58,-61,-79,-49,-65,-76,-81,-63,-87,-77,-71,-57,-76,-75,-72,-79,-73,-72,-60,-73,-69,-80,-76,-86,-200,-200,-82,-81,-76,-83,-75,-81,-200,-82,-78,-86,-200,-88,-86,-83,-68,-84,-83,-200,-200,-80,-83,-74,-83,-200,-200,-200,-72,-200,-86,-83,-89,-200,-86,-200,-83,-76,-200,-84,-88,-84,-80,-200,-200,-200,-200,-68,-85,-77,-200,-88,-87,-200,-200,-80,-200,-83,-86,-200,-86,-200,-77,-76,-77,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526463163953,-31,-42,-32,-43,-51,-56,-51,-56,-49,-55,-56,-47,-44,-38,-41,-60,-52,-59,-58,-62,-68,-56,-68,-82,-59,-66,-77,-78,-60,-87,-77,-63,-59,-66,-72,-68,-79,-64,-70,-59,-80,-59,-80,-77,-86,-200,-200,-78,-81,-76,-83,-75,-80,-200,-81,-82,-86,-200,-88,-79,-83,-65,-76,-81,-200,-200,-82,-83,-75,-89,-90,-87,-200,-73,-200,-89,-79,-89,-200,-85,-200,-75,-76,-200,-200,-87,-84,-80,-200,-200,-200,-200,-70,-85,-200,-200,-88,-89,-200,-200,-80,-200,-83,-84,-200,-82,-200,-76,-76,-77,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-88,-84
1526463164404,-31,-42,-32,-43,-51,-56,-51,-56,-49,-55,-56,-47,-44,-38,-41,-60,-52,-59,-58,-62,-68,-56,-68,-82,-59,-66,-77,-78,-60,-87,-77,-63,-59,-66,-72,-68,-79,-64,-70,-59,-80,-59,-80,-77,-86,-200,-200,-78,-81,-76,-83,-75,-80,-200,-81,-82,-86,-200,-88,-79,-83,-65,-76,-81,-200,-200,-82,-83,-75,-89,-90,-87,-200,-73,-200,-89,-79,-89,-200,-85,-200,-75,-76,-200,-200,-87,-84,-80,-200,-200,-200,-200,-70,-85,-200,-200,-88,-89,-200,-200,-80,-200,-83,-84,-200,-82,-200,-76,-76,-77,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-88,-84
