,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018
1526456654959,-40,-51,-68,-57,-52,-53,-63,-69,-57,-63,-65,-62,-68,-65,-66,-60,-200,-52,-59,-63,-54,-54,-66,-81,-200,-72,-76,-81,-74,-77,-69,-71,-76,-75,-66,-77,-77,-77,-72,-77,-83,-75,-83,-85,-200,-200,-79,-85,-78,-84,-82,-86,-200,-84,-86,-74,-82,-200,-70,-86,-200,-92,-200,-85,-200,-85,-85,-83,-200,-200,-200,-200,-200,-200,-200,-89,-87,-89,-200,-92,-200,-70,-200,-79,-83,-89,-200,-91,-85,-200,-91,-89,-200,-200
1526456657996,-40,-52,-61,-55,-51,-53,-63,-71,-56,-65,-65,-62,-68,-65,-65,-61,-200,-52,-68,-62,-55,-54,-67,-81,-79,-72,-76,-74,-76,-77,-69,-72,-73,-73,-200,-78,-78,-82,-70,-77,-76,-75,-79,-85,-200,-200,-79,-85,-76,-84,-79,-86,-200,-83,-86,-72,-82,-200,-71,-86,-200,-84,-200,-82,-200,-83,-85,-83,-90,-200,-200,-200,-200,-200,-200,-89,-72,-89,-200,-92,-200,-200,-200,-200,-83,-89,-200,-200,-83,-200,-91,-89,-200,-200
1526456661010,-41,-50,-64,-53,-48,-53,-61,-68,-56,-59,-60,-61,-70,-65,-65,-60,-68,-56,-59,-65,-54,-55,-67,-81,-79,-67,-73,-77,-76,-78,-66,-66,-70,-76,-83,-78,-78,-82,-68,-77,-76,-75,-82,-86,-200,-200,-79,-200,-75,-83,-82,-200,-200,-83,-85,-73,-86,-200,-76,-85,-200,-84,-200,-82,-200,-83,-86,-83,-90,-200,-200,-200,-200,-90,-200,-89,-82,-87,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-83,-90,-91,-91,-200,-200
1526456664042,-44,-51,-63,-67,-51,-53,-59,-66,-58,-61,-59,-64,-65,-67,-64,-60,-68,-51,-70,-64,-55,-55,-70,-81,-73,-66,-73,-77,-76,-78,-62,-69,-72,-71,-83,-78,-78,-82,-68,-76,-76,-77,-77,-86,-200,-200,-79,-200,-78,-83,-79,-200,-200,-77,-85,-73,-86,-200,-73,-85,-200,-84,-200,-84,-200,-83,-86,-83,-90,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-77,-200,-200,-87,-200,-200,-200,-83,-90,-200,-91,-90,-200
1526456667069,-43,-52,-67,-64,-45,-50,-52,-63,-55,-63,-62,-63,-69,-67,-66,-63,-64,-56,-70,-62,-53,-64,-67,-84,-73,-66,-77,-80,-76,-78,-62,-69,-73,-77,-74,-78,-78,-80,-70,-76,-83,-76,-77,-86,-200,-200,-82,-200,-76,-86,-79,-200,-200,-77,-85,-73,-86,-200,-74,-85,-200,-84,-200,-84,-200,-85,-86,-83,-90,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-77,-200,-200,-87,-200,-200,-90,-86,-90,-200,-84,-90,-200
1526456670099,-42,-52,-64,-51,-49,-56,-52,-68,-57,-62,-62,-60,-63,-68,-66,-64,-64,-56,-70,-63,-53,-57,-71,-84,-73,-66,-74,-76,-79,-78,-62,-69,-75,-75,-77,-200,-200,-80,-72,-78,-83,-73,-77,-81,-200,-200,-82,-200,-76,-86,-79,-200,-200,-80,-85,-74,-84,-200,-72,-85,-88,-84,-200,-84,-200,-85,-86,-83,-87,-200,-200,-200,-200,-90,-200,-200,-84,-88,-200,-200,-200,-78,-200,-200,-87,-200,-200,-90,-86,-90,-200,-84,-90,-200
1526456673139,-41,-52,-68,-53,-52,-56,-64,-68,-57,-61,-54,-62,-65,-60,-64,-64,-64,-54,-69,-63,-52,-57,-71,-84,-73,-72,-75,-74,-79,-200,-62,-73,-71,-72,-77,-200,-79,-78,-73,-79,-83,-72,-77,-81,-200,-200,-78,-200,-78,-86,-79,-200,-200,-74,-200,-76,-84,-90,-72,-85,-88,-84,-200,-84,-200,-85,-86,-83,-87,-200,-89,-87,-200,-200,-200,-200,-84,-88,-200,-200,-200,-78,-200,-79,-200,-89,-83,-90,-86,-200,-200,-84,-90,-90
1526456676152,-39,-51,-66,-55,-48,-55,-60,-67,-57,-60,-59,-63,-66,-65,-64,-63,-64,-58,-69,-63,-53,-55,-72,-79,-200,-73,-72,-73,-76,-80,-62,-71,-71,-75,-72,-76,-79,-78,-73,-80,-85,-73,-200,-82,-200,-200,-80,-200,-77,-86,-82,-86,-200,-74,-81,-80,-81,-90,-72,-85,-88,-85,-200,-84,-200,-85,-84,-83,-87,-200,-89,-87,-200,-200,-200,-200,-84,-200,-200,-90,-200,-78,-200,-81,-200,-89,-83,-90,-86,-200,-200,-84,-200,-90
1526456679186,-41,-52,-68,-54,-47,-52,-60,-62,-55,-56,-59,-64,-66,-64,-64,-69,-68,-56,-60,-63,-53,-66,-70,-79,-200,-69,-72,-74,-79,-80,-62,-69,-74,-71,-72,-76,-81,-78,-71,-79,-85,-75,-200,-82,-200,-200,-80,-200,-78,-200,-82,-86,-200,-74,-81,-77,-81,-90,-71,-85,-89,-85,-200,-67,-200,-85,-84,-200,-87,-200,-89,-88,-200,-200,-200,-200,-83,-90,-200,-90,-200,-78,-200,-81,-200,-89,-83,-200,-200,-200,-200,-200,-92,-90
1526456682225,-43,-51,-67,-53,-46,-53,-55,-64,-60,-59,-60,-62,-74,-68,-62,-66,-68,-56,-72,-65,-51,-57,-66,-79,-200,-74,-77,-73,-79,-80,-62,-71,-71,-69,-71,-76,-80,-80,-75,-79,-85,-74,-200,-81,-200,-200,-82,-81,-78,-200,-83,-86,-200,-76,-81,-77,-81,-86,-71,-85,-88,-85,-200,-67,-200,-88,-85,-87,-200,-200,-89,-88,-200,-200,-200,-200,-82,-90,-200,-90,-200,-200,-200,-81,-200,-89,-83,-200,-200,-91,-200,-88,-92,-89
1526456685264,-43,-51,-63,-52,-46,-55,-56,-64,-59,-59,-60,-63,-71,-61,-67,-60,-74,-55,-68,-74,-53,-56,-67,-79,-200,-81,-77,-72,-79,-81,-65,-69,-71,-74,-73,-76,-76,-80,-69,-79,-85,-73,-200,-81,-200,-200,-82,-81,-79,-200,-83,-86,-200,-82,-81,-81,-81,-86,-75,-200,-88,-85,-200,-85,-200,-88,-85,-87,-200,-200,-200,-88,-200,-200,-200,-200,-82,-90,-200,-90,-200,-77,-200,-81,-84,-89,-200,-200,-200,-91,-200,-88,-92,-89
1526456688306,-46,-55,-60,-53,-47,-56,-54,-66,-57,-64,-52,-63,-69,-65,-61,-62,-74,-47,-64,-64,-51,-64,-77,-79,-200,-76,-76,-70,-79,-81,-63,-70,-73,-76,-73,-74,-76,-80,-69,-79,-85,-74,-83,-81,-200,-200,-83,-82,-81,-81,-81,-87,-89,-77,-82,-75,-81,-86,-75,-80,-88,-200,-200,-85,-200,-88,-85,-87,-200,-200,-200,-88,-200,-200,-200,-200,-86,-90,-200,-200,-200,-77,-200,-200,-84,-90,-89,-200,-200,-91,-200,-90,-92,-89
