,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448741641,-200,-200,-81,-200,-200,-200,-66,-200,-85,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526448741761,-97,-200,-80,-200,-200,-87,-66,-200,-200,-83,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526448741931,-90,-96,-81,-90,-200,-81,-66,-82,-78,-83,-200,-84,-200,-69,-200,-200,-200,-200,-200,-200,-200,-92
1526448746645,-91,-94,-80,-200,-200,-200,-200,-200,-78,-200,-200,-200,-92,-69,-97,-200,-200,-200,-200,-200,-200,-200
1526448746761,-92,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-84,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526448746866,-200,-200,-200,-200,-200,-80,-68,-83,-77,-200,-200,-200,-200,-69,-98,-200,-200,-200,-200,-200,-200,-200
1526448746963,-91,-92,-200,-200,-200,-81,-200,-200,-78,-200,-200,-82,-200,-69,-200,-200,-88,-200,-200,-200,-200,-200
1526448751599,-200,-93,-200,-200,-200,-200,-200,-74,-76,-81,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448751711,-95,-92,-81,-200,-200,-200,-64,-200,-76,-81,-200,-83,-200,-74,-200,-200,-88,-200,-200,-200,-200,-200
1526448751811,-200,-91,-200,-200,-89,-200,-200,-200,-200,-200,-200,-83,-200,-82,-93,-200,-200,-200,-200,-200,-200,-200
1526448752003,-200,-91,-81,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
