,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
1526464551392,-62,-41,-86,-57,-66,-67,-71,-79,-77,-76,-82,-74,-83,-87,-81,-83,-92,-87,-200,-200,-89,-200,-85,-82,-91,-82,-200,-200,-92,-83,-200,-89,-90,-200,-91,-200,-87,-200,-89,-91,-200,-92,-200,-90,-200,-200,-200,-90,-200,-200
1526464554422,-63,-43,-85,-61,-64,-66,-68,-81,-77,-80,-82,-70,-82,-87,-81,-86,-92,-87,-200,-200,-89,-200,-86,-86,-200,-83,-200,-200,-91,-82,-200,-85,-91,-200,-91,-200,-88,-90,-91,-91,-200,-92,-200,-90,-200,-200,-200,-90,-200,-200
1526464557431,-64,-41,-84,-60,-61,-75,-70,-78,-77,-78,-82,-66,-85,-87,-81,-86,-200,-85,-200,-91,-92,-200,-89,-86,-200,-84,-200,-200,-91,-85,-200,-90,-93,-200,-91,-200,-88,-90,-91,-91,-200,-92,-200,-90,-200,-200,-200,-90,-200,-200
1526464560442,-61,-41,-84,-60,-64,-73,-69,-81,-78,-89,-84,-71,-82,-84,-200,-85,-200,-86,-200,-91,-91,-200,-89,-83,-200,-84,-200,-200,-91,-85,-200,-90,-93,-200,-89,-200,-88,-91,-90,-200,-200,-92,-200,-90,-200,-200,-200,-90,-200,-200
1526464563451,-64,-43,-80,-61,-70,-69,-73,-81,-78,-80,-77,-67,-83,-84,-81,-85,-200,-86,-200,-91,-91,-200,-84,-88,-200,-82,-200,-200,-91,-83,-200,-90,-93,-200,-89,-200,-89,-91,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526464566475,-61,-41,-78,-57,-69,-71,-73,-77,-78,-77,-77,-68,-87,-85,-80,-84,-200,-88,-200,-91,-90,-200,-80,-90,-200,-83,-200,-200,-200,-85,-200,-90,-89,-200,-89,-200,-89,-91,-90,-91,-200,-92,-200,-200,-200,-200,-200,-86,-200,-200
1526464569503,-64,-44,-81,-64,-57,-67,-81,-77,-78,-75,-77,-68,-86,-84,-79,-84,-90,-88,-200,-88,-89,-200,-82,-82,-200,-84,-200,-200,-92,-87,-200,-91,-89,-200,-89,-200,-89,-91,-90,-91,-200,-92,-200,-200,-200,-200,-200,-92,-200,-200
1526464572510,-62,-47,-82,-70,-59,-76,-72,-81,-200,-76,-77,-66,-85,-84,-79,-85,-89,-88,-93,-89,-89,-200,-85,-84,-200,-85,-200,-200,-92,-87,-200,-91,-92,-200,-89,-200,-88,-200,-91,-91,-200,-92,-200,-200,-89,-200,-200,-89,-200,-200
1526464575522,-62,-42,-87,-62,-59,-72,-71,-89,-200,-76,-200,-65,-83,-86,-79,-85,-89,-88,-93,-89,-89,-200,-91,-84,-200,-85,-200,-200,-90,-84,-200,-89,-92,-200,-89,-200,-89,-91,-91,-91,-200,-92,-200,-200,-89,-200,-200,-89,-92,-200
1526464578532,-62,-42,-82,-59,-59,-73,-69,-81,-81,-81,-77,-65,-80,-86,-83,-86,-89,-86,-93,-90,-90,-200,-88,-84,-200,-85,-200,-200,-89,-82,-200,-89,-91,-200,-200,-200,-89,-91,-90,-200,-200,-200,-200,-200,-89,-200,-200,-92,-92,-82
1526464581543,-60,-47,-83,-58,-59,-73,-69,-76,-81,-82,-77,-66,-82,-89,-85,-88,-90,-86,-93,-90,-90,-200,-88,-89,-200,-85,-200,-200,-89,-85,-200,-89,-91,-200,-200,-91,-90,-91,-90,-200,-200,-200,-200,-200,-89,-200,-200,-92,-92,-82
1526464584550,-61,-46,-79,-57,-59,-76,-66,-81,-81,-86,-80,-65,-81,-89,-82,-86,-90,-86,-200,-90,-90,-200,-89,-83,-200,-83,-200,-200,-91,-84,-200,-92,-90,-200,-92,-91,-89,-90,-90,-200,-200,-93,-200,-90,-200,-200,-200,-92,-92,-82
