,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461532363,-37,-44,-73,-46,-46,-58,-69,-51,-200,-75,-200,-60,-78,-200,-52,-91,-78,-72,-59,-70,-86,-83,-85,-200,-74,-61,-200,-200,-83,-67,-200,-82,-200,-73,-200,-200,-86,-88,-83,-65,-90,-200,-77,-200,-200,-78,-200,-87,-200,-200,-200,-200,-89,-85,-90,-200,-200,-200,-74,-75,-74,-82,-82,-88,-89,-200,-79,-200,-73,-77,-200,-200,-200,-200,-200,-200,-90,-88,-84,-89,-87,-88,-88,-90,-91,-80,-84,-91,-200,-200,-200,-200,-200
1526461535397,-37,-44,-73,-45,-48,-59,-69,-46,-200,-80,-200,-59,-76,-83,-54,-87,-78,-75,-58,-77,-86,-80,-85,-200,-72,-59,-91,-200,-83,-72,-200,-84,-200,-75,-200,-200,-86,-88,-83,-68,-90,-200,-79,-200,-200,-78,-85,-87,-86,-200,-87,-200,-89,-85,-90,-200,-200,-90,-72,-73,-72,-82,-79,-88,-200,-200,-79,-200,-76,-79,-200,-200,-200,-200,-200,-200,-200,-88,-200,-89,-87,-200,-86,-200,-91,-80,-84,-91,-90,-200,-200,-200,-200
1526461538435,-41,-47,-61,-45,-51,-58,-69,-48,-200,-78,-200,-66,-76,-83,-60,-87,-73,-75,-66,-70,-86,-79,-85,-200,-73,-57,-91,-200,-83,-72,-200,-84,-200,-64,-200,-200,-86,-88,-83,-68,-85,-200,-79,-200,-200,-78,-85,-200,-86,-81,-89,-200,-89,-85,-90,-200,-200,-93,-77,-73,-79,-82,-79,-88,-200,-200,-76,-200,-80,-79,-83,-77,-200,-200,-200,-200,-200,-200,-83,-91,-87,-200,-86,-200,-91,-80,-84,-91,-90,-200,-200,-200,-200
1526461541468,-49,-45,-63,-41,-48,-53,-70,-50,-200,-75,-200,-66,-76,-85,-52,-87,-73,-68,-59,-72,-86,-80,-84,-200,-70,-59,-91,-200,-200,-72,-200,-84,-200,-77,-200,-200,-86,-200,-200,-66,-85,-200,-75,-200,-200,-78,-85,-200,-86,-81,-89,-200,-89,-85,-90,-200,-200,-93,-77,-67,-70,-82,-79,-88,-200,-200,-84,-200,-79,-79,-76,-77,-200,-200,-200,-200,-200,-200,-87,-91,-200,-200,-86,-200,-200,-80,-84,-91,-90,-200,-200,-200,-200
1526461544493,-41,-55,-61,-55,-52,-57,-66,-57,-200,-75,-79,-65,-80,-85,-53,-200,-73,-70,-57,-75,-89,-78,-83,-200,-70,-49,-200,-200,-200,-74,-200,-82,-91,-69,-200,-200,-86,-200,-200,-66,-85,-200,-75,-200,-200,-78,-85,-200,-88,-81,-89,-200,-200,-83,-89,-200,-200,-93,-70,-68,-70,-200,-77,-87,-85,-200,-84,-200,-66,-200,-81,-79,-200,-78,-200,-200,-91,-200,-87,-91,-200,-200,-200,-92,-200,-87,-200,-200,-200,-85,-90,-200,-200
1526461547516,-40,-55,-64,-55,-48,-67,-68,-53,-200,-75,-79,-67,-73,-85,-55,-200,-84,-70,-58,-75,-89,-78,-83,-83,-72,-47,-200,-200,-86,-74,-200,-82,-91,-69,-200,-200,-86,-200,-200,-68,-200,-200,-77,-200,-200,-81,-85,-200,-89,-200,-200,-200,-90,-82,-89,-200,-200,-200,-74,-75,-81,-82,-77,-87,-85,-200,-76,-200,-73,-80,-80,-79,-200,-78,-200,-200,-91,-200,-87,-200,-200,-87,-88,-84,-200,-87,-200,-91,-200,-85,-90,-200,-200
1526461550545,-40,-47,-64,-54,-54,-61,-69,-57,-200,-74,-79,-67,-73,-200,-55,-200,-74,-78,-57,-76,-89,-72,-82,-83,-71,-54,-200,-200,-86,-78,-200,-90,-91,-67,-200,-200,-86,-200,-200,-76,-200,-200,-76,-200,-200,-73,-83,-200,-89,-200,-200,-200,-89,-82,-86,-200,-200,-200,-74,-74,-81,-82,-77,-87,-85,-200,-76,-200,-73,-77,-81,-79,-200,-78,-200,-200,-91,-200,-88,-200,-200,-87,-88,-84,-200,-87,-90,-91,-200,-85,-90,-200,-200
1526461553574,-43,-51,-62,-61,-53,-67,-68,-54,-200,-74,-200,-68,-75,-200,-59,-200,-76,-78,-61,-71,-89,-70,-83,-83,-73,-50,-200,-200,-86,-78,-80,-82,-91,-70,-200,-200,-86,-200,-200,-76,-200,-200,-75,-200,-200,-73,-83,-200,-92,-200,-200,-200,-89,-82,-88,-200,-200,-200,-73,-77,-80,-82,-78,-200,-200,-200,-74,-200,-77,-77,-80,-200,-200,-78,-200,-200,-91,-87,-88,-88,-200,-87,-88,-84,-200,-87,-90,-91,-200,-200,-90,-90,-200
1526461556599,-49,-51,-64,-60,-54,-65,-69,-54,-200,-78,-200,-66,-75,-85,-56,-200,-76,-78,-59,-72,-200,-71,-84,-83,-73,-50,-200,-200,-86,-71,-80,-80,-200,-70,-200,-90,-86,-200,-200,-76,-86,-89,-73,-200,-200,-73,-81,-200,-92,-200,-200,-200,-87,-82,-88,-200,-200,-92,-73,-74,-80,-87,-81,-200,-200,-200,-75,-200,-77,-77,-80,-79,-200,-78,-200,-200,-91,-87,-88,-88,-200,-87,-88,-84,-200,-200,-90,-91,-200,-200,-200,-90,-200
1526461559633,-41,-47,-66,-55,-50,-66,-70,-54,-200,-78,-200,-66,-74,-85,-56,-200,-88,-78,-58,-77,-200,-73,-84,-200,-71,-52,-200,-200,-200,-71,-80,-80,-200,-70,-200,-90,-200,-200,-200,-74,-86,-89,-77,-200,-200,-73,-82,-200,-90,-200,-200,-200,-87,-74,-88,-200,-200,-92,-73,-73,-80,-83,-77,-89,-90,-200,-75,-200,-73,-77,-80,-79,-200,-78,-200,-200,-89,-87,-88,-88,-200,-200,-200,-90,-200,-200,-90,-200,-200,-200,-200,-92,-200
1526461562661,-42,-52,-63,-55,-52,-60,-70,-52,-200,-76,-200,-68,-74,-85,-56,-200,-77,-71,-59,-77,-200,-72,-84,-200,-71,-50,-88,-200,-86,-76,-80,-80,-200,-70,-200,-90,-85,-200,-200,-77,-86,-89,-76,-200,-200,-76,-82,-200,-90,-200,-200,-200,-87,-83,-88,-200,-200,-92,-75,-74,-82,-83,-77,-89,-90,-200,-76,-200,-73,-200,-80,-78,-200,-78,-200,-200,-89,-87,-200,-88,-200,-200,-200,-90,-200,-200,-200,-91,-200,-200,-200,-92,-90
1526461565688,-39,-46,-61,-50,-57,-64,-69,-56,-200,-74,-77,-69,-74,-81,-55,-200,-77,-78,-58,-72,-200,-73,-82,-200,-72,-54,-88,-200,-86,-76,-200,-80,-200,-70,-200,-90,-85,-200,-200,-73,-86,-89,-77,-200,-200,-76,-82,-200,-90,-200,-200,-200,-87,-82,-200,-200,-200,-92,-77,-73,-77,-83,-76,-89,-90,-200,-75,-200,-70,-200,-82,-78,-200,-200,-200,-200,-89,-200,-89,-200,-86,-200,-200,-90,-90,-200,-200,-91,-200,-200,-200,-92,-90
