,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526459982089,-48,-78,-48,-55,-75,-67,-70,-53,-61,-83,-84,-52,-90,-80,-88,-200,-79,-72,-200,-200,-200,-200,-200,-200,-73,-200,-200,-82,-76,-90,-89,-200,-91,-200,-200,-86,-200,-200,-91,-71,-200,-200,-91,-200,-200,-73,-73,-200,-200,-200,-81,-200,-83,-84,-200,-200,-200,-84,-85,-90,-200,-200,-200
1526459985112,-48,-79,-48,-55,-72,-65,-70,-52,-57,-83,-84,-51,-200,-80,-86,-200,-78,-71,-200,-200,-200,-200,-200,-200,-71,-87,-200,-81,-77,-90,-90,-200,-91,-200,-200,-85,-200,-200,-89,-59,-200,-200,-90,-200,-200,-73,-72,-200,-200,-200,-81,-200,-83,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526459988120,-47,-80,-49,-54,-72,-66,-70,-56,-57,-86,-84,-52,-200,-80,-86,-200,-78,-70,-200,-200,-200,-200,-200,-200,-71,-90,-200,-81,-77,-88,-90,-200,-91,-200,-200,-90,-200,-200,-89,-71,-200,-200,-90,-200,-200,-72,-74,-200,-200,-200,-81,-200,-82,-200,-200,-200,-200,-82,-200,-200,-89,-200,-200
1526459991130,-49,-82,-49,-53,-74,-63,-70,-55,-58,-84,-81,-52,-91,-80,-86,-200,-78,-70,-200,-200,-200,-200,-200,-200,-75,-90,-200,-79,-78,-89,-90,-200,-91,-200,-200,-90,-200,-200,-89,-71,-200,-200,-90,-200,-200,-72,-73,-200,-200,-200,-81,-200,-82,-200,-91,-200,-200,-82,-200,-200,-89,-200,-200
1526459994137,-47,-78,-48,-56,-73,-64,-70,-57,-60,-84,-81,-52,-91,-79,-86,-200,-78,-71,-200,-200,-200,-200,-200,-200,-75,-90,-200,-91,-78,-90,-90,-200,-200,-200,-200,-90,-200,-200,-89,-69,-200,-200,-90,-200,-200,-75,-72,-200,-200,-200,-81,-92,-82,-85,-91,-200,-200,-82,-200,-200,-89,-200,-200
1526459997144,-46,-78,-47,-52,-71,-68,-72,-53,-63,-83,-87,-48,-91,-79,-86,-200,-81,-71,-200,-200,-200,-200,-200,-200,-73,-90,-200,-87,-75,-90,-90,-200,-200,-200,-200,-78,-200,-200,-200,-69,-200,-200,-200,-200,-200,-75,-75,-200,-200,-89,-81,-92,-82,-85,-90,-91,-91,-200,-200,-200,-89,-200,-200
1526460000180,-48,-84,-50,-56,-69,-58,-71,-55,-56,-83,-87,-55,-91,-79,-200,-200,-73,-69,-200,-200,-200,-200,-200,-200,-73,-86,-200,-87,-75,-90,-90,-200,-200,-200,-200,-78,-200,-200,-200,-72,-200,-200,-89,-200,-200,-72,-73,-200,-200,-89,-79,-92,-82,-85,-90,-91,-91,-82,-200,-200,-200,-89,-200
1526460003200,-47,-81,-50,-54,-74,-64,-69,-56,-58,-83,-87,-55,-200,-80,-85,-200,-73,-71,-200,-200,-200,-200,-200,-200,-81,-89,-200,-87,-75,-90,-200,-200,-200,-200,-200,-78,-200,-200,-200,-71,-200,-200,-89,-200,-200,-72,-73,-200,-89,-89,-79,-92,-82,-85,-90,-91,-91,-82,-200,-200,-89,-89,-200
1526460006210,-47,-81,-49,-53,-76,-67,-71,-53,-58,-83,-87,-54,-200,-75,-86,-200,-81,-70,-200,-200,-200,-200,-200,-200,-79,-89,-200,-75,-75,-200,-90,-200,-200,-200,-200,-78,-200,-200,-90,-71,-200,-200,-89,-200,-200,-72,-73,-200,-89,-89,-79,-200,-82,-200,-90,-91,-91,-81,-200,-200,-89,-89,-200
1526460009235,-44,-81,-50,-51,-70,-64,-71,-58,-67,-83,-200,-58,-200,-75,-86,-200,-81,-68,-200,-200,-200,-200,-200,-200,-75,-89,-200,-80,-82,-89,-90,-200,-200,-200,-200,-89,-200,-200,-90,-75,-200,-200,-89,-200,-200,-73,-72,-200,-89,-90,-79,-200,-81,-83,-200,-200,-200,-81,-200,-200,-89,-89,-90
1526460012255,-47,-80,-47,-54,-70,-60,-67,-53,-61,-86,-200,-54,-200,-75,-87,-200,-80,-60,-200,-200,-200,-200,-200,-200,-76,-89,-87,-80,-79,-89,-90,-200,-200,-200,-200,-89,-200,-200,-90,-71,-200,-200,-200,-200,-200,-77,-76,-200,-89,-90,-81,-200,-81,-83,-200,-200,-200,-81,-200,-88,-89,-200,-90
1526460015284,-48,-71,-46,-52,-71,-66,-67,-54,-61,-86,-200,-54,-200,-78,-87,-200,-72,-67,-200,-200,-200,-200,-200,-200,-76,-89,-87,-80,-77,-89,-90,-200,-200,-200,-200,-85,-200,-200,-90,-71,-200,-200,-200,-200,-200,-76,-75,-200,-91,-90,-81,-200,-83,-83,-200,-200,-200,-81,-200,-88,-200,-200,-90
