,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454403409,-37,-38,-42,-43,-55,-45,-55,-52,-54,-71,-49,-61,-60,-66,-55,-50,-64,-61,-65,-61,-60,-71,-50,-69,-65,-72,-71,-71,-71,-69,-75,-62,-67,-71,-78,-74,-72,-81,-200,-83,-70,-200,-74,-71,-52,-74,-85,-80,-70,-66,-75,-88,-75,-81,-79,-82,-71,-80,-200,-90,-200,-84,-70,-77,-82,-87,-200,-200,-76,-87,-87,-86,-90,-81,-85,-84,-79,-84,-78,-81,-81,-200,-200,-200,-89,-80,-200,-89,-200,-88,-88,-200,-86,-71,-75,-200,-200,-200,-89,-200,-200,-79,-91,-98,-75,-79,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454403755,-37,-38,-42,-43,-55,-45,-55,-52,-54,-71,-49,-61,-60,-66,-55,-50,-64,-61,-65,-61,-60,-71,-50,-69,-65,-72,-71,-71,-71,-69,-75,-62,-67,-71,-78,-74,-72,-81,-200,-83,-70,-200,-74,-71,-52,-74,-85,-80,-70,-66,-75,-88,-75,-81,-79,-82,-71,-80,-200,-90,-200,-84,-70,-77,-82,-87,-200,-200,-76,-87,-87,-86,-90,-81,-85,-84,-79,-84,-78,-81,-81,-200,-200,-200,-89,-80,-200,-89,-200,-88,-88,-200,-86,-71,-75,-200,-200,-200,-89,-200,-200,-79,-91,-98,-75,-79,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454406449,-15,-38,-51,-43,-52,-50,-52,-50,-53,-70,-50,-60,-61,-68,-54,-52,-71,-61,-60,-64,-65,-69,-52,-70,-69,-61,-73,-71,-68,-200,-77,-66,-69,-66,-82,-73,-76,-83,-200,-83,-74,-200,-75,-71,-77,-72,-83,-77,-67,-71,-200,-83,-79,-84,-80,-200,-79,-84,-200,-81,-200,-84,-71,-77,-86,-87,-200,-200,-74,-84,-87,-86,-90,-81,-85,-84,-80,-88,-78,-82,-79,-200,-200,-200,-200,-80,-200,-89,-200,-90,-88,-200,-86,-71,-75,-200,-200,-200,-89,-200,-200,-79,-91,-200,-75,-79,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454406800,-15,-38,-51,-43,-52,-50,-52,-50,-53,-70,-50,-60,-61,-68,-54,-52,-71,-61,-60,-64,-65,-69,-52,-70,-69,-61,-73,-71,-68,-200,-77,-66,-69,-66,-82,-73,-76,-83,-200,-83,-74,-200,-75,-71,-77,-72,-83,-77,-67,-71,-200,-83,-79,-84,-80,-200,-79,-84,-200,-81,-200,-84,-71,-77,-86,-87,-200,-200,-74,-84,-87,-86,-90,-81,-85,-84,-80,-88,-78,-82,-79,-200,-200,-200,-200,-80,-200,-89,-200,-90,-88,-200,-86,-71,-75,-200,-200,-200,-89,-200,-200,-79,-91,-200,-75,-79,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454409467,-31,-41,-55,-49,-54,-45,-55,-51,-51,-70,-46,-61,-63,-68,-58,-49,-76,-61,-64,-73,-57,-76,-53,-68,-65,-61,-72,-71,-62,-200,-75,-70,-68,-74,-78,-76,-73,-80,-200,-85,-74,-200,-83,-71,-78,-72,-83,-75,-71,-68,-200,-82,-80,-83,-81,-82,-81,-84,-90,-81,-88,-81,-69,-75,-86,-87,-200,-200,-76,-84,-87,-88,-90,-81,-85,-84,-88,-84,-82,-82,-79,-200,-200,-200,-200,-90,-200,-89,-200,-90,-88,-91,-89,-71,-75,-200,-89,-93,-84,-200,-200,-79,-200,-200,-200,-79,-200,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454409837,-31,-41,-55,-49,-54,-45,-55,-51,-51,-70,-46,-61,-63,-68,-58,-49,-76,-61,-64,-73,-57,-76,-53,-68,-65,-61,-72,-71,-62,-200,-75,-70,-68,-74,-78,-76,-73,-80,-200,-85,-74,-200,-83,-71,-78,-72,-83,-75,-71,-68,-200,-82,-80,-83,-81,-82,-81,-84,-90,-81,-88,-81,-69,-75,-86,-87,-200,-200,-76,-84,-87,-88,-90,-81,-85,-84,-88,-84,-82,-82,-79,-200,-200,-200,-200,-90,-200,-89,-200,-90,-88,-91,-89,-71,-75,-200,-89,-93,-84,-200,-200,-79,-200,-200,-200,-79,-200,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454412488,-35,-50,-53,-48,-63,-46,-55,-50,-54,-70,-59,-60,-67,-68,-57,-49,-77,-61,-63,-69,-57,-76,-52,-66,-69,-70,-72,-84,-62,-200,-74,-67,-68,-74,-78,-72,-73,-82,-200,-85,-74,-200,-77,-72,-79,-70,-84,-76,-74,-73,-200,-87,-73,-83,-81,-82,-80,-82,-90,-81,-92,-81,-70,-77,-86,-83,-200,-200,-76,-84,-200,-82,-90,-81,-200,-85,-88,-83,-82,-82,-80,-200,-200,-200,-200,-90,-200,-89,-200,-90,-200,-91,-90,-72,-75,-200,-89,-93,-84,-200,-200,-200,-200,-200,-200,-200,-200,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454412848,-31,-40,-50,-48,-56,-44,-55,-47,-51,-68,-50,-59,-66,-69,-59,-51,-76,-60,-65,-68,-59,-78,-52,-67,-67,-70,-72,-76,-65,-200,-77,-65,-69,-74,-78,-72,-73,-81,-71,-85,-74,-200,-79,-72,-78,-72,-85,-76,-73,-73,-200,-86,-77,-83,-79,-87,-79,-84,-90,-81,-92,-83,-69,-75,-88,-86,-200,-200,-75,-81,-86,-82,-200,-86,-200,-83,-88,-83,-84,-82,-87,-200,-200,-200,-200,-89,-200,-200,-200,-89,-200,-91,-85,-72,-75,-200,-89,-93,-84,-200,-200,-80,-200,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526454415533,-17,-41,-53,-47,-57,-45,-54,-51,-51,-72,-50,-70,-64,-69,-56,-58,-74,-68,-62,-69,-58,-84,-60,-67,-71,-69,-74,-78,-65,-74,-75,-65,-68,-74,-78,-72,-73,-80,-71,-84,-74,-79,-79,-71,-78,-72,-86,-76,-68,-68,-200,-88,-76,-83,-85,-87,-79,-91,-90,-200,-92,-81,-68,-76,-89,-86,-200,-200,-73,-81,-87,-82,-87,-86,-87,-85,-88,-85,-84,-82,-80,-200,-200,-200,-200,-89,-200,-200,-200,-89,-200,-91,-85,-78,-84,-200,-89,-93,-84,-200,-200,-83,-200,-93,-200,-200,-200,-82,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526454415896,-17,-41,-53,-47,-57,-45,-54,-51,-51,-72,-50,-70,-64,-69,-56,-58,-74,-68,-62,-69,-58,-84,-60,-67,-71,-69,-74,-78,-65,-74,-75,-65,-68,-74,-78,-72,-73,-80,-71,-84,-74,-79,-79,-71,-78,-72,-86,-76,-68,-68,-200,-88,-76,-83,-85,-87,-79,-91,-90,-200,-92,-81,-68,-76,-89,-86,-200,-200,-73,-81,-87,-82,-87,-86,-87,-85,-88,-85,-84,-82,-80,-200,-200,-200,-200,-89,-200,-200,-200,-89,-200,-91,-85,-78,-84,-200,-89,-93,-84,-200,-200,-83,-200,-93,-200,-200,-200,-82,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526454418580,-32,-39,-50,-47,-57,-44,-56,-52,-53,-72,-51,-60,-67,-69,-55,-48,-75,-56,-65,-69,-57,-84,-49,-68,-67,-70,-74,-76,-60,-69,-76,-69,-68,-200,-200,-74,-73,-80,-71,-83,-74,-78,-79,-71,-79,-70,-81,-79,-70,-68,-74,-82,-76,-81,-85,-84,-79,-91,-200,-200,-89,-81,-69,-76,-89,-84,-200,-200,-74,-81,-88,-89,-87,-87,-87,-85,-88,-86,-86,-200,-80,-200,-200,-200,-200,-89,-200,-89,-200,-89,-82,-200,-85,-78,-74,-200,-92,-200,-200,-200,-200,-84,-200,-93,-200,-200,-200,-83,-200,-90,-88,-200,-200,-200,-200,-200,-200,-200
1526454418936,-32,-39,-50,-47,-57,-44,-56,-52,-53,-72,-51,-60,-67,-69,-55,-48,-75,-56,-65,-69,-57,-84,-49,-68,-67,-70,-74,-76,-60,-69,-76,-69,-68,-200,-200,-74,-73,-80,-71,-83,-74,-78,-79,-71,-79,-70,-81,-79,-70,-68,-74,-82,-76,-81,-85,-84,-79,-91,-200,-200,-89,-81,-69,-76,-89,-84,-200,-200,-74,-81,-88,-89,-87,-87,-87,-85,-88,-86,-86,-200,-80,-200,-200,-200,-200,-89,-200,-89,-200,-89,-82,-200,-85,-78,-74,-200,-92,-200,-200,-200,-200,-84,-200,-93,-200,-200,-200,-83,-200,-90,-88,-200,-200,-200,-200,-200,-200,-200
1526454421618,-36,-39,-51,-49,-59,-45,-62,-50,-53,-71,-49,-60,-77,-72,-55,-53,-76,-62,-62,-69,-61,-84,-53,-67,-78,-63,-74,-76,-62,-69,-76,-65,-68,-70,-82,-72,-74,-80,-71,-82,-74,-78,-83,-71,-80,-70,-81,-78,-71,-68,-74,-82,-77,-81,-82,-84,-81,-91,-200,-200,-89,-82,-71,-77,-89,-87,-200,-200,-74,-82,-88,-89,-87,-86,-87,-85,-81,-83,-86,-82,-81,-200,-200,-91,-200,-89,-200,-89,-200,-88,-82,-90,-85,-78,-76,-200,-92,-200,-85,-200,-200,-84,-200,-93,-200,-200,-200,-83,-200,-90,-88,-93,-200,-200,-200,-200,-200,-200
1526454421986,-36,-39,-51,-49,-59,-45,-62,-50,-53,-71,-49,-60,-77,-72,-55,-53,-76,-62,-62,-69,-61,-84,-53,-67,-78,-63,-74,-76,-62,-69,-76,-65,-68,-70,-82,-72,-74,-80,-71,-82,-74,-78,-83,-71,-80,-70,-81,-78,-71,-68,-74,-82,-77,-81,-82,-84,-81,-91,-200,-200,-89,-82,-71,-77,-89,-87,-200,-200,-74,-82,-88,-89,-87,-86,-87,-85,-81,-83,-86,-82,-81,-200,-200,-91,-200,-89,-200,-89,-200,-88,-82,-90,-85,-78,-76,-200,-92,-200,-85,-200,-200,-84,-200,-93,-200,-200,-200,-83,-200,-90,-88,-93,-200,-200,-200,-200,-200,-200
1526454424657,-30,-37,-53,-47,-56,-43,-54,-51,-53,-71,-49,-60,-66,-73,-56,-51,-76,-62,-63,-69,-60,-79,-48,-67,-66,-76,-73,-76,-65,-72,-80,-68,-68,-70,-79,-75,-76,-81,-200,-83,-74,-78,-77,-70,-79,-72,-81,-81,-70,-68,-79,-82,-78,-81,-82,-84,-82,-87,-200,-200,-89,-83,-69,-77,-89,-85,-200,-200,-74,-82,-88,-89,-87,-85,-87,-87,-86,-84,-86,-82,-81,-200,-200,-91,-200,-200,-200,-89,-200,-88,-82,-90,-200,-78,-76,-200,-92,-200,-89,-200,-200,-80,-200,-90,-200,-79,-200,-83,-200,-90,-88,-93,-85,-90,-90,-200,-200,-200
1526454425016,-15,-40,-62,-48,-63,-45,-63,-51,-53,-72,-50,-60,-73,-72,-56,-55,-76,-65,-63,-68,-59,-79,-69,-70,-68,-78,-73,-75,-63,-72,-80,-76,-77,-70,-79,-75,-76,-82,-200,-83,-74,-79,-77,-70,-78,-72,-86,-78,-79,-200,-79,-82,-77,-83,-82,-84,-82,-87,-200,-200,-89,-82,-69,-77,-200,-82,-200,-200,-74,-82,-88,-93,-200,-87,-200,-87,-86,-91,-88,-88,-81,-200,-88,-91,-90,-200,-200,-83,-200,-88,-80,-96,-200,-200,-77,-200,-92,-200,-89,-200,-200,-80,-200,-90,-200,-79,-200,-84,-200,-90,-88,-93,-84,-90,-90,-200,-200,-200
1526454427669,-33,-40,-51,-47,-53,-45,-53,-52,-53,-72,-49,-60,-61,-71,-59,-51,-77,-62,-60,-68,-61,-79,-51,-70,-67,-73,-73,-74,-63,-72,-79,-59,-77,-75,-75,-72,-76,-82,-200,-83,-74,-79,-70,-70,-79,-70,-82,-80,-68,-200,-77,-200,-80,-83,-83,-81,-81,-87,-200,-200,-89,-80,-71,-74,-200,-82,-200,-200,-73,-83,-88,-88,-200,-86,-200,-86,-87,-91,-84,-88,-81,-200,-88,-91,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-200,-200,-89,-200,-200,-86,-200,-90,-200,-79,-200,-84,-200,-90,-200,-93,-84,-90,-90,-200,-200,-200
