,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455020134,-37,-37,-36,-48,-46,-43,-53,-48,-52,-48,-52,-54,-62,-56,-69,-53,-58,-55,-61,-66,-49,-54,-65,-64,-72,-73,-70,-65,-69,-200,-74,-58,-64,-79,-75,-63,-70,-66,-64,-73,-71,-76,-79,-200,-74,-74,-77,-76,-74,-77,-200,-200,-79,-60,-77,-76,-76,-77,-70,-68,-78,-200,-77,-79,-90,-200,-85,-80,-82,-85,-75,-78,-80,-91,-200,-81,-81,-83,-87,-200,-91,-88,-200,-200,-88,-89,-200,-200,-200,-70,-82,-89,-88,-86,-87,-89,-90,-87,-87,-88,-80,-86,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455020515,-38,-16,-14,-48,-46,-41,-53,-45,-53,-47,-50,-50,-63,-59,-63,-57,-60,-57,-62,-65,-62,-56,-66,-64,-73,-71,-70,-65,-67,-200,-74,-58,-59,-64,-78,-61,-71,-71,-63,-73,-74,-77,-79,-200,-74,-200,-77,-76,-200,-78,-200,-77,-80,-55,-76,-76,-72,-77,-72,-79,-78,-200,-76,-79,-90,-200,-79,-80,-81,-85,-75,-78,-85,-91,-200,-81,-81,-83,-87,-200,-89,-87,-200,-200,-88,-200,-200,-200,-200,-70,-85,-89,-87,-88,-86,-89,-200,-87,-87,-88,-80,-86,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455023167,-37,-27,-35,-49,-45,-43,-52,-45,-52,-48,-51,-55,-62,-56,-63,-55,-57,-54,-62,-62,-66,-51,-66,-64,-68,-71,-71,-69,-71,-200,-68,-57,-61,-63,-77,-60,-71,-71,-61,-71,-68,-76,-200,-200,-74,-200,-77,-74,-77,-77,-200,-77,-79,-55,-76,-80,-75,-77,-71,-78,-79,-88,-77,-79,-90,-200,-79,-200,-73,-85,-75,-78,-85,-91,-200,-81,-200,-83,-89,-89,-90,-87,-200,-200,-88,-200,-200,-200,-200,-70,-85,-89,-88,-88,-85,-90,-200,-85,-200,-88,-80,-86,-90,-90,-91,-74,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455023563,-37,-27,-35,-49,-45,-43,-52,-45,-52,-48,-51,-55,-62,-56,-63,-55,-57,-54,-62,-62,-66,-51,-66,-64,-68,-71,-71,-69,-71,-200,-68,-57,-61,-63,-77,-60,-71,-71,-61,-71,-68,-76,-200,-200,-74,-200,-77,-74,-77,-77,-200,-77,-79,-55,-76,-80,-75,-77,-71,-78,-79,-88,-77,-79,-90,-200,-79,-200,-73,-85,-75,-78,-85,-91,-200,-81,-200,-83,-89,-89,-90,-87,-200,-200,-88,-200,-200,-200,-200,-70,-85,-89,-88,-88,-85,-90,-200,-85,-200,-88,-80,-86,-90,-90,-91,-74,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455026207,-38,-44,-22,-48,-53,-46,-53,-45,-52,-48,-52,-53,-62,-56,-69,-55,-48,-57,-69,-62,-62,-56,-66,-69,-75,-71,-71,-66,-69,-69,-77,-59,-65,-65,-77,-69,-71,-71,-65,-73,-72,-79,-200,-200,-74,-200,-77,-76,-77,-77,-200,-77,-79,-54,-76,-81,-72,-77,-71,-78,-76,-88,-77,-79,-93,-75,-87,-80,-75,-85,-75,-77,-83,-91,-200,-92,-200,-82,-89,-89,-90,-87,-200,-200,-88,-200,-200,-200,-90,-70,-85,-90,-88,-88,-85,-93,-200,-85,-200,-200,-200,-200,-200,-200,-91,-80,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526455026613,-38,-44,-22,-48,-53,-46,-53,-45,-52,-48,-52,-53,-62,-56,-69,-55,-48,-57,-69,-62,-62,-56,-66,-69,-75,-71,-71,-66,-69,-69,-77,-59,-65,-65,-77,-69,-71,-71,-65,-73,-72,-79,-200,-200,-74,-200,-77,-76,-77,-77,-200,-77,-79,-54,-76,-81,-72,-77,-71,-78,-76,-88,-77,-79,-93,-75,-87,-80,-75,-85,-75,-77,-83,-91,-200,-92,-200,-82,-89,-89,-90,-87,-200,-200,-88,-200,-200,-200,-90,-70,-85,-90,-88,-88,-85,-93,-200,-85,-200,-200,-200,-200,-200,-200,-91,-80,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526455029246,-38,-27,-35,-45,-43,-43,-51,-45,-52,-48,-52,-51,-60,-56,-60,-52,-60,-57,-63,-63,-61,-47,-66,-65,-73,-71,-73,-64,-69,-69,-68,-59,-60,-63,-78,-63,-71,-70,-62,-74,-74,-74,-200,-200,-74,-200,-77,-77,-76,-77,-200,-77,-79,-61,-80,-79,-72,-76,-67,-83,-76,-89,-76,-79,-93,-75,-78,-80,-77,-85,-76,-77,-83,-200,-200,-92,-200,-81,-89,-89,-89,-86,-200,-200,-200,-200,-200,-200,-90,-200,-85,-89,-88,-88,-85,-93,-200,-85,-200,-200,-200,-200,-200,-200,-91,-80,-90,-90,-91,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526455029660,-38,-27,-35,-45,-43,-43,-51,-45,-52,-48,-52,-51,-60,-56,-60,-52,-60,-57,-63,-63,-61,-47,-66,-65,-73,-71,-73,-64,-69,-69,-68,-59,-60,-63,-78,-63,-71,-70,-62,-74,-74,-74,-200,-200,-74,-200,-77,-77,-76,-77,-200,-77,-79,-61,-80,-79,-72,-76,-67,-83,-76,-89,-76,-79,-93,-75,-78,-80,-77,-85,-76,-77,-83,-200,-200,-92,-200,-81,-89,-89,-89,-86,-200,-200,-200,-200,-200,-200,-90,-200,-85,-89,-88,-88,-85,-93,-200,-85,-200,-200,-200,-200,-200,-200,-91,-80,-90,-90,-91,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526455032264,-39,-43,-42,-57,-51,-50,-53,-46,-51,-47,-50,-56,-60,-56,-60,-57,-56,-67,-63,-61,-62,-63,-67,-65,-73,-71,-72,-64,-66,-66,-69,-58,-59,-65,-74,-61,-71,-70,-63,-71,-72,-74,-200,-200,-74,-200,-76,-74,-76,-77,-200,-200,-79,-61,-76,-78,-72,-76,-73,-78,-68,-89,-76,-79,-93,-75,-85,-80,-79,-84,-76,-77,-84,-200,-200,-92,-90,-83,-87,-89,-88,-86,-200,-200,-200,-200,-200,-200,-90,-200,-82,-90,-88,-88,-83,-93,-200,-85,-86,-200,-200,-200,-200,-200,-200,-80,-90,-90,-91,-91,-90,-93,-200,-200,-200,-200,-200,-200
1526455032678,-37,-25,-35,-48,-49,-43,-52,-45,-51,-47,-52,-55,-62,-49,-67,-56,-60,-67,-62,-58,-49,-53,-66,-65,-74,-200,-71,-66,-68,-66,-67,-58,-59,-65,-74,-63,-70,-70,-59,-72,-72,-76,-200,-200,-76,-200,-52,-74,-76,-77,-78,-200,-79,-59,-78,-82,-72,-76,-67,-79,-74,-88,-76,-79,-85,-75,-77,-80,-76,-84,-75,-77,-84,-200,-200,-84,-90,-83,-87,-87,-87,-86,-200,-200,-200,-200,-200,-200,-88,-69,-82,-91,-88,-86,-83,-88,-200,-85,-86,-200,-200,-200,-200,-200,-200,-80,-200,-200,-91,-91,-90,-85,-200,-200,-200,-200,-200,-200
1526455035276,-34,-8,-18,-47,-44,-44,-52,-48,-57,-48,-51,-52,-62,-59,-70,-55,-60,-67,-61,-62,-68,-55,-67,-65,-73,-74,-71,-66,-70,-67,-75,-59,-61,-73,-77,-63,-73,-70,-63,-72,-72,-76,-200,-200,-74,-200,-76,-75,-76,-74,-78,-200,-80,-59,-77,-76,-63,-76,-71,-79,-76,-89,-76,-200,-85,-75,-77,-200,-79,-84,-75,-200,-84,-200,-200,-84,-90,-83,-87,-87,-88,-83,-200,-200,-200,-200,-200,-200,-88,-69,-82,-90,-88,-87,-83,-90,-200,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-90,-85,-73,-200,-200,-200,-200,-200
1526455035712,-34,-8,-18,-47,-44,-44,-52,-48,-57,-48,-51,-52,-62,-59,-70,-55,-60,-67,-61,-62,-68,-55,-67,-65,-73,-74,-71,-66,-70,-67,-75,-59,-61,-73,-77,-63,-73,-70,-63,-72,-72,-76,-200,-200,-74,-200,-76,-75,-76,-74,-78,-200,-80,-59,-77,-76,-63,-76,-71,-79,-76,-89,-76,-200,-85,-75,-77,-200,-79,-84,-75,-200,-84,-200,-200,-84,-90,-83,-87,-87,-88,-83,-200,-200,-200,-200,-200,-200,-88,-69,-82,-90,-88,-87,-83,-90,-200,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-90,-85,-73,-200,-200,-200,-200,-200
1526455038311,-36,-27,-37,-46,-45,-43,-51,-46,-56,-48,-52,-52,-62,-59,-65,-54,-61,-57,-61,-62,-63,-52,-65,-59,-74,-74,-71,-66,-68,-67,-69,-58,-50,-74,-77,-59,-73,-70,-63,-73,-72,-79,-200,-200,-75,-200,-76,-74,-76,-73,-78,-200,-81,-56,-76,-76,-63,-76,-71,-79,-67,-89,-77,-200,-86,-75,-77,-200,-78,-83,-75,-200,-86,-200,-200,-84,-90,-83,-90,-87,-87,-83,-200,-200,-89,-200,-200,-200,-88,-69,-84,-90,-88,-88,-83,-90,-200,-86,-90,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-89,-200,-85,-73,-74,-87,-200,-200,-200
1526455038760,-36,-27,-37,-46,-45,-43,-51,-46,-56,-48,-52,-52,-62,-59,-65,-54,-61,-57,-61,-62,-63,-52,-65,-59,-74,-74,-71,-66,-68,-67,-69,-58,-50,-74,-77,-59,-73,-70,-63,-73,-72,-79,-200,-200,-75,-200,-76,-74,-76,-73,-78,-200,-81,-56,-76,-76,-63,-76,-71,-79,-67,-89,-77,-200,-86,-75,-77,-200,-78,-83,-75,-200,-86,-200,-200,-84,-90,-83,-90,-87,-87,-83,-200,-200,-89,-200,-200,-200,-88,-69,-84,-90,-88,-88,-83,-90,-200,-86,-90,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-89,-200,-85,-73,-74,-87,-200,-200,-200
1526455041360,-37,-15,-16,-46,-46,-44,-58,-46,-51,-47,-52,-52,-62,-57,-65,-63,-61,-57,-63,-61,-65,-56,-65,-59,-71,-71,-72,-57,-69,-67,-69,-57,-68,-65,-79,-59,-73,-70,-62,-73,-72,-80,-200,-200,-75,-200,-77,-76,-78,-77,-78,-200,-80,-56,-77,-76,-72,-76,-74,-79,-67,-89,-78,-200,-86,-200,-85,-200,-73,-83,-75,-200,-86,-200,-200,-84,-200,-82,-90,-87,-90,-83,-200,-200,-89,-200,-200,-200,-88,-69,-84,-90,-200,-84,-88,-90,-200,-85,-90,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-89,-200,-85,-73,-74,-87,-78,-200,-200
1526455041778,-37,-15,-16,-46,-46,-44,-58,-46,-51,-47,-52,-52,-62,-57,-65,-63,-61,-57,-63,-61,-65,-56,-65,-59,-71,-71,-72,-57,-69,-67,-69,-57,-68,-65,-79,-59,-73,-70,-62,-73,-72,-80,-200,-200,-75,-200,-77,-76,-78,-77,-78,-200,-80,-56,-77,-76,-72,-76,-74,-79,-67,-89,-78,-200,-86,-200,-85,-200,-73,-83,-75,-200,-86,-200,-200,-84,-200,-82,-90,-87,-90,-83,-200,-200,-89,-200,-200,-200,-88,-69,-84,-90,-200,-84,-88,-90,-200,-85,-90,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-89,-200,-85,-73,-74,-87,-78,-200,-200
1526455044408,-37,-25,-35,-62,-45,-41,-53,-46,-52,-47,-52,-55,-53,-58,-64,-55,-61,-54,-62,-61,-62,-49,-65,-65,-69,-71,-72,-64,-69,-67,-69,-57,-49,-65,-79,-60,-73,-64,-63,-73,-74,-77,-200,-200,-75,-200,-76,-74,-76,-74,-200,-200,-79,-63,-78,-80,-72,-76,-74,-84,-84,-88,-76,-72,-86,-200,-85,-80,-73,-83,-74,-80,-86,-200,-200,-85,-200,-82,-90,-200,-92,-83,-200,-90,-89,-200,-200,-200,-200,-200,-84,-90,-200,-84,-87,-91,-200,-86,-90,-91,-200,-88,-90,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-74,-87,-78,-200,-200
