,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455638969,-26,-30,-51,-50,-33,-45,-55,-55,-57,-55,-57,-45,-49,-61,-71,-69,-63,-68,-62,-62,-68,-72,-78,-61,-63,-62,-71,-69,-62,-71,-63,-77,-86,-78,-69,-67,-70,-74,-75,-79,-200,-68,-65,-73,-77,-76,-81,-81,-65,-76,-83,-80,-79,-70,-83,-78,-83,-77,-76,-200,-88,-200,-200,-200,-200,-78,-82,-89,-81,-78,-76,-80,-200,-90,-86,-86,-200,-200,-93,-200,-200,-74,-200,-90,-78,-200,-200,-87,-200,-83,-200,-200,-92,-200,-200,-76,-86,-88,-200,-91,-89,-79,-83,-92,-88,-89,-200,-200,-92,-91,-82,-200,-200,-200,-200,-89,-70,-89,-81,-89,-200,-200,-200
1526455642004,-25,-33,-50,-53,-38,-47,-52,-52,-56,-60,-60,-48,-48,-58,-75,-69,-56,-69,-62,-62,-68,-72,-77,-63,-61,-62,-70,-74,-68,-71,-72,-77,-86,-78,-70,-61,-67,-74,-77,-78,-200,-71,-60,-73,-77,-76,-81,-79,-66,-76,-83,-85,-200,-70,-83,-78,-83,-81,-74,-200,-88,-200,-80,-200,-86,-77,-82,-86,-84,-74,-76,-80,-200,-90,-86,-86,-200,-200,-200,-200,-200,-76,-200,-200,-78,-200,-200,-87,-91,-82,-200,-200,-92,-91,-200,-77,-86,-88,-200,-200,-88,-80,-77,-92,-88,-87,-200,-84,-93,-89,-71,-200,-200,-200,-200,-200,-72,-200,-81,-92,-200,-200,-200
1526455645046,-25,-29,-54,-47,-33,-47,-52,-57,-58,-60,-58,-46,-46,-61,-75,-60,-63,-84,-62,-62,-66,-72,-77,-63,-61,-64,-69,-74,-77,-200,-65,-84,-86,-79,-70,-69,-68,-74,-79,-78,-200,-83,-66,-74,-77,-76,-80,-79,-66,-76,-83,-85,-81,-200,-82,-78,-83,-86,-74,-200,-88,-200,-81,-200,-86,-77,-81,-86,-83,-79,-77,-85,-83,-90,-86,-87,-200,-200,-200,-200,-200,-72,-200,-93,-81,-200,-200,-87,-91,-83,-200,-200,-92,-91,-200,-77,-86,-87,-90,-90,-88,-82,-77,-92,-88,-89,-78,-84,-93,-89,-71,-200,-200,-200,-200,-200,-72,-200,-200,-92,-86,-86,-200
1526455648091,-26,-32,-48,-47,-33,-47,-52,-53,-58,-56,-56,-50,-50,-55,-74,-63,-59,-70,-62,-61,-68,-73,-78,-60,-62,-62,-74,-66,-68,-68,-62,-84,-86,-79,-68,-66,-68,-74,-77,-76,-200,-83,-67,-74,-200,-75,-80,-81,-59,-77,-83,-81,-81,-200,-82,-78,-82,-79,-76,-200,-88,-83,-82,-200,-86,-78,-81,-86,-79,-79,-79,-78,-83,-90,-86,-87,-84,-200,-92,-200,-200,-73,-200,-88,-81,-200,-200,-200,-91,-83,-200,-200,-92,-91,-200,-77,-86,-87,-90,-90,-88,-79,-77,-92,-88,-89,-78,-84,-90,-89,-69,-200,-200,-200,-200,-200,-72,-200,-200,-92,-84,-86,-200
1526455651137,-6,-14,-53,-51,-39,-47,-52,-56,-55,-60,-57,-47,-50,-55,-72,-68,-62,-67,-62,-61,-64,-74,-77,-58,-59,-63,-69,-69,-68,-75,-63,-75,-86,-79,-68,-66,-69,-75,-79,-77,-200,-72,-59,-74,-82,-76,-82,-78,-59,-77,-83,-75,-81,-70,-82,-62,-81,-79,-80,-200,-200,-83,-82,-200,-85,-79,-82,-89,-79,-78,-79,-78,-83,-200,-86,-87,-84,-200,-92,-200,-200,-73,-200,-88,-81,-200,-200,-88,-91,-83,-80,-200,-88,-91,-200,-77,-86,-87,-90,-90,-88,-79,-80,-92,-200,-89,-78,-84,-90,-89,-70,-200,-200,-200,-200,-200,-72,-200,-200,-89,-84,-86,-200
1526455654181,-26,-30,-50,-48,-39,-46,-53,-55,-54,-57,-57,-45,-49,-55,-75,-68,-61,-71,-63,-60,-68,-75,-77,-58,-59,-64,-70,-70,-64,-75,-64,-73,-85,-78,-68,-62,-70,-77,-78,-79,-200,-77,-67,-74,-82,-72,-81,-81,-59,-76,-82,-79,-81,-70,-81,-87,-83,-79,-76,-200,-84,-81,-81,-200,-83,-78,-82,-89,-79,-78,-79,-78,-83,-200,-86,-87,-84,-200,-92,-200,-200,-74,-200,-88,-81,-200,-200,-86,-200,-83,-80,-200,-88,-91,-200,-77,-88,-89,-90,-89,-86,-79,-80,-92,-200,-87,-78,-200,-90,-89,-83,-200,-200,-200,-87,-200,-200,-200,-200,-89,-84,-86,-200
1526455657227,-26,-29,-50,-53,-39,-46,-56,-53,-54,-56,-59,-46,-42,-62,-73,-68,-62,-71,-62,-61,-68,-76,-80,-60,-61,-64,-71,-70,-67,-75,-62,-73,-82,-79,-70,-68,-73,-74,-77,-75,-200,-69,-61,-68,-80,-71,-81,-81,-62,-76,-82,-79,-81,-70,-81,-87,-82,-79,-76,-200,-84,-85,-79,-200,-84,-78,-81,-89,-82,-78,-79,-83,-200,-200,-88,-85,-84,-200,-92,-200,-200,-74,-200,-88,-81,-200,-200,-88,-200,-83,-80,-200,-88,-91,-200,-76,-88,-89,-86,-90,-86,-78,-80,-92,-200,-90,-200,-200,-90,-200,-83,-200,-200,-200,-87,-200,-200,-200,-200,-88,-84,-85,-200
1526455660269,-25,-31,-51,-57,-39,-46,-52,-61,-56,-58,-58,-45,-57,-62,-78,-68,-61,-68,-62,-61,-70,-76,-78,-60,-60,-64,-46,-67,-73,-75,-60,-73,-82,-79,-77,-68,-73,-74,-79,-80,-200,-77,-60,-72,-80,-81,-83,-81,-62,-79,-89,-89,-78,-70,-83,-87,-83,-79,-76,-200,-84,-85,-79,-200,-84,-79,-82,-89,-82,-78,-79,-82,-200,-200,-85,-85,-200,-200,-92,-200,-200,-77,-200,-200,-81,-200,-200,-88,-200,-200,-83,-200,-89,-90,-200,-77,-88,-88,-86,-90,-86,-78,-80,-90,-200,-90,-200,-200,-91,-200,-79,-200,-200,-200,-88,-200,-77,-200,-200,-88,-200,-85,-200
1526455663306,-26,-35,-53,-55,-39,-46,-53,-54,-56,-61,-60,-45,-50,-62,-73,-68,-61,-64,-62,-62,-66,-72,-77,-61,-62,-63,-74,-68,-61,-200,-65,-74,-82,-78,-77,-70,-73,-75,-75,-77,-73,-70,-61,-75,-80,-81,-83,-80,-66,-80,-89,-83,-83,-200,-83,-87,-83,-79,-76,-200,-84,-85,-83,-200,-84,-79,-83,-89,-82,-79,-76,-84,-200,-200,-84,-85,-200,-200,-200,-200,-200,-76,-200,-89,-81,-200,-200,-88,-200,-200,-83,-200,-88,-90,-200,-76,-86,-88,-86,-90,-86,-78,-200,-90,-200,-90,-76,-200,-91,-200,-74,-200,-200,-200,-88,-200,-77,-200,-200,-88,-200,-85,-83
1526455666346,-8,-34,-57,-54,-33,-49,-54,-52,-56,-61,-58,-45,-47,-62,-74,-62,-56,-64,-63,-62,-58,-72,-78,-60,-62,-64,-75,-68,-62,-200,-65,-72,-85,-80,-69,-69,-68,-76,-79,-77,-73,-74,-65,-75,-78,-81,-81,-80,-67,-80,-89,-83,-79,-200,-82,-200,-83,-79,-76,-200,-86,-85,-83,-200,-84,-79,-83,-84,-80,-78,-76,-85,-200,-200,-86,-85,-200,-200,-200,-200,-200,-78,-200,-89,-81,-200,-200,-88,-200,-200,-79,-200,-88,-92,-200,-77,-85,-88,-86,-90,-200,-78,-81,-90,-200,-88,-75,-200,-91,-200,-74,-200,-200,-200,-88,-89,-72,-200,-200,-88,-200,-85,-83
1526455669400,-24,-32,-58,-53,-39,-49,-54,-52,-57,-61,-58,-44,-52,-62,-71,-69,-60,-65,-63,-62,-63,-71,-77,-66,-64,-64,-75,-69,-67,-200,-64,-69,-85,-79,-69,-67,-68,-76,-77,-76,-73,-72,-62,-73,-76,-81,-82,-82,-67,-79,-89,-84,-81,-200,-82,-200,-83,-200,-79,-200,-86,-85,-81,-200,-88,-84,-82,-84,-80,-78,-76,-82,-86,-200,-85,-85,-200,-200,-200,-200,-200,-77,-200,-88,-200,-200,-200,-88,-200,-77,-79,-200,-88,-92,-200,-76,-85,-88,-87,-200,-91,-78,-81,-90,-200,-88,-76,-200,-91,-200,-81,-200,-200,-200,-88,-89,-72,-200,-200,-200,-200,-200,-83
1526455672452,-25,-30,-60,-53,-38,-48,-53,-53,-57,-62,-60,-45,-55,-62,-68,-68,-59,-63,-62,-62,-59,-78,-77,-58,-61,-63,-74,-69,-63,-200,-64,-69,-85,-79,-69,-67,-74,-76,-78,-80,-73,-72,-61,-73,-76,-200,-80,-78,-67,-79,-81,-81,-80,-66,-82,-200,-83,-78,-79,-200,-86,-85,-80,-200,-88,-84,-83,-85,-81,-79,-74,-83,-86,-200,-85,-87,-86,-200,-200,-200,-200,-77,-200,-88,-200,-200,-200,-88,-200,-84,-79,-200,-88,-92,-200,-76,-85,-87,-87,-92,-86,-78,-81,-200,-200,-90,-78,-200,-200,-91,-64,-200,-200,-200,-200,-89,-71,-200,-200,-200,-200,-200,-83
