,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526453846078,-27,-32,-42,-37,-40,-40,-47,-48,-46,-53,-51,-68,-53,-53,-55,-55,-57,-58,-58,-67,-63,-65,-63,-71,-69,-73,-70,-200,-75,-65,-72,-74,-68,-67,-61,-69,-75,-77,-72,-73,-58,-73,-75,-76,-80,-72,-75,-74,-77,-78,-77,-77,-80,-80,-83,-82,-77,-80,-89,-77,-79,-200,-200,-84,-74,-81,-200,-89,-88,-88,-200,-86,-85,-89,-82,-91,-200,-82,-83,-87,-78,-87,-85,-91,-200,-200,-200,-86,-91,-200,-200,-89,-89,-200,-77,-82,-84,-91,-200,-77,-91,-83,-80,-200,-84,-200,-93,-200,-75,-88,-85,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453849112,-31,-32,-36,-36,-39,-41,-46,-45,-45,-54,-51,-70,-53,-55,-58,-55,-60,-58,-58,-64,-65,-65,-66,-70,-70,-71,-67,-72,-68,-65,-200,-74,-70,-73,-63,-73,-74,-77,-69,-66,-58,-74,-73,-76,-72,-69,-74,-74,-78,-86,-77,-76,-90,-77,-82,-82,-78,-80,-89,-77,-76,-200,-200,-84,-74,-81,-200,-89,-88,-86,-200,-85,-87,-89,-82,-91,-200,-82,-83,-88,-78,-87,-82,-91,-200,-200,-200,-89,-200,-200,-200,-89,-200,-200,-77,-82,-200,-91,-200,-77,-91,-83,-80,-200,-84,-200,-93,-200,-200,-91,-85,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453852160,-32,-30,-34,-35,-40,-43,-41,-47,-44,-51,-51,-62,-53,-52,-48,-68,-60,-58,-58,-62,-73,-65,-64,-64,-71,-65,-67,-72,-68,-67,-70,-75,-68,-68,-67,-73,-74,-74,-72,-74,-55,-72,-74,-76,-80,-74,-74,-78,-78,-81,-77,-74,-90,-76,-82,-81,-78,-78,-200,-76,-77,-200,-200,-84,-74,-81,-200,-88,-88,-86,-200,-85,-87,-89,-82,-92,-200,-83,-83,-88,-84,-86,-82,-91,-200,-200,-200,-89,-200,-200,-200,-91,-200,-200,-77,-200,-200,-89,-74,-81,-91,-83,-80,-200,-84,-200,-93,-200,-200,-89,-85,-80,-89,-82,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526453855203,-14,-33,-34,-48,-39,-43,-43,-52,-47,-45,-52,-62,-54,-53,-67,-62,-68,-60,-57,-74,-76,-78,-59,-66,-75,-69,-66,-70,-65,-65,-64,-74,-58,-68,-73,-75,-73,-75,-77,-74,-52,-71,-71,-83,-80,-73,-74,-78,-78,-76,-76,-76,-90,-76,-84,-81,-78,-79,-200,-77,-77,-200,-200,-85,-75,-81,-200,-89,-88,-87,-200,-88,-87,-89,-84,-92,-200,-83,-200,-88,-76,-88,-87,-86,-200,-200,-200,-87,-89,-200,-92,-91,-200,-200,-77,-200,-86,-89,-74,-81,-91,-83,-81,-200,-85,-200,-93,-200,-200,-87,-200,-87,-89,-82,-93,-69,-200,-200,-200,-200,-200,-200,-200
1526453858236,-27,-34,-36,-40,-37,-43,-43,-43,-47,-47,-52,-73,-55,-54,-59,-56,-63,-60,-57,-62,-63,-67,-66,-71,-61,-64,-73,-70,-65,-63,-64,-72,-68,-71,-69,-75,-73,-74,-74,-73,-55,-68,-71,-83,-78,-72,-74,-76,-76,-77,-81,-74,-79,-80,-84,-84,-80,-82,-200,-74,-74,-200,-200,-85,-70,-200,-200,-89,-86,-90,-200,-86,-84,-200,-83,-90,-200,-82,-200,-88,-82,-88,-88,-86,-88,-91,-91,-79,-90,-200,-92,-91,-200,-200,-200,-200,-86,-89,-74,-77,-91,-83,-81,-200,-85,-200,-200,-200,-200,-87,-200,-87,-89,-82,-93,-69,-88,-89,-200,-200,-200,-200,-200
1526453861277,-28,-32,-35,-42,-37,-44,-44,-47,-46,-48,-48,-69,-58,-52,-57,-57,-63,-58,-61,-63,-43,-70,-63,-69,-65,-63,-73,-70,-61,-62,-64,-73,-68,-65,-65,-70,-73,-77,-73,-69,-61,-68,-70,-83,-76,-73,-74,-76,-76,-76,-81,-77,-83,-73,-84,-80,-81,-80,-200,-74,-75,-200,-200,-83,-70,-200,-200,-89,-86,-87,-200,-86,-84,-200,-83,-90,-200,-81,-200,-86,-84,-83,-88,-88,-87,-88,-91,-79,-90,-200,-92,-91,-200,-200,-200,-200,-85,-90,-74,-73,-92,-200,-83,-200,-85,-200,-200,-87,-200,-87,-87,-87,-200,-82,-93,-69,-91,-89,-73,-200,-200,-200,-200
1526453864321,-28,-31,-36,-41,-38,-50,-47,-47,-42,-47,-50,-69,-55,-55,-57,-55,-59,-51,-56,-63,-62,-70,-64,-75,-71,-64,-74,-70,-59,-62,-64,-74,-70,-74,-65,-69,-74,-77,-73,-76,-60,-71,-70,-75,-79,-72,-73,-75,-75,-77,-82,-77,-81,-76,-84,-81,-79,-80,-200,-76,-78,-200,-200,-85,-73,-200,-200,-89,-86,-90,-200,-86,-84,-200,-83,-90,-200,-83,-81,-86,-78,-85,-88,-88,-87,-88,-91,-79,-90,-200,-90,-200,-88,-200,-200,-200,-86,-90,-200,-73,-92,-200,-83,-200,-81,-200,-200,-87,-200,-87,-87,-87,-200,-200,-200,-69,-91,-88,-73,-80,-200,-200,-200
1526453867359,-28,-33,-36,-46,-38,-49,-47,-46,-45,-48,-51,-69,-54,-53,-56,-56,-59,-57,-56,-60,-62,-73,-64,-72,-68,-67,-74,-70,-62,-62,-65,-74,-70,-73,-65,-72,-74,-76,-72,-75,-59,-71,-70,-75,-75,-72,-70,-80,-75,-77,-80,-77,-80,-76,-200,-83,-80,-80,-200,-77,-78,-200,-200,-85,-74,-86,-200,-89,-86,-90,-85,-86,-84,-200,-83,-90,-200,-82,-81,-88,-82,-85,-88,-88,-87,-88,-91,-79,-90,-200,-90,-200,-88,-200,-200,-200,-86,-90,-200,-73,-92,-200,-82,-200,-81,-200,-87,-87,-200,-87,-87,-87,-200,-200,-200,-200,-90,-88,-73,-80,-200,-200,-200
1526453870412,-14,-35,-37,-42,-39,-58,-49,-49,-46,-48,-67,-69,-55,-53,-57,-65,-60,-58,-62,-62,-63,-72,-64,-70,-75,-63,-74,-70,-67,-63,-65,-74,-72,-70,-68,-72,-74,-76,-73,-77,-60,-71,-70,-75,-78,-67,-73,-80,-75,-83,-80,-77,-80,-80,-200,-82,-81,-80,-200,-85,-78,-200,-200,-87,-72,-86,-200,-89,-85,-90,-85,-86,-200,-200,-200,-90,-200,-81,-81,-88,-84,-85,-89,-88,-87,-91,-200,-79,-200,-200,-90,-200,-88,-200,-200,-82,-86,-90,-200,-85,-92,-200,-81,-200,-81,-200,-87,-87,-200,-87,-87,-88,-200,-200,-200,-200,-92,-88,-73,-80,-200,-200,-200
1526453873437,-28,-33,-36,-37,-38,-43,-45,-45,-45,-48,-49,-68,-56,-53,-56,-54,-59,-59,-63,-64,-61,-72,-64,-71,-70,-69,-72,-73,-67,-64,-68,-74,-69,-64,-63,-72,-74,-75,-68,-74,-60,-71,-70,-71,-76,-74,-73,-74,-75,-83,-80,-75,-80,-73,-87,-82,-81,-80,-200,-74,-78,-200,-200,-85,-73,-85,-200,-89,-88,-86,-85,-86,-200,-87,-200,-90,-200,-81,-81,-87,-81,-85,-87,-200,-87,-89,-92,-80,-200,-200,-90,-200,-88,-200,-200,-82,-86,-89,-200,-77,-91,-200,-69,-200,-81,-200,-88,-200,-200,-200,-87,-88,-200,-200,-200,-200,-89,-88,-80,-80,-87,-200,-200
1526453876478,-28,-40,-42,-49,-38,-42,-53,-57,-52,-48,-55,-69,-56,-53,-60,-57,-59,-63,-57,-62,-60,-73,-64,-69,-70,-62,-72,-73,-64,-62,-68,-72,-69,-67,-64,-71,-74,-74,-72,-75,-60,-70,-71,-79,-75,-72,-73,-74,-73,-77,-77,-76,-81,-73,-84,-78,-79,-80,-200,-75,-76,-200,-200,-85,-70,-85,-200,-89,-87,-86,-84,-86,-86,-87,-200,-90,-200,-82,-200,-87,-81,-86,-90,-200,-200,-90,-92,-79,-200,-200,-200,-200,-91,-91,-83,-82,-86,-89,-200,-77,-91,-200,-69,-200,-200,-200,-88,-200,-200,-200,-84,-88,-200,-200,-94,-200,-89,-200,-80,-200,-87,-200,-200
1526453879519,-28,-30,-34,-41,-38,-39,-44,-45,-44,-48,-50,-68,-52,-48,-55,-56,-59,-54,-61,-61,-60,-73,-64,-68,-63,-62,-72,-73,-62,-63,-68,-72,-68,-67,-59,-71,-74,-75,-72,-69,-60,-69,-70,-79,-78,-71,-71,-74,-73,-80,-78,-76,-81,-71,-84,-80,-79,-80,-200,-74,-77,-200,-200,-84,-72,-85,-200,-87,-87,-84,-84,-87,-86,-87,-200,-90,-200,-82,-81,-87,-78,-86,-90,-200,-85,-90,-92,-79,-200,-200,-200,-200,-91,-91,-73,-81,-200,-89,-200,-75,-91,-200,-79,-200,-80,-200,-88,-200,-200,-84,-84,-88,-200,-200,-91,-200,-89,-200,-80,-200,-87,-89,-90
