,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526464691981,-61,-61,-65,-63,-66,-73,-80,-77,-58,-78,-77,-200,-83,-82,-67,-83,-78,-79,-200,-80,-99,-97,-91,-200,-87,-88,-84,-96,-200,-200,-200,-94,-200,-200,-97,-200,-95,-91,-96,-200,-200,-200,-200,-91,-98,-200,-200,-95,-200,-200,-200,-200,-200,-200,-92,-98,-200,-95,-93,-99,-200,-200,-200,-99,-200,-200,-200
1526464695019,-62,-54,-73,-58,-65,-79,-81,-73,-60,-80,-73,-200,-83,-80,-65,-83,-77,-77,-200,-83,-93,-97,-88,-200,-91,-85,-84,-96,-200,-200,-200,-94,-200,-200,-97,-97,-95,-92,-96,-200,-200,-200,-200,-92,-98,-200,-200,-94,-200,-200,-200,-200,-200,-200,-92,-98,-200,-97,-93,-93,-200,-86,-200,-99,-200,-200,-200
1526464698057,-63,-59,-66,-72,-66,-72,-83,-76,-64,-78,-76,-200,-82,-79,-63,-83,-69,-79,-200,-83,-89,-97,-88,-200,-90,-85,-84,-96,-200,-200,-200,-96,-200,-200,-97,-97,-95,-92,-200,-200,-200,-200,-200,-90,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-94,-200,-200,-97,-93,-93,-200,-92,-200,-200,-99,-200,-200
1526464701094,-63,-59,-67,-68,-65,-74,-79,-77,-64,-76,-76,-200,-84,-81,-64,-81,-76,-77,-200,-81,-89,-200,-88,-200,-89,-86,-85,-96,-200,-200,-200,-97,-200,-200,-97,-97,-200,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-93,-200,-200,-97,-200,-93,-200,-83,-200,-200,-99,-200,-200
1526464704130,-62,-57,-62,-64,-63,-79,-78,-75,-60,-79,-75,-200,-84,-81,-67,-85,-76,-78,-200,-83,-89,-200,-90,-200,-89,-85,-84,-97,-200,-200,-200,-97,-200,-200,-97,-200,-200,-92,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-91,-97,-200,-200,-92,-200,-200,-93,-200,-96,-200,-94,-94,-200,-99,-93,-200
1526464707169,-65,-56,-70,-62,-65,-78,-79,-73,-59,-80,-73,-200,-84,-75,-62,-85,-76,-78,-200,-84,-93,-200,-90,-200,-89,-85,-84,-97,-200,-200,-200,-95,-200,-200,-96,-200,-96,-92,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-91,-97,-200,-200,-92,-200,-200,-93,-200,-98,-200,-94,-94,-200,-200,-93,-94
1526464710207,-65,-55,-68,-65,-64,-73,-79,-75,-60,-76,-75,-200,-84,-83,-68,-82,-80,-79,-200,-82,-93,-200,-90,-200,-87,-88,-84,-97,-200,-200,-200,-94,-200,-200,-97,-200,-96,-91,-200,-200,-200,-200,-200,-91,-200,-200,-200,-93,-200,-200,-91,-97,-200,-200,-93,-200,-200,-93,-94,-98,-200,-94,-94,-200,-200,-93,-94
1526464713218,-64,-55,-69,-59,-66,-80,-80,-75,-59,-79,-67,-200,-82,-79,-68,-85,-80,-76,-200,-83,-94,-200,-88,-200,-88,-85,-84,-97,-91,-200,-200,-94,-200,-200,-97,-200,-96,-91,-200,-200,-200,-93,-200,-91,-200,-200,-200,-95,-200,-200,-200,-93,-200,-200,-93,-200,-200,-200,-94,-98,-200,-200,-200,-200,-200,-200,-94
1526464716258,-65,-55,-71,-62,-64,-80,-78,-76,-57,-78,-74,-200,-82,-80,-66,-83,-79,-73,-200,-82,-92,-95,-88,-200,-88,-86,-83,-97,-91,-200,-93,-94,-200,-200,-97,-200,-96,-91,-200,-200,-200,-94,-200,-91,-200,-200,-200,-95,-200,-200,-200,-93,-200,-200,-91,-200,-200,-200,-94,-98,-200,-200,-200,-200,-98,-200,-200
1526464719297,-67,-55,-74,-60,-65,-72,-80,-77,-57,-78,-74,-200,-82,-77,-68,-87,-78,-79,-200,-82,-93,-95,-78,-200,-88,-86,-82,-97,-91,-200,-93,-94,-200,-200,-97,-200,-96,-91,-200,-200,-200,-94,-200,-91,-200,-200,-200,-95,-200,-200,-200,-93,-200,-200,-93,-200,-200,-200,-200,-98,-200,-200,-200,-200,-98,-200,-200
1526464722333,-64,-58,-68,-61,-61,-72,-78,-75,-58,-78,-74,-200,-84,-76,-68,-83,-78,-79,-200,-82,-96,-95,-78,-200,-90,-86,-86,-200,-200,-200,-93,-97,-200,-200,-200,-200,-96,-93,-200,-200,-200,-94,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526464725367,-65,-55,-69,-60,-59,-79,-78,-76,-60,-78,-78,-200,-87,-80,-68,-83,-78,-77,-200,-82,-93,-95,-78,-200,-88,-87,-84,-94,-200,-200,-94,-95,-200,-200,-200,-200,-200,-90,-200,-200,-200,-94,-200,-90,-200,-200,-200,-96,-200,-200,-200,-97,-200,-200,-78,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
