,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A28,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88
1526464171554,-33,-44,-53,-51,-43,-45,-41,-54,-41,-52,-60,-71,-49,-58,-54,-200,-61,-63,-65,-75,-69,-77,-57,-66,-57,-200,-59,-68,-60,-200,-61,-200,-68,-69,-62,-61,-200,-200,-82,-200,-200,-200,-200,-62,-75,-91,-50,-61,-75,-71,-81,-61,-76,-200,-200,-200
1526464174566,-33,-44,-53,-51,-43,-45,-41,-54,-41,-52,-59,-71,-49,-58,-54,-200,-61,-63,-65,-75,-69,-77,-57,-66,-57,-200,-59,-68,-60,-200,-61,-200,-68,-69,-62,-61,-200,-200,-82,-200,-200,-200,-200,-62,-75,-91,-50,-61,-75,-71,-81,-61,-76,-200,-200,-200
1526464177580,-33,-44,-53,-51,-46,-45,-41,-56,-46,-52,-59,-71,-49,-58,-56,-200,-61,-63,-65,-73,-69,-77,-58,-64,-57,-200,-59,-68,-60,-200,-66,-72,-72,-69,-200,-61,-200,-81,-81,-200,-200,-200,-200,-62,-75,-91,-50,-60,-72,-71,-77,-61,-76,-200,-200,-200
1526464180600,-33,-44,-53,-51,-46,-45,-41,-56,-46,-52,-60,-71,-49,-58,-56,-200,-61,-63,-65,-73,-69,-77,-58,-64,-57,-200,-59,-68,-60,-200,-66,-72,-72,-69,-200,-61,-200,-81,-81,-200,-200,-200,-200,-62,-75,-91,-50,-60,-72,-71,-77,-61,-76,-200,-200,-200
1526464183623,-33,-43,-57,-58,-42,-45,-39,-59,-46,-52,-59,-63,-50,-63,-58,-200,-57,-62,-68,-73,-69,-74,-58,-64,-57,-200,-59,-65,-60,-200,-58,-72,-73,-200,-73,-63,-200,-81,-82,-200,-200,-200,-200,-60,-75,-200,-200,-57,-72,-71,-77,-59,-76,-74,-74,-200
1526464186638,-33,-43,-57,-58,-42,-45,-39,-59,-46,-52,-60,-63,-50,-63,-58,-200,-57,-62,-68,-73,-69,-74,-58,-64,-57,-200,-59,-65,-60,-200,-58,-72,-73,-200,-73,-63,-200,-81,-82,-200,-200,-200,-200,-60,-75,-200,-200,-57,-72,-71,-77,-59,-76,-74,-74,-200
1526464189654,-25,-42,-56,-58,-48,-45,-42,-59,-46,-55,-59,-63,-54,-64,-58,-200,-57,-62,-68,-73,-69,-74,-57,-64,-59,-200,-200,-65,-60,-200,-56,-72,-73,-200,-73,-64,-200,-81,-82,-200,-200,-200,-200,-60,-75,-200,-200,-56,-72,-71,-77,-59,-76,-74,-74,-82
1526464192668,-25,-42,-56,-58,-48,-45,-42,-59,-46,-55,-59,-63,-54,-64,-58,-200,-57,-62,-68,-73,-69,-74,-57,-64,-59,-200,-200,-65,-60,-200,-56,-72,-73,-200,-73,-64,-200,-81,-82,-200,-200,-200,-200,-60,-75,-200,-200,-56,-72,-71,-77,-59,-76,-74,-74,-82
1526464195695,-31,-41,-52,-55,-47,-44,-48,-51,-41,-59,-60,-64,-56,-60,-56,-200,-57,-65,-68,-73,-200,-78,-57,-65,-55,-200,-200,-73,-62,-200,-59,-72,-76,-200,-73,-68,-200,-81,-84,-200,-200,-200,-200,-60,-75,-200,-200,-56,-72,-200,-77,-59,-76,-74,-74,-82
1526464198709,-31,-41,-52,-55,-47,-44,-48,-51,-41,-59,-69,-64,-56,-60,-56,-200,-57,-65,-68,-73,-200,-78,-57,-65,-55,-200,-200,-73,-62,-200,-59,-72,-76,-200,-73,-68,-200,-81,-84,-200,-200,-200,-200,-60,-75,-200,-200,-56,-72,-200,-77,-59,-76,-74,-74,-82
1526464201729,-31,-43,-56,-55,-47,-44,-48,-51,-41,-55,-68,-64,-56,-59,-54,-200,-55,-63,-68,-73,-200,-80,-57,-65,-55,-200,-200,-71,-62,-200,-60,-72,-76,-200,-73,-65,-200,-81,-87,-200,-200,-200,-200,-60,-200,-90,-200,-56,-64,-200,-77,-59,-200,-74,-74,-82
1526464204742,-31,-43,-56,-55,-47,-44,-48,-51,-41,-55,-66,-64,-56,-59,-54,-200,-55,-63,-68,-73,-200,-80,-57,-65,-55,-200,-200,-71,-62,-200,-60,-72,-76,-200,-73,-65,-200,-81,-87,-200,-200,-200,-200,-60,-200,-90,-200,-56,-64,-200,-77,-59,-200,-74,-74,-82
