,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK
1526463940905,-40,-31,-40,-32,-48,-44,-46,-57,-46,-66,-52,-64,-58,-54,-61,-55,-63,-61,-66,-64,-55,-60,-51,-200,-73,-68,-72,-67,-70,-68,-68,-63,-200,-200,-79,-200,-79,-78,-76,-77,-82,-71,-87,-76,-84,-200,-57,-60,-70,-71,-77,-73,-70,-77,-57,-72,-76,-77,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463943921,-40,-31,-40,-32,-48,-44,-46,-57,-46,-66,-52,-64,-58,-54,-61,-55,-63,-61,-66,-64,-55,-60,-51,-200,-73,-68,-72,-67,-70,-68,-68,-63,-200,-200,-79,-200,-200,-78,-76,-77,-82,-71,-87,-76,-84,-200,-57,-60,-70,-71,-77,-73,-70,-77,-57,-72,-76,-77,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463946944,-41,-30,-43,-32,-54,-45,-47,-57,-46,-66,-53,-69,-58,-53,-58,-51,-63,-65,-68,-58,-52,-58,-51,-200,-73,-64,-72,-72,-70,-68,-68,-65,-200,-200,-79,-200,-200,-80,-76,-76,-82,-71,-87,-76,-84,-200,-200,-60,-200,-200,-77,-73,-70,-77,-57,-72,-76,-77,-82,-65,-73,-73,-74,-76,-81,-200,-200,-200
1526463949954,-41,-30,-43,-32,-54,-45,-47,-57,-46,-66,-53,-69,-58,-53,-58,-51,-63,-65,-68,-58,-52,-58,-51,-200,-73,-64,-72,-72,-70,-68,-68,-65,-200,-200,-79,-200,-200,-80,-76,-76,-82,-71,-87,-76,-84,-200,-200,-60,-200,-200,-77,-73,-70,-77,-57,-72,-76,-77,-82,-65,-73,-73,-74,-76,-81,-200,-200,-200
1526463952984,-40,-31,-43,-45,-52,-43,-47,-57,-46,-66,-56,-69,-58,-52,-58,-51,-63,-65,-68,-65,-52,-58,-51,-200,-73,-63,-72,-72,-70,-68,-68,-68,-200,-200,-79,-200,-88,-80,-76,-79,-85,-71,-86,-73,-84,-200,-200,-60,-200,-200,-200,-73,-70,-77,-57,-72,-76,-77,-82,-65,-73,-73,-74,-76,-81,-70,-200,-200
1526463956004,-40,-31,-43,-45,-52,-43,-47,-57,-46,-66,-56,-69,-58,-52,-58,-51,-63,-65,-68,-65,-52,-58,-51,-200,-73,-63,-72,-72,-70,-68,-68,-68,-200,-200,-79,-200,-88,-80,-76,-79,-85,-71,-86,-73,-84,-200,-200,-60,-200,-200,-200,-73,-70,-77,-57,-72,-76,-77,-82,-65,-73,-73,-74,-76,-81,-70,-200,-200
1526463959038,-38,-29,-43,-44,-53,-43,-47,-58,-46,-66,-52,-69,-58,-51,-58,-55,-65,-65,-68,-56,-44,-59,-51,-60,-200,-63,-72,-70,-70,-68,-69,-68,-200,-200,-76,-200,-88,-80,-74,-76,-85,-72,-87,-73,-84,-200,-200,-55,-200,-200,-79,-200,-70,-77,-57,-72,-77,-77,-74,-64,-73,-73,-74,-76,-81,-70,-74,-200
1526463962060,-38,-29,-43,-44,-53,-43,-47,-58,-46,-66,-52,-69,-58,-51,-58,-55,-65,-65,-68,-56,-44,-59,-51,-60,-200,-63,-72,-70,-70,-68,-69,-68,-200,-200,-76,-200,-88,-80,-74,-76,-85,-72,-87,-73,-84,-200,-200,-55,-200,-200,-79,-200,-70,-77,-57,-72,-77,-77,-74,-64,-73,-73,-74,-76,-81,-70,-74,-200
1526463965088,-36,-47,-43,-44,-50,-43,-51,-58,-46,-66,-55,-66,-200,-51,-58,-55,-68,-65,-68,-63,-50,-58,-52,-60,-200,-63,-73,-70,-70,-72,-73,-63,-200,-200,-76,-200,-88,-78,-76,-79,-81,-71,-86,-77,-84,-200,-200,-60,-200,-200,-79,-200,-200,-200,-57,-72,-77,-77,-71,-64,-76,-73,-74,-76,-81,-70,-74,-90
1526463968100,-36,-47,-43,-44,-50,-43,-51,-58,-46,-66,-55,-66,-200,-51,-58,-55,-68,-65,-68,-63,-50,-58,-52,-60,-200,-63,-73,-70,-70,-72,-73,-63,-200,-200,-76,-200,-88,-78,-76,-79,-81,-71,-86,-77,-84,-200,-200,-60,-200,-200,-79,-200,-200,-200,-57,-72,-77,-77,-71,-64,-76,-73,-74,-76,-81,-70,-74,-90
1526463971118,-39,-34,-42,-44,-50,-43,-52,-55,-54,-66,-53,-65,-200,-51,-64,-55,-67,-65,-68,-63,-52,-58,-52,-60,-70,-64,-72,-70,-200,-72,-73,-63,-200,-200,-76,-200,-88,-77,-77,-77,-79,-71,-86,-79,-85,-200,-200,-60,-200,-200,-79,-200,-200,-200,-57,-200,-79,-200,-71,-64,-76,-73,-74,-76,-81,-70,-74,-90
1526463974133,-39,-34,-42,-44,-50,-43,-52,-55,-54,-66,-53,-65,-200,-51,-64,-55,-67,-200,-200,-63,-52,-58,-52,-60,-70,-64,-72,-70,-200,-72,-73,-63,-200,-200,-76,-200,-88,-77,-77,-77,-79,-71,-86,-79,-85,-200,-200,-60,-200,-200,-79,-200,-200,-200,-57,-200,-79,-200,-71,-64,-76,-200,-200,-76,-81,-70,-74,-90
