,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526442885094,-50,-44,-42,-41,-36,-58,-50,-62,-57,-57,-67,-70,-69,-75,-65,-74,-58,-77,-84,-87,-72,-79,-79,-86,-86,-81,-81,-92,-88,-80,-81,-91,-83,-92,-85,-89,-200,-78,-87,-200,-200,-84,-96,-96,-88,-89,-91,-89,-92,-200,-200,-93,-200,-200,-96,-99,-92,-200,-200,-77,-200,-200,-200,-200,-96,-99
1526442888136,-48,-44,-41,-42,-37,-59,-60,-65,-56,-57,-69,-67,-68,-73,-63,-76,-69,-77,-84,-87,-73,-83,-80,-84,-89,-79,-83,-92,-88,-79,-83,-93,-79,-92,-88,-89,-200,-78,-80,-200,-200,-85,-96,-96,-88,-89,-200,-89,-92,-200,-200,-93,-93,-200,-96,-99,-92,-200,-200,-77,-200,-200,-200,-200,-200,-99
1526442891177,-49,-42,-42,-42,-37,-59,-54,-63,-58,-53,-59,-69,-71,-80,-65,-74,-72,-78,-85,-88,-73,-80,-78,-85,-89,-81,-86,-92,-200,-78,-81,-93,-80,-92,-84,-89,-200,-81,-89,-200,-200,-88,-200,-200,-88,-89,-200,-93,-93,-200,-200,-87,-94,-200,-200,-200,-92,-97,-200,-77,-200,-90,-200,-200,-200,-200
1526442894220,-49,-43,-45,-39,-39,-59,-53,-61,-56,-54,-65,-73,-71,-76,-64,-75,-68,-78,-83,-86,-65,-76,-80,-83,-89,-81,-82,-91,-200,-78,-81,-93,-81,-85,-88,-87,-200,-78,-89,-200,-200,-86,-95,-200,-86,-64,-89,-92,-93,-200,-200,-87,-92,-200,-200,-98,-92,-97,-200,-200,-200,-90,-200,-200,-200,-200
1526442897263,-51,-42,-42,-40,-38,-59,-54,-61,-58,-57,-68,-71,-70,-74,-60,-76,-73,-80,-83,-86,-74,-85,-82,-84,-88,-81,-82,-91,-93,-78,-80,-93,-81,-90,-89,-87,-200,-78,-91,-200,-200,-86,-95,-200,-91,-64,-93,-92,-93,-200,-200,-87,-91,-200,-98,-96,-92,-97,-96,-200,-200,-96,-200,-200,-200,-200
1526442900293,-50,-43,-43,-41,-39,-58,-58,-61,-56,-52,-71,-70,-56,-72,-65,-76,-70,-78,-85,-86,-73,-85,-82,-81,-88,-80,-82,-87,-91,-78,-81,-92,-81,-90,-83,-90,-200,-75,-90,-200,-200,-89,-94,-200,-86,-64,-93,-92,-200,-200,-200,-200,-91,-200,-98,-96,-91,-200,-96,-200,-200,-96,-200,-200,-200,-200
1526442903334,-50,-44,-43,-46,-34,-59,-59,-63,-55,-57,-69,-70,-70,-72,-63,-77,-70,-77,-83,-86,-72,-88,-79,-83,-87,-81,-85,-88,-91,-80,-82,-92,-80,-90,-86,-87,-200,-81,-90,-200,-200,-86,-94,-200,-86,-89,-90,-90,-200,-200,-200,-200,-93,-200,-98,-95,-91,-200,-96,-200,-200,-92,-200,-96,-200,-200
1526442906372,-50,-42,-42,-42,-34,-61,-62,-63,-56,-52,-68,-71,-72,-70,-64,-79,-72,-78,-82,-87,-72,-88,-80,-82,-89,-76,-87,-88,-89,-77,-81,-92,-77,-91,-86,-91,-200,-79,-90,-200,-200,-86,-94,-96,-86,-89,-90,-94,-200,-200,-200,-200,-93,-200,-200,-95,-91,-200,-200,-200,-200,-92,-200,-96,-200,-200
1526442909416,-53,-41,-41,-40,-36,-60,-53,-64,-57,-55,-70,-73,-70,-80,-62,-75,-70,-77,-80,-87,-73,-69,-80,-82,-89,-81,-87,-88,-90,-77,-83,-93,-80,-90,-89,-91,-200,-79,-200,-200,-200,-86,-94,-96,-87,-89,-90,-92,-200,-200,-200,-200,-95,-200,-200,-95,-89,-200,-200,-200,-200,-95,-93,-96,-200,-200
1526442912457,-50,-42,-41,-42,-34,-62,-51,-64,-54,-53,-69,-74,-72,-83,-63,-74,-70,-77,-82,-87,-72,-77,-79,-81,-86,-78,-87,-92,-90,-79,-81,-93,-78,-90,-89,-89,-95,-80,-200,-200,-200,-87,-96,-96,-87,-89,-200,-93,-200,-200,-200,-200,-95,-200,-200,-200,-92,-200,-200,-200,-200,-95,-93,-94,-200,-200
1526442915503,-50,-44,-41,-42,-38,-58,-52,-64,-59,-54,-69,-72,-72,-81,-66,-74,-73,-78,-82,-88,-76,-78,-79,-82,-88,-81,-84,-88,-89,-79,-81,-93,-81,-92,-85,-89,-95,-81,-88,-200,-200,-86,-96,-96,-87,-91,-93,-93,-96,-200,-200,-97,-91,-200,-200,-97,-92,-200,-200,-200,-200,-95,-93,-94,-200,-200
1526442918544,-50,-42,-42,-42,-36,-60,-61,-62,-55,-58,-65,-71,-73,-81,-63,-74,-73,-78,-83,-87,-73,-72,-81,-82,-88,-79,-85,-88,-95,-78,-80,-92,-80,-92,-87,-88,-95,-80,-88,-200,-200,-88,-95,-96,-87,-88,-93,-93,-96,-200,-200,-93,-89,-200,-200,-97,-92,-200,-97,-200,-200,-200,-96,-94,-200,-200
