,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ
1526465045952,-43,-42,-62,-53,-61,-75,-67,-57,-52,-73,-61,-79,-63,-68,-66,-71,-72,-80,-79,-71,-76,-74,-74,-77,-70,-79,-71,-65,-73,-200,-200,-75,-76,-82,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-86,-80,-200,-200,-200,-77,-80,-77,-86,-93,-200,-200,-200,-200,-200,-200
1526465049007,-43,-42,-62,-53,-61,-75,-67,-57,-52,-73,-61,-79,-63,-68,-66,-71,-72,-80,-79,-71,-76,-74,-74,-77,-70,-79,-71,-65,-73,-200,-200,-75,-76,-82,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-86,-80,-200,-200,-200,-77,-80,-77,-86,-93,-200,-200,-200,-200,-200,-200
1526465052052,-43,-42,-62,-53,-61,-75,-67,-57,-52,-73,-61,-79,-63,-68,-66,-71,-72,-80,-79,-71,-76,-74,-74,-77,-70,-79,-71,-65,-73,-200,-200,-75,-76,-82,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-86,-80,-200,-200,-200,-77,-80,-77,-86,-93,-200,-200,-200,-200,-200,-200
1526465055083,-45,-42,-53,-48,-72,-200,-70,-62,-55,-65,-61,-82,-65,-65,-61,-66,-70,-71,-66,-200,-200,-74,-71,-67,-70,-77,-74,-71,-74,-200,-200,-78,-77,-200,-200,-72,-77,-200,-200,-84,-79,-81,-200,-200,-83,-85,-85,-200,-81,-200,-90,-200,-77,-80,-200,-200,-93,-86,-88,-200,-200,-200,-200
1526465058130,-45,-44,-55,-50,-72,-73,-71,-62,-59,-66,-62,-82,-65,-66,-58,-66,-70,-71,-66,-73,-200,-74,-72,-66,-70,-78,-70,-71,-75,-200,-86,-78,-73,-200,-200,-75,-84,-200,-200,-84,-79,-81,-200,-200,-83,-85,-85,-85,-81,-200,-90,-200,-77,-76,-83,-200,-93,-86,-88,-92,-200,-200,-200
1526465061182,-45,-44,-55,-50,-72,-73,-71,-62,-59,-66,-62,-82,-65,-66,-58,-66,-70,-71,-66,-73,-200,-74,-72,-66,-70,-78,-70,-71,-75,-200,-86,-78,-73,-200,-200,-75,-84,-200,-200,-84,-79,-81,-200,-200,-83,-85,-85,-85,-81,-200,-90,-200,-77,-76,-83,-200,-93,-86,-88,-92,-200,-200,-200
1526465064229,-45,-44,-55,-50,-72,-73,-71,-62,-59,-66,-62,-82,-65,-66,-58,-66,-70,-71,-66,-73,-200,-74,-72,-66,-70,-78,-70,-71,-75,-200,-86,-78,-73,-200,-200,-75,-84,-200,-200,-84,-79,-81,-200,-200,-83,-85,-85,-85,-81,-200,-90,-200,-77,-76,-83,-200,-93,-86,-88,-92,-200,-200,-200
1526465067277,-46,-48,-54,-59,-70,-73,-71,-59,-62,-70,-63,-82,-72,-63,-65,-66,-70,-200,-74,-73,-200,-74,-72,-66,-76,-78,-79,-71,-77,-200,-86,-200,-80,-83,-200,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-85,-200,-200,-200,-200,-79,-76,-83,-200,-200,-200,-89,-92,-200,-200,-200
1526465070318,-46,-47,-56,-59,-63,-75,-69,-64,-62,-66,-63,-82,-69,-64,-64,-73,-69,-200,-80,-73,-200,-75,-70,-68,-70,-78,-75,-67,-77,-200,-86,-200,-80,-81,-79,-70,-76,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-85,-200,-200,-200,-200,-79,-76,-83,-200,-200,-200,-89,-92,-200,-200,-200
1526465073365,-46,-47,-56,-59,-63,-75,-69,-64,-62,-66,-63,-82,-69,-64,-64,-73,-69,-200,-80,-73,-200,-75,-70,-68,-70,-78,-75,-67,-77,-200,-86,-200,-80,-81,-79,-70,-76,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-85,-200,-200,-200,-200,-79,-76,-83,-200,-200,-200,-89,-92,-200,-200,-200
1526465076396,-46,-47,-56,-59,-63,-75,-69,-64,-62,-66,-63,-82,-69,-64,-64,-73,-69,-200,-80,-73,-200,-75,-70,-68,-70,-78,-75,-67,-77,-200,-86,-200,-80,-81,-79,-70,-76,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-85,-200,-200,-200,-200,-79,-76,-83,-200,-200,-200,-89,-92,-200,-200,-200
1526465079440,-46,-47,-53,-61,-61,-76,-69,-63,-59,-69,-63,-85,-71,-66,-67,-71,-71,-200,-73,-75,-200,-76,-68,-66,-73,-79,-75,-70,-81,-200,-200,-200,-76,-81,-79,-75,-88,-200,-200,-200,-200,-76,-200,-200,-200,-84,-90,-81,-81,-200,-200,-200,-79,-78,-200,-200,-200,-85,-200,-200,-87,-88,-93
