,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464500758,-43,-48,-48,-56,-65,-52,-55,-61,-65,-68,-57,-68,-70,-200,-85,-72,-77,-70,-70,-72,-79,-78,-200,-81,-71,-78,-200,-84,-75,-80,-84,-71,-200,-71,-88,-80,-84,-200,-85,-85,-200,-200,-200,-85,-200,-85,-88,-88,-200,-82,-200,-200,-200,-90,-85,-200,-94,-200,-200
1526464503796,-43,-48,-48,-56,-65,-52,-55,-61,-65,-68,-57,-68,-70,-200,-85,-72,-77,-70,-70,-72,-79,-78,-200,-81,-71,-78,-200,-84,-75,-80,-84,-71,-200,-71,-88,-80,-84,-200,-85,-85,-200,-200,-200,-85,-200,-85,-88,-88,-200,-82,-200,-200,-200,-90,-85,-200,-94,-200,-200
1526464506818,-43,-48,-48,-56,-65,-52,-55,-61,-65,-68,-57,-68,-70,-200,-85,-72,-77,-70,-70,-72,-79,-78,-200,-81,-71,-78,-200,-84,-75,-80,-84,-71,-200,-71,-88,-80,-84,-200,-85,-85,-200,-200,-200,-85,-200,-85,-88,-88,-200,-82,-200,-200,-200,-90,-85,-200,-94,-200,-200
1526464509835,-45,-41,-48,-59,-55,-52,-60,-61,-68,-64,-63,-80,-73,-200,-72,-71,-78,-74,-71,-70,-79,-74,-81,-81,-77,-200,-87,-84,-75,-80,-200,-75,-200,-78,-200,-80,-200,-200,-86,-200,-200,-85,-88,-81,-81,-79,-88,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-87,-90
1526464512877,-41,-41,-48,-58,-55,-52,-62,-61,-68,-64,-60,-79,-70,-200,-74,-71,-79,-74,-71,-70,-79,-73,-80,-81,-77,-82,-87,-84,-75,-80,-200,-76,-84,-76,-200,-80,-200,-200,-86,-200,-200,-85,-87,-81,-81,-79,-88,-88,-200,-200,-200,-200,-200,-200,-86,-200,-200,-87,-90
1526464515924,-41,-41,-48,-58,-55,-52,-62,-61,-68,-64,-60,-79,-70,-200,-74,-71,-79,-74,-71,-70,-79,-73,-80,-81,-77,-82,-87,-84,-75,-80,-200,-76,-84,-76,-200,-80,-200,-200,-86,-200,-200,-85,-87,-81,-81,-79,-88,-88,-200,-200,-200,-200,-200,-200,-86,-200,-200,-87,-90
1526464518950,-41,-41,-48,-58,-55,-52,-62,-61,-68,-64,-60,-79,-70,-200,-74,-71,-79,-74,-71,-70,-79,-73,-80,-81,-77,-82,-87,-84,-75,-80,-200,-76,-84,-76,-200,-80,-200,-200,-86,-200,-200,-85,-87,-81,-81,-79,-88,-88,-200,-200,-200,-200,-200,-200,-86,-200,-200,-87,-90
1526464521980,-45,-50,-50,-61,-58,-52,-60,-62,-65,-64,-60,-78,-70,-200,-74,-69,-74,-72,-74,-70,-79,-73,-80,-200,-79,-82,-200,-84,-75,-200,-200,-76,-84,-77,-200,-200,-200,-80,-200,-200,-200,-200,-87,-81,-80,-81,-200,-200,-200,-82,-200,-200,-200,-84,-86,-200,-200,-88,-200
1526464525023,-45,-49,-50,-57,-54,-52,-63,-60,-64,-64,-60,-77,-69,-200,-74,-68,-73,-73,-74,-69,-79,-72,-80,-200,-79,-82,-200,-84,-75,-200,-200,-76,-84,-77,-200,-200,-200,-80,-200,-200,-200,-86,-87,-82,-87,-81,-91,-200,-200,-82,-200,-200,-200,-84,-87,-200,-200,-88,-200
1526464528054,-45,-49,-50,-57,-54,-52,-63,-60,-64,-64,-60,-77,-69,-200,-74,-68,-73,-73,-74,-69,-79,-72,-80,-200,-79,-82,-200,-84,-75,-200,-200,-76,-84,-77,-200,-200,-200,-80,-200,-200,-200,-86,-87,-82,-87,-81,-91,-200,-200,-82,-200,-200,-200,-84,-87,-200,-200,-88,-200
1526464531102,-45,-49,-50,-57,-54,-52,-63,-60,-64,-64,-60,-77,-69,-200,-74,-68,-73,-73,-74,-69,-79,-72,-80,-200,-79,-82,-200,-84,-75,-200,-200,-76,-84,-77,-200,-200,-200,-80,-200,-200,-200,-86,-87,-82,-87,-81,-91,-200,-200,-82,-200,-200,-200,-84,-87,-200,-200,-88,-200
1526464534137,-41,-51,-51,-57,-66,-53,-61,-61,-69,-68,-62,-73,-70,-70,-75,-69,-74,-72,-64,-72,-80,-73,-79,-79,-200,-200,-200,-83,-78,-200,-200,-74,-200,-74,-200,-84,-200,-79,-200,-86,-87,-86,-89,-82,-89,-82,-91,-200,-200,-80,-200,-200,-74,-86,-87,-200,-200,-200,-200
