,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526464354048,-42,-52,-51,-57,-59,-68,-60,-59,-65,-73,-63,-67,-79,-74,-73,-48,-73,-76,-69,-76,-84,-67,-69,-76,-71,-69,-77,-76,-200,-86,-200,-78,-80,-200,-79,-75,-73,-80,-200,-78,-90,-74,-200,-87,-200,-200,-200,-200,-200,-77,-83,-86,-82,-79,-88,-90,-82,-200,-200,-200,-200,-200
1526464357098,-42,-52,-51,-57,-59,-68,-60,-59,-65,-73,-63,-67,-79,-74,-73,-48,-73,-76,-69,-76,-84,-67,-69,-76,-71,-69,-77,-76,-200,-86,-200,-78,-80,-200,-79,-75,-73,-80,-200,-78,-90,-74,-200,-87,-200,-200,-200,-200,-200,-77,-83,-86,-82,-79,-88,-90,-82,-200,-200,-200,-200,-200
1526464360148,-42,-52,-51,-57,-59,-68,-60,-59,-65,-73,-63,-67,-79,-74,-73,-48,-73,-76,-69,-76,-84,-67,-69,-76,-71,-69,-77,-76,-200,-86,-200,-78,-80,-200,-79,-75,-73,-80,-200,-78,-90,-74,-200,-87,-200,-200,-200,-200,-200,-77,-83,-86,-82,-79,-88,-90,-82,-200,-200,-200,-200,-200
1526464363173,-39,-51,-58,-62,-58,-70,-61,-57,-66,-69,-63,-67,-200,-74,-71,-50,-71,-77,-67,-76,-200,-68,-70,-76,-69,-72,-200,-80,-200,-200,-200,-200,-86,-200,-200,-75,-73,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-91,-200,-82,-87,-200,-200,-200,-200
1526464366217,-38,-55,-64,-57,-58,-70,-65,-57,-67,-74,-63,-67,-81,-74,-70,-54,-73,-77,-67,-81,-81,-71,-70,-72,-72,-72,-83,-80,-200,-200,-200,-200,-86,-200,-200,-76,-84,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-82,-200,-91,-200,-82,-87,-200,-200,-200,-200
1526464369253,-38,-55,-64,-57,-58,-70,-65,-57,-67,-74,-63,-67,-81,-74,-70,-54,-73,-77,-67,-81,-81,-71,-70,-72,-72,-72,-83,-80,-200,-200,-200,-200,-86,-200,-200,-76,-84,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-82,-200,-91,-200,-82,-87,-200,-200,-200,-200
1526464372295,-38,-55,-64,-57,-58,-70,-65,-57,-67,-74,-63,-67,-81,-74,-70,-54,-73,-77,-67,-81,-81,-71,-70,-72,-72,-72,-83,-80,-200,-200,-200,-200,-86,-200,-200,-76,-84,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-82,-200,-91,-200,-82,-87,-200,-200,-200,-200
1526464375341,-41,-52,-60,-57,-60,-67,-64,-58,-67,-69,-71,-68,-80,-82,-72,-50,-73,-78,-69,-75,-84,-71,-70,-72,-70,-75,-83,-80,-200,-200,-200,-81,-83,-200,-200,-76,-74,-200,-200,-200,-89,-72,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-87,-89,-200,-200,-200
1526464378374,-42,-50,-56,-61,-62,-66,-64,-58,-67,-73,-68,-68,-81,-82,-72,-57,-71,-80,-69,-73,-84,-70,-72,-72,-70,-71,-82,-78,-200,-200,-200,-82,-83,-200,-80,-76,-77,-200,-200,-200,-89,-72,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-78,-200,-87,-88,-200,-87,-90,-200,-200,-200
1526464381421,-42,-50,-56,-61,-62,-66,-64,-58,-67,-73,-68,-68,-81,-82,-72,-57,-71,-80,-69,-73,-84,-70,-72,-72,-70,-71,-82,-78,-200,-200,-200,-82,-83,-200,-80,-76,-77,-200,-200,-200,-89,-72,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-78,-200,-87,-88,-200,-87,-90,-200,-200,-200
1526464384467,-42,-50,-56,-61,-62,-66,-64,-58,-67,-73,-68,-68,-81,-82,-72,-57,-71,-80,-69,-73,-84,-70,-72,-72,-70,-71,-82,-78,-200,-200,-200,-82,-83,-200,-80,-76,-77,-200,-200,-200,-89,-72,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-78,-200,-87,-88,-200,-87,-90,-200,-200,-200
1526464387519,-39,-57,-58,-58,-60,-67,-64,-58,-66,-73,-80,-68,-82,-200,-70,-49,-75,-76,-69,-77,-86,-70,-71,-200,-70,-71,-81,-78,-200,-200,-200,-82,-81,-200,-80,-76,-76,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-87,-88,-85,-200,-90,-86,-87,-92
