,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526442271396,-200,-65,-59,-89,-66,-85,-200,-200,-79,-200,-84,-200,-200
1526442276004,-200,-66,-59,-200,-200,-200,-200,-75,-85,-200,-89,-200,-91
1526442276098,-200,-65,-59,-200,-200,-200,-200,-76,-84,-200,-89,-200,-200
1526442276206,-200,-200,-59,-200,-200,-200,-200,-76,-84,-200,-89,-200,-200
1526442276308,-200,-67,-60,-200,-68,-200,-200,-76,-200,-200,-200,-200,-92
1526442276429,-200,-66,-200,-200,-200,-200,-200,-77,-84,-200,-200,-200,-200
1526442276525,-200,-74,-61,-200,-200,-86,-200,-82,-79,-200,-85,-200,-200
1526442281074,-92,-72,-61,-200,-200,-86,-200,-82,-80,-200,-85,-200,-94
1526442281178,-92,-72,-200,-200,-66,-87,-200,-83,-80,-200,-86,-200,-200
1526442281307,-200,-72,-61,-200,-71,-86,-200,-76,-80,-200,-85,-200,-200
1526442281401,-200,-62,-200,-88,-70,-200,-200,-200,-80,-200,-84,-200,-200
1526442286094,-200,-62,-66,-88,-70,-200,-200,-200,-80,-200,-84,-90,-89
1526442286236,-200,-200,-66,-88,-69,-85,-200,-200,-200,-200,-84,-91,-200
1526442286340,-200,-66,-66,-88,-70,-85,-200,-73,-76,-200,-84,-200,-200
1526442290988,-200,-72,-200,-200,-72,-200,-200,-200,-80,-200,-200,-200,-200
1526442291087,-200,-73,-200,-200,-74,-200,-200,-92,-200,-200,-200,-200,-200
1526442291187,-200,-73,-200,-200,-72,-86,-200,-200,-80,-200,-85,-200,-200
1526442291289,-93,-74,-200,-200,-73,-87,-200,-84,-200,-200,-87,-200,-200
1526442291388,-200,-72,-61,-200,-72,-87,-200,-84,-80,-200,-85,-200,-200
1526442291499,-200,-73,-61,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526442296019,-200,-67,-66,-200,-200,-200,-200,-73,-80,-200,-200,-200,-200
1526442296128,-200,-67,-66,-86,-73,-85,-200,-73,-76,-200,-84,-200,-200
1526442296232,-200,-66,-66,-200,-200,-85,-200,-73,-80,-200,-84,-89,-90
1526442296328,-200,-200,-66,-200,-200,-200,-200,-73,-200,-200,-83,-200,-90
1526442301017,-200,-74,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-94
1526442301119,-200,-74,-200,-200,-72,-200,-200,-88,-82,-200,-200,-200,-200
1526442301217,-200,-200,-62,-200,-200,-86,-200,-88,-82,-200,-200,-200,-200
1526442301332,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526442301435,-200,-74,-200,-200,-74,-200,-200,-96,-84,-200,-200,-200,-200
1526442301648,-200,-75,-200,-200,-200,-89,-200,-88,-81,-200,-90,-200,-200
1526442301749,-200,-74,-200,-200,-200,-86,-200,-88,-81,-200,-200,-200,-200
1526442301856,-200,-200,-200,-200,-200,-200,-200,-88,-82,-200,-200,-200,-200
