,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro
1526447672155,-22,-35,-31,-40,-35,-43,-55,-46,-45,-49,-49,-49,-52,-51,-56,-58,-61,-59,-58,-52,-60,-62,-61,-60,-54,-58,-68,-67,-70,-69,-68,-65,-69,-74,-74,-70,-74,-71,-75,-81,-66,-77,-83,-200,-200,-81,-78,-78,-71,-84,-70,-85,-200,-200,-83,-85,-88,-200,-86,-76,-86,-200,-87,-89,-81,-88,-88,-80,-90,-90,-200,-200,-200,-200,-91,-87,-89,-91,-85,-89,-91,-89,-81,-200,-88,-83,-89,-89,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526447675197,-21,-32,-36,-40,-32,-43,-49,-46,-46,-50,-52,-49,-59,-50,-57,-59,-58,-62,-57,-52,-60,-62,-61,-64,-62,-57,-68,-67,-70,-69,-68,-67,-69,-74,-71,-69,-75,-72,-73,-81,-75,-77,-80,-200,-200,-80,-78,-79,-64,-84,-69,-84,-200,-83,-83,-200,-88,-200,-86,-76,-86,-200,-87,-89,-85,-88,-88,-81,-90,-89,-200,-200,-85,-88,-91,-87,-89,-200,-85,-89,-91,-80,-200,-200,-200,-83,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200
1526447678223,-28,-32,-33,-34,-31,-39,-55,-46,-45,-50,-52,-49,-54,-53,-59,-58,-61,-62,-57,-52,-60,-62,-61,-69,-63,-57,-67,-63,-68,-69,-68,-65,-73,-74,-72,-69,-74,-72,-73,-75,-75,-78,-80,-84,-200,-80,-77,-77,-65,-84,-70,-84,-200,-83,-83,-200,-88,-200,-86,-75,-86,-200,-87,-89,-85,-87,-88,-83,-200,-89,-91,-200,-84,-87,-88,-200,-89,-200,-85,-89,-200,-80,-200,-200,-200,-83,-89,-89,-91,-93,-93,-200,-200,-200,-200,-200,-200,-200
1526447681240,-29,-34,-33,-40,-36,-43,-48,-46,-45,-49,-49,-51,-52,-53,-57,-57,-59,-60,-56,-52,-200,-63,-62,-65,-55,-58,-67,-67,-68,-69,-68,-67,-69,-74,-70,-71,-81,-72,-74,-76,-72,-78,-80,-84,-200,-80,-79,-79,-71,-72,-70,-81,-83,-83,-82,-200,-200,-87,-85,-79,-86,-200,-86,-200,-84,-87,-88,-81,-200,-90,-91,-200,-84,-86,-90,-200,-200,-200,-200,-87,-200,-80,-200,-200,-200,-90,-89,-89,-91,-200,-93,-93,-200,-200,-200,-200,-200,-200
1526447684282,-21,-33,-35,-40,-33,-44,-48,-51,-46,-47,-49,-52,-52,-52,-58,-58,-59,-64,-58,-52,-60,-62,-62,-65,-64,-56,-67,-67,-69,-68,-68,-67,-68,-75,-73,-71,-81,-72,-75,-66,-72,-78,-200,-84,-200,-80,-79,-77,-71,-83,-70,-82,-83,-84,-82,-85,-200,-87,-85,-77,-200,-200,-86,-200,-84,-85,-88,-81,-200,-90,-91,-200,-84,-89,-90,-200,-200,-200,-200,-87,-66,-88,-200,-200,-200,-90,-200,-89,-91,-200,-200,-93,-88,-91,-200,-200,-200,-200
1526447687311,-14,-34,-40,-34,-37,-39,-49,-46,-46,-49,-49,-51,-53,-52,-58,-61,-59,-58,-53,-55,-63,-62,-62,-75,-58,-57,-68,-66,-69,-70,-69,-67,-64,-74,-74,-70,-81,-72,-74,-66,-71,-200,-200,-200,-200,-79,-79,-77,-64,-84,-72,-82,-83,-84,-82,-85,-82,-87,-85,-77,-200,-200,-88,-200,-84,-85,-88,-82,-200,-88,-200,-200,-84,-90,-90,-88,-200,-200,-84,-87,-66,-88,-79,-200,-200,-90,-200,-89,-89,-200,-200,-93,-88,-91,-200,-200,-200,-200
1526447690342,-29,-35,-37,-34,-39,-40,-49,-46,-45,-63,-50,-50,-53,-54,-57,-67,-59,-64,-55,-51,-63,-63,-200,-63,-63,-57,-67,-66,-68,-70,-68,-73,-71,-85,-74,-70,-76,-73,-75,-66,-67,-200,-84,-200,-200,-81,-89,-70,-65,-84,-72,-83,-84,-84,-85,-85,-82,-87,-87,-77,-200,-200,-86,-200,-84,-85,-91,-85,-200,-87,-88,-200,-84,-90,-90,-88,-89,-200,-84,-87,-66,-88,-79,-200,-200,-90,-200,-92,-89,-200,-200,-93,-88,-91,-90,-200,-200,-200
1526447693379,-22,-29,-39,-34,-38,-39,-49,-46,-46,-52,-50,-49,-52,-56,-55,-65,-60,-62,-46,-60,-63,-62,-200,-65,-64,-56,-68,-68,-69,-70,-66,-67,-70,-85,-74,-75,-76,-73,-74,-66,-67,-84,-84,-80,-200,-80,-81,-77,-65,-84,-70,-79,-84,-84,-85,-89,-83,-200,-87,-76,-84,-200,-86,-200,-200,-89,-91,-83,-200,-87,-89,-200,-200,-90,-88,-92,-89,-200,-84,-87,-66,-88,-79,-200,-200,-200,-200,-92,-89,-200,-200,-200,-88,-85,-90,-200,-200,-200
1526447696391,-23,-30,-39,-39,-38,-40,-51,-44,-44,-50,-51,-48,-51,-56,-56,-59,-60,-59,-54,-53,-64,-62,-200,-63,-66,-56,-69,-69,-68,-68,-67,-71,-72,-74,-72,-71,-81,-75,-74,-79,-67,-84,-84,-80,-200,-81,-76,-78,-67,-80,-70,-82,-81,-200,-80,-89,-83,-200,-82,-77,-84,-200,-86,-200,-200,-89,-88,-79,-200,-87,-89,-200,-82,-90,-88,-92,-87,-200,-84,-87,-92,-200,-79,-200,-200,-200,-200,-92,-90,-200,-200,-200,-200,-85,-90,-85,-200,-200
1526447699425,-30,-32,-38,-38,-37,-42,-48,-46,-45,-47,-45,-51,-51,-53,-56,-62,-61,-58,-58,-56,-62,-64,-200,-65,-59,-58,-68,-68,-67,-69,-68,-65,-71,-79,-72,-71,-73,-72,-76,-79,-67,-84,-81,-80,-200,-80,-77,-65,-65,-80,-73,-82,-85,-200,-81,-89,-83,-86,-82,-76,-84,-200,-86,-200,-200,-89,-89,-83,-200,-87,-89,-89,-82,-200,-88,-87,-87,-200,-200,-87,-92,-200,-200,-200,-200,-200,-89,-92,-90,-200,-200,-200,-200,-85,-90,-85,-76,-86
1526447702469,-23,-30,-33,-37,-37,-39,-46,-47,-46,-48,-46,-50,-52,-55,-57,-63,-60,-66,-58,-52,-62,-65,-200,-62,-63,-58,-68,-67,-68,-67,-70,-65,-73,-76,-74,-71,-75,-79,-74,-78,-200,-84,-81,-80,-200,-81,-81,-75,-67,-79,-77,-82,-85,-85,-84,-89,-82,-86,-84,-76,-84,-200,-200,-200,-200,-86,-89,-86,-200,-87,-89,-89,-81,-200,-83,-87,-87,-200,-200,-200,-92,-200,-200,-200,-200,-88,-89,-89,-90,-200,-200,-200,-200,-85,-200,-85,-80,-86
1526447705511,-29,-14,-14,-40,-15,-39,-56,-47,-46,-51,-50,-50,-52,-55,-56,-68,-60,-58,-58,-52,-58,-62,-200,-66,-64,-58,-68,-69,-68,-68,-67,-77,-70,-75,-74,-71,-74,-67,-80,-75,-73,-200,-81,-200,-200,-80,-79,-75,-64,-76,-73,-82,-85,-83,-84,-200,-84,-86,-84,-76,-83,-200,-200,-200,-200,-87,-89,-84,-200,-88,-200,-89,-81,-200,-83,-87,-90,-91,-200,-200,-92,-200,-200,-200,-200,-90,-89,-89,-90,-200,-200,-200,-200,-200,-200,-85,-76,-86
