,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,NETWORK,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,WHU-2018,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30
1526448013635,-30,-41,-31,-37,-36,-41,-39,-41,-45,-43,-37,-48,-50,-44,-55,-44,-47,-54,-60,-53,-59,-56,-61,-61,-63,-63,-63,-58,-63,-60,-76,-63,-57,-62,-72,-200,-74,-78,-200,-76,-78,-200,-73,-84,-79,-76,-71,-72,-76,-64,-82,-75,-76,-84,-75,-84,-84,-75,-76,-73,-200,-89,-65,-83,-81,-81,-84,-200,-87,-87,-200,-200,-84,-86,-89,-200,-200,-90,-89,-200,-200,-93,-82,-200,-84,-200,-200,-200,-89,-83,-89,-200,-200,-200,-200,-69,-200,-200,-84,-84,-83,-87,-83,-71,-200,-200,-200,-200
1526448016648,-30,-44,-36,-37,-34,-39,-39,-40,-45,-44,-39,-46,-51,-49,-55,-47,-47,-57,-57,-58,-59,-59,-61,-61,-68,-53,-54,-57,-64,-60,-76,-62,-60,-62,-72,-200,-76,-77,-200,-200,-80,-200,-73,-78,-77,-74,-71,-71,-76,-80,-83,-76,-76,-84,-75,-84,-84,-80,-76,-200,-79,-89,-65,-83,-81,-81,-84,-200,-87,-87,-200,-200,-84,-86,-88,-200,-200,-90,-89,-200,-200,-93,-82,-200,-85,-200,-200,-200,-90,-200,-89,-200,-200,-200,-200,-200,-77,-200,-200,-84,-86,-87,-83,-71,-83,-87,-200,-200
1526448019685,-32,-44,-32,-38,-36,-74,-41,-39,-45,-45,-35,-46,-49,-47,-54,-47,-48,-57,-59,-53,-58,-56,-60,-66,-61,-58,-54,-57,-63,-60,-76,-69,-63,-65,-71,-200,-73,-79,-79,-76,-80,-200,-77,-80,-77,-74,-71,-71,-79,-79,-83,-76,-75,-81,-75,-85,-84,-80,-76,-200,-79,-83,-81,-83,-82,-81,-84,-89,-87,-87,-91,-200,-84,-87,-87,-200,-200,-200,-200,-200,-200,-93,-82,-200,-85,-200,-200,-200,-90,-200,-89,-200,-200,-200,-200,-200,-77,-200,-200,-200,-86,-87,-200,-71,-83,-87,-200,-200
1526448022730,-38,-37,-31,-39,-38,-38,-43,-39,-44,-39,-53,-49,-47,-47,-49,-49,-53,-61,-54,-59,-57,-56,-60,-67,-70,-63,-54,-56,-63,-60,-76,-63,-61,-70,-68,-200,-73,-78,-69,-76,-80,-200,-77,-80,-77,-76,-69,-71,-75,-79,-83,-76,-79,-87,-75,-82,-85,-80,-83,-200,-79,-83,-81,-83,-81,-81,-200,-89,-86,-88,-87,-200,-200,-86,-87,-87,-200,-200,-200,-200,-200,-200,-84,-200,-89,-200,-200,-200,-90,-200,-90,-200,-200,-94,-200,-200,-77,-200,-200,-200,-86,-200,-200,-71,-83,-87,-200,-200
1526448025773,-32,-39,-16,-35,-40,-37,-50,-50,-43,-44,-50,-50,-51,-47,-49,-48,-58,-72,-56,-56,-58,-57,-60,-58,-68,-76,-54,-57,-62,-61,-78,-69,-62,-62,-74,-200,-83,-78,-106,-76,-80,-200,-77,-80,-77,-74,-70,-73,-76,-79,-82,-76,-85,-89,-200,-36,-82,-77,-83,-200,-80,-83,-81,-200,-74,-200,-84,-89,-86,-88,-89,-200,-200,-86,-88,-87,-200,-200,-90,-200,-200,-200,-84,-200,-89,-200,-200,-200,-88,-200,-90,-200,-200,-94,-200,-200,-77,-200,-200,-200,-86,-200,-200,-200,-83,-87,-200,-200
1526448028817,-32,-43,-35,-36,-32,-35,-44,-40,-44,-38,-42,-50,-50,-52,-49,-47,-46,-54,-55,-55,-59,-58,-60,-58,-68,-61,-54,-57,-62,-56,-65,-63,-62,-62,-71,-200,-77,-78,-69,-77,-78,-200,-74,-80,-79,-74,-73,-73,-78,-77,-80,-73,-85,-81,-200,-36,-82,-81,-74,-73,-80,-83,-79,-79,-74,-85,-84,-89,-86,-87,-89,-81,-200,-85,-89,-87,-200,-200,-90,-200,-200,-200,-86,-200,-86,-200,-79,-200,-90,-200,-90,-200,-200,-94,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526448031862,-31,-16,-16,-37,-22,-35,-42,-42,-43,-38,-42,-49,-50,-46,-55,-50,-46,-56,-55,-51,-59,-61,-61,-58,-62,-61,-55,-58,-62,-67,-77,-62,-62,-72,-73,-200,-77,-78,-75,-76,-78,-200,-75,-200,-79,-79,-70,-71,-78,-77,-81,-73,-85,-81,-200,-86,-85,-79,-76,-73,-80,-200,-79,-79,-74,-85,-86,-88,-86,-87,-89,-83,-200,-87,-87,-87,-200,-200,-90,-90,-200,-200,-90,-200,-85,-200,-79,-87,-88,-200,-90,-200,-200,-94,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526448034899,-30,-41,-34,-37,-34,-35,-44,-37,-44,-54,-44,-47,-51,-51,-53,-49,-48,-56,-62,-56,-61,-58,-60,-59,-66,-62,-58,-57,-63,-64,-82,-69,-64,-64,-77,-77,-75,-79,-69,-77,-78,-200,-75,-200,-78,-77,-70,-71,-76,-77,-81,-73,-77,-81,-200,-86,-85,-80,-77,-73,-200,-88,-79,-79,-81,-85,-96,-88,-88,-87,-200,-83,-200,-86,-87,-200,-92,-200,-200,-90,-200,-200,-87,-200,-85,-200,-79,-87,-91,-85,-91,-200,-90,-92,-200,-200,-200,-200,-86,-89,-200,-90,-89,-200,-74,-200,-90,-92
1526448037950,-31,-36,-32,-36,-35,-40,-43,-39,-44,-36,-45,-48,-50,-45,-53,-49,-47,-55,-58,-58,-60,-54,-61,-62,-62,-63,-54,-57,-62,-62,-82,-70,-62,-71,-75,-78,-74,-79,-69,-76,-75,-200,-75,-200,-78,-77,-70,-73,-76,-77,-81,-76,-77,-200,-200,-85,-83,-80,-77,-72,-200,-88,-79,-200,-81,-200,-85,-88,-87,-200,-200,-83,-200,-85,-89,-200,-92,-200,-200,-90,-200,-200,-82,-200,-85,-200,-200,-87,-91,-85,-91,-200,-90,-92,-88,-200,-200,-200,-86,-89,-200,-90,-89,-200,-74,-200,-90,-92
1526448040988,-36,-39,-36,-37,-32,-36,-40,-42,-43,-39,-40,-48,-50,-48,-55,-48,-50,-59,-58,-59,-60,-57,-60,-62,-65,-61,-55,-57,-62,-58,-82,-62,-62,-64,-73,-78,-75,-79,-69,-77,-78,-200,-76,-72,-78,-75,-69,-72,-77,-77,-200,-76,-77,-81,-200,-85,-85,-78,-77,-72,-200,-88,-200,-200,-81,-86,-87,-88,-90,-200,-200,-200,-200,-87,-89,-200,-92,-200,-200,-200,-200,-200,-83,-200,-88,-200,-200,-200,-91,-85,-89,-200,-89,-92,-88,-70,-200,-200,-86,-89,-200,-90,-89,-200,-79,-200,-90,-92
1526448044037,-31,-38,-31,-36,-74,-36,-41,-41,-44,-40,-44,-46,-50,-45,-52,-49,-50,-59,-58,-58,-60,-57,-60,-64,-64,-62,-53,-55,-62,-60,-82,-62,-59,-64,-70,-78,-75,-79,-200,-77,-78,-200,-76,-72,-200,-76,-70,-73,-75,-200,-81,-76,-76,-81,-200,-87,-85,-78,-78,-71,-79,-88,-200,-200,-82,-86,-85,-88,-89,-90,-200,-200,-200,-85,-89,-200,-92,-200,-200,-200,-200,-91,-83,-200,-85,-200,-200,-200,-200,-85,-89,-200,-95,-92,-88,-73,-200,-200,-86,-200,-200,-90,-200,-200,-79,-200,-89,-200
1526448047074,-30,-41,-31,-37,-36,-34,-45,-38,-44,-38,-45,-48,-50,-47,-48,-49,-47,-55,-55,-59,-58,-57,-60,-59,-66,-62,-51,-58,-62,-60,-200,-62,-63,-66,-72,-78,-75,-79,-68,-77,-72,-200,-73,-72,-78,-82,-70,-75,-75,-77,-81,-76,-74,-74,-200,-84,-84,-79,-78,-71,-79,-200,-200,-200,-82,-84,-84,-88,-87,-90,-200,-80,-200,-86,-89,-200,-200,-200,-200,-200,-200,-91,-83,-200,-85,-200,-200,-200,-89,-200,-89,-200,-95,-200,-88,-73,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-89,-200
