,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EC0,DLINK_D02A38,NETWORK,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447900906,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447901481,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447903949,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447904515,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447907001,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447907554,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447910045,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447910602,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447913081,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447913649,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447916129,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447916685,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447919174,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447919731,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
