,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526465791485,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465796082,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526465796202,-200,-86,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-101,-89,-85,-200,-200
1526465801056,-90,-84,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-89,-85,-200,-200
1526465801151,-88,-85,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-88,-200,-89,-85,-84,-200
1526465801263,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-88,-200,-200,-200,-85,-200
1526465801430,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-89,-85,-200,-200
1526465806061,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465806387,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526465806589,-95,-93,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465806767,-94,-93,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465811089,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465811302,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526465811407,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465816038,-200,-86,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-87,-85,-200
1526465816133,-200,-87,-200,-200,-90,-200,-200,-95,-200,-200,-200,-88,-200,-200,-200,-200,-88,-86,-200
1526465816244,-92,-85,-200,-200,-91,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-90,-200,-86,-200
1526465816377,-92,-92,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-91,-200,-90,-200,-200,-200
1526465821156,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465821266,-92,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526465821361,-94,-93,-89,-200,-200,-200,-200,-90,-91,-200,-200,-200,-200,-200,-97,-200,-200,-88,-94
1526465826122,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200
1526465826199,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526465826334,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526465826440,-98,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526465831142,-200,-200,-200,-200,-200,-93,-200,-200,-91,-200,-200,-200,-200,-200,-98,-88,-200,-200,-200
1526465831250,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-99,-88,-200,-89,-200
1526465831479,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
