,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526461731281,-40,-54,-47,-57,-52,-59,-66,-69,-62,-69,-63,-73,-85,-200,-77,-71,-200,-71,-73,-76,-87,-77,-80,-200,-79,-76,-200,-78,-82,-83,-200,-82,-200,-86,-200,-90,-82,-66,-200,-88,-84,-200,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526461734324,-41,-64,-45,-62,-56,-58,-71,-70,-62,-69,-62,-73,-85,-79,-72,-72,-200,-68,-75,-81,-87,-77,-80,-200,-68,-76,-200,-84,-83,-68,-200,-82,-200,-86,-200,-90,-82,-66,-200,-88,-84,-200,-91,-88,-83,-200,-200,-200,-200,-200,-200,-200
1526461737358,-42,-64,-43,-64,-58,-58,-61,-63,-57,-72,-63,-73,-79,-79,-67,-72,-200,-69,-75,-78,-77,-200,-200,-200,-82,-77,-200,-85,-80,-81,-200,-200,-200,-200,-79,-88,-200,-66,-200,-200,-84,-200,-200,-200,-83,-89,-91,-200,-200,-200,-200,-200
1526461740366,-41,-52,-43,-65,-55,-60,-64,-71,-60,-69,-67,-73,-79,-200,-70,-74,-80,-68,-72,-78,-77,-200,-200,-200,-80,-81,-200,-85,-82,-74,-200,-200,-200,-83,-79,-88,-200,-67,-83,-91,-85,-200,-200,-200,-200,-89,-91,-80,-87,-200,-200,-200
1526461743398,-40,-55,-44,-55,-68,-59,-64,-68,-57,-69,-65,-72,-81,-200,-65,-71,-80,-74,-72,-74,-75,-200,-200,-75,-82,-87,-200,-82,-77,-71,-200,-200,-200,-83,-82,-200,-200,-64,-83,-91,-85,-87,-200,-200,-200,-200,-200,-80,-87,-84,-200,-200
1526461746410,-42,-53,-39,-63,-59,-54,-59,-61,-51,-69,-68,-72,-81,-71,-75,-72,-73,-74,-200,-72,-80,-77,-76,-75,-81,-87,-200,-86,-80,-87,-200,-200,-200,-200,-80,-200,-200,-62,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526461749458,-48,-51,-44,-65,-52,-60,-65,-66,-48,-69,-68,-73,-81,-62,-61,-71,-73,-75,-200,-72,-80,-77,-81,-75,-85,-82,-200,-80,-73,-84,-200,-200,-85,-200,-77,-200,-200,-62,-75,-200,-200,-87,-200,-91,-200,-86,-200,-200,-200,-86,-200,-200
1526461752481,-42,-57,-44,-66,-52,-55,-66,-64,-49,-200,-66,-72,-200,-62,-56,-69,-71,-69,-200,-76,-80,-200,-74,-200,-81,-83,-200,-81,-82,-83,-200,-200,-85,-200,-79,-200,-78,-66,-75,-200,-88,-86,-200,-91,-200,-90,-90,-200,-200,-86,-88,-200
1526461755546,-45,-51,-44,-64,-53,-55,-60,-65,-53,-69,-66,-72,-200,-70,-64,-72,-71,-70,-73,-76,-82,-200,-74,-74,-82,-76,-200,-77,-72,-85,-200,-200,-200,-200,-78,-200,-78,-62,-86,-200,-88,-86,-200,-200,-200,-90,-90,-200,-200,-84,-88,-200
1526461758577,-44,-66,-46,-68,-63,-59,-59,-69,-55,-70,-72,-74,-200,-68,-64,-69,-74,-74,-83,-76,-80,-200,-74,-72,-74,-79,-86,-80,-78,-85,-83,-200,-86,-200,-81,-200,-78,-61,-86,-200,-88,-86,-200,-200,-200,-90,-90,-84,-200,-84,-88,-200
1526461761618,-43,-66,-46,-65,-55,-60,-56,-66,-54,-70,-70,-74,-78,-69,-66,-69,-72,-74,-83,-71,-78,-200,-72,-72,-69,-79,-84,-80,-81,-84,-83,-82,-87,-200,-81,-200,-200,-63,-200,-84,-85,-200,-200,-200,-76,-200,-200,-85,-200,-200,-200,-86
1526461764670,-42,-57,-45,-64,-59,-61,-53,-81,-55,-67,-70,-76,-77,-66,-64,-71,-73,-71,-83,-71,-78,-200,-73,-72,-80,-83,-84,-77,-83,-84,-83,-82,-87,-200,-81,-200,-200,-62,-200,-84,-85,-200,-200,-200,-76,-200,-200,-85,-200,-79,-200,-86
