,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452387737,-36,-37,-41,-37,-48,-44,-47,-56,-60,-54,-65,-55,-59,-57,-51,-200,-52,-51,-53,-58,-55,-61,-62,-63,-66,-62,-68,-66,-76,-70,-66,-69,-68,-200,-68,-72,-74,-84,-77,-79,-65,-82,-76,-200,-79,-85,-78,-83,-83,-84,-200,-200,-81,-88,-200,-89,-65,-84,-76,-79,-79,-200,-92,-79,-200,-200,-82,-200,-92,-79,-75,-90,-90,-92,-200,-200,-200,-200,-200,-200
1526452390786,-36,-39,-41,-40,-47,-48,-47,-56,-60,-55,-65,-55,-56,-56,-49,-200,-52,-52,-58,-58,-58,-61,-67,-60,-66,-62,-66,-67,-76,-70,-66,-69,-70,-200,-72,-72,-74,-75,-77,-79,-66,-82,-75,-200,-79,-85,-78,-83,-83,-85,-200,-200,-81,-90,-200,-89,-65,-84,-75,-79,-79,-200,-92,-79,-200,-200,-82,-200,-89,-79,-75,-90,-90,-92,-200,-200,-200,-200,-200,-200
1526452393857,-36,-41,-41,-38,-42,-50,-47,-55,-53,-55,-51,-55,-55,-56,-45,-200,-57,-52,-54,-58,-58,-61,-64,-60,-65,-62,-66,-66,-72,-66,-66,-68,-68,-200,-69,-72,-75,-75,-77,-79,-70,-77,-75,-200,-79,-85,-78,-81,-83,-85,-87,-200,-81,-87,-91,-89,-65,-84,-75,-79,-200,-200,-92,-79,-90,-200,-84,-200,-89,-200,-74,-90,-90,-92,-200,-200,-200,-200,-200,-200
1526452396929,-36,-37,-42,-39,-47,-48,-47,-55,-56,-57,-53,-55,-57,-59,-45,-63,-53,-53,-54,-56,-62,-64,-62,-55,-66,-62,-69,-66,-72,-70,-69,-69,-78,-200,-67,-72,-75,-71,-79,-79,-70,-77,-79,-200,-79,-85,-78,-81,-200,-85,-84,-200,-79,-89,-91,-89,-62,-84,-75,-79,-200,-200,-92,-81,-90,-200,-84,-200,-89,-79,-74,-90,-90,-92,-92,-200,-200,-200,-200,-200
1526452399980,-36,-38,-43,-36,-45,-44,-47,-54,-56,-57,-53,-200,-56,-72,-49,-63,-54,-56,-54,-64,-58,-62,-65,-57,-66,-61,-69,-66,-67,-70,-65,-68,-78,-200,-67,-72,-72,-71,-76,-200,-70,-83,-79,-200,-200,-85,-78,-84,-200,-85,-84,-200,-79,-88,-91,-89,-60,-200,-74,-79,-200,-200,-92,-81,-90,-200,-84,-200,-89,-79,-74,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526452403041,-36,-37,-43,-36,-48,-44,-47,-56,-59,-58,-55,-63,-55,-60,-49,-70,-52,-54,-58,-64,-58,-61,-63,-57,-66,-65,-67,-67,-71,-69,-66,-72,-73,-200,-67,-72,-72,-71,-76,-79,-70,-81,-77,-200,-79,-74,-77,-84,-84,-84,-84,-200,-79,-88,-91,-200,-60,-86,-74,-70,-200,-200,-200,-82,-90,-200,-84,-200,-89,-79,-74,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526452406091,-36,-37,-42,-39,-53,-48,-47,-55,-59,-57,-55,-59,-56,-59,-50,-70,-55,-54,-58,-64,-58,-61,-68,-60,-64,-63,-68,-66,-72,-69,-67,-72,-79,-200,-68,-72,-77,-74,-76,-79,-73,-81,-77,-200,-79,-81,-77,-84,-84,-82,-84,-200,-78,-88,-91,-89,-73,-80,-74,-70,-200,-200,-200,-78,-90,-200,-84,-200,-200,-79,-81,-200,-200,-200,-92,-91,-200,-200,-200,-200
1526452409154,-36,-39,-42,-39,-46,-48,-45,-55,-55,-57,-55,-59,-54,-60,-48,-62,-51,-51,-58,-55,-58,-61,-67,-63,-64,-62,-68,-64,-74,-69,-67,-69,-71,-200,-77,-83,-71,-74,-76,-79,-73,-81,-77,-200,-79,-83,-77,-84,-84,-82,-86,-200,-78,-88,-200,-89,-73,-80,-74,-70,-200,-200,-200,-78,-200,-200,-84,-200,-200,-79,-82,-200,-200,-200,-92,-91,-91,-200,-200,-200
1526452412246,-36,-37,-42,-39,-43,-45,-48,-54,-55,-57,-55,-59,-55,-60,-48,-62,-55,-52,-60,-55,-57,-64,-64,-62,-64,-58,-73,-65,-73,-73,-66,-67,-72,-200,-77,-83,-71,-74,-71,-79,-68,-81,-81,-200,-79,-83,-77,-84,-84,-82,-86,-200,-79,-89,-200,-90,-73,-80,-74,-70,-200,-200,-93,-80,-200,-200,-83,-200,-200,-200,-82,-200,-200,-200,-200,-91,-91,-84,-85,-200
1526452415276,-36,-37,-43,-39,-42,-46,-48,-54,-55,-63,-55,-59,-56,-60,-48,-62,-55,-55,-52,-55,-60,-60,-64,-62,-64,-59,-69,-65,-68,-70,-66,-67,-72,-200,-77,-83,-71,-80,-71,-79,-80,-81,-81,-200,-79,-83,-77,-200,-84,-82,-86,-200,-79,-89,-200,-90,-73,-80,-75,-70,-77,-200,-93,-80,-200,-200,-83,-200,-200,-200,-82,-200,-200,-200,-200,-91,-91,-84,-85,-200
1526452418323,-37,-38,-50,-39,-42,-49,-49,-55,-54,-63,-69,-59,-55,-60,-45,-62,-56,-55,-53,-54,-60,-61,-64,-62,-65,-62,-66,-66,-76,-68,-65,-67,-70,-64,-77,-81,-70,-78,-71,-79,-72,-200,-76,-200,-76,-83,-77,-200,-86,-82,-86,-200,-79,-91,-200,-90,-73,-80,-75,-70,-77,-200,-90,-80,-200,-200,-83,-200,-200,-200,-82,-200,-200,-200,-200,-91,-91,-84,-85,-200
1526452421389,-36,-37,-51,-37,-53,-49,-48,-52,-52,-63,-69,-200,-55,-57,-48,-62,-56,-55,-59,-54,-56,-60,-64,-61,-64,-62,-66,-66,-72,-68,-65,-67,-70,-64,-73,-81,-71,-78,-76,-76,-70,-77,-80,-200,-80,-83,-77,-200,-86,-81,-86,-200,-80,-91,-200,-90,-200,-200,-76,-200,-77,-200,-90,-80,-200,-200,-83,-200,-200,-200,-82,-200,-200,-200,-200,-200,-91,-84,-85,-88
