,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018
1526452552873,-30,-35,-46,-45,-44,-49,-56,-40,-45,-47,-42,-58,-49,-50,-48,-54,-52,-54,-51,-63,-60,-61,-64,-62,-57,-59,-60,-53,-73,-73,-71,-66,-200,-69,-69,-77,-71,-81,-76,-66,-74,-200,-80,-78,-200,-72,-200,-75,-68,-82,-82,-84,-200,-84,-200,-200,-200,-84,-82,-200,-200,-200,-85,-88,-200,-200,-200,-75,-83,-200,-200,-200,-200,-200,-200,-200,-86,-92,-88,-91,-86,-84,-87,-88,-89,-200,-200,-200
1526452555912,-30,-34,-42,-46,-42,-49,-56,-42,-49,-48,-41,-58,-51,-53,-43,-60,-48,-51,-54,-67,-61,-61,-63,-58,-54,-59,-60,-200,-69,-73,-71,-64,-200,-69,-71,-76,-71,-81,-76,-70,-76,-200,-80,-78,-78,-74,-200,-200,-76,-82,-82,-200,-200,-84,-200,-200,-200,-82,-82,-200,-200,-200,-86,-88,-200,-200,-200,-75,-81,-200,-200,-87,-200,-200,-92,-200,-86,-92,-88,-200,-86,-84,-87,-88,-89,-200,-200,-200
1526452558964,-37,-34,-38,-44,-40,-49,-70,-42,-46,-52,-42,-58,-49,-53,-47,-61,-52,-52,-49,-63,-66,-60,-63,-57,-54,-61,-60,-58,-73,-72,-71,-64,-200,-69,-70,-75,-71,-76,-76,-70,-75,-200,-80,-78,-81,-74,-81,-200,-68,-82,-78,-200,-200,-82,-200,-200,-200,-82,-82,-200,-200,-200,-85,-88,-200,-200,-200,-73,-81,-200,-200,-87,-200,-200,-92,-200,-200,-92,-88,-200,-86,-200,-87,-88,-89,-89,-200,-200
1526452562006,-35,-33,-42,-46,-38,-49,-61,-44,-44,-48,-41,-58,-51,-55,-44,-59,-56,-53,-59,-60,-67,-60,-61,-57,-64,-61,-61,-56,-73,-72,-68,-67,-200,-70,-70,-73,-74,-76,-76,-72,-71,-200,-77,-78,-81,-72,-81,-200,-67,-81,-78,-200,-200,-86,-200,-200,-200,-82,-77,-200,-200,-200,-88,-85,-200,-200,-89,-77,-81,-200,-200,-87,-200,-200,-92,-90,-200,-200,-88,-200,-80,-200,-200,-88,-89,-89,-200,-200
1526452565050,-34,-34,-39,-41,-39,-49,-59,-37,-49,-53,-39,-200,-49,-51,-46,-52,-65,-55,-52,-64,-67,-55,-61,-62,-60,-61,-62,-56,-74,-72,-64,-64,-200,-71,-70,-69,-74,-76,-75,-74,-75,-200,-77,-79,-81,-69,-81,-78,-68,-81,-78,-200,-200,-86,-200,-200,-200,-88,-80,-200,-88,-200,-84,-85,-200,-200,-89,-77,-81,-200,-200,-85,-200,-200,-92,-90,-200,-200,-88,-200,-80,-200,-200,-200,-89,-89,-200,-200
1526452568098,-31,-35,-45,-41,-38,-49,-55,-37,-53,-58,-39,-57,-46,-47,-51,-53,-60,-53,-50,-59,-66,-54,-63,-61,-60,-61,-62,-59,-76,-72,-64,-67,-200,-71,-72,-75,-81,-76,-75,-74,-75,-200,-77,-79,-81,-69,-81,-78,-72,-81,-80,-200,-200,-76,-200,-200,-200,-88,-76,-200,-88,-200,-85,-85,-200,-200,-89,-80,-81,-200,-200,-85,-200,-200,-92,-90,-200,-93,-200,-200,-80,-200,-200,-200,-200,-89,-83,-200
1526452571163,-30,-33,-42,-43,-37,-51,-59,-37,-53,-54,-42,-57,-49,-45,-47,-61,-62,-54,-50,-59,-65,-54,-63,-73,-71,-61,-65,-55,-70,-72,-64,-64,-200,-69,-71,-71,-80,-74,-81,-74,-75,-200,-77,-79,-81,-70,-79,-78,-68,-78,-84,-87,-200,-78,-89,-200,-200,-88,-76,-200,-88,-200,-85,-85,-200,-200,-89,-80,-200,-200,-200,-85,-200,-200,-200,-90,-92,-93,-200,-200,-80,-200,-200,-200,-200,-89,-83,-200
1526452574230,-31,-35,-43,-47,-40,-50,-59,-41,-51,-48,-41,-57,-49,-47,-53,-56,-58,-55,-49,-59,-65,-51,-62,-70,-71,-200,-64,-55,-69,-200,-63,-66,-200,-72,-71,-71,-80,-74,-81,-74,-72,-200,-77,-77,-200,-70,-79,-78,-65,-82,-84,-87,-200,-78,-89,-200,-200,-88,-85,-200,-88,-200,-85,-85,-200,-200,-89,-75,-200,-200,-200,-85,-200,-200,-200,-90,-92,-93,-200,-200,-80,-200,-200,-200,-200,-200,-83,-200
1526452577251,-39,-35,-43,-47,-40,-50,-57,-40,-49,-60,-40,-57,-46,-49,-47,-56,-59,-54,-48,-60,-65,-54,-64,-66,-71,-200,-63,-55,-69,-200,-63,-66,-200,-72,-70,-69,-80,-72,-81,-74,-72,-200,-77,-77,-200,-70,-78,-76,-65,-82,-84,-87,-200,-78,-89,-200,-200,-88,-85,-200,-92,-200,-86,-200,-200,-200,-200,-75,-200,-200,-200,-85,-200,-200,-200,-200,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200
1526452580350,-34,-35,-40,-43,-39,-50,-57,-36,-47,-52,-40,-57,-47,-53,-45,-63,-58,-54,-54,-61,-65,-51,-62,-66,-71,-200,-63,-55,-73,-80,-63,-66,-200,-72,-70,-68,-73,-72,-81,-80,-72,-200,-200,-77,-200,-70,-78,-76,-65,-85,-84,-87,-200,-77,-89,-200,-200,-200,-85,-200,-92,-92,-87,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-92,-93,-88,-200,-200,-200,-200,-200,-200,-200,-83,-200
1526452583399,-36,-35,-41,-47,-39,-50,-57,-38,-47,-47,-40,-200,-50,-53,-53,-55,-56,-54,-55,-57,-65,-53,-62,-75,-59,-64,-64,-55,-69,-73,-63,-66,-200,-71,-72,-68,-73,-72,-77,-78,-72,-200,-83,-75,-200,-71,-81,-76,-69,-81,-81,-87,-200,-77,-89,-200,-200,-85,-78,-200,-92,-92,-86,-78,-200,-89,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-88,-200,-80,-84,-200,-200,-200,-200,-79,-87
