,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526447891808,-31,-48,-44,-66,-37,-58,-56,-67,-65,-59,-55,-72,-86,-72,-75,-74,-77,-76,-84,-79,-69,-84,-78,-80,-84,-84,-87,-73,-85,-78,-75,-67,-86,-86,-82,-82,-90,-200,-86,-83,-85,-92,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-92,-89,-200,-89,-91,-200,-86,-90,-90,-200,-200
1526447894817,-33,-50,-44,-74,-38,-67,-60,-66,-62,-58,-64,-70,-85,-76,-76,-78,-74,-76,-84,-83,-69,-86,-75,-80,-91,-84,-87,-74,-85,-79,-77,-71,-86,-85,-84,-80,-90,-200,-86,-91,-85,-92,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-88,-90,-200,-89,-91,-200,-86,-90,-90,-200,-200
1526447897849,-14,-51,-45,-68,-36,-57,-59,-66,-63,-58,-57,-73,-82,-76,-65,-80,-77,-75,-84,-83,-69,-86,-64,-80,-87,-83,-87,-75,-86,-79,-75,-67,-85,-83,-84,-80,-200,-200,-82,-91,-86,-92,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-88,-90,-200,-89,-91,-200,-86,-90,-90,-200,-200
1526447900882,-31,-48,-45,-70,-38,-59,-60,-66,-59,-59,-57,-70,-82,-75,-65,-79,-77,-75,-82,-82,-71,-83,-75,-81,-87,-83,-87,-77,-85,-81,-76,-62,-85,-88,-84,-80,-200,-200,-82,-87,-86,-89,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-90,-200,-89,-91,-200,-87,-200,-90,-200,-200
1526447903898,-32,-53,-46,-70,-37,-60,-57,-67,-65,-59,-59,-72,-86,-79,-74,-78,-76,-75,-84,-82,-68,-84,-77,-84,-87,-83,-87,-73,-87,-76,-76,-63,-84,-89,-85,-79,-200,-200,-82,-87,-86,-89,-89,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-90,-200,-200,-91,-200,-89,-200,-85,-90,-200
1526447906926,-34,-51,-45,-69,-37,-60,-60,-67,-65,-59,-58,-73,-86,-77,-67,-79,-77,-77,-84,-80,-70,-85,-77,-84,-87,-83,-87,-74,-87,-76,-76,-68,-85,-85,-85,-82,-200,-200,-82,-88,-88,-88,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-90,-200,-200,-90,-200,-88,-200,-85,-90,-200
1526447909946,-32,-54,-46,-70,-37,-61,-60,-66,-68,-59,-61,-71,-86,-77,-66,-76,-78,-76,-84,-80,-68,-87,-79,-82,-87,-200,-86,-74,-86,-81,-76,-70,-84,-87,-85,-82,-200,-200,-82,-88,-85,-87,-200,-200,-92,-91,-200,-200,-92,-200,-200,-200,-200,-200,-91,-89,-90,-200,-90,-90,-200,-88,-200,-85,-90,-200
1526447912971,-33,-50,-46,-70,-36,-59,-57,-66,-66,-59,-58,-73,-86,-78,-68,-77,-76,-75,-83,-78,-69,-87,-78,-88,-86,-200,-86,-73,-87,-81,-76,-67,-84,-88,-84,-81,-200,-200,-84,-89,-85,-87,-200,-200,-89,-91,-200,-200,-92,-200,-200,-200,-90,-200,-91,-200,-89,-200,-90,-90,-200,-85,-200,-85,-90,-200
1526447915984,-33,-49,-46,-66,-37,-57,-61,-66,-65,-58,-59,-70,-88,-74,-65,-76,-74,-75,-84,-81,-70,-85,-76,-83,-90,-200,-86,-74,-86,-81,-75,-68,-85,-87,-84,-79,-200,-200,-82,-88,-86,-88,-90,-200,-90,-89,-200,-200,-92,-200,-200,-200,-90,-200,-91,-200,-89,-200,-90,-88,-200,-85,-200,-86,-200,-88
1526447919015,-32,-48,-47,-64,-37,-59,-60,-66,-64,-59,-53,-70,-84,-76,-66,-78,-74,-74,-82,-79,-68,-84,-74,-85,-88,-200,-85,-83,-84,-81,-72,-69,-85,-84,-84,-80,-200,-200,-82,-88,-88,-86,-90,-200,-89,-91,-200,-200,-200,-200,-200,-200,-90,-200,-89,-200,-87,-200,-200,-92,-200,-85,-200,-79,-200,-88
1526447922049,-31,-49,-48,-65,-37,-59,-58,-66,-68,-59,-65,-69,-81,-74,-74,-80,-78,-76,-82,-82,-78,-83,-80,-83,-88,-200,-84,-76,-82,-82,-73,-61,-86,-88,-84,-84,-200,-200,-82,-88,-85,-89,-90,-200,-88,-89,-200,-200,-91,-200,-200,-200,-200,-200,-89,-200,-87,-91,-90,-91,-200,-90,-200,-83,-91,-88
1526447925073,-32,-49,-48,-76,-22,-59,-63,-65,-65,-59,-70,-71,-88,-74,-67,-81,-75,-76,-90,-80,-63,-85,-78,-83,-89,-200,-91,-78,-81,-82,-73,-69,-85,-85,-85,-83,-200,-200,-88,-88,-87,-89,-89,-200,-90,-89,-200,-200,-91,-200,-200,-200,-200,-200,-89,-200,-87,-91,-90,-91,-200,-90,-200,-83,-91,-88
