,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447964789,-35,-43,-54,-40,-58,-53,-68,-66,-65,-73,-69,-60,-84,-75,-85,-77,-80,-73,-75,-74,-78,-86,-200,-91,-81,-75,-84,-200,-85,-91,-87,-200,-200,-82,-89,-89,-88,-87,-85,-84,-90,-91,-93,-200,-88,-89,-200,-93,-91,-90,-200,-200,-200,-200,-87,-91,-89,-92,-89,-200,-200
1526447967819,-37,-43,-53,-41,-57,-52,-69,-67,-67,-75,-69,-59,-84,-76,-86,-83,-80,-72,-75,-73,-78,-87,-200,-92,-81,-74,-84,-200,-85,-87,-87,-200,-200,-84,-88,-88,-88,-86,-85,-87,-90,-91,-93,-200,-87,-89,-200,-93,-200,-200,-200,-200,-200,-200,-87,-91,-89,-92,-89,-200,-200
1526447970849,-42,-41,-51,-42,-57,-51,-68,-66,-60,-75,-70,-62,-84,-76,-85,-79,-74,-80,-75,-74,-78,-87,-200,-92,-83,-76,-84,-200,-85,-87,-84,-200,-200,-83,-88,-87,-88,-86,-85,-87,-90,-91,-93,-87,-88,-89,-200,-93,-89,-200,-200,-200,-200,-200,-87,-91,-89,-90,-89,-200,-200
1526447973880,-36,-43,-52,-42,-58,-52,-68,-66,-66,-75,-70,-58,-84,-76,-86,-74,-78,-73,-76,-74,-79,-87,-200,-92,-82,-74,-85,-200,-85,-86,-84,-200,-200,-83,-89,-88,-89,-87,-84,-87,-88,-91,-91,-87,-88,-89,-200,-91,-89,-91,-200,-200,-200,-200,-87,-90,-200,-90,-89,-200,-200
1526447976889,-38,-51,-52,-41,-64,-50,-67,-68,-65,-76,-70,-57,-82,-73,-86,-77,-73,-73,-76,-81,-81,-85,-200,-88,-82,-83,-90,-200,-85,-87,-84,-200,-200,-82,-88,-89,-87,-86,-85,-84,-88,-93,-92,-91,-86,-90,-200,-89,-89,-91,-200,-200,-200,-200,-87,-90,-200,-91,-200,-91,-200
1526447979918,-36,-41,-44,-40,-58,-52,-70,-69,-62,-73,-76,-65,-79,-77,-85,-77,-73,-72,-75,-67,-76,-86,-200,-90,-77,-78,-85,-200,-83,-84,-86,-200,-200,-86,-88,-88,-87,-84,-88,-87,-88,-93,-90,-91,-90,-84,-200,-89,-200,-91,-200,-200,-200,-200,-89,-89,-200,-90,-200,-91,-200
1526447982953,-44,-46,-46,-40,-64,-56,-70,-65,-65,-74,-78,-64,-82,-76,-86,-83,-74,-77,-76,-78,-77,-82,-200,-90,-79,-78,-84,-200,-83,-89,-84,-200,-200,-79,-89,-88,-86,-86,-86,-88,-88,-90,-91,-91,-91,-90,-200,-89,-200,-200,-200,-200,-200,-200,-89,-89,-200,-90,-200,-93,-91
1526447985961,-37,-43,-47,-40,-65,-57,-65,-65,-63,-74,-80,-64,-84,-76,-88,-77,-74,-79,-75,-79,-78,-84,-200,-90,-79,-72,-84,-200,-80,-89,-85,-200,-200,-82,-87,-91,-87,-84,-86,-85,-88,-91,-91,-200,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-87,-91,-200,-90,-89,-93,-91
1526447988994,-36,-43,-49,-40,-60,-52,-69,-65,-64,-74,-76,-60,-85,-76,-88,-84,-88,-75,-76,-78,-79,-82,-200,-87,-79,-74,-83,-200,-80,-91,-85,-200,-200,-80,-88,-90,-86,-86,-86,-86,-88,-91,-93,-200,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-87,-91,-200,-90,-89,-90,-91
1526447992021,-39,-40,-52,-44,-58,-48,-70,-67,-63,-75,-79,-64,-87,-72,-81,-84,-73,-76,-76,-85,-78,-82,-200,-87,-80,-74,-82,-200,-81,-88,-85,-200,-200,-80,-89,-89,-85,-84,-86,-86,-89,-91,-90,-91,-89,-89,-200,-200,-200,-90,-200,-200,-200,-200,-87,-90,-200,-200,-89,-90,-91
1526447995031,-43,-37,-51,-39,-61,-56,-67,-66,-63,-80,-76,-64,-83,-74,-82,-80,-75,-74,-76,-85,-78,-90,-200,-91,-80,-75,-82,-200,-80,-89,-85,-200,-200,-80,-91,-89,-85,-82,-89,-89,-89,-89,-89,-87,-90,-89,-200,-200,-200,-90,-200,-200,-200,-200,-87,-89,-200,-90,-89,-95,-200
1526447998055,-38,-39,-48,-41,-62,-58,-66,-68,-67,-77,-69,-63,-85,-77,-81,-82,-74,-73,-77,-75,-80,-88,-200,-91,-80,-77,-83,-200,-81,-89,-85,-83,-200,-88,-89,-89,-86,-84,-90,-86,-89,-89,-89,-87,-90,-88,-200,-200,-200,-90,-200,-200,-200,-200,-88,-91,-200,-90,-200,-95,-200
