,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447819913,-33,-53,-46,-52,-54,-62,-80,-67,-75,-71,-69,-61,-79,-61,-64,-72,-82,-76,-83,-80,-87,-62,-70,-78,-92,-84,-82,-69,-87,-80,-82,-85,-74,-79,-83,-85,-79,-90,-87,-91,-79,-87,-200,-88,-71,-87,-91,-90,-200,-90,-88,-89,-89,-86,-92,-81,-89,-91,-90,-90,-200,-93,-200,-85,-200,-200,-200
1526447822941,-33,-54,-48,-50,-51,-63,-69,-64,-78,-72,-60,-59,-76,-58,-66,-77,-85,-69,-83,-81,-85,-67,-70,-77,-92,-78,-81,-69,-87,-82,-82,-83,-74,-79,-82,-85,-79,-92,-87,-83,-81,-87,-200,-91,-73,-87,-90,-90,-200,-91,-200,-90,-89,-89,-200,-80,-89,-91,-89,-92,-91,-90,-200,-85,-200,-200,-200
1526447825977,-34,-56,-51,-52,-56,-65,-70,-64,-77,-75,-60,-58,-41,-57,-65,-78,-82,-77,-84,-79,-82,-71,-70,-78,-84,-78,-81,-67,-200,-82,-89,-83,-74,-82,-82,-85,-80,-91,-88,-86,-81,-88,-200,-91,-71,-88,-89,-200,-200,-91,-200,-90,-90,-89,-200,-81,-88,-91,-89,-92,-91,-90,-200,-85,-86,-200,-200
1526447829003,-31,-53,-52,-51,-53,-63,-69,-65,-73,-72,-50,-59,-81,-55,-65,-70,-82,-70,-86,-79,-80,-72,-70,-76,-84,-77,-81,-71,-89,-85,-86,-85,-74,-80,-82,-84,-80,-91,-89,-86,-81,-88,-200,-90,-71,-90,-89,-89,-200,-91,-89,-90,-89,-90,-200,-83,-90,-200,-89,-90,-91,-90,-200,-85,-86,-200,-200
1526447832031,-32,-54,-52,-49,-49,-60,-69,-63,-77,-70,-63,-59,-79,-55,-66,-72,-87,-72,-80,-86,-82,-73,-72,-76,-87,-77,-77,-71,-89,-85,-90,-87,-74,-80,-80,-84,-80,-91,-86,-87,-81,-89,-200,-90,-73,-87,-90,-90,-200,-91,-89,-90,-89,-90,-200,-83,-87,-200,-89,-90,-91,-90,-200,-200,-86,-200,-200
1526447835041,-35,-55,-51,-51,-59,-66,-76,-66,-77,-71,-59,-58,-80,-61,-65,-78,-87,-78,-86,-83,-81,-72,-72,-77,-87,-77,-79,-69,-87,-85,-84,-87,-75,-81,-83,-51,-79,-91,-89,-86,-81,-88,-200,-90,-71,-88,-91,-90,-200,-92,-87,-90,-89,-89,-200,-81,-89,-200,-89,-90,-91,-91,-200,-200,-87,-200,-200
1526447838078,-34,-55,-47,-55,-57,-62,-70,-65,-76,-73,-63,-62,-78,-57,-66,-71,-84,-75,-85,-79,-84,-71,-69,-82,-85,-83,-79,-67,-87,-84,-91,-87,-74,-81,-81,-51,-80,-90,-86,-84,-200,-88,-200,-90,-70,-88,-91,-90,-200,-92,-87,-90,-89,-89,-200,-81,-89,-91,-89,-90,-200,-91,-200,-200,-88,-90,-200
1526447841115,-35,-55,-49,-55,-55,-68,-70,-68,-75,-72,-58,-61,-75,-59,-67,-70,-83,-70,-84,-81,-84,-70,-70,-81,-87,-84,-82,-69,-89,-84,-91,-84,-77,-80,-82,-84,-80,-91,-88,-84,-81,-88,-200,-88,-71,-88,-92,-90,-200,-90,-89,-89,-200,-87,-200,-80,-89,-91,-200,-89,-200,-91,-200,-200,-88,-90,-200
1526447844149,-33,-57,-48,-53,-53,-64,-70,-68,-77,-71,-60,-61,-75,-59,-68,-71,-87,-74,-84,-80,-85,-69,-70,-79,-87,-79,-82,-66,-89,-84,-81,-84,-77,-82,-83,-85,-82,-88,-87,-87,-82,-88,-200,-90,-70,-88,-92,-200,-200,-89,-89,-89,-90,-88,-200,-80,-89,-91,-200,-91,-200,-91,-200,-200,-88,-90,-200
1526447847187,-33,-59,-48,-54,-55,-66,-73,-66,-77,-74,-60,-61,-75,-57,-67,-69,-87,-72,-81,-79,-86,-69,-70,-74,-87,-88,-81,-72,-89,-84,-80,-84,-75,-82,-80,-85,-80,-89,-88,-85,-82,-88,-200,-90,-73,-88,-92,-200,-200,-89,-89,-89,-91,-88,-200,-81,-89,-90,-200,-91,-200,-200,-200,-200,-87,-90,-91
1526447850206,-33,-58,-47,-53,-54,-64,-72,-69,-75,-72,-62,-59,-77,-56,-70,-75,-85,-76,-87,-81,-83,-70,-70,-79,-87,-84,-84,-72,-89,-84,-89,-84,-78,-80,-83,-83,-81,-91,-87,-88,-80,-86,-200,-89,-71,-85,-90,-200,-200,-89,-88,-89,-92,-88,-91,-80,-88,-90,-200,-91,-200,-200,-200,-200,-87,-90,-91
1526447853239,-35,-56,-47,-53,-51,-67,-69,-70,-76,-71,-62,-60,-72,-53,-70,-68,-84,-70,-83,-79,-85,-68,-72,-79,-200,-82,-85,-70,-89,-84,-90,-84,-78,-78,-83,-83,-80,-90,-87,-83,-80,-86,-200,-89,-71,-85,-92,-200,-200,-89,-88,-200,-90,-87,-91,-80,-88,-91,-200,-90,-200,-200,-200,-200,-88,-200,-91
